productId,productName,category,brand,brandKey,existingStoreNames,missingStoreName,candidateCount,bestMatchScore,bestMatchTitle,bestMatchOfferId,bestMatchHasModelKey,cause,action
5771,"Hemper Isoplex Estación de Dab y Limpieza | PIRANHA",Accesorios de extraccion,HEMPER,hemper,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""GrowBarato Chile"" tiene 10 ofertas en Accesorios de extraccion pero ninguna de marca ""hemper"" — scraping o inventario"
5339,"Bong Bubbler Kush",Bongs,BONGLAB,bonglab,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,20,0.44,"BongLab Bong K104 Moon 27cm",2979,false,C (matching bajo),"Hay 20 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5535,"Color Cube-Bonglab",Bongs,BONGLAB,bonglab,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,20,0.44,"BongLab Bong KM3 Clear 12cm",2015,false,C (matching bajo),"Hay 20 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5521,"Bong Glycerin Thicc",Bongs,BONGLAB,bonglab,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,32,0.44,"Medusa Black-Bonglab",29,false,C (matching bajo),"Hay 32 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5523,"Bong Pyrex 14cm White Bonglab | Rig Compacto de Vidrio Resistente",Bongs,BONGLAB,bonglab,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,20,0,"",,false,C (matching bajo),"Hay 20 oferta(s) con score max 0.00 — mejorar normalizacion o aliases"
5528,"Pocket Bell -Bonglab",Bongs,BONGLAB,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,19,0.64,"Bong R2 Bonglab 17cm - Una experiencia de fumado excepcional",1420,false,C (matching medio),"Score 0.64 — relajar umbrales de matching para esta categoria"
5530,"The Sheikh 42Cm -Bonglab",Bongs,BONGLAB,bonglab,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,20,0.44,"BongLab Bong K104 Moon 27cm",2979,false,C (matching bajo),"Hay 20 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5532,"Tiny Bell Extended -Bonglab",Bongs,BONGLAB,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,19,0.44,"Bonglab bong clásico 25 cm de calidad",551,false,C (matching bajo),"Hay 19 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5760,"CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB",Contenedores y estuches,BONGLAB,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,1,0,"",,false,C (matching bajo),"Hay 1 oferta(s) con score max 0.00 — mejorar normalizacion o aliases"
5763,"Ozeta Chestbag Circular 4x4 Con Clave - Anti Olor",Contenedores y estuches,Ozeta,ozeta,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.69,"Shoulderbag con Clave Anti-olor OZeta",1385,false,C (matching medio),"Score 0.69 — relajar umbrales de matching para esta categoria"
5761,"Estuche Anti Olor OZeta Grande (Color a elección)",Contenedores y estuches,OZETA,ozeta,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,7,0.44,"Bolso Chestbag Circular 4X4 Con Clave-Ozeta",738,false,C (matching bajo),"Hay 7 oferta(s) con score max 0.44 — mejorar normalizacion o aliases"
5725,"Encendedor Clipper Racoons",Encendedores y sopletes,Clipper,clipper,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.63,"Encendedor Jet Flame Jet Horror Zoo Clipper",2573,false,C (matching medio),"Score 0.63 — relajar umbrales de matching para esta categoria"
5724,"Encendedor Jet Flame Jet Hippie World Clipper",Encendedores y sopletes,CLIPPER,clipper,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,7,0.52,"Encendedor Clipper x Piranha",493,false,C (matching bajo),"Hay 7 oferta(s) con score max 0.52 — mejorar normalizacion o aliases"
5715,"Filtros Tips Gummed-Raw",Filtros y boquillas,RAW,raw,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,2,0.6,"Filtro Tips RAW Original | PIRANHA",709,false,C (matching medio),"Score 0.60 — relajar umbrales de matching para esta categoria"
5716,"Tips Original De Carton 1 Ud-Raw",Filtros y boquillas,RAW,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,3,0.52,"RAW Perforate Gummed Tips de la marca RAW",1403,false,C (matching bajo),"Hay 3 oferta(s) con score max 0.52 — mejorar normalizacion o aliases"
5717,"Tips Perforated Wide-Raw",Filtros y boquillas,RAW,raw,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,2,0.52,"Filtro Tips RAW Original | PIRANHA",709,false,C (matching bajo),"Hay 2 oferta(s) con score max 0.52 — mejorar normalizacion o aliases"
5499,"Moledor 63MM -Galaxy",Moledores,GALAXY,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.86,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium en Chile",140,false,C (matching alto),"Fuerte coincidencia (score 0.86) — vincular manualmente o ajustar matching"
5356,"Moledor Galaxy 73 mm - Grinder de Aluminio con Tamiz y Compartidor",Moledores,GALAXY,galaxy,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,10,0.74,"Mars Grinder Aluminio 55mm",4930,false,C (matching alto),"Fuerte coincidencia (score 0.74) — vincular manualmente o ajustar matching"
5502,"Moledor New Pro Model Grinder-Galaxy",Moledores,GALAXY,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.99,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium en Chile",140,false,C (matching alto),"Fuerte coincidencia (score 0.99) — vincular manualmente o ajustar matching"
5503,"Moledor Quartz Grinder- Galaxy",Moledores,GALAXY,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.8,"Galaxy Moledor New Pro Model 63mm | Moledor Metálico Premium en Chile",140,false,C (matching alto),"Fuerte coincidencia (score 0.80) — vincular manualmente o ajustar matching"
5357,"Moledor Ceramico Square - Galaxy",Moledores,GALAXY,galaxy,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.6,"Moledor Galaxy de 4 partes y con tamizador",3159,false,C (matching medio),"Score 0.60 — relajar umbrales de matching para esta categoria"
5797,"Enroladora Acrílica 1 1/4 1U-Ocb",Otros parafernalia,OCB,ocb,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""GrowBarato Chile"" tiene 4 ofertas en Otros parafernalia pero ninguna de marca ""ocb"" — scraping o inventario"
5459,"Papelillo Pink 1 1/4 1Und-Blazy Susan",Papelillos,BLAZY SUSAN,blazy-susan,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.63,"Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables",3162,false,C (matching medio),"Score 0.63 — relajar umbrales de matching para esta categoria"
5460,"Blazy Susan Papelillos Purple 1 1/4",Papelillos,Blazy Susan,blazy-susan,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0.63,"Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables",3162,false,C (matching medio),"Score 0.63 — relajar umbrales de matching para esta categoria"
5413,"Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos",Papelillos,BLAZY SUSAN,blazy-susan,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,5,0.98,"Blazy Susan Papelillos King Size Purple",2037,false,C (matching alto),"Fuerte coincidencia (score 0.98) — vincular manualmente o ajustar matching"
5478,"Papelillos Gizeh Pink 1 1/4 Extra Fine",Papelillos,Gizeh,gizeh,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""Astro Growshop"" tiene 31 ofertas en Papelillos pero ninguna de marca ""gizeh"" — scraping o inventario"
5462,"Papelillos OCB Bamboo 1 1/4",Papelillos,OCB,ocb,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,8,0.91,"Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento",319,false,C (matching alto),"Fuerte coincidencia (score 0.91) — vincular manualmente o ajustar matching"
5463,"Papel de fumar de cáñamo orgánico 1 1/4 OCB",Papelillos,OCB,ocb,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.81,"Papelillo Premium Negro 1 1/4 1U-Ocb",31,true,C (matching alto),"Fuerte coincidencia (score 0.81) — vincular manualmente o ajustar matching"
5458,"Papelillos Raw Classic 1 1/4",Papelillos,RAW,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,7,1.17,"RAW Classic 1.1/4 producto de la marca RAW",2230,false,C (matching alto),"Fuerte coincidencia (score 1.17) — vincular manualmente o ajustar matching"
5464,"Papelillo RAW Classic Black 1 1/4 | PIRANHA",Papelillos,RAW,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,7,1.17,"RAW Classic 1.1/4 producto de la marca RAW",2230,false,C (matching alto),"Fuerte coincidencia (score 1.17) — vincular manualmente o ajustar matching"
5465,"Papelillos RAW Black Organic Hemp 1 1/4",Papelillos,RAW,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,7,0,"",,false,C (matching bajo),"Hay 7 oferta(s) con score max 0.00 — mejorar normalizacion o aliases"
5418,"Papelillos RAW Classic King Size Slim - Sabanas",Papelillos,RAW,raw,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.88,"Papelillos Classic 1 1/4 1 Ud-Raw",780,false,C (matching alto),"Fuerte coincidencia (score 0.88) — vincular manualmente o ajustar matching"
5491,"Pipa de silicona Karma de Piece Maker",Pipas,,piecemaker,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""Astro Growshop"" tiene 89 ofertas en Pipas pero ninguna de marca ""piecemaker"" — scraping o inventario"
5494,"Pipa Piecemaker Kazili de silicona - Growbarato",Pipas,PIECEMAKER,piecemaker,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""Astro Growshop"" tiene 89 ofertas en Pipas pero ninguna de marca ""piecemaker"" — scraping o inventario"
5746,"BongLab Quemador HoneyComb Macho 14mm",Repuestos para bongs y vaporizadores,BongLab,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,4,0.58,"Difusor 14mm 12cm Bonglab | Repuesto de vidrio para bongs",2305,false,C (matching medio),"Score 0.58 — relajar umbrales de matching para esta categoria"
5747,"BongLab Quemador Honeycomb Macho 18mm",Repuestos para bongs y vaporizadores,BongLab,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,4,0.58,"Atrapa Cenizas Perc 18 Mm Bonglab",2289,false,C (matching medio),"Score 0.58 — relajar umbrales de matching para esta categoria"
5748,"Quemador Perla 18mm Calvo Glass - GB The Green Brand",Repuestos para bongs y vaporizadores,CALVO,calvo,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,5,0.85,"Calvo Glass Quemador Abeja Macho 14mm",1570,false,C (matching alto),"Fuerte coincidencia (score 0.85) — vincular manualmente o ajustar matching"
5736,"Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey)",Vaporizadores herbales,DA VINCI,davinci,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""GrowBarato Chile"" tiene 7 ofertas en Vaporizadores herbales pero ninguna de marca ""davinci"" — scraping o inventario"
5737,"Vaporizador Mecánico Dynavap M7",Vaporizadores herbales,Dynavap,dynavap,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,0,0,"",,false,A/B (sin ofertas de marca),"Tienda ""GrowBarato Chile"" tiene 7 ofertas en Vaporizadores herbales pero ninguna de marca ""dynavap"" — scraping o inventario"
5738,"Volcano Hybrid Storz & Bickel - GB The Green Brand",Vaporizadores herbales,STORZ BICKEL,storz-bickel,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,1,0.63,"Veazy Storz & Bickel | PIRANHA",681,false,C (matching medio),"Score 0.63 — relajar umbrales de matching para esta categoria"
