productId,name,category,brandKey,existingStores,missingStore,candidateCount,bestScore,bestTitle,bestUrl,bestPrice,existingOffers,productUrl
5769,"Bonglab Banger Terp Sluter Cuarzo Macho 14MM",Accesorios de extraccion,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,3,0.96,"BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile","https://www.growbaratochile.cl/parafernalia/banger-14-mm-simple-45-bonglab-.html",7200,[Piranha] $8990 Banger Cuarzo Bonglab Simple 90° (14mm/1 || [Fumetas] $9990 Bonglab Banger Terp Sluter Cuarzo Macho  || [Astro Growshop] $11990 Banger Terp Slurper Cuarzo Macho 14Mm-Bo,"/productos/bonglab/banger-terp-slurper-macho-14mm"
5535,"Color Cube-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,21,0.38,"BongLab Bong Kraken KC47 37cm","https://fumetas.cl/bonglab-bong-kraken-kc47-37cm",74990,[Astro Growshop] $21990 Color Cube-Bonglab || [Piranha] $23741 Bong Color Cube || [GrowBarato Chile] $25200 Bong Pyrex Cube Bonglab Azul y Verde | B,"/productos/bonglab/color-cube"
5521,"Bong Glycerin Thicc",Bongs,bonglab,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,32,0.44,"Double Shot -Bonglab","https://astrogrowshop.cl/double-shot-bonglab",58990,[Piranha] $89990 Bong Glycerin Thicc || [GrowBarato Chile] $96300 Glycerin Thicc Mint Bonglab - Bong Con G || [Fumetas] $105990 Bonglab Bong Glycerin Thicc 36cm,"/productos/bonglab/glycerin-thicc"
5523,"Bong Pyrex 14cm White Bonglab | Rig Compacto de Vidrio Resistente",Bongs,bonglab,"Astro Growshop | Fumetas | GrowBarato Chile",Piranha,20,0,"Bong Tiny Bell","https://piranha.cl/inicio/6069/bong-tiny-bell-bonglab-color-a-eleccion.html",16990,[GrowBarato Chile] $19500 Bong Pyrex 14cm White Bonglab | Rig Comp || [Astro Growshop] $28990 NEVIS RIG WHITE WHITE- Bonglab || [Fumetas] $29990 BongLab Bong A13 Nevis Rig White 14cm,"/productos/bonglab/nevis-rig"
5528,"Pocket Bell -Bonglab",Bongs,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,19,0.44,"Bonglab bong clásico 25 cm de calidad","https://www.growbaratochile.cl/bonglab/bong-clasico-grande.html",22400,[Astro Growshop] $18990 Pocket Bell -Bonglab || [Piranha] $19192 Bong Pocket Bell || [Fumetas] $25990 BongLab Bong X5 Pocket Bell 17cm,"/productos/bonglab/pocket-bell"
5530,"The Sheikh 42Cm -Bonglab",Bongs,bonglab,"Astro Growshop | Piranha | GrowBarato Chile",Fumetas,21,0.38,"BongLab Bong Kraken KC47 37cm","https://fumetas.cl/bonglab-bong-kraken-kc47-37cm",74990,[Astro Growshop] $40390 The Sheikh 42Cm -Bonglab || [Piranha] $44394 Bong The Sheikh || [GrowBarato Chile] $68400 Moderno Bong The Sheikh de Bonglab - GB ,"/productos/bonglab/sheikh"
5532,"Tiny Bell Extended -Bonglab",Bongs,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,19,0.44,"Bonglab bong clásico 25 cm de calidad","https://www.growbaratochile.cl/bonglab/bong-clasico-grande.html",22400,[Astro Growshop] $14990 Tiny Bell Extended -Bonglab || [Piranha] $16990 Bong Tiny Bell || [Fumetas] $17990 BongLab Bong KM2 Tiny Bell Xtended 8 cm,"/productos/bonglab/tiny-bell-extended"
5760,"CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB",Contenedores y estuches,bonglab,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,1,0,"Mason Re: Stash Jar de Bonglab de vidrio","https://www.growbaratochile.cl/despues-de-la-cosecha/mason-restash-jar-de-bonglab.html",22500,[Astro Growshop] $2990 CONTENEDOR EXTRACTOS AL VACIO REDONDO NE || [Piranha] $2994 Contenedor Extracciónes 4mL (Tapa Blanca || [Fumetas] $3590 Bonglab Contenedor De Extractos 4ml,"/productos/bonglab/extract-container-extracts-4ml"
5763,"Ozeta Chestbag Circular 4x4 Con Clave - Anti Olor",Contenedores y estuches,ozeta,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,5,0,"Estuche Anti-Olor perfecto para el día a día","https://www.growbaratochile.cl/ozeta/estuche-anti-olor.html",21600,[Fumetas] $29913 Ozeta Chestbag Circular 4x4 Con Clave -  || [Piranha] $32993 Chestbag Circular 4x4 c/clave || [Astro Growshop] $45990 Bolso Chestbag Circular 4X4 Con Clave-Oz,"/productos/ozeta/bag-chestbag-circular"
5761,"Estuche Anti Olor OZeta Grande (Color a elección)",Contenedores y estuches,ozeta,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,7,0,"Bolso Ywiwis Antiolor-Ozeta","https://astrogrowshop.cl/bolso-ywiwis-antiolor-ozeta",24990,[Piranha] $28491 Estuche Anti Olor OZeta Grande (Color a  || [GrowBarato Chile] $28700 Estuche Rígido Grande OZeta – Control de || [Fumetas] $31990 Ozeta Estuche grande 2022 - Anti-olor,"/productos/ozeta/case-antiolor-large"
5818,"Cajita Met�lica RAW para Pre-Enrolados 1 1/4",Contenedores y estuches,raw,"Astro Growshop | Fumetas | Piranha",GrowBarato Chile,1,0,"RAW Porta Papeles de 1.1/4 caja metálica","https://www.growbaratochile.cl/articulos-para-el-fumador/raw-porta-papelillo.html",1400,[Piranha] $2490 Cajita Metálica RAW para Pre-Enrolados ( || [Astro Growshop] $2990 CAJITA METALICA PARA PREENROLADOS 1 1/4- || [Fumetas] $2990 Raw Cajita Metálica para Pre-Enrolados 1,"/productos/raw/cajita-metalica-1-1-4"
5725,"Encendedor Clipper Racoons",Encendedores y sopletes,clipper,"Fumetas | Piranha | GrowBarato Chile",Astro Growshop,10,0.63,"Encendedor Jet Flame Jet Horror Zoo Clipper","https://astrogrowshop.cl/encendedor-jet-flame-jet-horror-zoo-clipper",1590,[Fumetas] $990 Encendedor Clipper Crystal 12 || [Fumetas] $990 Encendedor Clipper Winter Plans 2 || [Fumetas] $990 Encendedor Clipper Racoons || [Fumetas] $990 Encendedor Clipper Space Area 4 || [Fumetas] $990 Encendedor Clipper Zombie Force || [Fumetas] $990 Encendedor Clipper Space Area 3 || [Fumetas] $990 Encendedor Clipper Space Area 1 || [Fumetas] $990 Encendedor Clipper Space Area 2 || [Fumetas] $990 Encendedor Clipper Dino Sports || [Fumetas] $990 Encendedor Clipper Winter Plans 1 || [Fumetas] $990 Encendedor Clipper Horror Days 1 || [Fumetas] $990 Encendedor Clipper Taroting 2 || [Fumetas] $990 Encendedor Clipper Monsters 1 || [Fumetas] $990 Encendedor Clipper Cocodrilos - Finger U || [Fumetas] $990 Encendedor Clipper Sun is Shinning 2 || [Fumetas] $990 Encendedor Clipper Wall Of Fame 2 || [GrowBarato Chile] $1000 Encendedor Clipper GB The Green Brand -  || [GrowBarato Chile] $1000 Encendedor Clipper varios modelos dispon || [Piranha] $1190 Encendedor Clipper x Piranha,"/productos/clipper/lighter-classic"
