estado;marca;productosCurados;huerfanasConStock;ofertasTotales;tiendasConHuerfanas;tiendas
SIN-PRODUCTO;"baked-bunny";0;47;47;2;"friendlygrow growbarato"
SIN-PRODUCTO;"santa-cruz-shredder";0;10;29;2;"astrogrowshop kushbreak"
SIN-PRODUCTO;"actitube";0;6;7;2;"growbarato fumetas"
SIN-PRODUCTO;"boveda";0;6;32;3;"fumetas growbarato kushbreak"
SIN-PRODUCTO;"grav";0;4;40;2;"piranha fumetas"
SIN-PRODUCTO;"dark-horse";0;3;5;2;"growbarato astrogrowshop"
SIN-PRODUCTO;"smokers-choice";0;2;4;2;"fumetas astrogrowshop"
CON-PRODUCTO;"pulsar";11;194;274;2;"fumetas kushbreak"
CON-PRODUCTO;"calvo";46;163;664;4;"fumetas piranha growbarato astrogrowshop"
CON-PRODUCTO;"bonglab";116;118;1061;4;"astrogrowshop fumetas growbarato piranha"
CON-PRODUCTO;"honeypuff";1;83;85;2;"friendlygrow growbarato"
CON-PRODUCTO;"gizeh";5;64;96;3;"fumetas piranha kushbreak"
CON-PRODUCTO;"soulblime";13;63;224;5;"fumetas astrogrowshop piranha kushbreak growbarato"
CON-PRODUCTO;"g-rollz";4;62;169;3;"fumetas astrogrowshop piranha"
CON-PRODUCTO;"raw";51;61;257;5;"astrogrowshop piranha fumetas growbarato kushbreak"
CON-PRODUCTO;"lion-rolling-circus";22;59;205;5;"piranha growbarato fumetas astrogrowshop kushbreak"
CON-PRODUCTO;"clipper";34;56;507;5;"piranha astrogrowshop growbarato fumetas friendlygrow"
CON-PRODUCTO;"piecemaker";9;55;312;5;"fumetas growbarato piranha astrogrowshop kushbreak"
CON-PRODUCTO;"galaxy";18;49;401;3;"growbarato astrogrowshop fumetas"
CON-PRODUCTO;"yocan";13;48;201;4;"friendlygrow piranha kushbreak fumetas"
CON-PRODUCTO;"mj-arsenal";4;38;67;2;"fumetas kushbreak"
CON-PRODUCTO;"cookies";3;37;105;5;"astrogrowshop fumetas friendlygrow piranha growbarato"
CON-PRODUCTO;"storz-bickel";51;34;230;4;"piranha fumetas astrogrowshop growbarato"
CON-PRODUCTO;"ozeta";45;31;304;3;"fumetas growbarato astrogrowshop"
CON-PRODUCTO;"blunt-wrap";1;29;60;2;"piranha fumetas"
CON-PRODUCTO;"ocb";33;28;154;4;"growbarato astrogrowshop fumetas piranha"
CON-PRODUCTO;"kasvi";25;24;110;4;"astrogrowshop fumetas piranha growbarato"
CON-PRODUCTO;"puffco";42;21;218;4;"astrogrowshop piranha fumetas kushbreak"
CON-PRODUCTO;"hemper";36;19;116;3;"fumetas piranha astrogrowshop"
CON-PRODUCTO;"blazy-susan";44;19;283;3;"astrogrowshop fumetas piranha"
