rank,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
1,10066,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,BLAZY SUSAN,blazy-susan,king-size-slim,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,400,990,148,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:08.437Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Papelillo Purple King Size Slim -Blazy Susan | Blazy Susan Papelillos King Size Purple | Papelillo King Size Slim Blazy Susan Purple | PIRANHA
2,5462,Papelillos OCB Bamboo 1 1/4,Papelillos,OCB,ocb,1-1-4,bamboo,/productos/ocb/bamboo,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-18T07:08:09.324Z,Papelillos OCB Bamboo 1 1/4 | Papelillo 1 1/4 Bamboo-Ocb | Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento | Papelillo OCB Bamboo 1 1/4
3,5816,Papelillos OCB Virgin 1 1/4,Papelillos,OCB,ocb,1-1-4,virgin,/productos/ocb/virgin,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-18T06:55:49.056Z,Papelillos OCB Virgin 1 1/4 | Papelillo Virgin 1 1/4 1U-Ocb | OCB Virgin Extra Fino 1.1/4 sin colorantes | Papelillo OCB Virgin 1 1/4 | PIRANHA
4,5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,OCB,ocb,1-1-4,organic,/productos/ocb/organic,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,990,41,GrowBarato Chile,Piranha,true,true,2026-06-08T22:42:29.565Z,Papel de fumar de cáñamo orgánico 1 1/4 OCB | Papelillos OCB Cañamo orgánico 1 1/4 | Papelillo Organico de Cañamo1 1/4 1U- Ocb | Papelillo OCB Orgánico 1 ¼
5,5817,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand,Papelillos,OCB,ocb,1-1-4,ultimate,/productos/ocb/ultimate,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,1190,70,GrowBarato Chile,Piranha,true,true,2026-05-18T06:55:48.631Z,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand | Papelillos OCB Ultimate 1 1/4 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼
6,6008,Papelillos OCB Premium 1 1/4,Papelillos,OCB,ocb,1-1-4,premium,/productos/ocb/premium,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,790,990,25,Fumetas,Piranha,true,true,2026-05-18T07:08:10.166Z,Papelillos OCB Premium 1 1/4 | OCB Premium 1 1/4 Papel de fumar extrafino | Papelillo Premium Negro 1 1/4 1U-Ocb | Papelillo OCB Azul Premium 1 1/4 | Papelillo OCB Negro Premium 1 ¼
7,5458,RAW Classic 1.1/4 producto de la marca RAW,Papelillos,RAW,raw,1-1-4,classic,/productos/raw/classic,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,800,990,24,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:11.001Z,RAW Classic 1.1/4 producto de la marca RAW | Papelillos Raw Classic 1 1/4 | Papelillos RAW Classic 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1 Ud-Raw | Papelillos Classic 1 1/4 1Ud-Raw
8,5479,Papelillos OCB X-Pert 1 1/4,Papelillos,OCB,ocb,1-1-4,x-pert,/productos/ocb/x-pert,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,850,990,16,Fumetas,Piranha,true,true,2026-06-08T22:42:30.768Z,Papelillos OCB X-Pert 1 1/4 | OCB X-Pert 1 1/4 papel de fumar ultrafino | Papelillo OCB Xpert 1 ¼ | Papelillo Xpert 1 1/4 Ud-Ocb
9,5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,RAW,raw,1-1-4,black,/productos/raw/black,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,990,1190,20,Piranha,Fumetas,true,true,2026-06-02T23:51:32.259Z,Papelillo RAW Classic Black 1 1/4 | PIRANHA | Papelillos RAW Black 1.1/4 para Liar Cannabis - GB The Green Brand | Papelillos Black 1 1/4 1 Ud-Raw | Papelillos RAW Black 1 1/4
10,5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,990,49990,4949,Fumetas,Astro Growshop,true,true,2026-05-18T07:08:18.020Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA | Papelillos Classic King Size Slim 50 Ud-Raw"
11,10053,RAW Connoisseur 1.1/4+ Tips de RAW para armar,Papelillos,RAW,raw,1-1-4,classic-con-tips,/productos/raw/classic-con-tips,7,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1100,44990,3990,GrowBarato Chile,Astro Growshop,true,true,2026-06-08T22:42:26.976Z,RAW Connoisseur 1.1/4+ Tips de RAW para armar | Papelillos Raw Connoisseur 1 1/4 + Tips | Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | RAW Connoisseur 1.1/4+ Tips es kit de fumador | Papelillos Raw Connoisseur 1 1/4 + Pre Rolled Tips | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA | PAPELILLOS CONNOISSEUR + TIPS PREENROLADOS 1 1/4 24U-RAW
12,10083,OCB Premium 1.1/4 + Tips,Papelillos,OCB,ocb,1-1-4,premium-con-tips,/productos/ocb/premium-con-tips,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1800,1990,11,GrowBarato Chile,Piranha,true,true,2026-06-08T22:42:25.717Z,OCB Premium 1.1/4 + Tips | OCB Papelillos Premium 1 1/4 + Tips | Papelillo OCB Negro Premium 1 ¼ + Boquilla | Papelillo + Tips Premium 1U-Ocb
13,5800,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile,Encendedores y sopletes,ZIPPO,zippo,wick-zippo-wick,wick,/productos/zippo/wick,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1800,2190,22,GrowBarato Chile,Astro Growshop,true,true,2026-05-18T06:45:18.772Z,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile | Mecha Zippo | Mecha 1 Unidad-Zippo | Zippo Mecha (1u)
14,6772,Pipa De Mano Heavy Gear,Pipas,CABO,cabo,gear-heavy,gear-heavy,/productos/cabo/gear-heavy,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,6746,10990,63,Piranha,Astro Growshop,true,true,2026-06-08T22:39:31.873Z,CABO Heavy Gear 20mm (Clear/Black) - CABO | PIRANHA | Pipa De Mano Heavy Gear | Cabo Pipa Heavy Gear Black 20mm | Heavy Gear -Cabo
15,5965,RAW Porta Papeles de 1.1/4 caja metálica,Contenedores y estuches,RAW,raw,case-1-1/4,case-1-1-4,/productos/raw/case-1-1-4,8,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1400,2990,114,GrowBarato Chile,Astro Growshop,true,true,2026-06-08T22:28:25.933Z,RAW Porta Papeles de 1.1/4 caja metálica | PORTA PAPELILLOS METALICOS 1 1/4- RAW | Porta Papelillo RAW Metálico 1 1/4 | Porta Papelillo RAW 1 1/4 | Porta Papelillo RAW Black 1 1/4 | Cajita Metálica RAW para Pre-Enrolados (1 1/4/King Size) | PIRANHA | CAJITA METALICA PARA PREENROLADOS 1 1/4-RAW | Raw Cajita Metálica para Pre-Enrolados 1 1/4
16,5499,Grinder Galaxy Aluminio 63mm,Moledores,GALAXY,galaxy,metal-63mm,metal-63mm,/productos/galaxy/metal-63mm,7,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,17991,23990,33,Piranha,Astro Growshop,true,true,2026-06-08T22:42:11.927Z,Grinder Galaxy Aluminio 63mm | Moledor Galaxy Aluminio 63mm | Grinder Galaxy Lightning | Moledor Galaxy Lightning Aluminio 63mm | Moledor 63MM -Galaxy | Moledor 63Mm Rose Gold-Galaxy | Lightning Grinder 63Mm-Galaxy
