id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5716,Tips Original De Carton 1 Ud-Raw,Filtros y boquillas,RAW,raw,,paper-tip-classic,/productos/raw/paper-tip-classic,3,3,Astro Growshop | Fumetas | Piranha,340,400,18,Astro Growshop,Fumetas,true,true,2026-06-13T01:34:30.855Z,Tips Original De Carton 1 Ud-Raw | Filtro Tips RAW Original | PIRANHA | Boquillas RAW Classic
5717,Tips Perforated Wide-Raw,Filtros y boquillas,RAW,raw,filter-wide-wide,paper-tip-wide-wide,/productos/raw/paper-tip-wide-wide,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,390,590,51,Astro Growshop,Fumetas,true,true,2026-06-13T01:56:06.677Z,Tips Perforated Wide-Raw | Filtro Tips RAW Wide (Ultra Anchos) Perforados | PIRANHA | RAW Perforated Wide Tips de origen orgánico | Boquillas RAW Wide Pre-picadas
10348,RAW Tips Black,Filtros y boquillas,,raw,tips-black,tips-black,/productos/raw/tips-black,3,3,Astro Growshop | Fumetas | Piranha,390,400,3,Astro Growshop,Fumetas,true,true,2026-06-13T01:34:32.181Z,Tips Black 1Ud-Raw | Filtro Tips RAW Black | PIRANHA | Boquillas Raw Black Classic
10066,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,Blazy Susan,blazy-susan,paper-king-size-king-size,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,400,990,148,GrowBarato Chile,Astro Growshop,true,true,2026-06-13T01:31:24.601Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Blazy Susan Papelillos King Size Purple | Papelillo Purple King Size Slim -Blazy Susan | Papelillo King Size Slim Blazy Susan Purple | PIRANHA
5722,Filtros de cartón OCB Premium de color blanco,Filtros y boquillas,OCB,ocb,filter-ocb-premium,paper-filter-premium,/productos/ocb/paper-filter-premium,5,3,Astro Growshop | GrowBarato Chile | Piranha,450,1800,300,GrowBarato Chile,GrowBarato Chile,true,true,2026-06-13T02:00:04.726Z,Filtros de cartón OCB Premium de color blanco | Filtro Premium OCB | Filtros Regular Ocb | Filtros OCB Premium Regular | Filtros anchos de 7.5 mm | OCB Filtro Premium Slim Bolsa - GB The Green Brand
5715,Filtros Tips Gummed-Raw,Filtros y boquillas,RAW,raw,filter-gummed,gummed-tip-gummed,/productos/raw/gummed-tip-gummed,3,3,Astro Growshop | Fumetas | GrowBarato Chile,490,690,41,Astro Growshop,Fumetas,true,true,2026-06-13T01:56:05.422Z,Filtros Tips Gummed-Raw | RAW Perforate Gummed Tips de la marca RAW | Boquillas RAW Gummed Tips - Con pegamento
10067,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,pink,/productos/blazy-susan/pink,3,3,Astro Growshop | Fumetas | Piranha,490,790,61,Astro Growshop,Piranha,true,true,2026-06-13T01:27:27.936Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA | Blazy Susan Papelillos Pink 1 1/4
5720,Filtro de cartón OCB Virgin sin contaminantes,Filtros y boquillas,OCB,ocb,filter-ocb-virgin,paper-filter-virgin,/productos/ocb/paper-filter-virgin,3,3,Astro Growshop | GrowBarato Chile | Piranha,500,890,78,GrowBarato Chile,Piranha,true,true,2026-06-13T02:00:33.655Z,Filtro de cartón OCB Virgin sin contaminantes | TIPS OCB VIRGIN UND -OCB | Filtro Virgin OCB
5725,Encendedor Clipper Racoons,Encendedores y sopletes,Clipper,clipper,lighter-encendedor-racoons,lighter-classic,/productos/clipper/lighter-classic,23,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,595,1000,68,Piranha,GrowBarato Chile,true,true,2026-06-13T01:59:47.274Z,Encendedor Clipper x Piranha | Encendedor Clipper Crystal 12 | Encendedor Clipper Winter Plans 2 | Encendedor Clipper Racoons | Encendedor Clipper Space Area 4 | Encendedor Clipper Zombie Force | Encendedor Clipper Space Area 3 | Encendedor Clipper Space Area 1 | Encendedor Clipper Space Area 2 | Encendedor Clipper Dino Sports | Encendedor Clipper Winter Plans 1 | Encendedor Clipper Horror Days 1 | Encendedor Clipper Taroting 2 | Encendedor Clipper Monsters 1 | Encendedor Clipper Cocodrilos - Finger Up Animals 3 | Encendedor Clipper Sun is Shinning 2 | Encendedor Clipper Wall Of Fame 2 | Encendedor Clipper The Bulldog Amsterdam | Encendedor Clipper GB The Green Brand - GB The Green Brand | Encendedor Clipper Bulldog Ámsterdam - GB The Green Brand | Encendedor Clipper varios modelos disponibles | Encendedor Clipper Recargable Crystal 12 – Diseño Surtido (Unidad) | Encendedor Clipper Recargable Horror Days 1 – Diseño Surtido (Unidad)
5816,Papelillos OCB Virgin 1 1/4,Papelillos,OCB,ocb,paper-ocb-virgin-1-1-4,virgin,/productos/ocb/virgin,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-06-13T02:01:29.803Z,Papelillos OCB Virgin 1 1/4 | Papelillo Virgin 1 1/4 1U-Ocb | OCB Virgin Extra Fino 1.1/4 sin colorantes | Papelillo OCB Virgin 1 1/4 | PIRANHA
