avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
34,Accesorios de extraccion,1,0,14,42,61,4,1,14,23
24,Bandejas y ceniceros,0,0,11,60,51,5,4,11,22
22,Bongs,7,0,95,69,169,30,17,82,56
31,Conos y blunts,0,1,63,134,75,13,11,36,84
99,Contenedores y estuches,2,1,47,971,85,12,8,33,55
20,Encendedores y sopletes,2,0,66,61,100,8,4,66,66
49,Filtros y boquillas,0,1,40,98,62,7,3,18,65
0,Limpieza,0,0,13,0,13,0,0,0,100
27,Moledores,2,1,58,95,242,20,9,58,24
25,Otros parafernalia,0,0,7,49,36,3,2,7,19
74,Papelillos,8,7,77,270,173,22,4,77,45
23,Pipas,0,0,54,38,217,10,6,34,25
24,Repuestos para bongs y vaporizadores,2,1,51,80,113,19,14,49,45
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
15,Vaporizadores herbales,1,0,28,47,36,10,6,26,78
