id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
10040,OCB Filtro de Carbón Activo - GB The Green Brand,Filtros y boquillas,OCB,ocb,filtro-carbon-activo-gb,filtro-carbon-activo-gb,/productos/ocb/filtro-carbon-activo-gb,1,1,GrowBarato Chile,300,300,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:59:32.728Z,OCB Filtro de Carbón Activo - GB The Green Brand
9922,Encendedor Ronson Electrolite【recargable】,Encendedores y sopletes,RONSON,ronson,lighter-electrolite,lighter-electrolite,/productos/ronson/lighter-electrolite,1,1,GrowBarato Chile,700,700,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:05:53.100Z,Encendedor Ronson Electrolite【recargable】
9931,Blazy Susan Boquillas Purple Pre-picadas 50 uds.,Filtros y boquillas,Blazy Susan,blazy-susan,paper-tip-50u,paper-tip-50u,/productos/blazy-susan/paper-tip-50u,1,1,Fumetas,790,790,0,Fumetas,Fumetas,true,true,2026-05-08T06:14:15.110Z,Blazy Susan Boquillas Purple Pre-picadas 50 uds.
9919,Gas Butano Ronson 18 ml,Encendedores y sopletes,Ronson,ronson,gas-18ml,gas-18ml,/productos/ronson/gas-18ml,1,1,Fumetas,990,990,0,Fumetas,Fumetas,true,true,2026-05-08T22:05:29.680Z,Gas Butano Ronson 18 ml
9923,Encendedor De Cocina - Ronson Pequeño【 Recargable 】,Encendedores y sopletes,RONSON,ronson,lighter-kitchen,lighter-kitchen,/productos/ronson/lighter-kitchen,1,1,GrowBarato Chile,1000,1000,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:05:06.967Z,Encendedor De Cocina - Ronson Pequeño【 Recargable 】
9927,Filtros Extra Long Gizeh XL Slim 6mm,Filtros y boquillas,Gizeh,gizeh,paper-filter-slim-6mm,paper-filter-slim-6mm,/productos/gizeh/paper-filter-slim-6mm,3,1,Fumetas,1090,1190,9,Fumetas,Fumetas,true,true,2026-05-08T22:05:32.695Z,Filtros Extra Long Gizeh XL Slim 6mm | Filtros Super Long Gizeh XXL Slim 6mm | Filtros Gizeh Pure Slim XL 6mm
10051,Boquillas RAW Slim Pre-enroladas 21 unidades,Filtros y boquillas,RAW,raw,boquillas-slim-preenroladas-21u,boquillas-slim-preenroladas-21u,/productos/raw/boquillas-slim-preenroladas-21u,1,1,Fumetas,1150,1150,0,Fumetas,Fumetas,true,true,2026-05-09T05:59:00.797Z,Boquillas RAW Slim Pre-enroladas 21 unidades
10044,OCB Slim Filtros Mentolados - GB The Green Brand,Filtros y boquillas,OCB,ocb,filtro-slim-mentolados-gb,filtro-slim-mentolados-gb,/productos/ocb/filtro-slim-mentolados-gb,1,1,GrowBarato Chile,1300,1300,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:05:24.176Z,OCB Slim Filtros Mentolados - GB The Green Brand
10041,OCB ECO Filtros Slim - GB The Green Brand,Filtros y boquillas,OCB,ocb,filtro-eco-slim-gb,filtro-eco-slim-gb,/productos/ocb/filtro-eco-slim-gb,1,1,GrowBarato Chile,1300,1300,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:05:23.184Z,OCB ECO Filtros Slim - GB The Green Brand
10043,Filtros OCB Premium Regular | Filtros anchos de 7.5 mm,Filtros y boquillas,OCB,ocb,filtro-premium-regular-7-5mm,filtro-premium-regular-7-5mm,/productos/ocb/filtro-premium-regular-7-5mm,1,1,GrowBarato Chile,1300,1300,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:05:21.206Z,Filtros OCB Premium Regular | Filtros anchos de 7.5 mm
9961,Papelillos Raw Classic 1 1/4 + Tips,Papelillos,RAW,raw,paper-1-1-4-1-1-4-with-tips,classic-with-tips,/productos/raw/classic-with-tips,2,1,Piranha,1390,1990,43,Piranha,Piranha,true,true,2026-05-08T21:54:29.026Z,Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA
9938,Filtro Gizeh Regular 8x15mm con Pegamento (1 caja de 100u),Filtros y boquillas,GIZEH,gizeh,gummed-tip-regular-8mm-100u,gummed-tip-regular-8mm-100u,/productos/gizeh/gummed-tip-regular-8mm-100u,1,1,Piranha,1390,1390,0,Piranha,Piranha,true,true,2026-05-08T21:54:24.491Z,Filtro Gizeh Regular 8x15mm con Pegamento (1 caja de 100u)
5713,Conos Bulldog Reefer 1 1/4 (6u),Conos y blunts,BULLDOG,the-bulldog,pre-roll-1-1-4-6u,pre-roll-1-1-4-6u,/productos/the-bulldog/pre-roll-1-1-4-6u,1,1,Piranha,1467,1467,0,Piranha,Piranha,true,true,2026-05-08T21:54:14.960Z,Conos Bulldog Reefer 1 1/4 (6u)
9935,Filtro Gizeh Regular Azul Carbón Activado 8x15mm con Pegamento (1 caja de 100u),Filtros y boquillas,GIZEH,gizeh,carbon-regular-8mm-100u,carbon-regular-8mm-100u,/productos/gizeh/carbon-regular-8mm-100u,1,1,Piranha,1590,1590,0,Piranha,Piranha,true,true,2026-05-08T21:54:31.303Z,Filtro Gizeh Regular Azul Carbón Activado 8x15mm con Pegamento (1 caja de 100u)
10039,Gizeh Filtro Gizeh XXL Slim con Pegamento 6x23mm (100u),Filtros y boquillas,Gizeh,gizeh,filtro-xxl-slim-6x23mm-100u,filtro-xxl-slim-6x23mm-100u,/productos/gizeh/filtro-xxl-slim-6x23mm-100u,1,1,Piranha,1590,1590,0,Piranha,Piranha,true,true,2026-05-08T21:54:17.675Z,Filtro Gizeh XXL Slim con Pegamento 6x23mm (100u)
9866,OCB X-Pert Slim King Size,Papelillos,OCB,ocb,xpert-king-size-slim,xpert-king-size-slim,/productos/ocb/xpert-king-size-slim,1,1,GrowBarato Chile,1600,1600,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-18T07:08:14.634Z,OCB X-Pert King Size Papelillos Ultra Finos - GB The Green Brand
9989,Soulblime Conos Pre-enrolados Pink 1 1/4 + Tips,Conos y blunts,Soulblime,soulblime,soulblime-pre-roll-pink-1-1-4-with-tips,soulblime-pre-roll-pink-1-1-4-with-tips,/productos/soulblime/soulblime-pre-roll-pink-1-1-4-with-tips,1,1,Fumetas,1790,1790,0,Fumetas,Fumetas,true,true,2026-05-09T05:57:43.706Z,Soulblime 6 Conos Pre-enrolados Pink 1 1/4
9987,Soulblime Conos Pre-enrolados Orgánicos 1 1/4 + Tips,Conos y blunts,Soulblime,soulblime,soulblime-pre-roll-organicos-1-1-4-with-tips,soulblime-pre-roll-organicos-1-1-4-with-tips,/productos/soulblime/soulblime-pre-roll-organicos-1-1-4-with-tips,1,1,Fumetas,1790,1790,0,Fumetas,Fumetas,true,true,2026-05-09T05:57:41.210Z,Soulblime 6 Conos Pre-enrolados Orgánicos 1 1/4
