id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5716,Tips Original De Carton 1 Ud-Raw,Filtros y boquillas,RAW,raw,,paper-tip-classic,/productos/raw/paper-tip-classic,3,3,Astro Growshop | Fumetas | Piranha,340,400,18,Astro Growshop,Fumetas,true,true,2026-06-13T01:34:30.855Z,Tips Original De Carton 1 Ud-Raw | Filtro Tips RAW Original | PIRANHA | Boquillas RAW Classic
10348,RAW Tips Black,Filtros y boquillas,,raw,tips-black,tips-black,/productos/raw/tips-black,3,3,Astro Growshop | Fumetas | Piranha,390,400,3,Astro Growshop,Fumetas,true,true,2026-06-13T01:34:32.181Z,Tips Black 1Ud-Raw | Filtro Tips RAW Black | PIRANHA | Boquillas Raw Black Classic
5722,Filtros de cartón OCB Premium de color blanco,Filtros y boquillas,OCB,ocb,filter-ocb-premium,paper-filter-premium,/productos/ocb/paper-filter-premium,5,3,Astro Growshop | GrowBarato Chile | Piranha,450,1800,300,GrowBarato Chile,GrowBarato Chile,true,true,2026-06-13T02:00:04.726Z,Filtros de cartón OCB Premium de color blanco | Filtro Premium OCB | Filtros Regular Ocb | Filtros OCB Premium Regular | Filtros anchos de 7.5 mm | OCB Filtro Premium Slim Bolsa - GB The Green Brand
5715,Filtros Tips Gummed-Raw,Filtros y boquillas,RAW,raw,filter-gummed,gummed-tip-gummed,/productos/raw/gummed-tip-gummed,3,3,Astro Growshop | Fumetas | GrowBarato Chile,490,690,41,Astro Growshop,Fumetas,true,true,2026-06-13T01:56:05.422Z,Filtros Tips Gummed-Raw | RAW Perforate Gummed Tips de la marca RAW | Boquillas RAW Gummed Tips - Con pegamento
10067,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,pink,/productos/blazy-susan/pink,3,3,Astro Growshop | Fumetas | Piranha,490,790,61,Astro Growshop,Piranha,true,true,2026-06-13T01:27:27.936Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA | Blazy Susan Papelillos Pink 1 1/4
5720,Filtro de cartón OCB Virgin sin contaminantes,Filtros y boquillas,OCB,ocb,filter-ocb-virgin,paper-filter-virgin,/productos/ocb/paper-filter-virgin,3,3,Astro Growshop | GrowBarato Chile | Piranha,500,890,78,GrowBarato Chile,Piranha,true,true,2026-06-13T02:00:33.655Z,Filtro de cartón OCB Virgin sin contaminantes | TIPS OCB VIRGIN UND -OCB | Filtro Virgin OCB
5478,Papelillos Gizeh Pink 1 1/4 Extra Fine,Papelillos,Gizeh,gizeh,paper-1-1-4-1-1-4,pink,/productos/gizeh/pink,3,3,Fumetas | GrowBarato Chile | Piranha,790,990,25,Fumetas,Piranha,true,true,2026-06-13T01:39:45.328Z,Papelillos Gizeh Pink 1 1/4 Extra Fine | Papelillos para liar Gizeh Pink 1 1/4 - GB The Green Brand | Papelillo Gizeh Pink 1 ¼
5460,Blazy Susan Papelillos Purple 1 1/4,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,purple,/productos/blazy-susan/purple,3,3,Astro Growshop | Fumetas | Piranha,790,790,0,Fumetas,Fumetas,true,true,2026-06-13T01:27:25.583Z,Blazy Susan Papelillos Purple 1 1/4 | Papelillo Purple 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Purple | PIRANHA
10068,Papelillo Pink King Size Slim- Blazy Susan,Papelillos,Blazy Susan,blazy-susan,paper-king-size-king-size-slim,pink-king-size-slim,/productos/blazy-susan/pink-king-size-slim,3,3,Astro Growshop | Fumetas | Piranha,890,990,11,Fumetas,Piranha,true,true,2026-06-13T01:31:23.568Z,Blazy Susan Papelillos King Size Pink | Papelillo King Size Slim Blazy Susan Pink | PIRANHA | Papelillo Pink King Size Slim- Blazy Susan
5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,paper-classic-king-size-slim-king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,3,3,Fumetas | GrowBarato Chile | Piranha,990,1290,30,Fumetas,Piranha,true,true,2026-06-13T01:55:55.623Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA"
5465,Papelillos RAW Black Organic Hemp 1 1/4,Papelillos,RAW,raw,paper-black-organic-hemp-1-1-4,black-organic-hemp,/productos/raw/black-organic-hemp,3,3,Astro Growshop | Fumetas | Piranha,990,1190,20,Piranha,Astro Growshop,true,true,2026-06-13T01:27:24.578Z,Papelillo RAW Black Organic Hemp 1 1/4 | PIRANHA | Papelillos RAW Black Organic Hemp 1 1/4 | Papelillos Black Organic Hemp 1 1/4 1 Ud-Raw
6010,Pipa Hitter 12mm Calvo | One Hitter color rosa y negro Chile,Pipas,Calvo Glass,calvo,pipe-pipa-hitter-12mm-one-12mm,hitter,/productos/calvo/hitter,3,3,Astro Growshop | Fumetas | GrowBarato Chile,1000,1990,99,GrowBarato Chile,Fumetas,true,true,2026-06-13T01:59:29.136Z,Pipa Hitter 12mm Calvo | One Hitter color rosa y negro Chile | Calvo Pipa Hitter 12mm | Hitter Signature- Calvo Glass
10053,RAW Connoisseur 1.1/4+ Tips de RAW para armar,Papelillos,RAW,raw,classic-1-1-4-tips,classic-con-tips,/productos/raw/classic-con-tips,5,3,Fumetas | GrowBarato Chile | Piranha,1100,1990,81,GrowBarato Chile,Piranha,true,true,2026-06-13T01:55:30.134Z,RAW Connoisseur 1.1/4+ Tips de RAW para armar | Papelillos Raw Connoisseur 1 1/4 + Tips | Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | Papelillos Raw Connoisseur 1 1/4 + Pre Rolled Tips | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA
10272,Papelillos RAW Black King Size Slim - Sabanas,Papelillos,RAW,raw,paper-king-size-king-size-slim,black-king-size-slim,/productos/raw/black-king-size-slim,3,3,Astro Growshop | Fumetas | Piranha,1190,1290,8,Fumetas,Astro Growshop,true,true,2026-06-13T01:44:24.916Z,Papelillos RAW Black King Size Slim - Sabanas | Papelillos Black King Size Slim-Raw | Papelillo RAW Black King Size | PIRANHA
5724,Encendedor Jet Flame Jet Hippie World Clipper,Encendedores y sopletes,Clipper,clipper,lighter-encendedor-jet-flame-jet,torch-lighter-jet-flame,/productos/clipper/torch-lighter-jet-flame,23,3,Astro Growshop | Fumetas | GrowBarato Chile,1300,1592,22,GrowBarato Chile,Fumetas,true,true,2026-06-13T00:31:55.895Z,Encendedor Clipper Jet Flame Crystal Fluo – Unidad | Llama Jet | Encendedor Jet Flame Con Tapa Modelos variados- Clipper | Encendedor Jet Flame Jet Good Vibes Only Clipper | Encendedor Jet Flame Jet Hippie World Clipper | Encendedor Clipper Jet Flame Ink 4 Life | Encendedor Clipper Jet Flame Gradient 3 | Encendedor Clipper Jet Flame Psychodelic 2 | Encendedor Clipper Jet Flame Good Vibes Only | Encendedor Clipper Jet Flame Galactic Weed | Encendedor Clipper Jet Flame Head Bones | Encendedor Clipper Jet Flame Print Weed | Encendedor Clipper Jet Flame Rainbow Mush | Encendedor Clipper Jet Flame Rotten Burgers | Encendedor Clipper Jet Flame Shiny Assorted | Encendedor Clipper Jet Flame Skull Drinks | Encendedor Clipper Jet Flame Topo Expressions | Encendedor Clipper Jet Flame CozySkulls | Encendedor Clipper Jet Flame HippieWorld | Encendedor Clipper Jet Flame Mandaleaves | Encendedor Clipper Jet Flame Ravetrip | Encendedor Jet Flame Jet Galactic Weed Clipper | Encendedor Jet Flame Jet Horror Zoo Clipper | Encendedor Clipper Jet Flame Horror Zoo
10337,Cenicero de Bolsillo Portátil RAW,Bandejas y ceniceros,RAW,raw,ashtray-bolsillo,cenicero-bolsillo,/productos/raw/cenicero-bolsillo,3,3,Astro Growshop | Fumetas | Piranha,1490,1690,13,Astro Growshop,Fumetas,true,true,2026-06-13T01:48:50.549Z,Cenicero De Bolsillo-Raw | Cenicero de Bolsillo Portátil RAW | Cenicero de bolsillo Portátil RAW
5709,Blazy Susan 2X Tea Wraps Unidad,Conos y blunts,Blazy Susan,blazy-susan,cone-tea,wrap-tea-leaf-2u,/productos/blazy-susan/wrap-tea-leaf-2u,3,3,Astro Growshop | Fumetas | Piranha,1495,1990,33,Piranha,Fumetas,true,true,2026-06-13T01:39:33.069Z,Tea Leaf Wraps Blazy Susan | PIRANHA | Blazy Susan 2X Tea Wraps Unidad | Blazy Susan Blunt Natural Wraps x2 - Tea Leaf
10141,OCB Papelillos X-pert Slim King Size,Papelillos,OCB,ocb,paper-king-size-king-size-slim,x-pert-king-size-slim,/productos/ocb/x-pert-king-size-slim,3,3,Fumetas | GrowBarato Chile | Piranha,1600,1990,24,GrowBarato Chile,Piranha,true,true,2026-06-13T01:55:53.170Z,OCB X-Pert King Size Papelillos Ultra Finos - GB The Green Brand | OCB Papelillos X-pert Slim King Size | Papelillo OCB Xpert King Size Slim| PIRANHA
10362,Zippo Piedras Encendedor 6U,Encendedores y sopletes,,zippo,piedras-encendedor-6u,piedras-encendedor-6u,/productos/zippo/piedras-encendedor-6u,3,3,Astro Growshop | GrowBarato Chile | Piranha,1690,2190,30,Astro Growshop,Piranha,true,true,2026-06-13T02:00:13.772Z,KIT 6 PIEDRAS 6 UN - ZIPPO | Piedras Zippo 6 Unidades – Repuesto piedra para encendedor | Grow Barato Chile | Zippo Piedras Sachet
10335,Cenicero Metálico Bulldog,Bandejas y ceniceros,BULLDOG,the-bulldog,ashtray-metal,cenicero-metalico,/productos/the-bulldog/cenicero-metalico,3,3,Fumetas | GrowBarato Chile | Piranha,1700,2490,46,GrowBarato Chile,Piranha,true,true,2026-06-13T01:58:55.936Z,Cenicero Bulldog Ámsterdam | Cenicero bulldog metálico | Cenicero Metálico Bulldog
10282,Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached | PIRANHA,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,unbleached-king-size-slim-con-tips,/productos/blazy-susan/unbleached-king-size-slim-con-tips,3,3,Astro Growshop | GrowBarato Chile | Piranha,1700,2490,46,GrowBarato Chile,Piranha,true,true,2026-06-13T01:34:14.028Z,Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural | Papelillo Unbleached King Size Slim Deluxe Kit Unidad-Blazy Susan | Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached | PIRANHA
5471,Papelillos OCB Cañamo Orgánico 1 1/4 + Tips,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,organic-con-tips,/productos/ocb/organic-con-tips,3,3,Astro Growshop | Fumetas | Piranha,1890,1990,5,Fumetas,Piranha,true,true,2026-06-13T01:38:00.420Z,Papelillos OCB Cañamo Orgánico 1 1/4 + Tips | Papelillo OCB Orgánico 1 ¼ + Boquilla | Papelillo + Tips Cañamo 1 1/4
10185,RAW Conos Pre-enrolados King Size + Tips,Conos y blunts,RAW,raw,filter-conos-pre-enrolados-king-size,pre-roll-king-size-with-tips,/productos/raw/pre-roll-king-size-with-tips,3,3,Fumetas | GrowBarato Chile | Piranha,1900,2190,15,GrowBarato Chile,Fumetas,true,true,2026-06-13T02:02:13.592Z,Raw Cones de RAW para rellenarlo y darle uso. | Conos PreEnrolados RAW King Size | Conos RAW Pre-enrolados King Size
10353,Blazy Susan Roll 8m Pink,Papelillos,,blazy-susan,roll-8m-pink,roll-8m-pink,/productos/blazy-susan/roll-8m-pink,3,3,Astro Growshop | Fumetas | Piranha,1990,2490,25,Astro Growshop,Piranha,true,true,2026-06-13T01:44:30.596Z,Papelillo Pink Roll 8 Metros 1Und-Blazy Susan | Blazy Susan Papelillos En Rollo Pink + Boquillas | Papelillos Roll 8m Blazy Susan Kit Pink | PIRANHA
10383,Soulblime Kit Rellena Conos,Conos y blunts,,soulblime,kit-rellena-conos,kit-rellena-conos,/productos/soulblime/kit-rellena-conos,3,3,Fumetas | GrowBarato Chile | Piranha,2000,2490,25,GrowBarato Chile,Piranha,true,true,2026-06-13T01:37:03.269Z,Soulblime Kit Rellena Conos | Preenrolados fáciles y rápidos | Kit Rellena Conos Soulblime | PIRANHA | Soulblime Kit Rellena Conos Preenrolados
6574,Papelillos RAW Artesano 1 1/4,Papelillos,RAW,raw,paper-raw-artesano-1-1-4,artesano,/productos/raw/artesano,3,3,Fumetas | GrowBarato Chile | Piranha,2290,2300,0,Fumetas,GrowBarato Chile,true,true,2026-06-13T01:55:44.278Z,Papelillos RAW Artesano 1 1/4 | Papelillos RAW Artesano 1 1/4 | RAW Artesano 1.1/4 de RAW para armar
6003,Moledor Tarjeta Soulblime portátil,Moledores,Soulblime,soulblime,,tarjeta,/productos/soulblime/tarjeta,3,3,Fumetas | GrowBarato Chile | Piranha,2300,2990,30,GrowBarato Chile,Fumetas,true,true,2026-06-13T01:27:14.021Z,Moledor Tarjeta Soulblime portátil | Soulblime Tarjeta Moledor | Grindercard Tarjeta Moledor Soulblime | PIRANHA
5708,Blazy Susan Blunt Rose Wraps x2,Conos y blunts,Blazy Susan,blazy-susan,cone-rose,wrap-rose-2u,/productos/blazy-susan/wrap-rose-2u,3,3,Astro Growshop | Fumetas | Piranha,2390,2990,25,Fumetas,Piranha,true,true,2026-06-13T01:27:58.092Z,Blazy Susan Blunt Rose Wraps x2 | Wraps Rose-Blazy Susan | Rose Wraps Blazy Susan (2u) | PIRANHA
10096,Moledor Plástico Bulldog 3 Partes 60mm | Grinder The Bulldog,Moledores,The Bulldog,the-bulldog,grinder-plastic-63mm,plastic-3-partes-63mm,/productos/the-bulldog/plastic-3-partes-63mm,3,3,Astro Growshop | Fumetas | GrowBarato Chile,2400,2490,4,GrowBarato Chile,Astro Growshop,true,true,2026-06-13T01:55:14.031Z,Moledor Plástico Bulldog 3 Partes 60mm | Grinder The Bulldog | Moledor Plastico 3 Partes - Bulldog | Moledor plástico Bulldog 3 partes 60mm
10381,G-Rollz Blunt Hemp Wrap x4 Sabores,Conos y blunts,,g-rollz,blunt-hemp-wrap-x4,blunt-hemp-wrap-x4,/productos/g-rollz/blunt-hemp-wrap-x4,3,3,Astro Growshop | Fumetas | Piranha,2461,2490,1,Piranha,Astro Growshop,true,true,2026-06-13T01:43:01.164Z,Blunt Hemp Wrap G-Rollz (4u) | PIRANHA | Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz | G-Rollz Blunt Hemp Wrap X4 - Sabores
10483,Soplete Special Blue Bernie Wild & Free,Encendedores y sopletes,,special-blue,bernie-wild-free,bernie-wild-free,/productos/special-blue/bernie-wild-free,3,3,Astro Growshop | Fumetas | GrowBarato Chile,2490,3990,60,Astro Growshop,Fumetas,true,true,2026-06-13T02:00:24.925Z,Soplete Bernie Variedades | Encendedor Soplete Special Blue Bernie Wild & Free | Growshop Chile | Special Blue Encendedor Soplete Bernie Wild &amp; Free
