id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5413,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,BLAZY SUSAN,blazy-susan,king-size-slim,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,400,990,148,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:08.437Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Papelillo Purple King Size Slim -Blazy Susan | Blazy Susan Papelillos King Size Purple | Papelillo King Size Slim Blazy Susan Purple | PIRANHA
5462,Papelillos OCB Bamboo 1 1/4,Papelillos,OCB,ocb,1-1-4,bamboo,/productos/ocb/bamboo,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-18T07:08:09.324Z,Papelillos OCB Bamboo 1 1/4 | Papelillo 1 1/4 Bamboo-Ocb | Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento | Papelillo OCB Bamboo 1 1/4
5816,Papelillos OCB Virgin 1 1/4,Papelillos,OCB,ocb,1-1-4,virgin,/productos/ocb/virgin,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,1990,206,Fumetas,Piranha,true,true,2026-05-18T06:55:49.056Z,Papelillos OCB Virgin 1 1/4 | Papelillo Virgin 1 1/4 1U-Ocb | OCB Virgin Extra Fino 1.1/4 sin colorantes | Papelillo OCB Virgin 1 1/4 | PIRANHA | Papelillo OCB 1 1/4 + Boquilla Virgin | PIRANHA
5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,OCB,ocb,1-1-4,organic,/productos/ocb/organic,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,990,41,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:03.822Z,Papel de fumar de cáñamo orgánico 1 1/4 OCB | Papelillos OCB Cañamo orgánico 1 1/4 | Papelillo Organico de Cañamo1 1/4 1U- Ocb | Papelillo OCB Orgánico 1 ¼
5817,Papelillos OCB Ultimate 1 1/4,Papelillos,OCB,ocb,1-1-4,ultimate,/productos/ocb/ultimate,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,1190,70,GrowBarato Chile,Piranha,true,true,2026-05-18T06:55:48.631Z,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand | Papelillos OCB Ultimate 1 1/4 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼
5470,Papelillo Premium Negro 1 1/4 1U-Ocb,Papelillos,OCB,ocb,1-1-4,black,/productos/ocb/black,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,790,1990,152,Fumetas,Piranha,true,true,2026-05-18T07:08:10.166Z,Papelillos OCB Premium 1 1/4 | OCB Premium 1 1/4 Papel de fumar extrafino | Papelillo Premium Negro 1 1/4 1U-Ocb | Papelillo OCB Negro Premium 1 ¼ | Papelillo OCB Negro Premium 1 ¼ + Boquilla
5458,RAW Classic 1.1/4 producto de la marca RAW,Papelillos,RAW,raw,1-1-4,classic,/productos/raw/classic,7,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,800,1990,149,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:11.001Z,RAW Classic 1.1/4 producto de la marca RAW | Papelillos Raw Classic 1 1/4 | Papelillos RAW Classic 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1 Ud-Raw | Papelillos Classic 1 1/4 1Ud-Raw | Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA
5464,Papelillo RAW Classic Black 1 1/4 | PIRANHA,Papelillos,RAW,raw,1-1-4,black,/productos/raw/black,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,990,1350,36,Piranha,Fumetas,true,true,2026-05-18T07:08:05.802Z,Papelillo RAW Classic Black 1 1/4 | PIRANHA | Papelillos RAW Black 1.1/4 para Liar Cannabis - GB The Green Brand | Papelillos Black 1 1/4 1 Ud-Raw | Papelillos RAW Black 1 1/4 | Papelillos Raw Black Connoisseur 1 1/4 + Tips
6033,Papelillo Slim Ultimate King Size- Ocb,Papelillos,OCB,ocb,paper-king-size-king-size-slim,ultimate-king-size-slim,/productos/ocb/ultimate-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1090,2590,138,Astro Growshop,Piranha,true,true,2026-05-18T06:46:00.177Z,Papelillo Slim Ultimate King Size- Ocb | OCB Slim Ultimate de origen orgánico | OCB Papelillos Ultimate Slim King Size | Papelillo OCB Ultimate Rolls Slim | PIRANHA
6037,Cajita Met�lica RAW para Pre-Enrolados 1 1/4,Contenedores y estuches,RAW,raw,contenedores-1-1-4-1-1-4,cajita-metalica-1-1-4,/productos/raw/cajita-metalica-1-1-4,6,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1400,14990,971,GrowBarato Chile,Fumetas,true,true,2026-05-18T06:55:37.892Z,RAW Porta Papeles de 1.1/4 caja metálica | Cajita Metálica RAW para Pre-Enrolados (1 1/4/King Size) | PIRANHA | CAJITA METALICA PARA PREENROLADOS 1 1/4-RAW | Raw Cajita Metálica para Pre-Enrolados 1 1/4 | Set Cajita Metálica RAW Starter Box 1 1/4 | PIRANHA | Kit Cajita Metalica RAW Starter Box 1 1/4
