sim,aId,aStore,aTitle,aPrice,aStock,aUrl,bId,bStore,bTitle,bPrice,bStock,bUrl,nota
99.9,32772,Astro Growshop,"Filtro Personal Pro II -Sploofy - Rojo",34990,true,"https://astrogrowshop.cl/filtro-personal-pro-ii-sploofy?variant=Rojo",36571,Fumetas,"Sploofy Pro Filtro Personal - Rojo",29990,true,"https://fumetas.cl/sploofy-pro-filtro-personal?variant=Rojo","ambas huerfanas"
99.8,33001,Astro Growshop,"Heavy Bowl -Bonglab - Verde azulado",59990,true,"https://astrogrowshop.cl/heavy-bowl-bonglab?variant=Verde%20azulado",33893,Fumetas,"BongLab Bong K165 Heavy Bowl 50cm - Turquesa",61990,true,"https://fumetas.cl/bonglab-bong-k165-heavy-bowl-50cm?variant=Turquesa","ambas huerfanas"
99.7,31359,Astro Growshop,"Big Blow-Bonglab - Verde azulado",66990,false,"https://astrogrowshop.cl/big-blow-k41-bonglab?variant=Verde%20azulado",34378,Fumetas,"Bonglab Bong Pyrex K41 Big Blow 46cm - Turquesa",66990,false,"https://fumetas.cl/bonglab-bong-pyrex-k41-big-blow-purple-46cm?variant=Turquesa","ambas huerfanas"
99.6,31357,Astro Growshop,"Big Blow-Bonglab - Morado",66990,true,"https://astrogrowshop.cl/big-blow-k41-bonglab?variant=Morado",34380,Fumetas,"Bonglab Bong Pyrex K41 Big Blow 46cm - Morado",66990,true,"https://fumetas.cl/bonglab-bong-pyrex-k41-big-blow-purple-46cm?variant=Morado","ambas huerfanas"
99.6,31683,Astro Growshop,"Mad Professor - Bonglab - Rosa",51990,false,"https://astrogrowshop.cl/mad-professor-bonglab?variant=Rosa",33846,Fumetas,"Bonglab Bong Mad Professor 42cm - Rosado",64990,false,"https://fumetas.cl/bonglab-bong-mad-professor-42cm-diferentes-colores?variant=Rosado","ambas huerfanas"
99.5,31360,Astro Growshop,"Big Blow-Bonglab - Negro",66990,true,"https://astrogrowshop.cl/big-blow-k41-bonglab?variant=Negro",34379,Fumetas,"Bonglab Bong Pyrex K41 Big Blow 46cm - Negro",66990,true,"https://fumetas.cl/bonglab-bong-pyrex-k41-big-blow-purple-46cm?variant=Negro","ambas huerfanas"
99.5,32160,Astro Growshop,"Atrapa Ceniza Perc 14Mm -Bonglab - Rosa",24990,true,"https://astrogrowshop.cl/atrapa-ceniza-perc-14mm-bonglab?variant=Rosa",34635,Fumetas,"Bonglab Atrapa cenizas Slits macho 14mm 90° - Rosado",29990,true,"https://fumetas.cl/bonglab-atrapacenizas-slits-macho-14mm-90?variant=Rosado","ambas huerfanas"
99.3,31358,Astro Growshop,"Big Blow-Bonglab - azul",66990,true,"https://astrogrowshop.cl/big-blow-k41-bonglab?variant=azul",34377,Fumetas,"Bonglab Bong Pyrex K41 Big Blow 46cm - Azul",66990,true,"https://fumetas.cl/bonglab-bong-pyrex-k41-big-blow-purple-46cm?variant=Azul","ambas huerfanas"
99.1,31306,Astro Growshop,"Classic Ice Pro-Bonglab - Rosa",37990,true,"https://astrogrowshop.cl/classic-ice-pro-k288-bonglab?variant=Rosa",34687,Fumetas,"Bonglab K288 Classic Ice Pro 35cm - Rosado",39990,true,"https://fumetas.cl/bonglab-k288-classic-ice-pro-35cm?variant=Rosado","-> prod 5772 (3t)"
98.9,31714,Astro Growshop,"Prisma Plus -Bonglab - Rosa",34990,false,"https://astrogrowshop.cl/prisma-plus-bonglab?variant=Rosa",33940,Fumetas,"Bonglab Bong Prisma Plus 9cm - Rosado",30990,false,"https://fumetas.cl/bonglab-bong-prisma-plus-9cm?variant=Rosado","-> prod 10465 (2t)"
98.8,31661,Astro Growshop,"Jelly Drop-Bonglab - azul",27990,false,"https://astrogrowshop.cl/jelly-drop-bonglab?variant=azul",33842,Fumetas,"Bonglab Bong Jelly Drop 20cm - Azul",29990,true,"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Azul","ambas huerfanas"
98.7,32900,Astro Growshop,"Soplete X-Mini -Ignite - Rosa",16990,true,"https://astrogrowshop.cl/soplete-x-mini-ignite?variant=Rosa",34268,Fumetas,"Ignite Soplete X-Mini - Rosado",17990,true,"https://fumetas.cl/ignite-soplete-x-mini?variant=Rosado","ambas huerfanas"
98.6,32568,Astro Growshop,"Soplete Monster Pro Doble Llama -Calvo Glass - Morado",32990,true,"https://astrogrowshop.cl/soplete-monster-pro-doble-llama-calvo-glass?variant=Morado",35650,Fumetas,"Special Blue Soplete Monster Pro Doble Llama - Toolbox - Morado",34990,true,"https://fumetas.cl/special-blue-soplete-monster-pro-doble-llama-toolbox?variant=Morado","ambas huerfanas"
98.4,31390,Astro Growshop,"Fat Candy -Bonglab - Celeste Transparente",25990,true,"https://astrogrowshop.cl/fat-candy-25cm-bonglab?variant=Celeste%20Transparente",34504,Fumetas,"BongLab Bong W06 Fat Candy 25cm - Azul",30990,true,"https://fumetas.cl/bonglab-bong-w06-fat-candy-25-cm?variant=Azul","ambas huerfanas"
98.4,31660,Astro Growshop,"Jelly Drop-Bonglab - Esmeralda",29990,false,"https://astrogrowshop.cl/jelly-drop-bonglab?variant=Esmeralda",33843,Fumetas,"Bonglab Bong Jelly Drop 20cm - Turquesa",29990,false,"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Turquesa","ambas huerfanas"
98.4,31386,Astro Growshop,"Fat Candy -Bonglab - azul",28990,false,"https://astrogrowshop.cl/fat-candy-25cm-bonglab?variant=azul",34504,Fumetas,"BongLab Bong W06 Fat Candy 25cm - Azul",30990,true,"https://fumetas.cl/bonglab-bong-w06-fat-candy-25-cm?variant=Azul","ambas huerfanas"
98.1,33038,Astro Growshop,"Soplete Compact -Ignite - Rosa",21990,true,"https://astrogrowshop.cl/soplete-compact-ignite?variant=Rosa",34313,Fumetas,"Soplete Compact Ignite - Rosado",23990,false,"https://fumetas.cl/soplete-compact-ignite?variant=Rosado","ambas huerfanas"
98.1,32125,Astro Growshop,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - TAPA NEGRA",3490,true,"https://astrogrowshop.cl/contenedor-extractos-clear-tapa-4ml-bonglab?variant=TAPA%20NEGRA",34972,Fumetas,"Bonglab Contenedor De Extractos 4ml - Negro",2990,true,"https://fumetas.cl/bonglab-contenedor-de-extractos-4ml?variant=Negro","ambas huerfanas"
98,32567,Astro Growshop,"Soplete Monster Pro Doble Llama -Calvo Glass - azul",32990,true,"https://astrogrowshop.cl/soplete-monster-pro-doble-llama-calvo-glass?variant=azul",35652,Fumetas,"Special Blue Soplete Monster Pro Doble Llama - Toolbox - Azul",34990,true,"https://fumetas.cl/special-blue-soplete-monster-pro-doble-llama-toolbox?variant=Azul","ambas huerfanas"
97.9,32569,Astro Growshop,"Soplete Monster Pro Doble Llama -Calvo Glass - Rojo",32990,true,"https://astrogrowshop.cl/soplete-monster-pro-doble-llama-calvo-glass?variant=Rojo",35651,Fumetas,"Special Blue Soplete Monster Pro Doble Llama - Toolbox - Rojo",34990,true,"https://fumetas.cl/special-blue-soplete-monster-pro-doble-llama-toolbox?variant=Rojo","ambas huerfanas"
