sim,aId,aStore,aTitle,aPrice,aStock,aUrl,bId,bStore,bTitle,bPrice,bStock,bUrl,nota
94.6,300,Piranha,"Papelillo OCB Blanco 1 1/4",790,true,"https://piranha.cl/inicio/1346/papelillo-ocb-blanco-1-14.html",798,Astro Growshop,"Papelillo Blanco Ultrafino N°4 1 1/4",990,true,"https://astrogrowshop.cl/papelillo-blanco-ultrafino-n1-1u-ocb","ambas huerfanas"
94.4,32850,Astro Growshop,"Bolso Ywiwis Antiolor-Ozeta - LOLA",24990,true,"https://astrogrowshop.cl/bolso-ywiwis-antiolor-ozeta?variant=LOLA",36123,Fumetas,"Ozeta Estuches Ywiwis Anti - Olor - Lola",27990,true,"https://fumetas.cl/ozeta-estuches-ywiwis-anti-olor?variant=Lola","-> prod 10697 (2t)"
94.4,31764,Astro Growshop,"Mercurial KH1-Bonglab - KH1",50990,false,"https://astrogrowshop.cl/mercurial-bonglab?variant=KH1",34953,Fumetas,"BongLab Bong KH1 Mercurial 24cm - Gris",47990,true,"https://fumetas.cl/bonglab-bong-kh1-mercurial-24cm?variant=Gris","ambas huerfanas"
94.2,32117,Astro Growshop,"Bolso Chestbag 4X4 Con Clave-Ozeta - Rosa",36990,true,"https://astrogrowshop.cl/bolso-chestbag-4x4-con-clave-ozeta?variant=Rosa",34863,Fumetas,"Ozeta Estuche mediano 2023 - Anti-olor - Rosado",29990,false,"https://fumetas.cl/ozeta-estuche-mediano-2023-anti-olor?variant=Rosado","ambas huerfanas"
94.1,32831,Astro Growshop,"Banano Con Clave-Ozeta - Rosa",36990,true,"https://astrogrowshop.cl/banano-con-clave-ozeta?variant=Rosa",34157,Fumetas,"Ozeta Banano con clave - Anti-olor - Rosado",42990,true,"https://fumetas.cl/ozeta-banano-con-clave-anti-olor?variant=Rosado","ambas huerfanas"
93.9,12298,Astro Growshop,"Contenedor Pyrex 5Ml Circular Black",2990,false,"https://astrogrowshop.cl/contenedor-pyrex-5ml-circular-black",20080,Fumetas,"Contenedor vidrio",2290,false,"https://fumetas.cl/contenedor-vidrio","ambas huerfanas"
93.8,300,Piranha,"Papelillo OCB Blanco 1 1/4",790,true,"https://piranha.cl/inicio/1346/papelillo-ocb-blanco-1-14.html",13126,Fumetas,"OCB Papelillos Blancos 1 1/4",750,true,"https://fumetas.cl/ocb-papelillos-blancos-1-14","ambas huerfanas"
93.7,13298,Fumetas,"Calvo Glass Banger Domo 14mm",9990,false,"https://fumetas.cl/calvo-glass-banger-domo-14mm",17924,Astro Growshop,"Thermal Banger Clear-Bonglab",7990,false,"https://astrogrowshop.cl/thermal-banger-clear-bonglab","ambas huerfanas"
93.4,31296,Astro Growshop,"Bolso 4X4 Con Clave -Ozeta - Rosa",44990,false,"https://astrogrowshop.cl/bolso-4x4-con-clave-ozeta?variant=Rosa",33914,Fumetas,"Ozeta Chestbag 4x4 con clave - Anti-olor - Rosado",42990,true,"https://fumetas.cl/ozeta-4x4-con-clave-anti-olor?variant=Rosado","ambas huerfanas"
93.4,31448,Astro Growshop,"R3 Mini-Bonglab - Verde azulado",27990,true,"https://astrogrowshop.cl/r3-mini-bonglab?variant=Verde%20azulado",33947,Fumetas,"BongLab Bong R3 Mini 10.5cm - Turquesa",21241,true,"https://fumetas.cl/bonglab-bong-r3-mini-105cm?variant=Turquesa","ambas huerfanas"
93.2,32256,Astro Growshop,"Boquilla Herbva 5G-Airistech",5990,true,"https://astrogrowshop.cl/boquilla-herbva-5g-airistech",37320,Fumetas,"Boquillas Vaporizador Nokiva - Regular",5990,true,"https://fumetas.cl/boquilla-herbva-nokiva?variant=Regular","ambas huerfanas"
93.1,12540,Astro Growshop,"Bolso Antiolor Soft Bag Blue - Ozeta",28990,true,"https://astrogrowshop.cl/bolso-antiolor-soft-bag-blue-ozeta",19788,Fumetas,"Ozeta Softbag - Anti Olor",29990,true,"https://fumetas.cl/ozeta-softbag-anti-olor","ambas huerfanas"
93.1,32124,Astro Growshop,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - TAPA BLANCA",3490,true,"https://astrogrowshop.cl/contenedor-extractos-clear-tapa-4ml-bonglab?variant=TAPA%20BLANCA",34971,Fumetas,"Bonglab Contenedor De Extractos 4ml - Blanco",2990,true,"https://fumetas.cl/bonglab-contenedor-de-extractos-4ml?variant=Blanco","ambas huerfanas"
92.9,555,GrowBarato Chile,"Kleaner Spray – Limpiador de Toxinas en Saliva | Growbarato Chile",49500,true,"https://www.growbaratochile.cl/ocultacion/limpiador-bucal-de-saliva.html",1170,Astro Growshop,"Kleaner 30 Ml Detox – Limpiador De Toxinas",44990,true,"https://astrogrowshop.cl/kleaner-30-ml-detox-limpiador-de-toxinas","ambas huerfanas"
92.7,30970,Astro Growshop,"Ceramics Grinder -Galaxy - LIGHT GREEN",32990,true,"https://astrogrowshop.cl/ceramics-grinder-galaxy?variant=LIGHT%20GREEN",33560,Fumetas,"Moledor Galaxy Cerámico 60mm - Menta",31990,true,"https://fumetas.cl/moledor-galaxy-ceramico-60mm?variant=Menta","ambas huerfanas"
92.5,31237,Astro Growshop,"Moledor Contenedor Plastico Portatil - verde",3990,true,"https://astrogrowshop.cl/moledor-contenedor-plastico-portatil?variant=verde",33798,Fumetas,"Squadafum Moledor Pot Grinder 50mm - Menta",5490,false,"https://fumetas.cl/moledor-squadafum-pot-grinder?variant=Menta","ambas huerfanas"
92.5,32150,Astro Growshop,"Soplete Mini Rubber 2.0 -Calvo Glass - Rojo",2990,true,"https://astrogrowshop.cl/soplete-mini-rubber-20-calvo-glass?variant=Rojo",33873,Fumetas,"Special Blue Encendedor Soplete Mini Rubber 2.0 - Rojo",2990,true,"https://fumetas.cl/special-blue-encendedor-soplete-mini-rubber-20?variant=Rojo","ambas huerfanas"
92.5,31190,Astro Growshop,"Moledor 5Cm -Slx - azul",49990,false,"https://astrogrowshop.cl/moledor-5cm-slx?variant=azul",33740,Fumetas,"Moledor SLX 50mm - Azul",43491,false,"https://fumetas.cl/moledor-slx-50mm?variant=Azul","ambas huerfanas"
92.4,19320,Fumetas,"Ozeta Case Cilíndrico Con Clave Anti - Olor",39990,false,"https://fumetas.cl/ozeta-case-cilindrico-con-clave-anti-olor",23565,Astro Growshop,"The Soldier Con Lock 22 Cm Black-Dime Bags",51990,true,"https://astrogrowshop.cl/the-soldier-con-lock-22-cm-black-dime-bags","-> prod 10518 (2t)"
92.4,19776,Fumetas,"Ozeta Bandolera - Anti-olor",40990,true,"https://fumetas.cl/ozeta-bandolera-anti-olor",23929,Astro Growshop,"Don With Lock Smell Proof -Dime Bags",49990,true,"https://astrogrowshop.cl/don-with-lock-smell-proof-dime-bags","ambas huerfanas"
92.3,32954,Astro Growshop,"Don With Lock Smell Proof -Dime Bags - Verde",46990,true,"https://astrogrowshop.cl/don-with-lock-smell-proof-dime-bags?variant=Verde",36762,Fumetas,"Dime Bags Mochila Don Con Clave Anti-Olor - Verde",49990,true,"https://fumetas.cl/dime-bags-mochila-the-don-with-lock?variant=Verde","ambas huerfanas"
92.2,33006,Astro Growshop,"Honey Dry-Bonglab - verde",31990,false,"https://astrogrowshop.cl/honey-dry-bonglab?variant=verde",35578,Fumetas,"Calvo Glass Inline Tree Perc 34cm - Verde",38990,false,"https://fumetas.cl/calvo-glass-inline-tree-perc-34cm?variant=Verde","ambas huerfanas"
