dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
0,"Accesorios de extraccion",683,3,10503,79992,"Vaporizador de Extractos Yocan Pocket | PIRANHA",33095,1,,94990,"VAPORIZADOR YOCAN POCKET - Plata"
0,"Accesorios de extraccion",16068,3,10521,14391,"Vaporizador para Cartridge Yocan Kodo Pro | PIRANHA",32913,1,,14990,"VAPORIZADOR YOCAN KODO PRO - Amarillo"
0,"Accesorios de extraccion",16077,3,10548,9891,"Vaporizador para Cartridge Yocan Flat | PIRANHA",33092,1,,9990,"VAPORIZADOR YOCAN FLAT - Plata"
0,"Conos y blunts",31460,1,,2490,"Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Tutti Fr",34076,2,,1990,"G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Flavor Fies"
0,"Encendedores y sopletes",32494,1,10673,6990,"Clipper Encendedor Metálico Metal Peacock",35862,2,,6990,"Encendedor Clipper Metálico Peacock - Brillante"
0,"Otros parafernalia",710,3,10587,149591,"Traje RAW Spacesuit Black (L/XL) | PIRANHA",37100,2,,197990,"Raw Traje Spacesuite - L"
0,"Otros parafernalia",710,3,10587,149591,"Traje RAW Spacesuit Black (L/XL) | PIRANHA",37101,2,,197990,"Raw Traje Spacesuite - XL"
0,"Vaporizadores herbales",14221,3,10321,269691,"Vaporizador Focus V Carta Sport | PIRANHA",31575,1,,269790,"VAPORIZADOR CARTA SPORT -FOCUS V - Verde azulado"
1,"Bongs",31360,1,,66990,"Big Blow-Bonglab - Negro",34379,2,,66990,"Bonglab Bong Pyrex K41 Big Blow 46cm - Negro"
1,"Bongs",31386,1,,28990,"Fat Candy -Bonglab - azul",34504,2,,30990,"BongLab Bong W06 Fat Candy 25cm - Azul"
1,"Bongs",31670,1,,20990,"Little Buchner-Bonglab - azul",37484,2,,22990,"Bonglab Bong KS10 Little Buchner 25cm - Azul"
1,"Bongs",31701,1,,23990,"Pocket Bell -Bonglab - AMBAR",34421,2,,25990,"BongLab Bong X5 Pocket Bell 17cm - Ámbar"
1,"Contenedores y estuches",12548,1,10236,1990,"Contenedor Diseños Tapa Deslizable Psicodelia -Soulblim",36567,2,,1990,"Soulblime Contenedor tapa deslizable - Diseños - Pizza"
2,"Bongs",31358,1,,66990,"Big Blow-Bonglab - azul",34377,2,,66990,"Bonglab Bong Pyrex K41 Big Blow 46cm - Azul"
2,"Conos y blunts",1982,2,5712,4990,"Blazy Susan Conos Pre-enrolados Shorty 12 uds.",32327,1,,4990,"Conos Pre Roll Shortys Pack 12U-Blazy Susan - Rosa"
2,"Conos y blunts",11217,3,10623,1000,"Hemp Wraps Blunt Soulblime | PIRANHA",36219,2,,1000,"Blunt Soulblime Hemp Wrap x2 - Banana"
2,"Encendedores y sopletes",33040,1,10666,21990,"Soplete Flex -Ignite - Azul",38366,3,,15992,"Encendedor Soplete Ignite Flex | PIRANHA"
2,"Papelillos",492,3,,1891,"Papelillo Blueberry Moon King Size Lion Rolling Circus",20261,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores"
2,"Papelillos",492,3,,1891,"Papelillo Blueberry Moon King Size Lion Rolling Circus",37694,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Blueberry"
2,"Repuestos para bongs y vaporizadores",31291,1,,3990,"Quemador Macho Simple 10 Mm - Bonglab - SMOKEY GRAY",34980,2,,3990,"Bonglab Quemador Simple Macho 10mm - Negro"
3,"Bongs",31671,1,,20990,"Little Buchner-Bonglab - verde",37485,2,,22990,"Bonglab Bong KS10 Little Buchner 25cm - Verde"
3,"Conos y blunts",11216,3,10623,1000,"Hemp Wraps Blunt Soulblime | PIRANHA",36231,2,,1000,"Blunt Soulblime Hemp Wrap x2 - Melón"
3,"Conos y blunts",12889,2,10381,1990,"G-Rollz Blunt Hemp Wrap x4 - Slow Burning",31459,1,,2490,"Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Blueberr"
3,"Conos y blunts",31459,1,,2490,"Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Blueberr",34073,2,,1990,"G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Blueberry B"
3,"Filtros y boquillas",13561,2,10301,9490,"Boquillas Carbón Activo Calvo Black 6mm 50 Uds.",32686,1,,9490,"FILTRO CARBON ACTIVADO 50U-CALVO - Negro"
3,"Papelillos",16011,3,,1891,"Papelillo Sweetie Watermelon King Size Lion Rolling Cir",37695,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Watermelon"
4,"Bongs",31673,1,,20990,"Little Buchner-Bonglab - Ámbar",37486,2,,22990,"Bonglab Bong KS10 Little Buchner 25cm - Ámbar"
4,"Conos y blunts",197,2,5706,3990,"Blazy Susan Conos Pre-enrolados Pink King Size 3 uds.",32186,1,,3990,"Conos Pre Roll King Size Pack 3U-Blazy Susan - Rosa"
4,"Conos y blunts",826,3,5705,2990,"Conos Pre-Enrolados Blazy Susan 1 1/4 6u Pink | PIRANHA",32180,1,,3990,"Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan - ROSADO"
4,"Conos y blunts",3329,3,5706,2990,"Conos Pre-Enrolados Blazy Susan King Size 3u Pink | PIR",32186,1,,3990,"Conos Pre Roll King Size Pack 3U-Blazy Susan - Rosa"
4,"Contenedores y estuches",16062,3,10236,2490,"Caja Soulblime Contenedor Largo | PIRANHA",36556,2,,2490,"Soulblime Contenedor Tapa Desmontable - Diseños - Azul"
4,"Moledores",4924,3,,24493,"Moledor Blazy Susan Aluminio Grado Aeronáutico | PIRANH",31029,1,,32990,"4 Pcs Grinder -Blazy Susan - Negro"
5,"Conos y blunts",518,3,10381,2461,"Blunt Hemp Wrap G-Rollz (4u) | PIRANHA",34074,2,,1990,"G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Tropical Tw"
5,"Otros parafernalia",16176,3,10592,8091,"HighTrip - Cannabis Libre",33418,1,,7990,"Pin-Hightrip - CANNABIS LIBRE"
6,"Accesorios de extraccion",657,2,10648,269990,"Vaporizador Puffco Peak 2024",31839,1,,349990,"New Peak (Color a elección) -Puffco - ONYX"
6,"Conos y blunts",2029,2,10232,29990,"Blazy Susan Conos Pre-enrolados Pink 98mm 50 uds.",32322,1,,29990,"Conos Pre Roll 98Mm Jar 50U-Blazy Susan - Rosa"
6,"Encendedores y sopletes",31478,1,,6990,"Clipper Encendedor Metálico Demon Gradient",34113,2,,6990,"Encendedor Clipper Metálico Demon Gradient - Brillante"
6,"Otros parafernalia",16115,3,10496,8091,"HighTrip - Pipazo",33426,1,,7990,"Pin-Hightrip - PIPAZO"
7,"Bongs",31664,1,,27990,"Jelly Drop-Bonglab - Ámbar",33845,2,,29990,"Bonglab Bong Jelly Drop 20cm - Ámbar"
8,"Contenedores y estuches",31295,1,,37990,"Bolso 4X4 Con Clave -Ozeta - Morado",33912,2,5780,42990,"Ozeta Chestbag 4x4 con clave - Anti-olor - Morado"
8,"Filtros y boquillas",13562,2,10301,9490,"Boquillas Filtro Carbón Activo Calvo Pink 6 mm 50 Uds.",32687,1,,9490,"FILTRO CARBON ACTIVADO 50U-CALVO - Rosa"
8,"Otros parafernalia",19940,2,10496,8091,"Hightrip Pin Pipazo",33426,1,,7990,"Pin-Hightrip - PIPAZO"
8,"Otros parafernalia",20258,2,,8990,"Hightrip Tattoo&#39;s",33423,1,,7990,"Pin-Hightrip - HIGHTRIP TATTOS"
8,"Repuestos para bongs y vaporizadores",12847,2,10256,5391,"Bonglab Quemador Perlas - Macho 14mm",31416,1,,5990,"Quemador Perlas Macho 14Mm - Bonglab - GOLDEN"
8,"Repuestos para bongs y vaporizadores",31416,1,,5990,"Quemador Perlas Macho 14Mm - Bonglab - GOLDEN",33985,2,10256,5391,"Bonglab Quemador Perlas - Macho 14mm - Ambar"
8,"Vaporizadores herbales",14221,3,10321,269691,"Vaporizador Focus V Carta Sport | PIRANHA",31574,1,,269790,"VAPORIZADOR CARTA SPORT -FOCUS V - Morado"
9,"Bongs",26,1,5778,16990,"Tiny Bell -Bonglab",34668,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Transparente"
9,"Bongs",31733,1,,15990,"Tiny Bell -Bonglab - CLEAR",34668,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Transparente"
