dist,kind,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
61,huerfanas,"Otros parafernalia",18128,1,,8990,"Tabaqueras De Tela-Soulblime",37291,2,,8390,"Tabaquera Soulblime de Tela - Diseños - Negro"
62,huerfanas,"Vaporizadores electronicos",32601,1,,11990,"VAPORIZADOR G8000 ZERO -OXBAR - Clear",37429,2,,13990,"Oxbar Vaporizador Desechable G8K Puffs - Strawberry Wat"
63,a-producto,"Accesorios de extraccion",1307,3,5771,29742,"Hemper Isoplex Estación de Dab y Limpieza | PIRANHA",35614,2,,39990,"Hemper Iso-Plex Estacion de Limpieza y Dabs - Negro"
63,a-producto,"Bongs",31742,1,10466,29990,"Tough Beaker -Bonglab - Verde azulado",33963,2,,27990,"Bonglab Bong Tough Beaker 23cm - Rosado"
63,a-producto,"Otros parafernalia",24127,1,,59990,"Wall Mount -Stundenglass",25983,2,10724,73980,"Dr. Greenthumb&#39;s X Stündenglass Wall Mount"
63,a-producto,"Vaporizadores herbales",1425,4,5741,297000,"Crafty Plus Negro Storz & Bikel",16083,3,,257591,"Vaporizador Crafty - STORZ & BICKEL"
64,a-producto,"Repuestos para bongs y vaporizadores",33291,1,,18990,"Bateria Mystica Ace -Airistech - Oro rosa",39374,3,10720,19992,"Batería Mystica Ace - Airistech | PIRANHA"
64,huerfanas,"Vaporizadores electronicos",32601,1,,11990,"VAPORIZADOR G8000 ZERO -OXBAR - Clear",37425,2,,13990,"Oxbar Vaporizador Desechable G8K Puffs - Grape Ice"
65,a-producto,"Encendedores y sopletes",12554,1,10582,43990,"Encendedor Hig Polish Blue Logo - Zippo",19387,2,,44990,"Encendedor Zippo Classic High Polish Purple"
67,a-producto,"Bongs",31741,1,10466,29990,"Tough Beaker -Bonglab - Negro",33963,2,,27990,"Bonglab Bong Tough Beaker 23cm - Rosado"
68,a-producto,"Encendedores y sopletes",12583,1,10661,14990,"Soplete Rubber Mod Orange-Calvo Glass",35963,2,,14990,"Special Blue Soplete Portatil Mod Rubber - Verde"
68,a-producto,"Repuestos para bongs y vaporizadores",33296,1,,16990,"Bateria Mystica Max -Airistech - MOCHANICAL GRENN",39257,3,10681,16641,"Batería Airistech Mystica Max | PIRANHA"
69,a-producto,"Bongs",855,3,5518,65691,"Bong The Trash",33854,2,,59990,"Bonglab Bong The Trash Big Logo 45cm - Negro"
70,a-producto,"Bongs",31739,1,10466,24990,"Tough Beaker -Bonglab - azul",33960,2,,27990,"Bonglab Bong Tough Beaker 23cm - Turquesa"
70,a-producto,"Conos y blunts",11213,3,10623,1000,"Hemp Wraps Blunt Soulblime | PIRANHA",36220,2,,1000,"Blunt Soulblime Hemp Wrap x2 - Cherry"
71,a-producto,"Accesorios de extraccion",33227,1,,31990,"Rolling Tray Acero Inoxidable -Blazy Susan - RAINBOW",37314,2,10445,31990,"Blazy Susan Bandeja Rolling Tray Acero Inoxidable - Oro"
75,a-producto,"Encendedores y sopletes",12583,1,10661,14990,"Soplete Rubber Mod Orange-Calvo Glass",35962,2,,14990,"Special Blue Soplete Portatil Mod Rubber - Rojo"
76,a-producto,"Repuestos para bongs y vaporizadores",33296,1,,16990,"Bateria Mystica Max -Airistech - MOCHANICAL GRENN",38603,3,10681,16641,"Batería Airistech Mystica Max | PIRANHA"
78,a-producto,"Pipas",1341,3,6011,18743,"Pipa Kuban PieceMaker 11cm (Color a elección) | PIRANHA",33598,2,,21990,"PieceMaker Pipa Kuban 11 cm - Oscuro"
80,a-producto,"Pipas",1341,3,6011,18743,"Pipa Kuban PieceMaker 11cm (Color a elección) | PIRANHA",33599,2,,21990,"PieceMaker Pipa Kuban 11 cm - Maduro"
81,a-producto,"Accesorios de extraccion",18581,2,10443,349990,"Puffco Vaporizador Proxy",31770,1,,293990,"Vaporizador Proxy -Puffco - FLOURINSH"
81,a-producto,"Accesorios de extraccion",31770,1,,293990,"Vaporizador Proxy -Puffco - FLOURINSH",34361,2,10443,349990,"Puffco Vaporizador Proxy - Negro"
81,a-producto,"Bongs",31719,1,,24990,"Saucer Rig-Bonglab - Rosa",33957,2,10487,27990,"Bonglab Bong Saucer Rig 13cm - Morado"
81,a-producto,"Papelillos",12375,1,10731,990,"Papelillo Sabor Strawberry 1 1/4 Unidad",37793,2,,1190,"Juicy Jays Papelillos de Sabores 1 1/4 - Watermelon"
81,huerfanas,"Vaporizadores electronicos",32623,1,,24990,"Vaporizador Liso 28000-Oxbar - TROPICAL MINT",39141,3,,18973,"Vaporizador Oxbar Liso P28000 Grape Berries 5% | PIRANH"
82,huerfanas,"Filtros y boquillas",32771,1,,34990,"Filtro Personal Pro II -Sploofy - AQUA",36571,2,,29990,"Sploofy Pro Filtro Personal - Rojo"
82,a-producto,"Papelillos",16009,3,10732,1891,"Papelillo Bloody Strawberry King Size Lion Rolling Circ",20261,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores"
82,a-producto,"Repuestos para bongs y vaporizadores",33288,1,,18990,"Bateria Mystica Ace -Airistech - BLUE PURPLE GRADIENT",39374,3,10720,19992,"Batería Mystica Ace - Airistech | PIRANHA"
82,a-producto,"Repuestos para bongs y vaporizadores",33296,1,,16990,"Bateria Mystica Max -Airistech - MOCHANICAL GRENN",38604,3,10681,16641,"Batería Airistech Mystica Max | PIRANHA"
83,a-producto,"Papelillos",16009,3,10732,1891,"Papelillo Bloody Strawberry King Size Lion Rolling Circ",37696,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Chocolate"
83,huerfanas,"Vaporizadores electronicos",32618,1,,24990,"Vaporizador Liso 28000-Oxbar - GREEN APPLE SOUR",39141,3,,18973,"Vaporizador Oxbar Liso P28000 Grape Berries 5% | PIRANH"
83,huerfanas,"Vaporizadores electronicos",32623,1,,24990,"Vaporizador Liso 28000-Oxbar - TROPICAL MINT",38789,3,,18973,"Vaporizador Oxbar Liso P28000 Blue Razz Ice 5% | PIRANH"
84,a-producto,"Bongs",31739,1,10466,24990,"Tough Beaker -Bonglab - azul",33963,2,,27990,"Bonglab Bong Tough Beaker 23cm - Rosado"
84,a-producto,"Encendedores y sopletes",15926,3,10429,33990,"Encendedor Zippo Orange Matte",19465,2,,32990,"Encendedor Classic Pink Matte Zippo"
85,a-producto,"Conos y blunts",3330,3,5706,2990,"Conos Pre-Enrolados Blazy Susan King Size 3u Unbleached",32187,1,,3990,"Conos Pre Roll King Size Pack 3U-Blazy Susan - UNBLEACH"
85,a-producto,"Encendedores y sopletes",12632,1,,44990,"Sunset Black Light Design-Zippo",12959,2,10427,33990,"Encendedor Zippo Sugar Skull Design"
87,a-producto,"Contenedores y estuches",11168,3,5760,2990,"Contenedor Extracciones Al Vacío Redondo Bonglab Negro",32122,1,,2990,"Contenedor de Pyrex para Extractos 3 cm - Transparente"
87,huerfanas,"Vaporizadores electronicos",32618,1,,24990,"Vaporizador Liso 28000-Oxbar - GREEN APPLE SOUR",38789,3,,18973,"Vaporizador Oxbar Liso P28000 Blue Razz Ice 5% | PIRANH"
88,a-producto,"Accesorios de extraccion",20138,2,10445,31990,"Blazy Susan Bandeja Rolling Tray Acero Inoxidable",33227,1,,31990,"Rolling Tray Acero Inoxidable -Blazy Susan - RAINBOW"
88,a-producto,"Accesorios de extraccion",33227,1,,31990,"Rolling Tray Acero Inoxidable -Blazy Susan - RAINBOW",37313,2,10445,31990,"Blazy Susan Bandeja Rolling Tray Acero Inoxidable - Mor"
88,a-producto,"Encendedores y sopletes",32494,1,10673,6990,"Clipper Encendedor Metálico Metal Peacock",35863,2,,6990,"Encendedor Clipper Metálico Peacock - Opaco"
89,a-producto,"Papelillos",492,3,10732,1891,"Papelillo Blueberry Moon King Size Lion Rolling Circus",37696,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Chocolate"
90,a-producto,"Accesorios de extraccion",18184,1,10494,201990,"Vaporizador Pivot Onyx-Puffco",34365,2,,174990,"Vaporizador Puffco Pivot - Slate"
92,a-producto,"Bandejas y ceniceros",32696,1,5732,29990,"Neon Tray Bandeja Enrolado Led -Bonglab - Verde",36021,2,,29990,"BongLab Bandeja Neon Tray - Iluminadas - Rosado"
92,a-producto,"Moledores",503,3,10349,19992,"Moledor Aluminio G-Rollz 4 Partes 5cm | PIRANHA",4640,2,,23990,"G-Rollz Moledor Banksy Thug For Life 53mm"
92,a-producto,"Repuestos para bongs y vaporizadores",12178,1,,10690,"BOQUILLAS PARA PLENTY 4U-STORZ &amp; BICKEL",15777,3,10358,10990,"Volcano Hybrid Set Boquillas (4u)| PIRANHA"
92,a-producto,"Repuestos para bongs y vaporizadores",18117,1,10629,59990,"HEAVY BOWL BLACK - CAJA ROTA",33893,2,,61990,"BongLab Bong K165 Heavy Bowl 50cm - Turquesa"
93,a-producto,"Contenedores y estuches",742,1,,2990,"Contenedor de Pyrex para Extractos 3 cm",11168,3,5760,2990,"Contenedor Extracciones Al Vacío Redondo Bonglab Negro"
93,a-producto,"Contenedores y estuches",11168,3,5760,2990,"Contenedor Extracciones Al Vacío Redondo Bonglab Negro",32123,1,,3990,"Contenedor de Pyrex para Extractos 3 cm - Negro"
94,a-producto,"Repuestos para bongs y vaporizadores",33292,1,,18990,"Bateria Mystica Ace -Airistech - SILK WHITE",39374,3,10720,19992,"Batería Mystica Ace - Airistech | PIRANHA"
95,a-producto,"Otros parafernalia",25412,2,,64990,"Stündenglass V2 Wall Mount",33407,1,10724,71990,"Wall Mount -Stundenglass - SR GREENTHUMBS"
95,a-producto,"Papelillos",16011,3,10732,1891,"Papelillo Sweetie Watermelon King Size Lion Rolling Cir",37696,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores - Chocolate"
96,a-producto,"Encendedores y sopletes",2584,1,,37990,"Encendedor High Polish Green Logo - Zippo",19916,2,10582,45990,"Encendedor Zippo Classic High Polish Blue"
96,a-producto,"Encendedores y sopletes",12558,1,10276,34990,"Encendedor Royal Blue Matte Logo - Zippo",19465,2,,32990,"Encendedor Classic Pink Matte Zippo"
98,a-producto,"Bongs",13284,2,10487,27990,"Bonglab Bong Saucer Rig 13cm",31719,1,,24990,"Saucer Rig-Bonglab - Rosa"
98,a-producto,"Encendedores y sopletes",17961,1,10482,6490,"Encendedor Metalico Rose Gold",34143,2,,6990,"Encendedor Clipper Metálico Gold - Opaco"
99,a-producto,"Encendedores y sopletes",12553,1,10512,34990,"Encendedor Classic Red Matte Logo - Zippo",19483,2,,36990,"Encendedor Zippo Classic Purple Matte"
99,a-producto,"Vaporizadores herbales",12644,1,,129990,"Vaporizador Miqro Purple-Da Vinci",15741,3,10539,178192,"Vaporizador DaVinci IQC (Color a elección)"
