sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.44,Conos y blunts,soulblime,soulblime,2912,Fumetas,2390,Soulblime 6 Conos Pre-enrolados Orgánicos King Size,https://cdnx.jumpseller.com/fumetas-store/image/54392959/6-Conos-Pre-enrolados-King-Size-Organic-Soulblime.jpg?1728420026,32257,Astro Growshop,2390,Conos King Size Unidad-Soulblime - Blanco,https://cdnx.jumpseller.com/astrogrowshop/image/70215893/imagen_1_24454.webp?1764270726,1.00
0.44,Conos y blunts,soulblime,soulblime,2912,Fumetas,2390,Soulblime 6 Conos Pre-enrolados Orgánicos King Size,https://cdnx.jumpseller.com/fumetas-store/image/54392959/6-Conos-Pre-enrolados-King-Size-Organic-Soulblime.jpg?1728420026,32258,Astro Growshop,2390,Conos King Size Unidad-Soulblime - Rosa,https://cdnx.jumpseller.com/astrogrowshop/image/75999577/imagen_1_24453.webp?1776874552,1.00
0.44,Otros parafernalia,blazy-susan,blazy-susan,13623,Fumetas,6990,Blazy Susan Cotonitos Pink 300 Unidades,https://cdnx.jumpseller.com/fumetas-store/image/49849475/Cotonitos-300-Unidades-Blazy-Susan.jpg?1718664772,15660,Piranha,8990,Cotonitos Blazy Susan 300u (Pink/White) | PIRANHA,https://piranha.cl/18168-thickbox_default/cotonitos-extractos-blazy-susan-300u-pinkwhite.jpg,1.29
0.44,Accesorios de extraccion,calvo,calvo,32373,Astro Growshop,24990,BATERIA 510 ESCONDIDA 650MAH - CALVO GLASS - Verde,https://cdnx.jumpseller.com/astrogrowshop/image/75876440/23035.webp?1776450588,37528,Fumetas,24990,Calvo Batería Hide Cartridge 510 - Verde,https://cdnx.jumpseller.com/fumetas-store/image/63977578/Bateria-Cartridge-Calvo-Hide-Verde.jpg?1748666142,1.00
0.44,Accesorios de extraccion,calvo,calvo,32478,Astro Growshop,11990,Bateria 510 350Mah -Calvo Glass - COSMIC PURPLE,https://cdnx.jumpseller.com/astrogrowshop/image/70927575/imagen_1_28407.webp?1766500905,35850,Fumetas,9561,Calvo Glass Batería Cartridge 510 - Tornasol,https://cdnx.jumpseller.com/fumetas-store/image/51962637/Bateria-para-Cartridge-Calvo-Glass-Tornasol.jpg?1738624006,1.25
0.43,Pipas,american-helix,american-helix,609,Astro Growshop,34990,Pipa Solo Chillium Negro-American Helix,https://cdnx.jumpseller.com/astrogrowshop/image/70601456/imagen_1_26677.webp?1765550135,34941,Fumetas,45891,American Helix Pipa Classic 15cm - Negro,https://cdnx.jumpseller.com/fumetas-store/image/20786104/Helix_Classic_Negra.jpg?1774017617,1.31
0.43,Encendedores y sopletes,zippo,zippo,689,Piranha,41990,Encendedor Zippo High Polish Green Chameleon,https://piranha.cl/14675-thickbox_default/encendedor-zippo-high-polish-green-chameleon.jpg,2038,Fumetas,32990,Encendedor Zippo High Polish Chrome Vintage,https://cdnx.jumpseller.com/fumetas-store/image/20259682/ZP260-Hi-PolishChrome-Vintage.jpg?1635864706,1.27
0.43,Pipas,top-smoke,top-smoke,1146,Astro Growshop,14990,Pipa 4.5&quot; Pyrex Megaton 75- Top Smoke,https://cdnx.jumpseller.com/astrogrowshop/image/70607472/imagen_2_23880.webp?1765562510,15553,Piranha,14990,Pipa Pyrex Top Smoke | PIRANHA,https://piranha.cl/23355-thickbox_default/pipa-top-smoke-premium-pyrex-5-12cm-aprox-diseno-aleatorio.jpg,1.00
0.43,Pipas,top-smoke,top-smoke,1181,Astro Growshop,8990,Pipa Pyrex Venator Max 73- Top Smoke,https://cdnx.jumpseller.com/astrogrowshop/image/70608985/imagen_1_29572.webp?1765565944,1353,Piranha,6990,Pipa Pyrex Top Smoke | PIRANHA,https://piranha.cl/23298-thickbox_default/pipa-top-smoke-premium-pyrex-3-8cm-aprox-diseno-aleatorio.jpg,1.29
0.43,Bongs,calvo,calvo,1528,Fumetas,32181,Calvo Glass Doble Fungus Rig 28 cm,https://cdnx.jumpseller.com/fumetas-store/image/47569842/Calvo_Glass_Bong_Double_Fungus_Rig_Yellow.jpg?1712773844,12608,Astro Growshop,39990,Double Fungus Rig-Calvo Glass,https://cdnx.jumpseller.com/astrogrowshop/image/70330308/imagen_1_22713.webp?1764694996,1.24
