sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.75,Accesorios de extraccion,yocan,yocan,87653,"Friendly Grow",30990,"Vaporizador Para Hierbas Yocan Hit - Azul","https://cdnx.jumpseller.com/friendly-grow/image/69162094/Yocan_Hit_Vaporizer_Sky_Blue.webp?1761748317",31425,"Astro Growshop",65990,"VAPORIZADOR YOCAN HIT 2 - azul","https://cdnx.jumpseller.com/astrogrowshop/image/73159960/VAPORIZADOR_HIT_2_BLUEe.webp?1770739279",2.13
0.50,Accesorios de extraccion,,,3142,"GrowBarato Chile",21000,"Nectar Collector Bong de Silicona con quemador de vidrio","https://www.growbaratochile.cl/5358-large_default/nectar-collector-bong-de-silicona.jpg",87646,"Friendly Grow",9990,"Nectar Collector de Silicona Rayado","https://cdnx.jumpseller.com/friendly-grow/image/74516491/SNC-69.png?1773252590",2.10
0.50,Accesorios de extraccion,,,3142,"GrowBarato Chile",21000,"Nectar Collector Bong de Silicona con quemador de vidrio","https://www.growbaratochile.cl/5358-large_default/nectar-collector-bong-de-silicona.jpg",87509,"Friendly Grow",9900,"Nectar Collector de Silicona Rocket","https://cdnx.jumpseller.com/friendly-grow/image/74447184/6O2A2214.jpg?1773155486",2.12
0.50,Pipas,,,88281,"Friendly Grow",3900,"Pipa de Silicona Monster - Rojo","https://cdnx.jumpseller.com/friendly-grow/image/74447249/5.jpg?1773155662",33157,"Astro Growshop",1990,"Pipa Silicona Guitarra - Rojo","https://cdnx.jumpseller.com/astrogrowshop/image/72176008/nueva-pipa-de-silicona25_20_281_29.webp?1769088484",1.96
0.50,Accesorios de extraccion,,,87501,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Amarillo","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Pipas,,,88470,"Friendly Grow",4990,"Pipa Silicona Kartman","https://cdnx.jumpseller.com/friendly-grow/image/74517979/SP-320.png?1773254495",69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",1.25
0.50,Accesorios de extraccion,,,87500,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Verde","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Accesorios de extraccion,,,87511,"Friendly Grow",7990,"Nectar Collector Hot Dog","https://cdnx.jumpseller.com/friendly-grow/image/74516627/SNC-79.png?1773252768",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Accesorios de extraccion,,,87498,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Azul","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Accesorios de extraccion,,,87499,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Morado","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Accesorios de extraccion,,,87646,"Friendly Grow",9990,"Nectar Collector de Silicona Rayado","https://cdnx.jumpseller.com/friendly-grow/image/74516491/SNC-69.png?1773252590",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.00
0.50,Repuestos para bongs y vaporizadores,,,87849,"Friendly Grow",3900,"Pipa de Silicona Cartoon con Bowl de Pyrex - Negro","https://cdnx.jumpseller.com/friendly-grow/image/74447331/6.jpg?1773155800",35171,"Fumetas",5990,"Quemador Silicona 14 - 18mm Bowl Pyrex - Negro","https://cdnx.jumpseller.com/fumetas-store/image/31069255/Quemador-silicona-14mm-18mm-Black-White.jpg?1674248444",1.54
0.50,Accesorios de extraccion,,,87497,"Friendly Grow",7990,"Nectar Collector Donut 🍩 - Cafe","https://cdnx.jumpseller.com/friendly-grow/image/74516671/SP-124.png?1773252832",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Pipas,,,88463,"Friendly Grow",4990,"Pipa Silicona Clon","https://cdnx.jumpseller.com/friendly-grow/image/74518161/SP-350.png?1773254691",69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",1.25
0.50,Accesorios de extraccion,,,88464,"Friendly Grow",7990,"Nectar Collector Plant Cartoon","https://cdnx.jumpseller.com/friendly-grow/image/74516548/SNC-77.png?1773252661",72449,"Fumetas",19990,"Nectar Collector","https://cdnx.jumpseller.com/fumetas-store/image/48218639/Nectar-Collector.jpg?1714888750",2.50
0.50,Pipas,,,88465,"Friendly Grow",5990,"Pipa Silicona Cyclope","https://cdnx.jumpseller.com/friendly-grow/image/74517858/SP-290.png?1773254322",69073,"Kushbreak",3990,"Contenedor silicona","https://cdnx.jumpseller.com/kushbreak-growshop/image/12732310/Contenedor_silicona_extraccion_rosin_cannabis.png?1679515248",1.50
