sim,category,brandKeyA,brandKeyB,idA,storeA,priceA,titleA,imgA,idB,storeB,priceB,titleB,imgB,priceRatio
0.67,Encendedores y sopletes,zippo,zippo,689,"Piranha",41990,"Encendedor Zippo High Polish Green Chameleon","https://piranha.cl/14675-thickbox_default/encendedor-zippo-high-polish-green-chameleon.jpg",2584,"Astro Growshop",37990,"Encendedor High Polish Green Logo - Zippo","https://cdnx.jumpseller.com/astrogrowshop/image/70179738/imagen_1_polish.webp?1764188018",1.11
0.67,Accesorios de extraccion,calvo,calvo,2150,"Fumetas",8990,"Banger Calvo Flat Bucket 90° - Macho 10mm","https://cdnx.jumpseller.com/fumetas-store/image/65279593/Flat-Bucket-Banger-Calvo-90-Macho-10mm.jpg?1752204894",32871,"Astro Growshop",7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 45° 10MM","https://cdnx.jumpseller.com/astrogrowshop/image/70326123/imagen_1_24154.webp?1764686079",1.13
0.67,Accesorios de extraccion,calvo,calvo,2150,"Fumetas",8990,"Banger Calvo Flat Bucket 90° - Macho 10mm","https://cdnx.jumpseller.com/fumetas-store/image/65279593/Flat-Bucket-Banger-Calvo-90-Macho-10mm.jpg?1752204894",32872,"Astro Growshop",7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 45° 14Mm","https://cdnx.jumpseller.com/astrogrowshop/image/70326123/imagen_1_24154.webp?1764686079",1.13
0.67,Accesorios de extraccion,calvo,calvo,2150,"Fumetas",8990,"Banger Calvo Flat Bucket 90° - Macho 10mm","https://cdnx.jumpseller.com/fumetas-store/image/65279593/Flat-Bucket-Banger-Calvo-90-Macho-10mm.jpg?1752204894",32873,"Astro Growshop",7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 90° 10MM","https://cdnx.jumpseller.com/astrogrowshop/image/74869406/imagen_1_24153.webp?1773937930",1.13
0.67,Accesorios de extraccion,calvo,calvo,2150,"Fumetas",8990,"Banger Calvo Flat Bucket 90° - Macho 10mm","https://cdnx.jumpseller.com/fumetas-store/image/65279593/Flat-Bucket-Banger-Calvo-90-Macho-10mm.jpg?1752204894",32874,"Astro Growshop",7990,"Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 90° 14MM","https://cdnx.jumpseller.com/astrogrowshop/image/74869407/imagen_1_24151.webp?1773937930",1.13
0.67,Papelillos,vibes,vibes,2303,"GrowBarato Chile",1500,"Papelillos Vibes King Size Slim","https://www.growbaratochile.cl/6549-large_default/papelillos-vibes-king-size-slim.jpg",12203,"Astro Growshop",1290,"Papelillos Hemp King Size Slim Unidad-Vibes","https://cdnx.jumpseller.com/astrogrowshop/image/70177250/imagen_1_28960.webp?1764185317",1.16
0.67,Papelillos,vibes,vibes,2303,"GrowBarato Chile",1500,"Papelillos Vibes King Size Slim","https://www.growbaratochile.cl/6549-large_default/papelillos-vibes-king-size-slim.jpg",12204,"Astro Growshop",1290,"Papelillos Rice King Size Slim Unidad-Vibes","https://cdnx.jumpseller.com/astrogrowshop/image/70178388/imagen_1_28962.webp?1764186724",1.16
0.67,Encendedores y sopletes,zippo,zippo,12330,"Astro Growshop",59990,"Sugar Skull 2-Zippo","https://cdnx.jumpseller.com/astrogrowshop/image/70212214/imagen_1_22482.webp?1764264438",19910,"Fumetas",36990,"Encendedor Zippo Skull","https://cdnx.jumpseller.com/fumetas-store/image/34401409/Encendedor-Zippo-Skull.webp?1682296235",1.62
0.67,Encendedores y sopletes,zippo,zippo,12632,"Astro Growshop",44990,"Sunset Black Light Design-Zippo","https://cdnx.jumpseller.com/astrogrowshop/image/70179820/imagen_1_21523.webp?1764188083",19386,"Fumetas",36990,"Encendedor Zippo Black Light Eye Design","https://cdnx.jumpseller.com/fumetas-store/image/34401552/Encendedor-Zippo-Black-Light-Eye-Design.webp?1682296843",1.22
0.67,Encendedores y sopletes,zippo,zippo,12675,"Astro Growshop",44990,"Comic Zippo Design-Zippo","https://cdnx.jumpseller.com/astrogrowshop/image/70179605/imagen_4_21929.webp?1764187949",19913,"Fumetas",38990,"Encendedor Zippo Design","https://cdnx.jumpseller.com/fumetas-store/image/34397589/Encendedor-Zippo-Design.webp?1682272958",1.15
0.67,Limpieza,bonglab,bonglab,12824,"Fumetas",17990,"Bonglab Limpiador Glass Cleaner 1000 ml","https://cdnx.jumpseller.com/fumetas-store/image/68981911/Bonglab-Glass-Cleaner-1000.jpg?1761241121",31595,"Astro Growshop",15990,"Glass Cleaner Limpiador-Bonglab - 1 L","https://cdnx.jumpseller.com/astrogrowshop/image/75999712/imagen_1_12453.webp?1776874632",1.13
0.67,Repuestos para bongs y vaporizadores,bonglab,bonglab,12842,"Fumetas",6990,"Bonglab Quemador - Hembra 14mm 2.0","https://cdnx.jumpseller.com/fumetas-store/image/26643497/quemador-hembra-14mm-bonglab.jpg?1661575751",31400,"Astro Growshop",4990,"Quemador Hembra 14Mm -Bonglab - MILK GREEN","https://cdnx.jumpseller.com/astrogrowshop/image/74869487/imagen_1_26374.webp?1773937973",1.40
0.67,Repuestos para bongs y vaporizadores,bonglab,bonglab,12843,"Fumetas",4990,"Bonglab Quemador Hembra 14mm Clear","https://cdnx.jumpseller.com/fumetas-store/image/17581472/bonglab-quemador-clear-hembra-18-mm.jpg?1632505801",31399,"Astro Growshop",4990,"Quemador Hembra 14Mm -Bonglab - Negro","https://cdnx.jumpseller.com/astrogrowshop/image/70329097/imagen_1_26371.webp?1764692049",1.00
0.67,Repuestos para bongs y vaporizadores,bonglab,bonglab,12843,"Fumetas",4990,"Bonglab Quemador Hembra 14mm Clear","https://cdnx.jumpseller.com/fumetas-store/image/17581472/bonglab-quemador-clear-hembra-18-mm.jpg?1632505801",31401,"Astro Growshop",4990,"Quemador Hembra 14Mm -Bonglab - Morado","https://cdnx.jumpseller.com/astrogrowshop/image/74869488/imagen_1_26372.webp?1773937973",1.00
0.67,Repuestos para bongs y vaporizadores,bonglab,bonglab,12843,"Fumetas",4990,"Bonglab Quemador Hembra 14mm Clear","https://cdnx.jumpseller.com/fumetas-store/image/17581472/bonglab-quemador-clear-hembra-18-mm.jpg?1632505801",31402,"Astro Growshop",6990,"Quemador Hembra 14Mm -Bonglab - Rosa","https://cdnx.jumpseller.com/astrogrowshop/image/74869489/imagen_1_26373.webp?1773937973",1.40
0.67,Repuestos para bongs y vaporizadores,bonglab,bonglab,12843,"Fumetas",4990,"Bonglab Quemador Hembra 14mm Clear","https://cdnx.jumpseller.com/fumetas-store/image/17581472/bonglab-quemador-clear-hembra-18-mm.jpg?1632505801",31407,"Astro Growshop",3990,"Quemador Macho 14Mm -Bonglab - CLEAR","https://cdnx.jumpseller.com/astrogrowshop/image/75392320/imagen_1_14600.webp?1774966171",1.25
0.67,Filtros y boquillas,hemper,hemper,15936,"Piranha",4931,"Hemper Quick Tips Arándano | PIRANHA","https://piranha.cl/20363-thickbox_default/hemper-quick-tips-desechable-arandano-5u.jpg",37187,"Fumetas",5190,"Hemper Quick Tips - Boquillas Con Sabor - Arándano","https://cdnx.jumpseller.com/fumetas-store/image/57816258/hemper-quick-tips-arandano1.jpg?1732979898",1.05
0.67,Filtros y boquillas,hemper,hemper,15937,"Piranha",4931,"Hemper Quick Tips Sandía | PIRANHA","https://piranha.cl/20368-thickbox_default/hemper-quick-tips-desechable-sandia-5u.jpg",37186,"Fumetas",5190,"Hemper Quick Tips - Boquillas Con Sabor - Sandia","https://cdnx.jumpseller.com/fumetas-store/image/57816251/hemper-quick-tips-sandia1.webp?1732979898",1.05
0.67,Filtros y boquillas,hemper,hemper,15938,"Piranha",4931,"Hemper Quick Tips Menta | PIRANHA","https://piranha.cl/20371-thickbox_default/hemper-quick-tips-desechable-menta-5u.jpg",37188,"Fumetas",5190,"Hemper Quick Tips - Boquillas Con Sabor - Menta","https://cdnx.jumpseller.com/fumetas-store/image/57816247/hemper-quick-tips-menta1.webp?1732979898",1.05
0.67,Filtros y boquillas,hemper,hemper,15939,"Piranha",4931,"Hemper Quick Tips Mango | PIRANHA","https://piranha.cl/20375-thickbox_default/hemper-quick-tips-desechable-mango-5u.jpg",37185,"Fumetas",5190,"Hemper Quick Tips - Boquillas Con Sabor - Mango","https://cdnx.jumpseller.com/fumetas-store/image/57816244/hemper-quick-tips-mango1.webp?1732979898",1.05
0.67,Filtros y boquillas,hemper,hemper,15940,"Piranha",4671,"Hemper Quick Tips Banana | PIRANHA","https://piranha.cl/20379-thickbox_default/hemper-quick-tips-desechable-banana-5u.jpg",37184,"Fumetas",5190,"Hemper Quick Tips - Boquillas Con Sabor - Banana","https://cdnx.jumpseller.com/fumetas-store/image/57816257/Hemper-quick-tips-banana1.jpg?1732979898",1.11
0.67,Accesorios de extraccion,puffco,puffco,16168,"Piranha",149993,"Accesorio New Proxy Wizard - Puffco","https://piranha.cl/23151-thickbox_default/accesorio-puffco-new-proxy-wizard-color-a-eleccion.jpg",18153,"Astro Growshop",159990,"Accesorio Extractos New Proxy Wizard Haze-Puffco","https://cdnx.jumpseller.com/astrogrowshop/image/71343682/imagen_1_24069.webp?1767364702",1.07
0.67,Otros parafernalia,hightrip,hightrip,16193,"Piranha",8091,"HighTrip - Joint","https://piranha.cl/13716-thickbox_default/pin-joint.jpg",33424,"Astro Growshop",7990,"Pin-Hightrip - JOINT","https://cdnx.jumpseller.com/astrogrowshop/image/75999493/imagen_1_18975.webp?1776874465",1.01
