offerId,store,title,top1_productId,top1_modelSlug,top1_stores,top1_sim,top1_brandKey,top1_tienda_ya_presente,top1_title,top2_productId,top2_modelSlug,top2_stores,top2_sim,top2_tienda_ya_presente,top3_productId,top3_modelSlug,top3_stores,top3_sim,top3_tienda_ya_presente
147,growbarato,"Porta Pitos - Galaxy【guarda caños】en Growbarato Chile",10390,porta-cano-black,2,0.333,galaxy,no,"Porta Caños Black - Galaxy",10764,spray-detox-30ml,3,0.214,kleaner,si,"Kleaner Spray – Limpiador de Toxinas en Saliva | G",5502,new-pro-model,4,0.200,galaxy,si,"Galaxy Moledor New Pro Model 63mm | Moledor Metáli"
154,growbarato,"Soplete Pequeño | Encendedor de gas recargable portátil",10874,torch-pequeno,2,0.250,ronson,no,"Encendedor Torch Soplete",5727,torch-lighter-zl-12,3,0.222,zengaz,si,"Zengaz Encendedor Soplete Space 2",5727,torch-lighter-zl-12,3,0.200,zengaz,si,"Encendedor Zengaz Jet Flame recargable"
490,piranha,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,1.000,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10202,pocket,3,0.667,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA",5489,pocket-travel,3,0.571,top-smoke,si,"Pipa Top Smoke Pocket Travel | PIRANHA"
607,astrogrowshop,"Glove Vaporizador Miqro Black-Da Vinc",8651,miqro-c,4,0.286,davinci,si,"Vaporizador Miqro C -Da Vinci",8651,miqro-c,4,0.286,davinci,si,"Vaporizador DaVinci Miqro C - Herbal",10541,roam,2,0.167,g-pen,no,"Vaporizador Roam"
820,astrogrowshop,"MALLA PARA EXTRACTOS DE CÁPSULA MONODOSIS 4U-STORZ &amp; BIC",10265,mouthpiece-venty-4u,3,0.364,storz-bickel,si,"BOQUILLAS PARA VENTY 4U-STORZ &amp; BICKEL",10264,mouthpiece-crafty-4u,3,0.333,storz-bickel,si,"Boquilla Para Mighty/ Crafty 4Ud-Storz &amp; Bicke",10358,volcano-hybrid-boquillas-4u,2,0.333,storz-bickel,si,"BOQUILLAS PARA VOLCANO HYBRID 4U-STORZ &amp; BICKE"
1181,astrogrowshop,"Pipa Pyrex Venator Max 73- Top Smoke",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.444,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.333,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
1229,fumetas,"Papelillos Gizeh Pure Cañamo Orgánico 1 1/4",5463,organic,5,0.571,ocb,si,"Papelillos OCB Cañamo orgánico 1 1/4",5471,organic-con-tips,3,0.500,ocb,si,"Papelillos OCB Cañamo Orgánico 1 1/4 + Tips",5463,organic,5,0.429,ocb,si,"Papelillos OCB® Cáñamo orgánico"
1317,piranha,"Hitter Oro 22K Manchas",10523,hitter,2,0.167,ozeta,si,"Hitter OZeta | PIRANHA",10523,hitter,2,0.143,ozeta,si,"Hitter OZeta de vidrio",6776,hitter,2,0.143,cabo,no,"Cabo Heavy Hitter 12mm"
1353,piranha,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,1.000,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10202,pocket,3,0.667,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA",5489,pocket-travel,3,0.571,top-smoke,si,"Pipa Top Smoke Pocket Travel | PIRANHA"
1426,growbarato,"Encendedor Ronson Electrolite【recargable】",5727,torch-lighter-zl-12,3,0.286,zengaz,si,"Encendedor Zengaz Jet Flame recargable",10307,onis-1,2,0.222,clipper,no,"Encendedor Clipper Recargable Onis 1 – Diseño Surt",10581,z-bunnys,2,0.222,clipper,no,"Encendedor Clipper Recargable Z-Bunnys – Diseño Su"
2001,fumetas,"Bonglab Banger Cuarzo 45° - Macho 10mm",10119,banger-simple-macho-90-14mm,4,0.714,bonglab,si,"Bonglab Banger Cuarzo 90° - Macho 10mm",5768,banger-simple-macho-45-14mm,4,0.714,bonglab,si,"BongLab Banger Cuarzo 45° - Macho 14mm",10119,banger-simple-macho-90-14mm,4,0.571,bonglab,si,"BongLab Banger Cuarzo Macho 14mm"
2139,fumetas,"Papelillos Vibes Ultra Finos 1 1/4",10875,hemp-1-1-4,2,0.500,vibes,si,"Papelillos Vibes Cañamo 1 1/4",10685,rice-king-size-slim,2,0.333,vibes,no,"Papelillos Vibes King Size Slim",10859,rice-1-1-4,2,0.333,elements,si,"Papelillos Elements® 1 1/4"
2291,growbarato,"Papelillos Vibes 1.¼ Organic Hemp",10868,organic-hemp-1-1-4,2,0.429,raw,no,"Papelillos Organic Hemp 1 1/4 RAW®",5465,black-organic-hemp,3,0.375,raw,no,"Papelillos RAW Black Organic Hemp 1 1/4",10685,rice-king-size-slim,2,0.333,vibes,si,"Papelillos Vibes King Size Slim"
2594,astrogrowshop,"Encendedor High Polish Rose-Zippo",10737,classic-high-polish-green,2,0.429,zippo,si,"Encendedor Zippo High Polish Green Chameleon",5730,lighter-high-polish-teal,2,0.429,zippo,no,"Encendedor Zippo High Polish Teal Logo",10582,classic-high-polish-blue,2,0.429,zippo,si,"Encendedor Zippo Classic High Polish Blue"
2705,astrogrowshop,"Pipa Pyrex Dominionx 96- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
2719,astrogrowshop,"Pipa Pyrex Hellstorm 112- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
2734,astrogrowshop,"Pipa Pyrex Neonix 65- Top Smoke",10357,pyrex-havocrush,2,0.571,top-smoke,si,"Pipa Pyrex Top Smoke | PIRANHA",10357,pyrex-havocrush,2,0.500,top-smoke,si,"Pipa Pyrex Havocrush 59- Top Smoke",10202,pocket,3,0.375,top-smoke,si,"Pipa Top Smoke Pocket | PIRANHA"
3212,growbarato,"Pipas de Pirex Pequeñas | Pipas de Vidrio Resistentes en Chi",10764,spray-detox-30ml,3,0.214,kleaner,si,"Kleaner Spray – Limpiador de Toxinas en Saliva | G",10523,hitter,2,0.200,ozeta,si,"Hitter OZeta de vidrio",10227,rick-morty,3,0.200,calvo,si,"Bong Rick & Morty 22 cm CalvoGlass | Bong de Vidri"
