id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5833,Filtros Extra Long Gizeh XL Slim 6mm,Filtros y boquillas,Gizeh,gizeh,paper-filter-slim-6mm,paper-filter-slim-6mm,/productos/gizeh/paper-filter-slim-6mm,3,1,Fumetas,1090,1190,9,Fumetas,Fumetas,true,true,2026-05-08T22:05:32.695Z,Filtros Extra Long Gizeh XL Slim 6mm | Filtros Super Long Gizeh XXL Slim 6mm | Filtros Gizeh Pure Slim XL 6mm
5827,G-Rollz Cenicero Banksy Graffiti 2,Bandejas y ceniceros,G-Rollz,g-rollz,ashtray-banksy,ashtray-banksy,/productos/g-rollz/ashtray-banksy,1,1,Fumetas,2775,2775,0,Fumetas,Fumetas,true,true,2026-05-08T22:05:28.096Z,G-Rollz Cenicero Banksy Graffiti 2
5801,Limpiador de bong Fórmula Secreta 420 250mL,Limpieza,FORMULA SECRETA,formula-secreta,cleaner-bong-pipe-420-250ml,cleaner-bong-pipe-420-250ml,/productos/formula-secreta/cleaner-bong-pipe-420-250ml,1,1,Piranha,2994,2994,0,Piranha,Piranha,true,true,2026-05-08T22:07:53.925Z,Limpiador de bong Fórmula Secreta 420 250mL
5839,Máquina Enroladora RAW 1 1/4 Negra Ajustable,Otros parafernalia,RAW,raw,rolling-machine-ajustable-1-1-4,rolling-machine-ajustable-1-1-4,/productos/raw/rolling-machine-ajustable-1-1-4,1,1,Piranha,3290,3290,0,Piranha,Piranha,true,true,2026-05-09T06:31:36.212Z,Máquina Enroladora RAW 1 1/4 Negra Ajustable
5838,Maquina Enroladora Raw 2-Way 1 1/4,Otros parafernalia,Raw,raw,rolling-machine-1-1-4,rolling-machine-1-1-4,/productos/raw/rolling-machine-1-1-4,1,1,Fumetas,3290,3290,0,Fumetas,Fumetas,true,true,2026-05-09T06:26:06.789Z,Maquina Enroladora Raw 2-Way 1 1/4
5836,Limpiador de resina para manos de Mi - GB The Green Brand,Limpieza,,gb-the-green-brand,cleaner-hands,cleaner-hands,/productos/gb-the-green-brand/cleaner-hands,1,1,GrowBarato Chile,3500,3500,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-16T21:41:12.983Z,Limpiador de resina para manos de Mi - GB The Green Brand
5841,Raw Enrolador King Size - GB The Green Brand,Otros parafernalia,RAW,raw,rolling-machine,rolling-machine,/productos/raw/rolling-machine,1,1,GrowBarato Chile,3600,3600,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:35:58.963Z,Raw Enrolador King Size - GB The Green Brand
5840,Máquina enroladora RAW King Size Slim ecoplastic,Otros parafernalia,RAW,raw,rolling-machine-ecoplastic,rolling-machine-ecoplastic,/productos/raw/rolling-machine-ecoplastic,1,1,Fumetas,3790,3790,0,Fumetas,Fumetas,true,true,2026-05-09T05:56:09.989Z,Máquina enroladora RAW King Size Slim ecoplastic
5837,Super Dab Cleaner de Thievery limpieza bongs,Limpieza,,thievery,cleaner-bong-pipe-super,cleaner-bong-pipe-super,/productos/thievery/cleaner-bong-pipe-super,1,1,GrowBarato Chile,4800,4800,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-16T21:41:13.052Z,Super Dab Cleaner de Thievery limpieza bongs
5803,LIMPIADOR DE VAPO 250ML FORMULA SECRETA,Limpieza,ASTRO,formula-secreta,cleaner-vaporizer-250ml,cleaner-vaporizer-250ml,/productos/formula-secreta/cleaner-vaporizer-250ml,1,1,Astro Growshop,4890,4890,0,Astro Growshop,Astro Growshop,true,true,2026-05-08T21:48:00.356Z,LIMPIADOR DE VAPO 250ML FORMULA SECRETA
5835,Limpiador Bifásico para Bongs y Pipas Mi - GB The Green Brand,Limpieza,,gb-the-green-brand,cleaner-bong-pipe-bifasico,cleaner-bong-pipe-bifasico,/productos/gb-the-green-brand/cleaner-bong-pipe-bifasico,1,1,GrowBarato Chile,4900,4900,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-16T21:41:13.477Z,Limpiador Bifásico para Bongs y Pipas Mi - GB The Green Brand
5802,Limpiador De Resina 250Ml Formula Secreta 710,Limpieza,FORMULA 420,formula-secreta,cleaner-resin-420-250ml,cleaner-resin-420-250ml,/productos/formula-secreta/cleaner-resin-420-250ml,1,1,Astro Growshop,4990,4990,0,Astro Growshop,Astro Growshop,true,true,2026-05-08T21:47:46.551Z,Limpiador De Resina 250Ml Formula Secreta 710
5824,Banger Cuarzo Simple 90 Grados -Bonglab,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-90,banger-simple-90,/productos/bonglab/banger-simple-90,1,1,Astro Growshop,6990,6990,0,Astro Growshop,Astro Growshop,true,true,2026-05-09T06:21:44.874Z,Banger Cuarzo Simple 90 Grados -Bonglab
5822,Banger Cuarzo Simple 45 Grados -Bonglab,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-45,banger-simple-45,/productos/bonglab/banger-simple-45,1,1,Astro Growshop,7990,7990,0,Astro Growshop,Astro Growshop,true,true,2026-05-09T06:21:43.397Z,Banger Cuarzo Simple 45 Grados -Bonglab
5821,Banger Cuarzo Bonglab Simple 45° (14mm/10mm) | PIRANHA,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-45-10mm-14mm,banger-simple-45-10mm-14mm,/productos/bonglab/banger-simple-45-10mm-14mm,1,1,Piranha,8990,8990,0,Piranha,Piranha,true,true,2026-05-09T06:31:42.787Z,Banger Cuarzo Bonglab Simple 45° (14mm/10mm) | PIRANHA
5823,Banger Cuarzo Bonglab Simple 90° (14mm/10mm) | PIRANHA,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-90-10mm-14mm,banger-simple-90-10mm-14mm,/productos/bonglab/banger-simple-90-10mm-14mm,1,1,Piranha,8990,8990,0,Piranha,Piranha,true,true,2026-05-09T06:31:42.309Z,Banger Cuarzo Bonglab Simple 90° (14mm/10mm) | PIRANHA
5834,Boquillas Gizeh Carbón Activo 6mm 34u.,Filtros y boquillas,Gizeh,gizeh,carbon-6mm-34u,carbon-6mm-34u,/productos/gizeh/carbon-6mm-34u,2,1,Fumetas,8990,9590,7,Fumetas,Fumetas,true,true,2026-05-09T05:58:59.856Z,Boquillas Gizeh Carbón Activo 6mm 34u. | Boquillas Gizeh Pink Carbón Activo 6mm 34u.
5832,Boquilla Gizeh Carbon Activado Procell Prism 6 mm,Filtros y boquillas,Gizeh,gizeh,carbon-procell-6mm,carbon-procell-6mm,/productos/gizeh/carbon-procell-6mm,3,1,Fumetas,8990,8990,0,Fumetas,Fumetas,true,true,2026-05-09T05:58:27.250Z,Boquillas Gizeh Carbon Activado Procell Black 6 mm | Boquillas Gizeh Carbon Activado Procell Green 6 mm | Boquilla Gizeh Carbon Activado Procell Prism 6 mm
5807,Mr Pipe Cleaner 500 ML,Limpieza,Mr Pipe Cleaner,mr-pipe-cleaner,cleaner-pipe-500ml,cleaner-pipe-500ml,/productos/mr-pipe-cleaner/cleaner-pipe-500ml,1,1,Fumetas,9990,9990,0,Fumetas,Fumetas,true,true,2026-05-08T22:07:19.938Z,Mr Pipe Cleaner 500 ML
5829,Galaxy Stardust cenicero de metal,Bandejas y ceniceros,GALAXY,galaxy,ashtray-stardust-metal,ashtray-stardust-metal,/productos/galaxy/ashtray-stardust-metal,1,1,GrowBarato Chile,11700,11700,0,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-09T06:06:14.113Z,Galaxy Stardust cenicero de metal
5819,Pulsar Nectar Dab Straw Full Color 25 cm,Accesorios de extraccion,Pulsar,pulsar,nectar-collector-straw-25cm,nectar-collector-straw-25cm,/productos/pulsar/nectar-collector-straw-25cm,2,1,Fumetas,11990,19990,67,Fumetas,Fumetas,true,true,2026-05-13T20:26:26.367Z,Pulsar Nectar Dab Straw Full Color 25 cm | Pulsar Nectar Quartz Dab Straw 25 cm
5843,Recarga Vaporizador Svopp Oxbar Grape Ice P25000 | PIRANHA,Vaporizadores electronicos,,oxbar,disposable-oxbar-p25000,disposable-oxbar-p25000,/productos/oxbar/disposable-oxbar-p25000,1,1,Piranha,11993,11993,0,Piranha,Piranha,true,true,2026-05-16T21:38:10.902Z,Recarga Vaporizador Svopp Oxbar Grape Ice P25000 | PIRANHA
5844,Vaporizador Oxbar Liso P28000 Blue Razz Ice 5% | PIRANHA,Vaporizadores electronicos,,oxbar,disposable-oxbar-p28000,disposable-oxbar-p28000,/productos/oxbar/disposable-oxbar-p28000,1,1,Piranha,16244,16244,0,Piranha,Piranha,true,true,2026-05-16T21:38:10.884Z,Vaporizador Oxbar Liso P28000 Blue Razz Ice 5% | PIRANHA
5812,Vaper Airis Neo P8000 - Strawberry Cream | PIRANHA,Vaporizadores electronicos,AIRIS,airis,disposable-neo-p8000-strawberry-cream,disposable-neo-p8000-strawberry-cream,/productos/airis/disposable-neo-p8000-strawberry-cream,1,1,Piranha,16244,16244,0,Piranha,Piranha,true,true,2026-05-14T13:55:30.454Z,Vaper Airis Neo P8000 - Strawberry Cream | PIRANHA
5806,Mr Pipe Cleaner 1 Litro,Limpieza,Mr Pipe Cleaner,mr-pipe-cleaner,cleaner-pipe-1l,cleaner-pipe-1l,/productos/mr-pipe-cleaner/cleaner-pipe-1l,1,1,Fumetas,16990,16990,0,Fumetas,Fumetas,true,true,2026-05-08T22:07:19.915Z,Mr Pipe Cleaner 1 Litro
5825,Futurola x Mike Tyson Bandeja Metálica Grande,Bandejas y ceniceros,Futurola,futurola,tray-mike-tyson-metal-large,mike-tyson-metal-large,/productos/futurola/mike-tyson-metal-large,1,1,Fumetas,26290,26290,0,Fumetas,Fumetas,true,true,2026-05-08T22:05:16.451Z,Futurola x Mike Tyson Bandeja Metálica Grande
5830,Zengaz Encendedor Soplete ZL-19 Abstract Art,Encendedores y sopletes,Zengaz,zengaz,torch-lighter-zl-19,torch-lighter-zl-19,/productos/zengaz/torch-lighter-zl-19,5,1,Fumetas,4341,4341,0,Fumetas,Fumetas,false,true,2026-05-08T23:15:34.813Z,Zengaz Encendedor Soplete ZL-19 Abstract Art | Zengaz Encendedor Soplete ZL-19 Abducted Dinosaur | Zengaz Encendedor Soplete ZL-19 Pizza Planet | Zengaz Encendedor Soplete ZL-19 Psycodelic Eye | Zengaz Encendedor Soplete ZL-19 Rainbow Line
5828,G-Rollz Bandeja Pequeña Pets Rap 2,Bandejas y ceniceros,G-Rollz,g-rollz,tray-pets-rap-small,pets-rap-small,/productos/g-rollz/pets-rap-small,1,1,Fumetas,7590,7590,0,Fumetas,Fumetas,false,true,2026-05-08T23:15:32.690Z,G-Rollz Bandeja Pequeña Pets Rap 2
5811,Vaporizador Airis Neo P8000 Black Ice 5%-Airistech,Vaporizadores electronicos,AIRISTECH,airis,disposable-neo-p8000-black-ice,disposable-neo-p8000-black-ice,/productos/airis/disposable-neo-p8000-black-ice,1,1,Astro Growshop,16190,16190,0,Astro Growshop,Astro Growshop,false,true,2026-05-14T13:54:01.366Z,Vaporizador Airis Neo P8000 Black Ice 5%-Airistech
5826,Futurola x Mike Tyson Bandeja Metálica Mediana,Bandejas y ceniceros,Futurola,futurola,tray-mike-tyson-metal-medium,mike-tyson-metal-medium,/productos/futurola/mike-tyson-metal-medium,1,1,Fumetas,18590,18590,0,Fumetas,Fumetas,false,true,2026-05-08T22:05:04.693Z,Futurola x Mike Tyson Bandeja Metálica Mediana
