avgSpreadPct,category,fullCoverageProducts,highSpreadProducts,linkedOffers,maxSpreadPct,offers,products,twoStoreProducts,visibleOffers,linkedPct
34,Accesorios de extraccion,1,0,12,42,61,4,1,12,20
24,Bandejas y ceniceros,0,0,11,60,51,5,4,11,22
21,Bongs,7,0,81,69,169,30,17,81,48
22,Conos y blunts,0,0,27,61,75,12,11,27,36
18,Contenedores y estuches,0,0,30,54,85,12,7,30,35
19,Encendedores y sopletes,1,0,64,61,100,8,5,64,64
49,Filtros y boquillas,0,1,18,98,62,7,3,18,29
0,Limpieza,0,0,8,0,13,0,0,0,62
23,Moledores,2,1,56,95,213,20,9,56,26
25,Otros parafernalia,0,0,7,49,36,3,2,7,19
43,Papelillos,6,3,66,148,173,22,7,66,38
18,Pipas,0,0,28,37,146,10,8,28,19
23,Repuestos para bongs y vaporizadores,0,1,33,80,112,14,10,33,29
0,Vaporizadores electronicos,0,0,4,0,4,0,0,0,100
11,Vaporizadores herbales,0,0,23,36,36,10,7,23,64
