id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
6327,Papelillo Virgin 1 1/4 1U-Ocb,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,virgin,/productos/ocb/virgin,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-22T15:20:45.296Z,Papelillos OCB Virgin 1 1/4 | Papelillo Virgin 1 1/4 1U-Ocb | OCB Virgin Extra Fino 1.1/4 sin colorantes | Papelillo OCB Virgin 1 1/4 | PIRANHA
5462,Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento,Papelillos,OCB,ocb,bamboo-1-1-4,bamboo,/productos/ocb/bamboo,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-22T15:16:29.271Z,Papelillos OCB Bamboo 1 1/4 | Papelillo 1 1/4 Bamboo-Ocb | Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento | Papelillo OCB Bamboo 1 1/4
5458,RAW Classic 1.1/4 producto de la marca RAW,Papelillos,RAW,raw,classic-1-1-4,classic,/productos/raw/classic,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,800,990,24,GrowBarato Chile,Piranha,true,true,2026-05-22T15:16:31.348Z,RAW Classic 1.1/4 producto de la marca RAW | Papelillos Raw Classic 1 1/4 | Papelillos RAW Classic 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1 Ud-Raw | Papelillos Classic 1 1/4 1Ud-Raw
5800,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile,Encendedores y sopletes,ZIPPO,zippo,wick-zippo-wick,wick,/productos/zippo/wick,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1800,2190,22,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:20:09.088Z,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile | Mecha Zippo | Mecha 1 Unidad-Zippo | Zippo Mecha (1u)
5748,Quemador Perlas Macho 18Mm-Calvo Glass,Repuestos para bongs y vaporizadores,CALVO GLASS,calvo,bowl-perlas-18mm,bowl-perlas-18mm,/productos/calvo/bowl-perlas-18mm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,5490,6990,27,Astro Growshop,Piranha,true,true,2026-05-22T15:17:35.649Z,Quemador Perlas Macho 18Mm-Calvo Glass | Quemador Perla 18mm Calvo Glass - GB The Green Brand | Calvo Glass Quemador Perlas - Macho 18mm | Quemador Perlas Calvo 18mm
5529,R3 Mini-Bonglab,Bongs,BONGLAB,bonglab,r3-mini,r3-mini,/productos/bonglab/r3-mini,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,19590,21741,11,Astro Growshop,Fumetas,true,true,2026-05-22T15:16:27.113Z,R3 Mini-Bonglab | Bong R3 Mini | Bonglab R3 Mini - GB The Green Brand | BongLab Bong R3 Mini 10.5cm
5340,Fat Candy -Bonglab,Bongs,BONGLAB,bonglab,fat-candy,fat-candy,/productos/bonglab/fat-candy,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,22990,28491,24,Astro Growshop,Piranha,true,true,2026-05-22T15:17:00.185Z,Fat Candy -Bonglab | Fat Candy Bong de Bonglab | BongLab Bong W06 Fat Candy 25cm | Bong Fat Candy
5341,Bong Jelly Drop Bonglab | Bong de Vidrio Compacto y Resistente,Bongs,BONGLAB,bonglab,jelly-drop,jelly-drop,/productos/bonglab/jelly-drop,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,24500,29990,22,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:16:59.082Z,Bong Jelly Drop Bonglab | Bong de Vidrio Compacto y Resistente | Bong Jelly Drop | PIRANHA | Bonglab Bong Jelly Drop 20cm | Jelly Drop-Bonglab
5520,Bongbastic -Bonglab,Bongs,BONGLAB,bonglab,bongbastic,bongbastic,/productos/bonglab/bongbastic,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,48990,69990,43,Astro Growshop,Piranha,true,true,2026-05-22T15:18:13.152Z,Bongbastic -Bonglab | Bongbastic K276 Bonglab Doble Percolador | Bong Grande Borosilicato | Bonglab Bong K276 Bongbastic 45cm | Bong Bongbastic
5522,Mad Professor - Bonglab,Bongs,BONGLAB,bonglab,mad-professor,mad-professor,/productos/bonglab/mad-professor,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,48990,64990,33,Astro Growshop,Fumetas,true,true,2026-05-22T15:18:12.081Z,Mad Professor - Bonglab | Bong Mad Professor de Bonglab - GB The Green Brand | Bong Mad Professor | Bonglab Bong Mad Professor 42cm
5519,Bong de vidrio Big Blow de Bonglab- GB The Green Brand,Bongs,BONGLAB,bonglab,big-blow,big-blow,/productos/bonglab/big-blow,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,53200,66990,26,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:17:18.718Z,Bong de vidrio Big Blow de Bonglab- GB The Green Brand | Bong Big Blow | Bonglab Bong Pyrex K41 Big Blow 46cm | Big Blow-Bonglab
5339,Bong Bubbler Kush,Bongs,BONGLAB,bonglab,bubbler-kush,bubbler-kush,/productos/bonglab/bubbler-kush,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,60291,87990,46,Piranha,Fumetas,true,true,2026-05-22T15:17:08.370Z,Bong Bubbler Kush | Bong de vidrio Bubbler Kush de Bonglab- GB The Green Brand | Bubbler Kush-Bonglab | Bonglab K275 Bubbler Kush 50cm
