id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5716,Tips Original De Carton 1 Ud-Raw,Filtros y boquillas,RAW,raw,paper-tip-classic,paper-tip-classic,/productos/raw/paper-tip-classic,3,3,Astro Growshop | Fumetas | Piranha,340,400,18,Astro Growshop,Fumetas,true,true,2026-05-22T15:13:40.996Z,Tips Original De Carton 1 Ud-Raw | Filtro Tips RAW Original | PIRANHA | Boquillas RAW Classic
5717,Tips Perforated Wide-Raw,Filtros y boquillas,RAW,raw,paper-tip-wide-wide,paper-tip-wide-wide,/productos/raw/paper-tip-wide-wide,3,3,Astro Growshop | Fumetas | GrowBarato Chile,390,590,51,Astro Growshop,Fumetas,true,true,2026-05-22T15:16:50.301Z,Tips Perforated Wide-Raw | RAW Perforated Wide Tips de origen orgánico | Boquillas RAW Wide Pre-picadas
5715,Filtros Tips Gummed-Raw,Filtros y boquillas,RAW,raw,gummed-tip-gummed,gummed-tip-gummed,/productos/raw/gummed-tip-gummed,3,3,Astro Growshop | Fumetas | GrowBarato Chile,490,690,41,Astro Growshop,Fumetas,true,true,2026-05-22T15:16:48.810Z,Filtros Tips Gummed-Raw | RAW Perforate Gummed Tips de la marca RAW | Boquillas RAW Gummed Tips - Con pegamento
5459,Papelillo Pink 1 1/4 1Und-Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,paper-1-1-4-1-1-4,pink,/productos/blazy-susan/pink,3,3,Astro Growshop | Fumetas | Piranha,490,790,61,Astro Growshop,Piranha,true,true,2026-05-22T15:10:01.912Z,Papelillo Pink 1 1/4 1Und-Blazy Susan | Blazy Susan Papelillos Pink 1 1/4 | Papelillo 1 1/4 Blazy Susan Pink | PIRANHA
5460,Blazy Susan Papelillos Purple 1 1/4,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,purple,/productos/blazy-susan/purple,3,3,Astro Growshop | Fumetas | Piranha,711,790,11,Fumetas,Astro Growshop,true,true,2026-05-22T15:10:00.474Z,Blazy Susan Papelillos Purple 1 1/4 | Papelillo Purple 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Purple | PIRANHA
6326,Papelillo OCB Ultimate 1,Papelillos,OCB,ocb,paper-ocb-ultimate,ultimate,/productos/ocb/ultimate,5,3,Astro Growshop | Fumetas | Piranha,750,2590,245,Fumetas,Piranha,true,true,2026-05-22T15:10:23.358Z,Papelillos OCB Ultimate 1 1/4 | Papelillo OCB Ultimate 1 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼ | Papelillo OCB Ultimate Rolls Slim | PIRANHA
6325,Papelillo OCB Azul Premium 1 1/4,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,premium,/productos/ocb/premium,3,3,Fumetas | GrowBarato Chile | Piranha,790,890,13,Fumetas,Piranha,true,true,2026-05-22T15:16:30.290Z,Papelillos OCB Premium 1 1/4 | OCB Premium 1 1/4 Papel de fumar extrafino | Papelillo OCB Azul Premium 1 1/4
5478,Papelillos Gizeh Pink 1 1/4 Extra Fine,Papelillos,Gizeh,gizeh,paper-1-1-4-1-1-4,pink,/productos/gizeh/pink,3,3,Fumetas | GrowBarato Chile | Piranha,790,990,25,Fumetas,Piranha,true,true,2026-05-22T15:16:21.675Z,Papelillos Gizeh Pink 1 1/4 Extra Fine | Papelillos para liar Gizeh Pink 1 1/4 - GB The Green Brand | Papelillo Gizeh Pink 1 1/4
5479,Papelillo OCB Xpert 1 ¼,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,x-pert,/productos/ocb/x-pert,3,3,Fumetas | GrowBarato Chile | Piranha,850,990,16,Fumetas,Piranha,true,true,2026-05-22T15:16:23.761Z,Papelillos OCB X-Pert 1 1/4 | OCB X-Pert 1 1/4 papel de fumar ultrafino | Papelillo OCB Xpert 1 ¼
5725,Repuesto Pedernal Clipper | Consíguelo en GB The GreenBrand Chile,Encendedores y sopletes,CLIPPER,clipper,lighter-classic,lighter-classic,/productos/clipper/lighter-classic,20,3,Fumetas | GrowBarato Chile | Piranha,900,1190,32,GrowBarato Chile,Piranha,true,true,2026-05-22T15:20:19.339Z,Repuesto Pedernal Clipper | Consíguelo en GB The GreenBrand Chile | Encendedor Clipper Crystal 12 | Encendedor Clipper Winter Plans 2 | Encendedor Clipper Racoons | Encendedor Clipper Space Area 4 | Encendedor Clipper Zombie Force | Encendedor Clipper Space Area 3 | Encendedor Clipper Space Area 1 | Encendedor Clipper Space Area 2 | Encendedor Clipper Dino Sports | Encendedor Clipper Winter Plans 1 | Encendedor Clipper Horror Days 1 | Encendedor Clipper Taroting 2 | Encendedor Clipper Monsters 1 | Encendedor Clipper Cocodrilos - Finger Up Animals 3 | Encendedor Clipper Sun is Shinning 2 | Encendedor Clipper Wall Of Fame 2 | Encendedor Clipper GB The Green Brand - GB The Green Brand | Encendedor Clipper varios modelos disponibles | Encendedor Clipper x Piranha
