type,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
high-spread,5793,Moledor SLX 60mm,Moledores,SLX,slx,60mm,60mm,/productos/slx/60mm,3,3,Astro Growshop | Fumetas | GrowBarato Chile,1800,55990,3011,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:21:15.618Z,Moledor de plástico para triturar marihuana | Moledor SLX 60mm | Moledor 6CM -Slx
high-spread,5775,Honey Waffle -Bonglab,Bongs,BONGLAB,bonglab,honey-waffle,honey-waffle,/productos/bonglab/honey-waffle,3,3,Astro Growshop | Fumetas | GrowBarato Chile,27990,646800,2211,Astro Growshop,GrowBarato Chile,true,true,2026-05-22T15:21:15.954Z,Honey Waffle -Bonglab | Bonglab Bong Honey Waffle 23cm | Compra tu Gravity Bong Stundenglass【hookah】más barata✅
high-spread,6328,Papelillos RAW Artesano 1 1/4,Papelillos,RAW,raw,paper-raw-artesano-1-1-4,artesano,/productos/raw/artesano,3,3,Astro Growshop | Fumetas | Piranha,2290,39990,1646,Fumetas,Astro Growshop,true,true,2026-05-22T15:10:14.222Z,Papelillos RAW Artesano 1 1/4 | Papelillos RAW Artesano 1 1/4 | PAPELILLOS ARTESANO 1 1/4 15U-RAW
high-spread,5500,Moledor SLX 50mm,Moledores,SLX,slx,50mm,50mm,/productos/slx/50mm,3,3,Astro Growshop | Fumetas | GrowBarato Chile,4500,49990,1011,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:21:15.088Z,Moledor Aluminio 2 Partes 50 mm | Compacto y resistente | Moledor SLX 50mm | Moledor 5Cm -Slx
high-spread,5480,Papelillos RAW Supernatural Super King Size 30cm | PIRANHA,Papelillos,RAW,raw,paper-king-size-30cm-king-size,super-king-30cm,/productos/raw/super-king-30cm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,4490,34990,679,Piranha,Astro Growshop,true,true,2026-05-22T15:17:23.835Z,Papelillos RAW Supernatural Super King Size 30cm | PIRANHA | Papelillos Largos RAW Super King Size 30cm | Papelillos RAW Super King 30cm | PAPELILLOS BLACK CONNOISSEUR CON TIPS 1 1/4 24U-RAW
high-spread,5773,Bong Classic Ice,Bongs,BONGLAB,bonglab,classic-ice,classic-ice,/productos/bonglab/classic-ice,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,19771,119990,507,Piranha,Fumetas,true,true,2026-05-22T15:21:15.432Z,Bong Classic Ice | Bong de Silicona Baby Yoda | Classic Ice 26Cm-Bonglab | Bonglab Bong Glycerine Black Ice 48cm
high-spread,5776,Bong Jelly Fish,Bongs,BONGLAB,bonglab,jelly-fish,jelly-fish,/productos/bonglab/jelly-fish,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,14000,67990,386,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:21:15.536Z,Bong Vitrola De Silicona con humo más denso y fresco | Bonglab Bong X2 Color Cube 23cm | Bong Jelly Fish | Jelly Fish-Bonglab
high-spread,5777,Little Buchner-Bonglab,Bongs,BONGLAB,bonglab,little-buchner,little-buchner,/productos/bonglab/little-buchner,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,14600,64990,345,GrowBarato Chile,Fumetas,true,true,2026-05-22T15:21:15.547Z,Bong Helado de Silicona con forma de barquillo helado | Little Buchner-Bonglab | Bong Little Buchner | BongLab Bong Elty8 Monster 48cm
high-spread,6326,Papelillo OCB Ultimate 1,Papelillos,OCB,ocb,paper-ocb-ultimate,ultimate,/productos/ocb/ultimate,5,3,Astro Growshop | Fumetas | Piranha,750,2590,245,Fumetas,Piranha,true,true,2026-05-22T15:10:23.358Z,Papelillos OCB Ultimate 1 1/4 | Papelillo OCB Ultimate 1 | Papelillo Blanco Ultrafino N°1 1U-Ocb | Papelillo OCB Ultimate 1 ¼ | Papelillo OCB Ultimate Rolls Slim | PIRANHA
high-spread,6833,Quemador macho 18mm,Repuestos para bongs y vaporizadores,Bonglab,bonglab,bowl-18mm,bowl-18mm,/productos/bonglab/bowl-18mm,3,2,Astro Growshop | Fumetas,2990,9990,234,Fumetas,Astro Growshop,true,true,2026-05-22T14:55:12.547Z,Quemador macho 18mm | Bonglab Quemador Macho 18mm | Quemador Cerámica Wax Hembra 14-18Mm-Bonglab
high-spread,5798,Máquina Enroladora RAW Automática 1 1/4,Otros parafernalia,RAW,raw,rolling-machine-automatica-1-1-4,rolling-machine-automatica-1-1-4,/productos/raw/rolling-machine-automatica-1-1-4,3,3,Astro Growshop | Fumetas | Piranha,3290,10990,234,Astro Growshop,Fumetas,true,true,2026-05-22T15:10:05.959Z,MAQUINA ENROLADORA -RAW | Máquina Enroladora RAW Automática 1 1/4 | Maquina Enroladora RAW Automática 1 1/4
high-spread,5734,Bandeja Metálica RAW Brazilian Girl | PIRANHA,Bandejas y ceniceros,RAW,raw,tray-brazilian-girl-metal-medium,brazilian-girl-metal-medium,/productos/raw/brazilian-girl-metal-medium,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,5691,15300,169,Piranha,GrowBarato Chile,true,true,2026-05-22T15:21:14.979Z,Bandeja Metálica RAW Brazilian Girl | PIRANHA | Tapa Magnética RAW para Bandeja Grande - Diseño Fish | Bandeja Metálica Brazilian Girl Mediana-Raw | Bandeja Cookies Metálica Para Enrolar
high-spread,5774,Heavy Trash -Bonglab,Bongs,BONGLAB,bonglab,heavy-trash,heavy-trash,/productos/bonglab/heavy-trash,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,28900,72990,153,GrowBarato Chile,Fumetas,true,true,2026-05-22T15:21:15.511Z,Bong Acordeón De Silicona antiadherente fácil de desmontar | Heavy Trash -Bonglab | Bong Heavy Trash | BongLab Bong K42 Heavy Trash 53cm
high-spread,6834,Bonglab Sujetador difusor 14mm- Diferentes Colores,Repuestos para bongs y vaporizadores,BONGLAB,bonglab,diffuser-14mm,diffuser-14mm,/productos/bonglab/diffuser-14mm,2,2,Astro Growshop | Fumetas,990,2490,152,Fumetas,Astro Growshop,false,true,2026-05-22T15:00:00.335Z,Bonglab Sujetador difusor 14mm- Diferentes Colores | Difusor Perc 135 Mm 14Mm-Bonglab
high-spread,5413,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,3,3,Astro Growshop | GrowBarato Chile | Piranha,400,990,148,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:16:28.202Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Papelillo Purple King Size Slim -Blazy Susan | Papelillo King Size Slim Blazy Susan Purple | PIRANHA
high-spread,6322,Moledor Bulldog Ámsterdam Metálico Silver 4 Partes,Moledores,BULLDOG,the-bulldog,metal-4-partes,metal-4-partes,/productos/the-bulldog/metal-4-partes,2,2,GrowBarato Chile | Piranha,10700,24990,134,GrowBarato Chile,Piranha,true,true,2026-05-22T15:15:55.254Z,Moledor Bulldog Ámsterdam Metálico Silver 4 Partes | Moledor metálico Bulldog de 4 partes
high-spread,5420,Papelillo Pink King Size Slim- Blazy Susan,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,pink-king-size-slim,/productos/blazy-susan/pink-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,711,1600,125,Fumetas,GrowBarato Chile,true,true,2026-05-22T15:17:11.493Z,Blazy Susan Papelillos Pink 1 1/4 | Papelillo King Size Slim Blazy Susan Pink | PIRANHA | Papelillo Pink King Size Slim- Blazy Susan | Papelillo King Size Slim Blazy Susan Deluxe Kit Rosado – Papeles de Enrolar Premium
high-spread,6667,Papelillo Vibes Cáñamo 1 1/4,Papelillos,VIBES,vibes,paper-1-1-4-1-1-4,organic,/productos/vibes/organic,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,893,1990,123,Piranha,Astro Growshop,true,true,2026-05-22T15:17:44.030Z,Papelillo Vibes Cáñamo 1 1/4 | Papelillos Vibes Cañamo 1 1/4 | Papelillos Vibes 1.¼ Organic Hemp | Papelillos Organic Hemp 114 Unidad-Vibes
high-spread,5507,Moledor 55MM-Galaxy,Moledores,GALAXY,galaxy,metal-55mm,metal-55mm,/productos/galaxy/metal-55mm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,6990,15291,119,Fumetas,Piranha,true,true,2026-05-22T15:21:15.223Z,Moledor Darth Vader 40 MM | Moledor 55mm Metálico Rosa | Grinder aluminio | Moledor 55MM-Galaxy | Grinder Galaxy Aluminio 55mm
high-spread,6318,Quemador De 14Mm -Bonglab,Repuestos para bongs y vaporizadores,BONGLAB,bonglab,bowl-14mm,bowl-14mm,/productos/bonglab/bowl-14mm,5,2,Fumetas | Piranha,4990,10890,118,Fumetas,Fumetas,true,true,2026-05-22T15:13:10.552Z,Bonglab Quemador Macho 14mm Clear | Bonglab Quemador Pro 14mm- Diferentes Colores | Quemador Macho Bonglab 14mm | PIRANHA | Bonglab Atrapa cenizas quemador macho 14mm | Bonglab Quemador Macho 14MM Rainbow
high-spread,5463,OCB Slim Ultimate de origen orgánico,Papelillos,OCB,ocb,ultimate-slim,organic,/productos/ocb/organic,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,1500,114,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-22T15:17:05.950Z,Papel de fumar de cáñamo orgánico 1 1/4 OCB | Papelillos OCB Cañamo orgánico 1 1/4 | Papelillo Organico de Cañamo1 1/4 1U- Ocb | Papelillo OCB Orgánico 1 ¼ | OCB Slim Ultimate de origen orgánico
high-spread,5474,OCB Premium 1.1/4 + Tips,Papelillos,OCB,ocb,paper-ocb-premium-1-1-4,premium-con-tips,/productos/ocb/premium-con-tips,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,890,1890,112,Piranha,Fumetas,true,true,2026-05-22T15:16:19.620Z,Papelillo OCB Virgin 1 | PIRANHA | Papelillo Xpert 1 1/4 Ud-Ocb | OCB Premium 1.1/4 + Tips | OCB Papelillos Premium 1 1/4 + Tips
