score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.764;1;1.05;17165;28990;"Lucky Goblin-Bonglab";10538;2;27541;"Bonglab Bong Lucky Goblin";"lucky goblin bonglab";"https://astrogrowshop.cl/lucky-goblin-bonglab"
0.694;1;1.02;31677;27990;"Lucky Goblin-Bonglab - Rosa";10538;2;27541;"Bonglab Bong Lucky Goblin";"lucky goblin bonglab";"https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Rosa"
0.689;1;1.02;31678;27990;"Lucky Goblin-Bonglab - Blanco";10538;2;27541;"Bonglab Bong Lucky Goblin";"lucky goblin bonglab";"https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Blanco"
0.685;1;1.00;12302;64990;"Elty8 Monster Blue-Bonglab";10394;2;64990;"BongLab Elty8 Monster Bong 48cm";"elty8 monster bonglab";"https://astrogrowshop.cl/elty8-monster-blue-bonglab"
0.620;1;1.02;31675;27990;"Lucky Goblin-Bonglab - Negro Humo";10538;2;27541;"Bonglab Bong Lucky Goblin";"lucky goblin bonglab";"https://astrogrowshop.cl/lucky-goblin-bonglab?variant=Negro%20Humo"
0.608;1;2.24;12622;1990;"Papel Ultra Thin King Size Silver- Lion Rolling Circus";10655;3;890;"Lion Rolling Circus Papelillo Silver Big Smoke King Size";"ultra king size silver lion rolling circus";"https://astrogrowshop.cl/papel-ultra-thin-king-size-silver-lion-rolling-circus"
0.569;1;2.20;12607;4990;"Dosing Capsules Fenix Mini Plus Y Fenix Pro-Weecke (1 Unidad)";11003;2;10990;"Weecke Unidad de Enfriamiento Fenix Mini Plus";"fenix mini plus weecke unidad";"https://astrogrowshop.cl/dosing-capsules-fenix-mini-plus-y-fenix-pro-weecke"
0.545;1;1.15;17921;79990;"Space Oddity Clear-Bonglab";5531;3;69300;"Bong Pyrex 28cm Bonglab Space Oddity Clear K306 | Doble Percolación";"space oddity clear bonglab";"https://astrogrowshop.cl/space-oddity-clear-bonglab"
0.534;1;1.01;33421;7990;"Pin-Hightrip - HIGH SKULLS 1";10495;2;8091;"Hightrip Pin Bongazo";"pin hightrip";"https://astrogrowshop.cl/pin-hightrip?variant=HIGH%20SKULLS%201"
0.531;1;50.49;2525;49990;"Papelillos Classic King Size Slim 50 Ud-Raw";5418;4;990;"Papelillos RAW Classic King Size Slim - Sabanas";"papelillos classic king size slim raw";"https://astrogrowshop.cl/papelillos-classic-king-size-slim-50-ud-raw"
0.527;1;1.05;18091;69990;"SABER DAB TOOL-FOCUS V";10726;2;66491;"Focus V Saber Dabber Eléctrico";"saber dab tool focus";"https://astrogrowshop.cl/saber-dab-tool-focus-v"
0.526;1;1.26;32791;1990;"ROLLED TIPS X25 - OCB";11014;2;2500;"OCB Virgin Rolled Tips";"rolled tips ocb";"https://astrogrowshop.cl/rolled-tips-x25-ocb"
0.514;1;1.10;33137;124990;"Glycerin -Bonglab - GREEN AVALANCHE";10163;3;113400;"Glycerin Green Avalanche Bonglab al Mejor Precio - GB The Green Brand";"glycerin bonglab green avalanche";"https://astrogrowshop.cl/glycerin-bonglab?variant=GREEN%20AVALANCHE"
0.509;1;1.13;32773;61990;"K30 -Bonglab - Negro";10344;3;54900;"Bonglab K30 Fresh 42cm";"k30 bonglab negro";"https://astrogrowshop.cl/k30-bonglab?variant=Negro"
0.509;1;1.05;33231;69990;"SABER DAB TOOL-FOCUS V - Negro";10726;2;66491;"Focus V Saber Dabber Eléctrico";"saber dab tool focus";"https://astrogrowshop.cl/saber-dab-tool-focus-v?variant=Negro"
0.496;1;1.05;33233;69990;"SABER DAB TOOL-FOCUS V - CLEAR";10726;2;66491;"Focus V Saber Dabber Eléctrico";"saber dab tool focus";"https://astrogrowshop.cl/saber-dab-tool-focus-v?variant=CLEAR"
0.486;1;1.05;33229;69990;"SABER DAB TOOL-FOCUS V - FOREST";10726;2;66491;"Focus V Saber Dabber Eléctrico";"saber dab tool focus";"https://astrogrowshop.cl/saber-dab-tool-focus-v?variant=FOREST"
