score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.413;1;4.17;87784;24990;"Boquilla de Enfriamiento Vaporizador Herbal Airis Nokiva";10887;2;5990;"Airistech Boquilla Nokiva";"boquilla vaporizador nokiva";"https://www.friendlygrow.cl/boquilla-de-enfriamiento-vaporizador-herbal-airis-nokiva"
0.389;1;1.40;88140;79990;"Vaporizador Extracciones Yocan Pocket - Azul";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-pocket-800?variant=Azul"
0.383;1;3.30;88626;46990;"Yocan Phaser Max Glass (repuesto)";10611;1;14241;"Repuesto de Vidrio Vaporizador Yocan Falcon Glass Attachment | PIRANHA";"yocan glass repuesto";"https://www.friendlygrow.cl/yocan-phaser-max-glass-repuesto"
0.382;1;2.11;88914;27000;"Vaporizador Extracciones Yocan Nestor";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-nestor"
0.368;1;1.19;88140;79990;"Vaporizador Extracciones Yocan Pocket - Azul";10468;2;94991;"Yocan Vaporizador Falcon Kit 6 en 1";"vaporizador yocan";"https://www.friendlygrow.cl/yocan-pocket-800?variant=Azul"
0.363;1;2.19;88911;25990;"Vaporizador Extracciones Yocan Iris - Morado";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-iris?variant=Morado"
0.361;1;3.16;88890;180000;"Vaporizador Extracciones E-rig Yocan Go - Negro";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-go?variant=Negro"
0.360;1;3.16;88893;180000;"Vaporizador Extracciones E-rig Yocan Go - Azul";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-go?variant=Azul"
0.358;1;2.19;88909;25990;"Vaporizador Extracciones Yocan Iris - Blanco";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-iris?variant=Blanco"
0.358;1;3.52;88914;27000;"Vaporizador Extracciones Yocan Nestor";10468;2;94991;"Yocan Vaporizador Falcon Kit 6 en 1";"vaporizador yocan";"https://www.friendlygrow.cl/yocan-nestor"
0.356;1;3.16;88892;180000;"Vaporizador Extracciones E-rig Yocan Go - Rojo";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-go?variant=Rojo"
0.353;1;3.16;88895;180000;"Vaporizador Extracciones E-rig Yocan Go - Blanco";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-go?variant=Blanco"
0.351;1;1.21;88906;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Negro";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Negro"
0.350;1;1.21;88903;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Verde";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Verde"
0.347;1;1.21;88902;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Morado";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Morado"
0.345;1;1.21;88898;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Rosa";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Rosa"
0.343;1;1.21;88900;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Blanco";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Blanco"
0.341;1;1.21;88904;46990;"Vaporizador Extracciones E-Rig Yocan iCan - Celeste";10616;2;56991;"Yocan Vaporizador Evolve Plus Version 2020";"vaporizador extracciones yocan";"https://www.friendlygrow.cl/yocan-ican?variant=Celeste"
0.328;1;3.65;88911;25990;"Vaporizador Extracciones Yocan Iris - Morado";10468;2;94991;"Yocan Vaporizador Falcon Kit 6 en 1";"vaporizador yocan";"https://www.friendlygrow.cl/yocan-iris?variant=Morado"
0.327;1;18.20;88892;180000;"Vaporizador Extracciones E-rig Yocan Go - Rojo";10548;2;9891;"Yocan Flat Vaporizador para Cartridge";"vaporizador yocan rojo";"https://www.friendlygrow.cl/yocan-go?variant=Rojo"
0.327;1;2.63;88911;25990;"Vaporizador Extracciones Yocan Iris - Morado";10548;2;9891;"Yocan Flat Vaporizador para Cartridge";"vaporizador yocan morado";"https://www.friendlygrow.cl/yocan-iris?variant=Morado"
0.326;1;1.89;88890;180000;"Vaporizador Extracciones E-rig Yocan Go - Negro";10468;2;94991;"Yocan Vaporizador Falcon Kit 6 en 1";"vaporizador yocan";"https://www.friendlygrow.cl/yocan-go?variant=Negro"
0.325;1;1.89;88893;180000;"Vaporizador Extracciones E-rig Yocan Go - Azul";10468;2;94991;"Yocan Vaporizador Falcon Kit 6 en 1";"vaporizador yocan";"https://www.friendlygrow.cl/yocan-go?variant=Azul"
