score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.804;1;1.17;19789;54990;"Ozeta Techbag - Anti Olor";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta techbag anti olor";"https://fumetas.cl/ozeta-techbag-anti-olor"
0.797;1;1.00;20226;6990;"Storz & Bickel Juego de Mallas Finas Solid Valve";10372;2;6990;"Storz & Bickel Solid Valve Juego de Mallas Normales";"storz bickel juego mallas solid valve";"https://fumetas.cl/juego-de-mallas-finas-solid-valve"
0.769;1;1.58;12988;119990;"Focus V Atomizador Intelli-Core Max";10643;2;75991;"Atomizador Intelli-Core para Extractos con Bubbler Cap | PIRANHA";"focus atomizador intelli core max";"https://fumetas.cl/focus-v-atomizador-intelli-core-max"
0.693;1;1.05;34318;11490;"Galaxy Batería Cartridge 510 - Blanco";10638;2;10990;"Bateria Galaxy 510";"galaxy bateria cartridge 510 blanco";"https://fumetas.cl/galaxy-bateria-cartridge-18v?variant=Blanco"
0.678;1;1.07;19387;44990;"Encendedor Zippo Classic High Polish Purple";10737;2;41990;"Encendedor Zippo Classic High Polish Green";"encendedor zippo classic high polish";"https://fumetas.cl/encendedor-zippo-classic-high-polish-purple"
0.676;1;5.07;19930;75990;"Juego de Piezas de Desgastes Volcano Storz & Bickel";10385;2;14990;"Storz & Bickel Volcano Hybrid Juego de Piezas de Desgaste";"juego piezas volcano storz bickel";"https://fumetas.cl/juego-de-piezas-de-desgastes-volcano"
0.664;1;1.05;34319;11490;"Galaxy Batería Cartridge 510 - Azul";10638;2;10990;"Bateria Galaxy 510";"galaxy bateria cartridge 510 azul";"https://fumetas.cl/galaxy-bateria-cartridge-18v?variant=Azul"
0.623;1;2.51;20226;6990;"Storz & Bickel Juego de Mallas Finas Solid Valve";10398;2;17544;"Storz & Bickel Boquilla Solid Valve";"storz bickel solid valve";"https://fumetas.cl/juego-de-mallas-finas-solid-valve"
0.609;1;1.13;19393;8990;"HighTrip Pin Trascendence";10682;2;7990;"Hightrip Pin Joint";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence-1"
0.609;1;1.01;20223;8091;"HighTrip Pin Highfries";10682;2;7990;"Hightrip Pin Joint";"hightrip pin";"https://fumetas.cl/hightrip-pin-highfries"
0.587;1;1.13;20224;8991;"HighTrip Pin Cenicero 420";10682;2;7990;"Hightrip Pin Joint";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence"
0.581;1;1.05;12989;11490;"Galaxy Batería Cartridge 510";10638;2;10990;"Bateria Galaxy 510";"galaxy bateria cartridge 510";"https://fumetas.cl/galaxy-bateria-cartridge-18v"
0.570;1;1.11;19393;8990;"HighTrip Pin Trascendence";10683;2;8091;"Hightrip Pin CrossJoint";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence-1"
0.570;1;1.00;20223;8091;"HighTrip Pin Highfries";10683;2;8091;"Hightrip Pin CrossJoint";"hightrip pin";"https://fumetas.cl/hightrip-pin-highfries"
0.551;1;1.11;20224;8991;"HighTrip Pin Cenicero 420";10683;2;8091;"Hightrip Pin CrossJoint";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence"
0.549;1;1.67;1204;3490;"Blazy Susan Blunt King Size Cono Natural Wraps x2 - Tea Leaf";10350;2;2094;"Blazy Susan Tea Leaf Cones King Size";"blazy susan king size tea leaf";"https://fumetas.cl/blazy-susan-blunt-king-size-cono-natural-wraps-x2-tea-leaf"
0.549;1;1.05;34317;11490;"Galaxy Batería Cartridge 510 - Negro";10638;2;10990;"Bateria Galaxy 510";"galaxy bateria cartridge 510";"https://fumetas.cl/galaxy-bateria-cartridge-18v?variant=Negro"
0.547;1;0.00;37815;269990;"Vaporizador Puffco Peak 2024 - Negro";11033;2;0;"Puffco Peak";"vaporizador puffco peak";"https://fumetas.cl/puffco-peak-vaporizador-extractos?variant=Negro"
0.545;1;0.00;37819;269990;"Vaporizador Puffco Peak 2024 - Verde";11033;2;0;"Puffco Peak";"vaporizador puffco peak";"https://fumetas.cl/puffco-peak-vaporizador-extractos?variant=Verde"
0.536;1;5.55;19537;5990;"Storz & Bickel Volcano Balloon Tube";10361;2;33241;"Storz & Bickel Volcano Hybrid Tube Kit";"storz bickel volcano tube";"https://fumetas.cl/storz-bickel-volcano-balloon-tube"
0.515;1;1.10;19741;33990;"Encendedor Zippo Filigree Design";10364;2;30990;"Zippo Flame Design Colorblock";"encendedor zippo design";"https://fumetas.cl/encendedor-zippo-filigree-design"
0.512;1;1.75;20226;6990;"Storz & Bickel Juego de Mallas Finas Solid Valve";10854;2;3990;"Storz & Bickel Solid Valve Juego de Pieza Labial 3u";"storz bickel juego solid valve";"https://fumetas.cl/juego-de-mallas-finas-solid-valve"
0.488;1;1.13;19393;8990;"HighTrip Pin Trascendence";10592;2;7990;"Hightrip Pin Cannabis Libre";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence-1"
0.488;1;1.01;20223;8091;"HighTrip Pin Highfries";10592;2;7990;"Hightrip Pin Cannabis Libre";"hightrip pin";"https://fumetas.cl/hightrip-pin-highfries"
0.486;1;7.61;19930;75990;"Juego de Piezas de Desgastes Volcano Storz & Bickel";10420;2;9990;"Storz & Bickel Juego de Mallas Normales Plenty 6u";"juego volcano storz bickel";"https://fumetas.cl/juego-de-piezas-de-desgastes-volcano"
0.483;1;3.07;37077;4990;"Pins BongLab - Pin Prisma";10108;2;15300;"Bonglab Prisma";"bonglab prisma";"https://fumetas.cl/pins-bonglab?variant=Pin%20Prisma"
0.474;1;1.13;20224;8991;"HighTrip Pin Cenicero 420";10592;2;7990;"Hightrip Pin Cannabis Libre";"hightrip pin";"https://fumetas.cl/hightrip-pin-transcendence"
0.467;1;1.90;19930;75990;"Juego de Piezas de Desgastes Volcano Storz & Bickel";10275;3;39990;"Juego De Piezas Desgaste Mighty-Storz & Bickel";"juego piezas storz bickel";"https://fumetas.cl/juego-de-piezas-de-desgastes-volcano"
0.456;1;2.09;33677;31990;"Moledor Galaxy Aluminio 73 mm - Oro rosa";5507;2;15291;"Grinder Galaxy Aluminio 55mm";"moledor galaxy aluminio oro rosa";"https://fumetas.cl/moledor-galaxy-73-mm-aluminio?variant=Oro%20rosa"
0.453;1;2.54;33677;31990;"Moledor Galaxy Aluminio 73 mm - Oro rosa";5512;2;12591;"Grinder Galaxy Aluminio 38mm";"moledor galaxy aluminio oro rosa";"https://fumetas.cl/moledor-galaxy-73-mm-aluminio?variant=Oro%20rosa"
0.441;1;1.83;19537;5990;"Storz & Bickel Volcano Balloon Tube";10358;2;10990;"Storz & Bickel Volcano Hybrid Set Boquillas 4U";"storz bickel volcano";"https://fumetas.cl/storz-bickel-volcano-balloon-tube"
0.435;1;1.27;34291;36990;"Ozeta Estuche grande - Anti-olor - Rosado";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-grande?variant=Rosado"
0.434;1;1.62;34299;28990;"Ozeta Estuche pequeño - Anti-olor - Morado";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-pequeno?variant=Morado"
0.432;1;2.15;33842;29990;"Bonglab Bong Jelly Drop 20cm - Azul";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong jelly";"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Azul"
0.431;1;1.42;34296;32990;"Ozeta Estuche mediano - Anti-olor - Rosado";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-mediano?variant=Rosado"
0.429;1;1.62;34300;28990;"Ozeta Estuche pequeño - Anti-olor - Rosado";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-pequeno?variant=Rosado"
0.428;1;2.15;33841;29990;"Bonglab Bong Jelly Drop 20cm - Morado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong jelly";"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Morado"
0.424;1;2.15;33844;29990;"Bonglab Bong Jelly Drop 20cm - Rosado";5776;2;64591;"Jelly Fish-Bonglab";"bonglab bong jelly";"https://fumetas.cl/bonglab-bong-jelly-drop-20cm-diferentes-colores?variant=Rosado"
0.413;1;1.27;34292;36990;"Ozeta Estuche grande - Anti-olor - Cian";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-grande?variant=Cian"
0.409;1;1.42;34297;32990;"Ozeta Estuche mediano - Anti-olor - Cian";10547;2;46990;"Ozeta Techbag Anti-Olor";"ozeta anti olor";"https://fumetas.cl/ozeta-estuche-mediano?variant=Cian"
0.406;1;1.99;34444;3490;"Calvo Glass Quemador Pyrex - Macho 14mm - Azul";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"calvo glass 14mm azul";"https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm?variant=Azul"
0.405;1;1.31;19914;35990;"Encendedor Zippo Merlot";10426;2;46990;"Encendedor Zippo Santa Cruz";"encendedor zippo";"https://fumetas.cl/encendedor-zippo-merlot"
0.395;1;1.00;36232;1000;"Blunt Soulblime Hemp Wrap x2 - Menta";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Menta"
0.394;1;1.00;36222;1000;"Blunt Soulblime Hemp Wrap x2 - Chocolate";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Chocolate"
0.393;1;2.50;19537;5990;"Storz & Bickel Volcano Balloon Tube";10385;2;14990;"Storz & Bickel Volcano Hybrid Juego de Piezas de Desgaste";"storz bickel volcano";"https://fumetas.cl/storz-bickel-volcano-balloon-tube"
0.391;1;1.00;36228;1000;"Blunt Soulblime Hemp Wrap x2 - Sandia";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Sandia"
0.390;1;1.00;36227;1000;"Blunt Soulblime Hemp Wrap x2 - Piña";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Pi%C3%B1a"
0.389;1;1.00;36230;1000;"Blunt Soulblime Hemp Wrap x2 - Vainilla";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Vainilla"
0.389;1;1.00;36235;1000;"Blunt Soulblime Hemp Wrap x2 - Sweet";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Sweet"
0.389;1;1.00;36218;1000;"Blunt Soulblime Hemp Wrap x2 - Arándano";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Ar%C3%A1ndano"
0.387;1;1.00;36225;1000;"Blunt Soulblime Hemp Wrap x2 - Frutilla";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Frutilla"
0.384;1;1.00;36223;1000;"Blunt Soulblime Hemp Wrap x2 - Cítrico";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=C%C3%ADtrico"
0.383;1;2.05;1204;3490;"Blazy Susan Blunt King Size Cono Natural Wraps x2 - Tea Leaf";10282;3;1700;"Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached | PIRANHA";"blazy susan king size natural";"https://fumetas.cl/blazy-susan-blunt-king-size-cono-natural-wraps-x2-tea-leaf"
0.382;1;4.53;36436;109990;"Focus V Aeris Bubbler - Negro";11038;2;24291;"Focus V Boquilla Swivel para Carta 2, Carta Sport y Aeris";"focus aeris";"https://fumetas.cl/focus-v-aeris-bubbler?variant=Negro"
0.382;1;1.00;36221;1000;"Blunt Soulblime Hemp Wrap x2 - Chicle";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Chicle"
0.380;1;2.09;33678;31990;"Moledor Galaxy Aluminio 73 mm - Dorado";5507;2;15291;"Grinder Galaxy Aluminio 55mm";"moledor galaxy aluminio dorado";"https://fumetas.cl/moledor-galaxy-73-mm-aluminio?variant=Dorado"
0.380;1;1.13;33555;20990;"Moledor Galaxy Aluminio 63mm - Gris";10126;3;23800;"Moledor Galaxy de 4 partes y con tamizador";"moledor galaxy aluminio gris";"https://fumetas.cl/moledor-galaxy-aluminio-63mm?variant=Gris"
0.379;1;1.66;19354;2490;"Vibes Cubano Cono Pre-enrolado King Size 8";10685;2;1500;"Papelillos Vibes Rice King Size Slim";"vibes king size";"https://fumetas.cl/vibes-cubano-cono-king-size"
0.379;1;1.00;36224;1000;"Blunt Soulblime Hemp Wrap x2 - Durazno";11018;2;1000;"Soulblime Blunt Hemp Wraps Chocomint";"blunt soulblime hemp";"https://fumetas.cl/blunt-soulblime-hemp-wrap?variant=Durazno"
