score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.859;1;0.00;11433;18900;"Insert Banger Fondo Opaco Calvo Glass";10555;2;0;"Calvo Glass Insert Fondo Blanco";"insert fondo opaco calvo glass";"https://www.growbaratochile.cl/pipas-bongs-y-cachimbas/insert-banger-fondo-opaco-calvo-glass.html"
0.551;1;4.99;1396;1000;"Encendedor De Cocina - Ronson Pequeño【 Recargable 】";10874;2;4990;"Ronson Soplete Pequeño";"encendedor ronson pequeno";"https://www.growbaratochile.cl/encendedores-ronson/encendedor-de-cocina-ronson-pequeno.html"
0.457;1;1.76;70881;3400;"Conos RAW 5 Stages | Conos pre-armados papel natural – GrowBaratoChile";10411;2;5990;"Conos RAW Rawket 5 Stages";"conos raw stages pre";"https://www.growbaratochile.cl/papelillos/raw-cones-5-stage-rawket.html"
0.439;1;1.46;71107;51900;"Humidificador Kasvi 8 Litros | Control de Humedad para Cultivo";10787;2;75990;"Humidificador Kasvi 8L";"humidificador kasvi cultivo";"https://www.growbaratochile.cl/humedad-y-temperatura/humidificador-8l-kasvi.html"
0.437;1;6.49;1384;1000;"Encendedor Clipper GB The Green Brand - GB The Green Brand";10481;2;6490;"Encendedor Clipper Metálico Green Gradient";"encendedor clipper green";"https://www.growbaratochile.cl/encendedores/encendedor-clipper-gb-the-green-brand.html"
0.434;1;1.42;537;1400;"Lion Rolling Circus Wrap Natural Blunts";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"lion rolling circus wrap";"https://www.growbaratochile.cl/papelillos/rolling-circus-hemp-wrap.html"
0.430;1;9.09;147;9000;"Porta Pitos - Galaxy【guarda caños】en Growbarato Chile";10390;2;990;"Galaxy Porta Caño Black";"porta galaxy canos";"https://www.growbaratochile.cl/articulos-para-el-fumador/porta-pitos-galaxy.html"
0.428;1;5.43;71289;10800;"Cone Hemp Gold de Lion Rolling Circus";10543;2;1990;"Blunt Hemp Wrap Lion Rolling Circus Terpenes KKKSH";"hemp lion rolling circus";"https://www.growbaratochile.cl/papelillos/cone-hemp-gold.html"
0.408;1;1.04;537;1400;"Lion Rolling Circus Wrap Natural Blunts";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"lion rolling circus wrap";"https://www.growbaratochile.cl/papelillos/rolling-circus-hemp-wrap.html"
0.402;1;8.05;71289;10800;"Cone Hemp Gold de Lion Rolling Circus";10733;2;1341;"Lion Rolling Circus Hemp Wraps Terpenes Gelato x2";"hemp lion rolling circus";"https://www.growbaratochile.cl/papelillos/cone-hemp-gold.html"
