score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.555;1;7.23;69260;690;"Encendedor Ronson";10874;2;4990;"Ronson Soplete Pequeño";"encendedor ronson";"https://www.kushbreak.cl/encendedor-ronson"
0.553;1;1.56;69296;2500;"Celulosa Kingsize Lion Rolling Circus";10707;3;1600;"Lion Rolling Circus Papelillos Celulosa Transparente 1 1/4";"celulosa lion rolling circus";"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
0.534;1;3.93;69352;990;"Silver 1 1/4 Lion Rolling Circus";10620;3;3894;"Bandeja Lion Rolling Circus";"silver lion rolling circus";"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
0.464;1;3.64;69352;990;"Silver 1 1/4 Lion Rolling Circus";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"lion rolling circus";"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
0.463;1;3.64;70021;990;"Unbleached Lion Rolling Circus";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"lion rolling circus";"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
0.459;1;1.11;69352;990;"Silver 1 1/4 Lion Rolling Circus";10655;3;890;"Lion Rolling Circus Papelillo Silver Big Smoke King Size";"silver lion rolling circus";"https://www.kushbreak.cl/lion-rolling-circus-silver-1-1/4"
0.446;1;2.52;70021;990;"Unbleached Lion Rolling Circus";10234;2;2490;"Lion Rolling Circus Porta Papelillos 1 1/4";"lion rolling circus";"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
0.422;1;1.26;68974;1890;"Filtros Gizeh Carbon activo 8mm";10347;2;2390;"Gizeh Filtro Carbón Activo Coconut 6mm";"filtros gizeh carbon activo";"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
0.418;1;1.62;70021;990;"Unbleached Lion Rolling Circus";10707;3;1600;"Lion Rolling Circus Papelillos Celulosa Transparente 1 1/4";"lion rolling circus";"https://www.kushbreak.cl/papelillos-1-1/4-lion-rolling-circus-tabaco-cannabis"
0.408;1;2.59;69312;1390;"HempWrap Natural Lion Rolling Circus";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"lion rolling circus";"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
0.406;1;1.44;69296;2500;"Celulosa Kingsize Lion Rolling Circus";5515;3;3600;"Moledor Metálico Lion Rolling Circus - 2 Partes";"lion rolling circus";"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
0.404;1;3.14;69039;45990;"Puffco Atomizador V3";10454;3;144492;"Puffco Peak Pro 3DXL Chamber";"puffco atomizador";"https://www.kushbreak.cl/atomizador-puffco-peak-repuesto"
0.403;1;2.81;69018;2990;"Boquilla Piece maker Krutch";6771;2;8400;"Pipa silicona llavero de Piece Maker";"piece maker";"https://www.kushbreak.cl/piece-maker-karma-pipa-silicona"
0.398;1;4.99;69205;6990;"RAW caja metálica";5965;4;1400;"RAW Porta Papeles de 1.1/4 caja metálica";"raw caja metalica";"https://www.kushbreak.cl/caja-metalica-raw-contenedor"
0.396;1;1.00;69205;6990;"RAW caja metálica";10464;3;6990;"Bandeja RAW Zombie Grande";"raw metalica";"https://www.kushbreak.cl/caja-metalica-raw-contenedor"
0.395;1;1.79;69312;1390;"HempWrap Natural Lion Rolling Circus";10234;2;2490;"Lion Rolling Circus Porta Papelillos 1 1/4";"lion rolling circus";"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
0.393;1;1.40;69205;6990;"RAW caja metálica";5735;3;4990;"Bandeja RAW metálica Girl - Mediana";"raw metalica";"https://www.kushbreak.cl/caja-metalica-raw-contenedor"
0.393;1;1.00;69296;2500;"Celulosa Kingsize Lion Rolling Circus";10234;2;2490;"Lion Rolling Circus Porta Papelillos 1 1/4";"lion rolling circus";"https://www.kushbreak.cl/papelillos-celulosa-kingsize-lion-rolling-circus"
0.390;1;2.30;69056;1590;"Connosseur RAW® + tips 1 1/4";10479;2;690;"Boquillas RAW Cono Perfecto";"raw tips";"https://www.kushbreak.cl/raw-papelillos-connosseur-14-tips"
0.388;1;1.44;69223;9990;"Repuesto Difusor CALVO GLASS";10375;2;6951;"Calvo Glass Difusor Premium 14mm";"difusor calvo glass";"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
0.374;1;2.00;69223;9990;"Repuesto Difusor CALVO GLASS";10323;2;4990;"Difusor Calvo Classic 18mm - 14mm - 14cm";"difusor calvo";"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
0.372;1;1.15;69312;1390;"HempWrap Natural Lion Rolling Circus";10707;3;1600;"Lion Rolling Circus Papelillos Celulosa Transparente 1 1/4";"lion rolling circus";"https://www.kushbreak.cl/hempwrap-natural-lion-rolling-circus"
0.348;1;2.00;69223;9990;"Repuesto Difusor CALVO GLASS";10525;3;4990;"Calvo Glass Nectar Wax Pen 400mAh";"repuesto calvo glass";"https://www.kushbreak.cl/repuesto-difusor-calvo-glass"
0.348;1;3.01;69118;11990;"RAW Frasco de Vidrio";5766;2;3990;"Raw Tarro Mason Jar de Vidrio 16oz";"raw frasco vidrio";"https://www.kushbreak.cl/raw-frasco-vidrio-mason-jar"
0.331;1;7.81;69248;249990;"Grenco Science - G Pen Elite II Vaporizer";10609;2;31990;"G Pen Roam Glass Tube";"grenco pen";"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
0.319;1;3.98;69056;1590;"Connosseur RAW® + tips 1 1/4";10348;3;400;"RAW Tips Black";"raw tips";"https://www.kushbreak.cl/raw-papelillos-connosseur-14-tips"
0.311;1;22.75;69248;249990;"Grenco Science - G Pen Elite II Vaporizer";11044;2;10990;"G Pen Silicone Mouthpiece Roam Black";"grenco pen";"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
0.302;1;3.98;69056;1590;"Connosseur RAW® + tips 1 1/4";5716;3;400;"Tips Original De Carton 1 Ud-Raw";"raw tips";"https://www.kushbreak.cl/raw-papelillos-connosseur-14-tips"
0.298;1;8.58;69067;59990;"Bandeja RAW Double thick glass";10464;3;6990;"Bandeja RAW Zombie Grande";"bandeja raw";"https://www.kushbreak.cl/bandeja-raw-double-thick-vidrio-enrolar-papelillos"
0.297;1;12.02;69067;59990;"Bandeja RAW Double thick glass";5735;3;4990;"Bandeja RAW metálica Girl - Mediana";"bandeja raw";"https://www.kushbreak.cl/bandeja-raw-double-thick-vidrio-enrolar-papelillos"
0.294;1;25.02;69248;249990;"Grenco Science - G Pen Elite II Vaporizer";10608;2;9990;"G Pen Connect Glass Adapter 18mm";"grenco pen";"https://www.kushbreak.cl/vaporizador-grenco-elite-gpen-ll-cannabis"
0.291;1;1.99;69214;1500;"Papelillos Kingsize Slim Futurola";10187;2;2990;"Futurola x Mike Tyson King Size + Tips";"papelillos futurola";"https://www.kushbreak.cl/papelillos-kingsize-slim-futurola"
0.270;1;15.04;69067;59990;"Bandeja RAW Double thick glass";11017;2;3990;"RAW Llavero Bandeja Miniatura";"bandeja raw";"https://www.kushbreak.cl/bandeja-raw-double-thick-vidrio-enrolar-papelillos"
0.248;1;3.01;69048;8990;"Conos Mega x2 Futurola";5710;2;2990;"Futurola x Mike Tyson 3 Conos Pre-enrolados King Size";"conos futurola";"https://www.kushbreak.cl/conos-mega-x3-futurola-pre-enrolados"
0.245;1;1.99;69020;1500;"Smoking Papelillos Deluxe 1 1/4 + Tips";10187;2;2990;"Futurola x Mike Tyson King Size + Tips";"papelillos tips";"https://www.kushbreak.cl/smoking-papelillos-deluxe-tips"
0.233;1;1.00;69346;19990;"Yocan ZIVA - Batería para Cartridges";10521;3;19990;"Yocan Kodo Pro Vaporizador para Cartridge";"yocan ziva cartridges";"https://www.kushbreak.cl/yocan-ziva-bateria-para-cartridges"
0.219;1;1.47;68974;1890;"Filtros Gizeh Carbon activo 8mm";10417;2;1290;"Filtros Gizeh Slim Menthol 6mm 120u";"filtros gizeh";"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
0.207;1;1.64;68974;1890;"Filtros Gizeh Carbon activo 8mm";10286;2;1150;"Filtro Gizeh XXL Slim con Pegamento 6x23mm (100u)";"filtros gizeh";"https://www.kushbreak.cl/filtros-gizeh-carbon-activo-8mm"
0.206;1;2.47;69131;1290;"Contenedor para caños tipo Tubo - Soulblime";10546;3;3190;"Soulblime Contenedor con Tapa-Bandeja";"contenedor soulblime";"https://www.kushbreak.cl/contenedor-para-canos-tipo-tubo-soulblime"
0.179;1;2.58;69018;2990;"Boquilla Piece maker Krutch";5491;3;7700;"PMG Pipa Karma 9 cm";"piece maker";"https://www.kushbreak.cl/piece-maker-karma-pipa-silicona"
