score;mismaMarca;ratio;offerId;offerPrice;offerTitle;productId;tiendasProducto;precioMinProducto;productName;tokensComunes;offerUrl
0.716;1;1.09;14380;75991;"Cargador Inalámbrico Focus V Aeris | PIRANHA";10467;2;69990;"Focus V Cargador Inalámbrico Carta 2";"cargador inalambrico focus";"https://piranha.cl/inicio/8721/cargador-inalambrico-focus-v-aeris.html"
0.708;1;0.00;15863;34990;"Encendedor Zippo Leaf Design Engraved";10308;2;0;"Encendedor Zippo Cannabis Design";"encendedor zippo leaf design";"https://piranha.cl/inicio/6266/encendedor-zippo-leaf-design-engraved.html"
0.702;1;1.58;678;295992;"Vaporizador Puffco New Peak | PIRANHA";10649;3;467490;"Puffco Peak Pro";"vaporizador puffco new peak";"https://piranha.cl/inicio/7665/vaporizador-puffco-new-peak-color-a-eleccion.html"
0.615;1;0.00;14337;5990;"Bandeja Metálica RAW Fly High | PIRANHA";10285;2;0;"Bandeja RAW metálica Prepare for Flight - Grande";"bandeja metalica raw fly high";"https://piranha.cl/inicio/7285/bandeja-metalica-raw-fly-high-tamano-a-eleccion.html"
0.581;1;0.00;678;295992;"Vaporizador Puffco New Peak | PIRANHA";11033;2;0;"Puffco Peak";"vaporizador puffco peak";"https://piranha.cl/inicio/7665/vaporizador-puffco-new-peak-color-a-eleccion.html"
0.557;1;0.00;15815;69591;"Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA";10591;2;0;"Mochila Smellproof Blazy Susan Rosada";"mochila blazy susan clasica pink";"https://piranha.cl/inicio/7443/mochila-anti-olor-blazy-susan-clasica-pink.html"
0.541;1;0.00;678;295992;"Vaporizador Puffco New Peak | PIRANHA";10677;2;0;"Puffco New Peak Cloud (2024)";"vaporizador puffco new peak";"https://piranha.cl/inicio/7665/vaporizador-puffco-new-peak-color-a-eleccion.html"
0.507;1;1.00;15843;74791;"Mochila Anti Olor Blazy Susan Logos | PIRANHA";10590;2;74992;"Mochila Smellproof Blazy Susan Negra";"mochila blazy susan logos";"https://piranha.cl/inicio/7444/mochila-anti-olor-blazy-susan-logos.html"
0.477;1;1.75;15802;13990;"Bucket Banger 14mm";10404;2;7990;"Calvo Glass Flat Bucket Banger 45° Macho 10mm";"bucket banger 14mm";"https://piranha.cl/inicio/6378/bucket-banger-14mm-calvo.html"
0.477;1;0.00;15802;13990;"Bucket Banger 14mm";11043;2;0;"Calvo Glass Flat Bucket Banger 90° Macho 10mm";"bucket banger 14mm";"https://piranha.cl/inicio/6378/bucket-banger-14mm-calvo.html"
0.466;1;12.50;16232;31992;"Proxy Ball Cap - Puffco";10662;2;399990;"Puffco Proxy Storm";"proxy puffco";"https://piranha.cl/inicio/6203/proxy-ball-cap-puffco.html"
0.466;1;2.27;5623;4990;"Moledor Plástico Bulldog 6cm 2 Partes";10096;3;2200;"Moledor Plástico Bulldog 3 Partes 60mm | Grinder The Bulldog";"moledor plastico bulldog partes";"https://piranha.cl/inicio/223/moledor-plastico-bulldog.html"
0.458;1;1.14;15863;34990;"Encendedor Zippo Leaf Design Engraved";10277;2;39990;"Encendedor Zippo Fire Heart Design";"encendedor zippo design";"https://piranha.cl/inicio/6266/encendedor-zippo-leaf-design-engraved.html"
0.458;1;1.53;11211;1990;"Filtros OCB ECO Slim 6mm (120u)";10243;2;1300;"OCB ECO Filtros Slim - GB The Green Brand";"filtros ocb eco slim";"https://piranha.cl/inicio/6494/filtros-ocb-eco-slim-6mm-120u.html"
0.455;1;1.34;15848;34993;"Bolso Anti Olor Dime Bags The Don con Candado | PIRANHA";10762;2;46990;"Dime Bags Mochila The Don con Clave Anti-Olor";"anti olor dime bags don";"https://piranha.cl/inicio/8354/bolso-anti-olor-dime-bags-the-don-con-candado-color-a-eleccion.html"
0.441;1;1.00;53604;2390;"Conos PreEnrolados Soulblime Pink Cones King Size (6u) | PIRANHA";10384;2;2390;"Soulblime 6 Conos Pre-enrolados White King Size";"conos soulblime pink king size";"https://piranha.cl/inicio/8398/preenrolados-soulblime-pink-cones-king-size.html"
0.429;1;3.36;16231;118992;"Accesorio Proxy Droplet - Puffco";10662;2;399990;"Puffco Proxy Storm";"proxy puffco";"https://piranha.cl/inicio/6201/accesorio-proxy-droplet-puffco.html"
0.416;1;1.00;16008;2690;"Caja Metálica Porta Papelillo King Size Lion Rolling Circus | PIRANHA";10709;2;2700;"Lion Rolling Circus Papelillos Celulosa Transparente Big Smoke King Size";"papelillo king size lion rolling circus";"https://piranha.cl/inicio/7782/caja-metalica-porta-papelillo-king-size-lion-rolling-circus.html"
0.397;1;4.01;511;180491;"Vaporizador DynaVap WoodWynd | PIRANHA";11012;2;44990;"DynaVap Kit G3";"vaporizador dynavap";"https://piranha.cl/inicio/7343/vaporizador-dynavap-woodwynd.html"
0.396;1;2.81;3391;890;"Papelillo OCB Virgin 1 | PIRANHA";11014;2;2500;"OCB Virgin Rolled Tips";"ocb virgin";"https://piranha.cl/inicio/8375/papelillo-ocb-virgin-1.html"
