offerId;precioOferta;productId;slug;tiendas;similitud;efecto;precioMedianoProducto;ratioPrecio;titulo
88890;180000;10679;yocan/vaporizer-vane-2;2;0.429;SUMA-TIENDA;69990;2.57;Vaporizador Extracciones E-rig Yocan Go - Negro
88890;180000;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;1.89;Vaporizador Extracciones E-rig Yocan Go - Negro
88890;180000;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;2.73;Vaporizador Extracciones E-rig Yocan Go - Negro
88881;24990;10679;yocan/vaporizer-vane-2;2;0.429;SUMA-TIENDA;69990;2.80;Vaporizador Incognito Doble Yocan Dubb - Negro
88881;24990;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;3.80;Vaporizador Incognito Doble Yocan Dubb - Negro
88881;24990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;2.64;Vaporizador Incognito Doble Yocan Dubb - Negro
88898;46990;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;2.02;Vaporizador Extracciones E-Rig Yocan iCan - Rosa
88898;46990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;1.40;Vaporizador Extracciones E-Rig Yocan iCan - Rosa
88898;46990;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;3.13;Vaporizador Extracciones E-Rig Yocan iCan - Rosa
88902;46990;10679;yocan/vaporizer-vane-2;2;0.429;SUMA-TIENDA;69990;1.49;Vaporizador Extracciones E-Rig Yocan iCan - Morado
88902;46990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;1.40;Vaporizador Extracciones E-Rig Yocan iCan - Morado
88902;46990;10548;yocan/flat;2;0.429;SUMA-TIENDA;9990;4.70;Vaporizador Extracciones E-Rig Yocan iCan - Morado
88904;46990;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;2.02;Vaporizador Extracciones E-Rig Yocan iCan - Celeste
88906;46990;10679;yocan/vaporizer-vane-2;2;0.429;SUMA-TIENDA;69990;1.49;Vaporizador Extracciones E-Rig Yocan iCan - Negro
88906;46990;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;2.02;Vaporizador Extracciones E-Rig Yocan iCan - Negro
88906;46990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;1.40;Vaporizador Extracciones E-Rig Yocan iCan - Negro
87909;24990;10882;airistech/dabble;2;0.778;ya-tiene-tienda;24990;1.00;Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Gradiente
88201;14990;10720;airistech/bateria-mystica-ace;2;0.364;SUMA-TIENDA;18990;1.27;Vaporizador Airis Mystica Ace Para Cartridges - Blue Gradient
88205;14990;10720;airistech/bateria-mystica-ace;2;0.400;SUMA-TIENDA;18990;1.27;Vaporizador Airis Mystica Ace Para Cartridges - Silk White
88206;14990;10720;airistech/bateria-mystica-ace;2;0.400;SUMA-TIENDA;18990;1.27;Vaporizador Airis Mystica Ace Para Cartridges - Prairie Green
87508;9990;10881;yocan/boquilla-vane;2;1.000;ya-tiene-tienda;9990;1.00;Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2
87508;9990;10679;yocan/vaporizer-vane-2;2;0.500;SUMA-TIENDA;69990;7.01;Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2
87508;9990;10642;yocan/vaporizer-vane;2;0.500;SUMA-TIENDA;69990;7.01;Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2
87542;54990;10679;yocan/vaporizer-vane-2;2;0.600;SUMA-TIENDA;69990;1.27;Vaporizador Herbal Yocan Vane 2 - Violeta
87542;54990;10642;yocan/vaporizer-vane;2;0.600;SUMA-TIENDA;69990;1.27;Vaporizador Herbal Yocan Vane 2 - Violeta
87542;54990;10881;yocan/boquilla-vane;2;0.571;ya-tiene-tienda;9990;5.50;Vaporizador Herbal Yocan Vane 2 - Violeta
87513;24990;10493;yocan/dirk-hot-knife;2;0.444;SUMA-TIENDA;32990;1.32;Bateria Hot Knife Dabber Electrico Yocan Dirk - Rosa
87516;24990;10493;yocan/dirk-hot-knife;2;0.556;SUMA-TIENDA;32990;1.32;Bateria Hot Knife Dabber Electrico Yocan Dirk - Naranjo
87517;24990;10493;yocan/dirk-hot-knife;2;0.556;SUMA-TIENDA;32990;1.32;Bateria Hot Knife Dabber Electrico Yocan Dirk - Verde
87518;24990;10493;yocan/dirk-hot-knife;2;0.444;SUMA-TIENDA;32990;1.32;Bateria Hot Knife Dabber Electrico Yocan Dirk - Celeste
87519;24990;10493;yocan/dirk-hot-knife;2;0.444;SUMA-TIENDA;32990;1.32;Bateria Hot Knife Dabber Electrico Yocan Dirk - Azul
88882;24990;10548;yocan/flat;2;0.429;SUMA-TIENDA;9990;2.50;Vaporizador Incognito Doble Yocan Dubb - Rojo
88882;24990;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;1.67;Vaporizador Incognito Doble Yocan Dubb - Rojo
88889;24990;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;3.80;Vaporizador Incognito Doble Yocan Dubb - Verde
88889;24990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;2.64;Vaporizador Incognito Doble Yocan Dubb - Verde
88889;24990;10548;yocan/flat;2;0.429;SUMA-TIENDA;9990;2.50;Vaporizador Incognito Doble Yocan Dubb - Verde
88892;180000;10548;yocan/flat;2;0.429;SUMA-TIENDA;9990;18.02;Vaporizador Extracciones E-rig Yocan Go - Rojo
88892;180000;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;1.89;Vaporizador Extracciones E-rig Yocan Go - Rojo
88892;180000;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;12.01;Vaporizador Extracciones E-rig Yocan Go - Rojo
88884;24990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;2.64;Vaporizador Incognito Doble Yocan Dubb - Blanco
88884;24990;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;1.67;Vaporizador Incognito Doble Yocan Dubb - Blanco
88903;46990;10503;yocan/pocket;4;0.571;ya-tiene-tienda;94990;2.02;Vaporizador Extracciones E-Rig Yocan iCan - Verde
88903;46990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;1.40;Vaporizador Extracciones E-Rig Yocan iCan - Verde
88903;46990;10548;yocan/flat;2;0.429;SUMA-TIENDA;9990;4.70;Vaporizador Extracciones E-Rig Yocan iCan - Verde
87911;24990;10882;airistech/dabble;2;0.778;ya-tiene-tienda;24990;1.00;Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Aleatorio
87560;11990;10883;weecke/boquilla-fenix-2-0;2;0.500;ya-tiene-tienda;33990;2.83;Boquilla de Enfriamiento Vaporizador Herbal Airis Herbva 5g
88893;180000;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;1.89;Vaporizador Extracciones E-rig Yocan Go - Azul
88895;180000;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;2.73;Vaporizador Extracciones E-rig Yocan Go - Blanco
88895;180000;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;1.89;Vaporizador Extracciones E-rig Yocan Go - Blanco
88895;180000;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;12.01;Vaporizador Extracciones E-rig Yocan Go - Blanco
87529;54990;10214;yocan/vaporizer-hit-2;3;0.455;SUMA-TIENDA;65990;1.20;Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Rosa
88900;46990;10214;yocan/vaporizer-hit-2;3;0.429;SUMA-TIENDA;65990;1.40;Vaporizador Extracciones E-Rig Yocan iCan - Blanco
88900;46990;10503;yocan/pocket;4;0.375;ya-tiene-tienda;94990;2.02;Vaporizador Extracciones E-Rig Yocan iCan - Blanco
88900;46990;10521;yocan/kodo-pro;2;0.375;SUMA-TIENDA;14990;3.13;Vaporizador Extracciones E-Rig Yocan iCan - Blanco
87541;54990;10679;yocan/vaporizer-vane-2;2;0.600;SUMA-TIENDA;69990;1.27;Vaporizador Herbal Yocan Vane 2 - Amarillo
87541;54990;10642;yocan/vaporizer-vane;2;0.600;SUMA-TIENDA;69990;1.27;Vaporizador Herbal Yocan Vane 2 - Amarillo
87541;54990;10881;yocan/boquilla-vane;2;0.571;ya-tiene-tienda;9990;5.50;Vaporizador Herbal Yocan Vane 2 - Amarillo
88909;25990;10214;yocan/vaporizer-hit-2;3;0.500;SUMA-TIENDA;65990;2.54;Vaporizador Extracciones Yocan Iris - Blanco
88909;25990;10503;yocan/pocket;4;0.429;ya-tiene-tienda;94990;3.65;Vaporizador Extracciones Yocan Iris - Blanco
88909;25990;10521;yocan/kodo-pro;2;0.429;SUMA-TIENDA;14990;1.73;Vaporizador Extracciones Yocan Iris - Blanco
88911;25990;10679;yocan/vaporizer-vane-2;2;0.500;SUMA-TIENDA;69990;2.69;Vaporizador Extracciones Yocan Iris - Morado
88911;25990;10214;yocan/vaporizer-hit-2;3;0.500;SUMA-TIENDA;65990;2.54;Vaporizador Extracciones Yocan Iris - Morado
88911;25990;10548;yocan/flat;2;0.500;SUMA-TIENDA;9990;2.60;Vaporizador Extracciones Yocan Iris - Morado
87543;54990;10679;yocan/vaporizer-vane-2;2;0.600;SUMA-TIENDA;69990;1.27;Vaporizador Herbal Yocan Vane 2 - Blanco
