offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;candidatos;lastSeenAt;url
87819;friendlygrow;clipper;"Funda Multifunción para Encendedor 3-en-1 - Windproof &amp; Grinder";2990;Moledores;34;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/funda_multifuncion_para-_encendedor-3-en-1
87570;friendlygrow;cookies;Pesa Digital de Bolsillo Cookies MAXIM-500;119990;Otros parafernalia;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pesa-digital-de-bolsillo-cookies-maxim-500
87629;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Pink;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Pink
87630;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - White;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=White
87631;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Brown;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Brown
87632;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 1;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%201
87633;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 2;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%202
87634;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 3;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%203
87635;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 4;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%204
87636;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 5;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%205
87637;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 6;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%206
87638;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 7;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%207
87639;friendlygrow;cookies;Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 8;6290;Pipas;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%208
87643;friendlygrow;cookies;Full Smoking Set Cookies Edition - Kit Premium 9 Piezas;19000;Otros parafernalia;3;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/full-smoking-set-cookies-edition-kit-premium-9-piezas
87457;friendlygrow;galaxy;Moledor Lightning Colors Metal 55mm - Azul;6990;Moledores;16;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/moledor-lightning-colors-metal-55mm?variant=Azul
87458;friendlygrow;galaxy;Moledor Lightning Colors Metal 55mm - Amarillo;6990;Moledores;16;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/moledor-lightning-colors-metal-55mm?variant=Amarillo
87459;friendlygrow;galaxy;Moledor Lightning Colors Metal 55mm - Verde;6990;Moledores;16;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/moledor-lightning-colors-metal-55mm?variant=Verde
87460;friendlygrow;galaxy;Moledor Lightning Colors Metal 55mm - Morado;6990;Moledores;16;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/moledor-lightning-colors-metal-55mm?variant=Morado
88381;friendlygrow;galaxy;Vaporizador Discreto Dazzleaf Spaceman 550mah Para Cartridge;28000;Accesorios de extraccion;16;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/vaporizador-discreto-dazzleaf-spaceman-550mah-para-cartridge-4
87644;friendlygrow;smoking;Full Smoking Set Mr. Joint Pink Edition - Kit Premium de 10 Piezas;19000;Otros parafernalia;1;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/full-smoking-set-mr-joint-pink-edition-kit-premium-de-10-piezas
87645;friendlygrow;smoking;Pack Fumeta Set Stoner Days - Kit Premium 11 Piezas;19000;Otros parafernalia;1;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/full-smoking-set-stoner-days-kit-premium-9-piezas
87508;friendlygrow;yocan;Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2;9990;Accesorios de extraccion;5;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/yocan-vane-2-mouthpiece
87561;friendlygrow;yocan;Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2;9990;Accesorios de extraccion;5;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/boquilla-de-enfriamiento-herbal-yocan-hit-2
87651;friendlygrow;yocan;Vaporizador Para Hierbas Yocan Hit - Plateado;30990;Accesorios de extraccion;5;P10548:flat(2t sim=0.38 ratio=3.10);2026-07-24;https://www.friendlygrow.cl/vaporizador-para-hierbas-yocan-hit-kit-100-original?variant=Plateado
87652;friendlygrow;yocan;Vaporizador Para Hierbas Yocan Hit - Dorado;30990;Accesorios de extraccion;5;P10548:flat(2t sim=0.38 ratio=3.10);2026-07-24;https://www.friendlygrow.cl/vaporizador-para-hierbas-yocan-hit-kit-100-original?variant=Dorado
87653;friendlygrow;yocan;Vaporizador Para Hierbas Yocan Hit - Azul;30990;Accesorios de extraccion;5;P10548:flat(2t sim=0.38 ratio=3.10);2026-07-24;https://www.friendlygrow.cl/vaporizador-para-hierbas-yocan-hit-kit-100-original?variant=Azul
87657;friendlygrow;yocan;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Celeste;29990;Accesorios de extraccion;5;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/hot-knife-dabber-electrico-para-extracciones-yocan-blade?variant=Celeste
87658;friendlygrow;yocan;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Morado;29990;Accesorios de extraccion;5;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/hot-knife-dabber-electrico-para-extracciones-yocan-blade?variant=Morado
87659;friendlygrow;yocan;Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Rojo;29990;Accesorios de extraccion;5;(ninguno sobre el umbral);2026-07-24;https://www.friendlygrow.cl/hot-knife-dabber-electrico-para-extracciones-yocan-blade?variant=Rojo
