offerId,tienda,titulo,precio,productId,modelSlug,tiendasDestino,ratioPrecio,senal,queVendeEstaTiendaEnElDestino,identidadOferta
1204,fumetas,Blazy Susan Blunt King Size Cono Natural Wraps x2 - Tea Leaf,3490,P10350,blazy-susan/tea-cones-king-size,2t,1.03,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLZS-NWCOX2 ean=810134926653 variante=- base=https://fumetas.cl/blazy-susan-blunt-king-size-cono-natural-wraps-x2-tea-leaf
17736,astrogrowshop,Pack Bong Bonglab Classic Ice KS11,33990,P10407,bonglab/glycerin-black-ice,3t,0.34,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PACKKS11BLKXMAS ean=- variante=- base=https://astrogrowshop.cl/pack-bong-bonglab-classic-ice-ks11
19862,fumetas,Bonglab Polera Prisma,21990,P10108,bonglab/prisma,2t,1.16,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLAB-PBLSHXL ean=- variante=- base=https://fumetas.cl/bonglab-polera-prisma
20035,fumetas,Pins BongLab,4990,P10108,bonglab/prisma,2t,0.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLAB-PINFC ean=- variante=- base=https://fumetas.cl/pins-bonglab
33136,astrogrowshop,Glycerin -Bonglab - THICC MINT,109990,P5521,bonglab/glycerin-thicc,3t,1.14,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLBGA110 ean=- variante=THICC MINT base=https://astrogrowshop.cl/glycerin-bonglab
33138,astrogrowshop,Glycerin -Bonglab - THE YETI,109990,P5526,bonglab/glycerin-yeti,3t,1.05,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLBGA111 ean=- variante=THE YETI base=https://astrogrowshop.cl/glycerin-bonglab
36717,fumetas,Bonglab Polera Prisma - XL,21990,P10108,bonglab/prisma,2t,1.16,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLAB-PBLSHXL ean=- variante=XL base=https://fumetas.cl/bonglab-polera-prisma
37077,fumetas,Pins BongLab - Pin Prisma,4990,P10108,bonglab/prisma,2t,0.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BLAB-PINP ean=- variante=Pin Prisma base=https://fumetas.cl/pins-bonglab
13092,fumetas,Calvo Glass Atrapa cenizas 45° - Macho 14mm,24990,P10375,calvo/difusor-premium-14mm,2t,3.13,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ZL13G45 ean=- variante=- base=https://fumetas.cl/calvo-glass-atrapa-cenizas-macho-14mm-45
13093,fumetas,Calvo Glass Atrapa cenizas 90° - Macho 14mm,24990,P10375,calvo/difusor-premium-14mm,2t,3.13,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ZL13G90 ean=- variante=- base=https://fumetas.cl/calvo-glass-atrapa-cenizas-macho-14mm-90
13193,fumetas,Calvo Glass Bong Beaker Premium 35cm,44990,P10375,calvo/difusor-premium-14mm,2t,5.63,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL120R ean=- variante=- base=https://fumetas.cl/calvo-glass-bong-beaker-lite-35cm
13194,fumetas,Calvo Glass Bong Beaker Premium 40cm,49990,P10375,calvo/difusor-premium-14mm,2t,6.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL130P ean=- variante=- base=https://fumetas.cl/calvo-glass-bong-beaker-lite-40cm
13195,fumetas,Calvo Glass Bong Beaker Premium 45cm,54990,P10375,calvo/difusor-premium-14mm,2t,6.88,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL140GR ean=- variante=- base=https://fumetas.cl/calvo-glass-bong-beaker-lite-45cm
13213,fumetas,Calvo G l a s s Bong Space Horn Rig 21cm,39990,P10194,calvo/space-opera,2t,0.70,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-63Y ean=- variante=- base=https://fumetas.cl/calvo-glass-space-horn-rig-23cm
18059,astrogrowshop,Big Eye Recycler-Calvo Glass,70990,P10224,calvo/big-eye-24cm,3t,1.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BGCG21 ean=- variante=- base=https://astrogrowshop.cl/big-eye-recycler-calvo-glass
20149,fumetas,Calvo Repuesto Nectar Pen,4990,P10525,calvo/nectar-wax-pen,2t,0.18,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-RNPEN ean=- variante=- base=https://fumetas.cl/calvo-repuesto-nectar-pen
34444,fumetas,Calvo Glass Quemador Pyrex - Macho 14mm - Azul,3490,P10375,calvo/difusor-premium-14mm,2t,0.44,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ESBW055B ean=- variante=Azul base=https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm
34445,fumetas,Calvo Glass Quemador Pyrex - Macho 14mm - Turquesa,3490,P10375,calvo/difusor-premium-14mm,2t,0.44,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ESBW055T ean=- variante=Turquesa base=https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm
34447,fumetas,Calvo Glass Quemador Pyrex - Macho 14mm - Rosado,3490,P10375,calvo/difusor-premium-14mm,2t,0.44,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ESBW055P ean=- variante=Rosado base=https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm
34448,fumetas,Calvo Glass Quemador Pyrex - Macho 14mm - Morado,3490,P10375,calvo/difusor-premium-14mm,2t,0.44,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-ESBW055PUR ean=- variante=Morado base=https://fumetas.cl/calvo-glass-quemador-pyrex-macho-14mm
34725,fumetas,Calvo Glass Bong Beaker Premium 35cm - Rojo,44990,P10375,calvo/difusor-premium-14mm,2t,5.63,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL120R ean=- variante=Rojo base=https://fumetas.cl/calvo-glass-bong-beaker-lite-35cm
34726,fumetas,Calvo Glass Bong Beaker Premium 35cm - Verde,44990,P10375,calvo/difusor-premium-14mm,2t,5.63,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL120G ean=- variante=Verde base=https://fumetas.cl/calvo-glass-bong-beaker-lite-35cm
34728,fumetas,Calvo Glass Bong Beaker Premium 35cm - Naranjo,44990,P10375,calvo/difusor-premium-14mm,2t,5.63,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL120O ean=- variante=Naranjo base=https://fumetas.cl/calvo-glass-bong-beaker-lite-35cm
34733,fumetas,Calvo Glass Bong Beaker Premium 40cm - Turquesa,49990,P10375,calvo/difusor-premium-14mm,2t,6.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL130B ean=- variante=Turquesa base=https://fumetas.cl/calvo-glass-bong-beaker-lite-40cm
34734,fumetas,Calvo Glass Bong Beaker Premium 40cm - Rojo,49990,P10375,calvo/difusor-premium-14mm,2t,6.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL130R ean=- variante=Rojo base=https://fumetas.cl/calvo-glass-bong-beaker-lite-40cm
34735,fumetas,Calvo Glass Bong Beaker Premium 40cm - Verde,49990,P10375,calvo/difusor-premium-14mm,2t,6.26,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL130G ean=- variante=Verde base=https://fumetas.cl/calvo-glass-bong-beaker-lite-40cm
34737,fumetas,Calvo Glass Bong Beaker Premium 45cm - Verde,54990,P10375,calvo/difusor-premium-14mm,2t,6.88,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL140GR ean=- variante=Verde base=https://fumetas.cl/calvo-glass-bong-beaker-lite-45cm
34738,fumetas,Calvo Glass Bong Beaker Premium 45cm - Naranja,54990,P10375,calvo/difusor-premium-14mm,2t,6.88,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-CL140OR ean=- variante=Naranja base=https://fumetas.cl/calvo-glass-bong-beaker-lite-45cm
35021,fumetas,Calvo Glass Quemador cuerno - Macho 14mm - Amarillo,8990,P10375,calvo/difusor-premium-14mm,2t,1.13,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=CG-QC14MAMA ean=- variante=Amarillo base=https://fumetas.cl/calvo-glass-quemador-cuerno-14mm
22981,astrogrowshop,Collector Con Candado 22Cm Smell Proof Camo-Dime Bags,27990,P10488,dime-bags/the-collector-22cm,2t,1.08,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGCLCA22CMCAM ean=- variante=- base=https://astrogrowshop.cl/collector-con-candado-22cm-smell-proof-dime-bags
22982,astrogrowshop,Collector Con Candado 30Cm Smell Proof Camo-Dime Bags,32990,P10489,dime-bags/the-collector-30cm,2t,1.10,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGCLCA30CMCAM ean=- variante=- base=https://astrogrowshop.cl/collector-con-candado-30cm-smell-proof-dime-bags
23561,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags,34990,P10491,dime-bags/the-boss-20cm,2t,1.09,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMCAM ean=- variante=- base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
23561,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags,34990,P10488,dime-bags/the-collector-22cm,2t,1.35,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMCAM ean=- variante=- base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
23561,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags,34990,P10489,dime-bags/the-collector-30cm,2t,1.17,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMCAM ean=- variante=- base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
23565,astrogrowshop,The Soldier Con Lock 22 Cm Black-Dime Bags,51990,P10536,dime-bags/the-soldier-22cm,2t,1.02,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTSCL22CMBLK ean=- variante=- base=https://astrogrowshop.cl/the-soldier-con-lock-22-cm-black-dime-bags
23565,astrogrowshop,The Soldier Con Lock 22 Cm Black-Dime Bags,51990,P10488,dime-bags/the-collector-22cm,2t,2.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTSCL22CMBLK ean=- variante=- base=https://astrogrowshop.cl/the-soldier-con-lock-22-cm-black-dime-bags
32289,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags - Verde,32990,P10491,dime-bags/the-boss-20cm,2t,1.03,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMGRN ean=- variante=Verde base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
32290,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags - Rojo,32990,P10491,dime-bags/the-boss-20cm,2t,1.03,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMRED ean=- variante=Rojo base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
