productId,productName,category,brandKey,existingStores,query,score,state,hitTitle,hitUrl,hitPrice,refPrice,priceRatio,offerId,linkedProductId,hitImage
5748,Quemador Perla 18mm Calvo Glass - GB The Green Brand,Repuestos para bongs y vaporizadores,calvo,GrowBarato Chile | Astro Growshop | Piranha | Fumetas,18mm,1.06,huerfana-existente,Quemador 18mm macho,https://www.kushbreak.cl/quemador-18mm-macho,5990,6979,1.17,69147,,https://cdnx.jumpseller.com/kushbreak-growshop/image/36976113/resize/255/255?1687983210
5748,Quemador Perla 18mm Calvo Glass - GB The Green Brand,Repuestos para bongs y vaporizadores,calvo,GrowBarato Chile | Astro Growshop | Piranha | Fumetas,18mm,0.97,vinculada-a-otro,Quemador honeycomb macho 18mm,https://www.kushbreak.cl/quemador-honeycomb-macho-18mm-repuesto-bong,7990,6979,1.14,69081,5747,https://cdnx.jumpseller.com/kushbreak-growshop/image/30999686/resize/255/255?1679515267
6008,Papelillos OCB Premium 1 1/4,Papelillos,ocb,Astro Growshop | Fumetas | Piranha | GrowBarato Chile,ocb,0.96,url-no-scrapeada,Papelillos OCB® Premium negro,https://www.kushbreak.cl/papelillos-ocb-premium-negro-1-1/4-tabaco,750,892,1.19,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18633988/resize/255/255?1679515263
5462,Papelillos OCB Bamboo 1 1/4,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,ocb,0.94,url-no-scrapeada,Papelillos OCB® Bamboo,https://www.kushbreak.cl/papelillos-ocb-bamboo-1-1/4-tabaco,800,808,1.01,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18633989/resize/255/255?1679515264
5817,Papel ultrafino OCB Ultimate 1.1/4 - GB The Green Brand,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,ocb,0.94,url-no-scrapeada,Papelillos OCB® Ultimate,https://www.kushbreak.cl/papelillos-ocb-ultimate-1-1/4-tabaco,800,908,1.14,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18634132/resize/255/255?1679515229
10066,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,blazy-susan,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.9,huerfana-existente,Papelillos King Size Futurola,https://www.kushbreak.cl/papelillos-king-size-futurola,1500,818,1.83,69138,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589117/resize/255/255?1679515230
10066,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,blazy-susan,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.9,huerfana-existente,Papelillos Kingsize Slim Futurola,https://www.kushbreak.cl/papelillos-kingsize-slim-futurola,1500,818,1.83,69214,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589123/resize/255/255?1679515230
10066,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,blazy-susan,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.9,url-no-scrapeada,Papelillos RAW® Kingsize,https://www.kushbreak.cl/papelillos-raw-kingsize,1300,818,1.59,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18634567/resize/255/255?1679515207
5965,RAW Porta Papeles de 1.1/4 caja metálica,Contenedores y estuches,raw,Piranha | Fumetas | Astro Growshop | GrowBarato Chile,metalica,0.88,vinculada-a-otro,Porta papelillos metálico Elements® 1 1/4,https://www.kushbreak.cl/porta-papelillos-met%C3%A1lico-elements%C2%AE-1-1/4-1,1200,1612,1.34,69350,10869,https://cdnx.jumpseller.com/kushbreak-growshop/image/2558674/resize/255/255?1679515228
10190,Bandeja RAW Metálica Classic Mediana,Bandejas y ceniceros,raw,GrowBarato Chile | Piranha | Fumetas | Astro Growshop,classic,0.85,huerfana-existente,Grav Sherlock classic,https://www.kushbreak.cl/grav-sherlock-classic-pipa-vidrio,25990,6518,3.99,69106,,https://cdnx.jumpseller.com/kushbreak-growshop/image/10970723/resize/255/255?1679515256
10190,Bandeja RAW Metálica Classic Mediana,Bandejas y ceniceros,raw,GrowBarato Chile | Piranha | Fumetas | Astro Growshop,classic,0.85,vinculada-a-otro,Vaporizador Volcano Classic,https://www.kushbreak.cl/vaporizador-volcano-classic-cannabis,399990,6518,61.37,69030,9246,https://cdnx.jumpseller.com/kushbreak-growshop/image/3458923/resize/255/255?1679515235
10190,Bandeja RAW Metálica Classic Mediana,Bandejas y ceniceros,raw,GrowBarato Chile | Piranha | Fumetas | Astro Growshop,classic,0.85,vinculada-a-otro,Vaporizador Volcano GOLD Classic,https://www.kushbreak.cl/vaporizador-volcano-classic-gold,499990,6518,76.71,69031,10302,https://cdnx.jumpseller.com/kushbreak-growshop/image/8987161/resize/255/255?1679515252
10083,OCB Premium 1.1/4 + Tips,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,ocb,0.83,url-no-scrapeada,Papelillos OCB® Premium 1 1/4 + Filter Tips,https://www.kushbreak.cl/papelillos-ocb-premium-1-1/4-tips-tabaco,1390,1918,1.38,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2557467/resize/255/255?1679515227
10140,OCB Premium Slim King Size 32 hojas,Papelillos,ocb,Piranha | GrowBarato Chile | Astro Growshop | Fumetas,ocb,0.83,url-no-scrapeada,Papelillos OCB® Premium Slim,https://www.kushbreak.cl/papelillos-ocb-premium-slim-kingsize-tabaco,990,1618,1.63,,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2557461/resize/255/255?1679515227
5746,Quemador Honeycomb Macho 14Mm,Repuestos para bongs y vaporizadores,bonglab,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,macho,0.83,huerfana-existente,Quemador 14mm macho,https://www.kushbreak.cl/repuesto-quemador-14mm-macho,5990,5858,1.02,69119,,https://cdnx.jumpseller.com/kushbreak-growshop/image/6528008/resize/255/255?1679515229
5746,Quemador Honeycomb Macho 14Mm,Repuestos para bongs y vaporizadores,bonglab,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,macho,0.83,huerfana-existente,Quemador Cuerno 14mm macho,https://www.kushbreak.cl/quemador-cuerno-14mm-macho,7990,5858,1.36,69117,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18721892/resize/255/255?1679515263
10203,Quemador Abeja Calvo Glass Macho 14mm | Bowl de Borosilicato para Bong,Repuestos para bongs y vaporizadores,calvo,Fumetas | GrowBarato Chile | Astro Growshop | Piranha,macho,0.83,huerfana-existente,Quemador 14mm macho,https://www.kushbreak.cl/repuesto-quemador-14mm-macho,5990,8475,1.41,69119,,https://cdnx.jumpseller.com/kushbreak-growshop/image/6528008/resize/255/255?1679515229
10203,Quemador Abeja Calvo Glass Macho 14mm | Bowl de Borosilicato para Bong,Repuestos para bongs y vaporizadores,calvo,Fumetas | GrowBarato Chile | Astro Growshop | Piranha,macho,0.83,huerfana-existente,Quemador Cuerno 14mm macho,https://www.kushbreak.cl/quemador-cuerno-14mm-macho,7990,8475,1.06,69117,,https://cdnx.jumpseller.com/kushbreak-growshop/image/18721892/resize/255/255?1679515263
10181,Blazy Susan Deluxe Rolling Kit Pink King Size,Papelillos,blazy-susan,Astro Growshop | GrowBarato Chile | Fumetas | Piranha,king-size,0.81,huerfana-existente,Papelillos + tips King Size Futurola,https://www.kushbreak.cl/papelillos-tips-king-size-futurola,2100,2218,1.06,69113,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589125/resize/255/255?1679515230
10182,Blazy Susan Deluxe Rolling Kit Purple King Size,Papelillos,blazy-susan,GrowBarato Chile | Fumetas | Astro Growshop | Piranha,king-size,0.81,huerfana-existente,Papelillos + tips King Size Futurola,https://www.kushbreak.cl/papelillos-tips-king-size-futurola,2100,2193,1.04,69113,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2589125/resize/255/255?1679515230
10399,Difusor Bonglab Logo Magenta 14mm 12cm,Repuestos para bongs y vaporizadores,bonglab,Astro Growshop | GrowBarato Chile | Piranha | Fumetas,difusor,0.8,huerfana-existente,​Repuesto tubo difusor 14mm / 13cm.,https://www.kushbreak.cl/repuesto-tubo-difusor-14mm-bong-vidrio,7990,3693,2.16,69057,,https://cdnx.jumpseller.com/kushbreak-growshop/image/2640317/resize/255/255?1679515231
5499,Grinder Galaxy Aluminio 63mm,Moledores,galaxy,Astro Growshop | Piranha | Fumetas | GrowBarato Chile,aluminio,0.79,huerfana-existente,Moledor Natural Glass 63mm 4 piezas.,https://www.kushbreak.cl/moledor-natural-glass-grinder-aluminio-50-55-63-mm,15990,21129,1.32,68959,,https://cdnx.jumpseller.com/kushbreak-growshop/image/3997430/resize/255/255?1744387384
10105,Banger Calvo Flat Bucket 90° - Macho 14mm,Accesorios de extraccion,calvo,GrowBarato Chile | Fumetas | Piranha | Astro Growshop,banger,0.78,huerfana-existente,Banger 14mm,https://www.kushbreak.cl/banger-14mm-bong-rosin,6990,10168,1.45,69095,,https://cdnx.jumpseller.com/kushbreak-growshop/image/34248107/resize/255/255?1681850709
5763,Ozeta Chestbag Circular 4x4 Con Clave - Anti Olor,Contenedores y estuches,ozeta,Fumetas | Astro Growshop | Piranha | GrowBarato Chile,ozeta,0.78,vinculada-a-otro,Bolso Ozeta Chestbag 4x4 Con Clave,https://www.kushbreak.cl/bolso-chestbag-4x4-clave,39990,38713,1.03,69235,5780,https://cdnx.jumpseller.com/kushbreak-growshop/image/48782643/resize/255/255?1732645798
5462,Papelillos OCB Bamboo 1 1/4,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,huerfana-existente,Khemo Silver 1 1/4,https://www.kushbreak.cl/khemo-silver-1-14-papelillos,800,808,1.01,69066,,https://cdnx.jumpseller.com/kushbreak-growshop/image/5530382/resize/255/255?1679515248
5462,Papelillos OCB Bamboo 1 1/4,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,vinculada-a-otro,Papelillos RAW® 1 1/4,https://www.kushbreak.cl/papelillos-raw-1-1/4-papers,1000,808,1.24,69349,5458,https://cdnx.jumpseller.com/kushbreak-growshop/image/2553269/resize/255/255?1679515206
5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,vinculada-a-otro,Papelillos Elements® 1 1/4,https://www.kushbreak.cl/papelillos-elements%C2%AE-1-1/4-1,650,818,1.26,69348,10859,https://cdnx.jumpseller.com/kushbreak-growshop/image/2558624/resize/255/255?1679515228
5479,Papelillos OCB X-Pert 1 1/4,Papelillos,ocb,Fumetas | Piranha | GrowBarato Chile | Astro Growshop,1-1,0.75,huerfana-existente,Khemo Silver 1 1/4,https://www.kushbreak.cl/khemo-silver-1-14-papelillos,800,933,1.17,69066,,https://cdnx.jumpseller.com/kushbreak-growshop/image/5530382/resize/255/255?1679515248
