offerId;productId;veredicto;congelado;motivo
1151;10734;NO-VINCULAR;no;fantasma - el scraper ya no la ve en Astro (no-2026-06-30)
31025;10734;VINCULAR;no;color cosmético azul al mismo precio 34990
31028;10734;VINCULAR;no;color cosmético Rojo al mismo precio 34990
31026;10734;VINCULAR;no;color cosmético verde al mismo precio 32990
31024;10734;VINCULAR;no;color cosmético Rosa al mismo precio 34990
31027;10734;VINCULAR;no;color cosmético Morado al mismo precio 32990
31192;5999;VINCULAR;si;color cosmético CHARCOAL al mismo precio 49990
31194;5999;VINCULAR;si;color cosmético Morado al mismo precio 49990
31190;5999;VINCULAR;si;color cosmético azul al mismo precio 49990
31191;5999;VINCULAR;si;color cosmético Negro al mismo precio 49990
31193;5999;VINCULAR;si;color cosmético CHAMPAGNE al mismo precio 49990
31195;5999;VINCULAR;si;color cosmético Amarillo al mismo precio 49990
31196;5999;VINCULAR;si;color cosmético Plata al mismo precio 49990
31197;5999;VINCULAR;si;color cosmético Rosa al mismo precio 49990
32562;10289;VINCULAR;si;color cosmético Naranjo al mismo precio 65990
32564;10289;VINCULAR;si;color cosmético Verde azulado al mismo precio 69990
32563;10289;VINCULAR;si;color cosmético Morado al mismo precio 65990
31210;5356;VINCULAR;si;color cosmético Dorado al mismo precio 28990
31214;5356;VINCULAR;si;color cosmético Morado al mismo precio 31990
31211;5356;VINCULAR;si;color cosmético Oro rosa al mismo precio 28990
31212;5356;VINCULAR;si;color cosmético Plata al mismo precio 28990
31208;5356;VINCULAR;si;color cosmético azul al mismo precio 31990
31213;5356;VINCULAR;si;color cosmético Rojo al mismo precio 28990
31209;5356;VINCULAR;si;color cosmético verde al mismo precio 31990
32200;10359;NO-VINCULAR;no;medida 12 CM es producto distinto del 14 CM del producto curado
77155;10333;VINCULAR;no;color cosmético PINK-WHITE al mismo precio 9990
77156;10333;VINCULAR;no;color cosmético PINK-MULTICOLOR al mismo precio 9990
31312;10333;VINCULAR;no;color cosmético ANIMAL PRINT al mismo precio 9990
77158;10333;VINCULAR;no;gemela viva de of31309 Azul (fantasma); vincula la oferta que Astro sigue publicando
31330;5746;VINCULAR;si;color cosmético Rosa al mismo precio 6990
31329;5746;VINCULAR;si;color cosmético verde al mismo precio 6990
31331;5746;VINCULAR;si;color cosmético Morado al mismo precio 6990
31499;5746;VINCULAR;si;color cosmético GOLDEN al mismo precio 4990
31497;5746;VINCULAR;si;color cosmético verde al mismo precio 4990
31503;5746;VINCULAR;si;color cosmético Verde azulado al mismo precio 4990
31504;5746;VINCULAR;si;color cosmético CLEAR al mismo precio 4990
31498;5746;VINCULAR;si;color cosmético Azul oscuro al mismo precio 4990
31502;5746;VINCULAR;si;color cosmético Rosa al mismo precio 4990
31505;5746;VINCULAR;si;color cosmético SMOKEY GRAY al mismo precio 4990
31500;5746;VINCULAR;si;color cosmético AMBAR al mismo precio 4990
31501;5746;VINCULAR;si;color cosmético Morado al mismo precio 4990
31406;6020;VINCULAR;no;color cosmético Negro al mismo precio 6990
31404;6020;VINCULAR;no;color cosmético MILK GREEN al mismo precio 6990
31405;6020;VINCULAR;no;color cosmético Rosa al mismo precio 5990
31408;6020;NO-VINCULAR;no;variante GENERICO a $3990 es modelo base sin color; duplica la oferta base
31450;5529;VINCULAR;si;color cosmético Negro al mismo precio 23990
31448;5529;VINCULAR;si;color cosmético Verde azulado al mismo precio 27990
31449;5529;VINCULAR;si;color cosmético Ámbar al mismo precio 27990
