urlBase;offerIdsHuerfanas;productIdsDestino;slugs;tiendas
https://astrogrowshop.cl/conos-pre-roll-king-size-jar-50u-blazy-susan;32184;10152|10719;blazy-susan/pre-roll-pink-king-size-50u|blazy-susan/pre-roll-purple-king-size-50u;2|2
https://astrogrowshop.cl/filtro-de-carbon-activado-kasvi;31747|31751|31753;10703|10725|10742|10829;kasvi/carbon-activado-100x300|kasvi/carbon-activado-125x400|kasvi/carbon-activado-150x400|kasvi/carbon-activado-315x1200;4|3|3|2
https://astrogrowshop.cl/eco-pro-cartrige-8000-puff-4545mg-life-pod;32965|32967|32974|32975|32977|32984|32964|32978|32979|32980|32981|32983|32985|32966|32968|32970|32971|32973|92191|92194|92197|92200|92201|32986|32976;10821|10836|10823|10822;life-pod/eco-pro-cartridge-8000-cherry-bomb|life-pod/eco-pro-cartridge-8000-triple-berry|life-pod/eco-pro-cartridge-8000-white-mocha-ice|life-pod/eco-pro-cartridge-8000-pear-ice;2|2|2|2
https://astrogrowshop.cl/vidrio-de-repuesto-carta-2sport-focus-v;32244|32241|32242;10674|10325;focus-v/vidrio-carta-2-sport|focus-v/vidrio-carta-sport;2|3
https://astrogrowshop.cl/vaporizador-hierba-seca-vane-yocan;32807|32809|32811;10642|10679;yocan/vaporizer-vane|yocan/vaporizer-vane-2;2|2
https://astrogrowshop.cl/vaporizador-hookah-20000-puff-2-fume;33260|33258|33259|33262|33264|33265|33266|33267;10838|10840|10839;fume/hookah-20000-blueberry-ice|fume/hookah-20000-lemon-mint|fume/hookah-20000-cool-mint;2|2|2
https://astrogrowshop.cl/pin-hightrip;79500;10682|10669|10873|10872|10496|10497|10683|10672|10592;hightrip/pin-joint|hightrip/pin-la-germinacion|hightrip/pin-highskulls-2|hightrip/pin-tattoo|hightrip/pin-pipazo|hightrip/pin-pizzannabica|hightrip/pin-crossjoint|hightrip/pin-galleta-magica|hightrip/pin-cannabis-libre;2|2|2|2|3|3|2|2|2
https://astrogrowshop.cl/glass-cleaner-limpiador-bonglab;17142|31592|77488;10246|10247|10706;bonglab/cleaner-250ml|bonglab/cleaner-500ml|bonglab/cleaner-1l;3|2|2
https://astrogrowshop.cl/vaporizador-mini-2200-oxbar;32630;10810|10825|10808|10807|10827|10828|10824|10809|10806|10826;oxbar/mini-2200-strawberry-ice-lemon|oxbar/mini-2200-miami-mint|oxbar/mini-2200-juicy-watermelon-ice|oxbar/mini-2200-apple-grape|oxbar/mini-2200-mango-ice-cream|oxbar/mini-2200-blue-razz-lemonade|oxbar/mini-2200-blue-razz-ice|oxbar/mini-2200-peach-watermelon-ice|oxbar/mini-2200-grape-ice|oxbar/mini-2200-triple-mango-ice;4|3|3|3|2|2|3|3|3|2
https://astrogrowshop.cl/vaporizador-proxy-puffco-1;31769|31770|91153;10443|10662;puffco/proxy|puffco/proxy-storm;2|2
https://astrogrowshop.cl/esencia-salt-30ml-nasty;56213|56209|56210|56212|56214|56215|56217;10843|10844;nasty/salt-gold-blend-30ml|nasty/salt-bronze-blend-30ml;2|2
https://astrogrowshop.cl/estuche-grande-ozeta;31638;5761|10698;ozeta/case-antiolor-large|ozeta/case-grande-2023;5|2
https://astrogrowshop.cl/estuche-pequeno-ozeta;31646|77553;10699|5765;ozeta/case-pequeno-2023|ozeta/case-antiolor-small;2|5
https://astrogrowshop.cl/new-peak-pro-pearl-3dxl-puffco;31795|31796;10560|10561;puffco/new-peak-pro-onyx-3dxl|puffco/new-peak-pro-pearl-3dxl;3|4
https://astrogrowshop.cl/svopp-pod-25000-oxbar;47113;10795|10793|10798|10800|10792|10799|10801|10797|10796|10794|10791;oxbar/svopp-25k-grapefruit-passion-fruit|oxbar/svopp-25k-extreme-mint|oxbar/svopp-25k-watermelon-ice|oxbar/svopp-25k-peach-mango-watermelon|oxbar/svopp-25k-blueberry-raspberry-lemon|oxbar/svopp-25k-peach-ice|oxbar/svopp-25k-strawberry-watermelon|oxbar/svopp-25k-triple-mango-ice|oxbar/svopp-25k-tobacco-virginia|oxbar/svopp-25k-grape-ice|oxbar/svopp-25k-blue-razz-ice;3|3|3|2|3|2|2|3|3|3|3
https://astrogrowshop.cl/bolso-ywiwis-antiolor-ozeta;32842;10198|10526|10199|10571|7885|10696|10573|10697;ozeta/case-ywiwis-carboncin|ozeta/bolso-felpudo-gatito|ozeta/case-ywiwis-perrito|ozeta/estuche-felpudo-pizza|ozeta/case-ywiwis|ozeta/case-ywiwis-ina|ozeta/estuche-felpudo-empanada|ozeta/case-ywiwis-lola;4|4|4|3|4|3|3|3
https://astrogrowshop.cl/wall-mount-stundenglass;33408;10670|10724;cookies/stundenglass-wall-mount|stundenglass/wall-mount-dr-greenthumbs;3|2
https://astrogrowshop.cl/dream-rig-bonglab;31631|31632|31633;5525|10288;bonglab/dream-rig|bonglab/dream-rig-x4;4|2
