offerId;marca;linea;sabor;resultado;productIdExistente;offerIdsOtrasTiendas;motivo
32965;Life Pod;Eco Pro Cartridge 8000;MANGO ICE;HUERFANA-LEGITIMA;;;
32967;Life Pod;Eco Pro Cartridge 8000;PASSION FRUIT ICE;HUERFANA-LEGITIMA;;;
32974;Life Pod;Eco Pro Cartridge 8000;STRAWBERRY BANANA;HUERFANA-LEGITIMA;;;
32975;Life Pod;Eco Pro Cartridge 8000;SPEARMINT;HUERFANA-LEGITIMA;;;
32977;Life Pod;Eco Pro Cartridge 8000;WATERMELON ICE;HUERFANA-LEGITIMA;;;
32984;Life Pod;Eco Pro Cartridge 8000;GREEN APPLE;HUERFANA-LEGITIMA;;;
32964;Life Pod;Eco Pro Cartridge 8000;BANANA ICE;HUERFANA-LEGITIMA;;;
32978;Life Pod;Eco Pro Cartridge 8000;STRAWBERRY KIWI;HUERFANA-LEGITIMA;;;
32979;Life Pod;Eco Pro Cartridge 8000;STRAWBERRY ICE;HUERFANA-LEGITIMA;;;
32980;Life Pod;Eco Pro Cartridge 8000;GRAPE ICE;HUERFANA-LEGITIMA;;;
32981;Life Pod;Eco Pro Cartridge 8000;WATERMELON GUMMY;HUERFANA-LEGITIMA;;;
32983;Life Pod;Eco Pro Cartridge 8000;LOVE 66;HUERFANA-LEGITIMA;;;
32985;Life Pod;Eco Pro Cartridge 8000;PASSION FRUIT MANGO;HUERFANA-LEGITIMA;;;
32966;Life Pod;Eco Pro Cartridge 8000;MONSTER DRINK;HUERFANA-LEGITIMA;;;
32968;Life Pod;Eco Pro Cartridge 8000;PASSION STRAWBERRY ICE;HUERFANA-LEGITIMA;;;
32970;Life Pod;Eco Pro Cartridge 8000;APPLE BERRIES;HUERFANA-LEGITIMA;;;
32971;Life Pod;Eco Pro Cartridge 8000;BLUE RAZZ ICE;HUERFANA-LEGITIMA;;;
32973;Life Pod;Eco Pro Cartridge 8000;COCONUT WATER;HUERFANA-LEGITIMA;;;
92191;Life Pod;Eco Pro Cartridge 8000;blue razz ice;HUERFANA-LEGITIMA;;;
92194;Life Pod;Eco Pro Cartridge 8000;Strawberry Banana;HUERFANA-LEGITIMA;;;
92197;Life Pod;Eco Pro Cartridge 8000;Watermelon Ice;HUERFANA-LEGITIMA;;;
92200;Life Pod;Eco Pro Cartridge 8000;Grape Ice;HUERFANA-LEGITIMA;;;
92201;Life Pod;Eco Pro Cartridge 8000;WATERMELON GUMMY;HUERFANA-LEGITIMA;;;
32986;Life Pod;Eco Pro Cartridge 8000;GREEN GRAPE;HUERFANA-LEGITIMA;;;
92207;Life Pod;Eco Pro Cartridge 8000;WHITE COCHA ICE;HUERFANA-LEGITIMA;;;
32976;Life Pod;Eco Pro Cartridge 8000;MENTHOL;HUERFANA-LEGITIMA;;;
33260;Fume;Hookah 20000;LADY KILLER;PRODUCTO-NUEVO;;80461|Piranha;Mismo sabor en Astro y Piranha (ofertas no vinculadas en ambas)
33258;Fume;Hookah 20000;DOUBLE APPLE;PRODUCTO-NUEVO;;80463|Piranha;Mismo sabor en Astro y Piranha (ofertas no vinculadas en ambas)
33259;Fume;Hookah 20000;GRAPE MINT;PRODUCTO-NUEVO;;80462|Piranha;Mismo sabor en Astro y Piranha (ofertas no vinculadas en ambas)
33264;Fume;Hookah 20000;PEACH ICE;PRODUCTO-NUEVO;;80467|Piranha;Mismo sabor en Astro y Piranha (ofertas no vinculadas en ambas)
33265;Fume;Hookah 20000;STRAWBERRY BANANA;PRODUCTO-NUEVO;;80466|Piranha;Mismo sabor en Astro y Piranha (ofertas no vinculadas en ambas)
33262;Fume;Hookah 20000;LOVE;HUERFANA-LEGITIMA;;;
33266;Fume;Hookah 20000;STRAWBERRY WATERMELON;HUERFANA-LEGITIMA;;;
33267;Fume;Hookah 20000;WATERMELON BUBBLE GUM;HUERFANA-LEGITIMA;;;
56213;Nasty;Salt 30ml;MAN GRAPE;HUERFANA-LEGITIMA;;;
56209;Nasty;Salt 30ml;ALOE GRAPE;HUERFANA-LEGITIMA;;;
56210;Nasty;Salt 30ml;ASAP GRAPE ICE;HUERFANA-LEGITIMA;;;
56212;Nasty;Salt 30ml;MAN BANANA;HUERFANA-LEGITIMA;;;
56214;Nasty;Salt 30ml;MAN ICE;HUERFANA-LEGITIMA;;;
56215;Nasty;Salt 30ml;MAN STRAWBERRY;HUERFANA-LEGITIMA;;;
56217;Nasty;Salt 30ml;POMEGRANATE BERRY;HUERFANA-LEGITIMA;;;
32630;Oxbar;Mini 2200;MANGO PIÑA ICE;PRODUCTO-NUEVO;;88121|FriendlyGrow;Mismo sabor en Astro y Friendly Grow (Mango Trio Ice ~= Mango Piña Ice)
47113;Oxbar;Svopp 25000;Mango Peach Ice;PRODUCTO-NUEVO;;87959|FriendlyGrow;Mismo sabor en Astro y Friendly Grow (ofertas no vinculadas en ambas)
