offerId,titulo,categoria_actual,inStock,curada
87521,"Bong Pyrex Nasty Clown | 30cm 1,2kg | + Quemador Gratis","Repuestos para bongs y vaporizadores",false,
87952,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Blueberry Raspberry Lemon","Vaporizadores electronicos",true,
87954,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Extreme Mint","Vaporizadores electronicos",true,
87956,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Grape Ice","Vaporizadores electronicos",true,
87958,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Grapefruit Passion Fruit","Vaporizadores electronicos",true,
87959,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Mango Peach Ice","Vaporizadores electronicos",true,
87960,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Peach Ice","Vaporizadores electronicos",true,
87962,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Peach Mango Watermelon","Vaporizadores electronicos",true,
87963,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Strawberry Watermelon","Vaporizadores electronicos",true,
87964,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Tobacco Virginia","Vaporizadores electronicos",true,
87966,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Watermelon Ice","Vaporizadores electronicos",true,
88097,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Blue razz ice","Vaporizadores electronicos",true,
88099,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Grape berries","Vaporizadores electronicos",false,
88100,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Mixed berries","Vaporizadores electronicos",false,
88101,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Triple mango ice","Vaporizadores electronicos",false,
88103,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Watermelon Strawberry kiwi","Vaporizadores electronicos",false,
88104,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Grape Ice","Vaporizadores electronicos",false,
88106,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Green Apple sour","Vaporizadores electronicos",true,
88108,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Miami mint","Vaporizadores electronicos",true,
88110,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Watermelon Ice","Vaporizadores electronicos",false,
88115,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Arandano Ice","Vaporizadores electronicos",true,
88117,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Limon frutilla Ice","Vaporizadores electronicos",true,
88119,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Limonada de Arandano","Vaporizadores electronicos",true,
88121,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Mango Trio Ice","Vaporizadores electronicos",true,
88123,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Menta Tropical","Vaporizadores electronicos",true,
88124,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Sandia Durazno Ice","Vaporizadores electronicos",true,
88125,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Sandia Ice","Vaporizadores electronicos",true,
88126,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Uva Ice","Vaporizadores electronicos",true,
88128,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Uva Manzana","Vaporizadores electronicos",true,
88210,"Oxbar TriFusion 45k - Grape Ice","Vaporizadores electronicos",true,
88211,"Oxbar TriFusion 45k - Pineapple Mango Watermelon","Vaporizadores electronicos",true,
88212,"Oxbar TriFusion 45k - Blueberry raspberry","Vaporizadores electronicos",true,
88214,"Oxbar TriFusion 45k - Grape Raspberry","Vaporizadores electronicos",true,
88215,"Oxbar TriFusion 45k - Double Mint","Vaporizadores electronicos",true,
88216,"Oxbar TriFusion 45k - Strawberry Kiwi Watermelon","Vaporizadores electronicos",true,
88272,"Bateria Vaporizador Oxbar Svopp - Black","Vaporizadores electronicos",true,
88274,"Bateria Vaporizador Oxbar Svopp - Gunmetal","Vaporizadores electronicos",true,
88531,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Mango Peach Ice","Otros parafernalia",true,
88533,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Piña colada","Otros parafernalia",true,
88535,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Menta","Otros parafernalia",true,
88537,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Grape Apple","Otros parafernalia",true,
88539,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Blue razz ice","Otros parafernalia",true,
88540,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Monster ice","Otros parafernalia",true,
88541,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Watermelon Ice","Otros parafernalia",true,
88543,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Grape Ice","Otros parafernalia",true,
88545,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Lemon mint","Otros parafernalia",true,
88547,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Blueberry raspberry","Otros parafernalia",true,
88606,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Peach Mango Watermelon","Otros parafernalia",true,
88608,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Watermelon Ice","Otros parafernalia",true,
88609,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Clear","Otros parafernalia",true,
88611,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - White Grape Ice","Otros parafernalia",true,
88613,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Raspberry Sour Apple","Otros parafernalia",true,
88615,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Alphonso Mango","Otros parafernalia",true,
88617,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Razz Banana","Otros parafernalia",true,
88619,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Blue Razz Lemonade","Otros parafernalia",true,
88622,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Blackberry Razz","Otros parafernalia",true,
88623,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Pink Lemonade","Otros parafernalia",true,
88659,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Sandia Ice","Otros parafernalia",false,
88661,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Mix Frutos Rojos","Otros parafernalia",false,
88663,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Uva Ice","Otros parafernalia",false,
88665,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Chicle","Otros parafernalia",false,
88666,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - RedBull","Otros parafernalia",false,
88668,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Chicle de Uva","Otros parafernalia",false,
88669,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Frutilla Mango","Otros parafernalia",false,
88671,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Arandano Ice","Otros parafernalia",false,
88672,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Mango Ice","Otros parafernalia",false,
88673,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Frambuesa Arandano Ice","Otros parafernalia",false,
88675,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Frutilla Ice","Otros parafernalia",true,
88676,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Menta Ice","Otros parafernalia",true,
88678,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Mora Menta","Otros parafernalia",false,
88683,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Blue Razz","Otros parafernalia",true,
88685,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Chocolate","Otros parafernalia",false,
88686,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Grape","Otros parafernalia",true,
88687,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Mango","Otros parafernalia",true,
88688,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Mint Ice","Otros parafernalia",false,
88689,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Rainbow Candy","Otros parafernalia",false,
88691,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Strawberry","Otros parafernalia",true,
88692,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Strawberry Mango","Otros parafernalia",false,
88694,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Tangerine Ice","Otros parafernalia",false,
88696,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Blueberry","Otros parafernalia",true,
88698,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Cotton Candy","Otros parafernalia",true,
88700,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - White Grape","Otros parafernalia",false,
88702,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Blue Razz Lemonade","Otros parafernalia",false,
88704,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Razz Banana","Otros parafernalia",false,
88706,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Watermelon Ice","Otros parafernalia",true,
88708,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Pink Lemonade","Otros parafernalia",true,
88709,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Peach Mango Watermelon","Otros parafernalia",true,
88711,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Clear","Otros parafernalia",true,
88712,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Blackberry Razz","Otros parafernalia",true,
88713,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Alphonso Mango","Otros parafernalia",true,
88715,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Rasperry Sour Apple","Otros parafernalia",true,
88716,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Tobacco","Otros parafernalia",true,
88745,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mora ice / Sandia Ice","Otros parafernalia",true,
88747,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Durazno mango sandia ice / kiwi frutilla","Otros parafernalia",true,
88749,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mango maracuya ice / Mix frutos rojos","Otros parafernalia",true,
88751,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Chicle / Frutilla Sandia Ice","Otros parafernalia",true,
88753,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Chicle Uva / Durazno mango sandia ice","Otros parafernalia",true,
88755,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Cereza arandano ice / Frutilla Sandia ice","Otros parafernalia",true,
88756,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mix Frutos Rojos / Sandia Ice","Otros parafernalia",true,
88757,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Frambuesa Arandano Ice / Uva Ice","Otros parafernalia",true,
88759,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Tutti frutti / Melon Ice","Otros parafernalia",true,
88760,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Frutilla Mango Ice/Frutilla maracuya ice","Otros parafernalia",true,
88763,"Vaporizador Desechable Nexbar 25.000 Puffs - Fresh Mojito Menthol","Otros parafernalia",true,
88764,"Vaporizador Desechable Nexbar 25.000 Puffs - Peach Mango Waternelon","Otros parafernalia",true,
88766,"Vaporizador Desechable Nexbar 25.000 Puffs - Blue razz ice","Otros parafernalia",true,
88767,"Vaporizador Desechable Nexbar 25.000 Puffs - Blueberry Rasperry","Otros parafernalia",true,
88768,"Vaporizador Desechable Nexbar 25.000 Puffs - Strawberry Kiwi","Otros parafernalia",true,
88770,"Vaporizador Desechable Nexbar 25.000 Puffs - Watermelon Ice","Otros parafernalia",true,
88771,"Vaporizador Desechable Nexbar 25.000 Puffs - Grape Ice","Otros parafernalia",true,
88774,"Vaporizador Desechable Vapx 8000 Puffs - Mamba","Otros parafernalia",true,
88776,"Vaporizador Desechable Vapx 8000 Puffs - Blue razz ice","Otros parafernalia",true,
88778,"Vaporizador Desechable Vapx 8000 Puffs - Mint","Otros parafernalia",true,
88780,"Vaporizador Desechable Vapx 8000 Puffs - Purple Rain","Otros parafernalia",true,
88782,"Vaporizador Desechable Vapx 8000 Puffs - Mango","Otros parafernalia",true,
88784,"Vaporizador Desechable Vapx 8000 Puffs - Kiwi Berry ice","Otros parafernalia",true,
88785,"Vaporizador Desechable Vapx 8000 Puffs - Guava Ice","Otros parafernalia",true,
88786,"Vaporizador Desechable Vapx 8000 Puffs - Peach Mango Watermelon","Otros parafernalia",true,
88788,"Vaporizador Desechable Vapx 8000 Puffs - Lush Ice","Otros parafernalia",true,
88857,"Vaporizador Desechable Fluumbar 8.000 Puffs - Sandia Ice","Otros parafernalia",false,
88859,"Vaporizador Desechable Fluumbar 8.000 Puffs - Mix Frutos Rojos","Otros parafernalia",true,
88860,"Vaporizador Desechable Fluumbar 8.000 Puffs - Uva Ice","Otros parafernalia",true,
88861,"Vaporizador Desechable Fluumbar 8.000 Puffs - Chicle","Otros parafernalia",false,
88862,"Vaporizador Desechable Fluumbar 8.000 Puffs - RedBull","Otros parafernalia",false,
88864,"Vaporizador Desechable Fluumbar 8.000 Puffs - Chicle de Uva","Otros parafernalia",true,
88865,"Vaporizador Desechable Fluumbar 8.000 Puffs - Frutilla Mango","Otros parafernalia",false,
88867,"Vaporizador Desechable Fluumbar 8.000 Puffs - Arandano Ice","Otros parafernalia",false,
88868,"Vaporizador Desechable Fluumbar 8.000 Puffs - Mango Ice","Otros parafernalia",false,
88870,"Vaporizador Desechable Fluumbar 8.000 Puffs - Frambuesa Arandano Ice","Otros parafernalia",true,
88872,"Vaporizador Desechable Fluumbar 8.000 Puffs - Frutilla Ice","Otros parafernalia",false,
88874,"Vaporizador Desechable Fluumbar 8.000 Puffs - Menta Ice","Otros parafernalia",true,
88876,"Vaporizador Desechable Fluumbar 8.000 Puffs - Mora Menta","Otros parafernalia",true,
88937,"Vaporizador Desechable Vpro 24.000 Puffs - Kiwi Berry ice","Otros parafernalia",true,
88939,"Vaporizador Desechable Vpro 24.000 Puffs - Red Apple","Otros parafernalia",false,
88941,"Vaporizador Desechable Vpro 24.000 Puffs - Lush","Otros parafernalia",true,
88943,"Vaporizador Desechable Vpro 24.000 Puffs - Yellow Frost","Otros parafernalia",false,
88945,"Vaporizador Desechable Vpro 24.000 Puffs - MintyO&amp;#39;S","Otros parafernalia",true,
88947,"Vaporizador Desechable Vpro 24.000 Puffs - Rainbow","Otros parafernalia",true,
88948,"Vaporizador Desechable Vpro 24.000 Puffs - Black Ice","Otros parafernalia",true,
88949,"Vaporizador Desechable Vpro 24.000 Puffs - Berries Mix","Otros parafernalia",true,
88963,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Cranberry Soda","Otros parafernalia",false,
88965,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - JasminePeach","Otros parafernalia",true,
88967,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Mermeland","Otros parafernalia",true,
88969,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Orange Mango Watermelon","Otros parafernalia",true,
88970,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Pineapple Cherry","Otros parafernalia",false,
88971,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Sour Black Currant","Otros parafernalia",true,
88987,"Vaporizador Desechable Nexbar 10.000 Puffs - Blue razz ice","Otros parafernalia",true,
88989,"Vaporizador Desechable Nexbar 10.000 Puffs - Blueberry Ice","Otros parafernalia",true,
88991,"Vaporizador Desechable Nexbar 10.000 Puffs - Blueberry raspberry","Otros parafernalia",true,
88992,"Vaporizador Desechable Nexbar 10.000 Puffs - Grape Ice","Otros parafernalia",true,
88994,"Vaporizador Desechable Nexbar 10.000 Puffs - Strawberry ice","Otros parafernalia",true,
88996,"Vaporizador Desechable Nexbar 10.000 Puffs - Strawberry Mango","Otros parafernalia",true,
88998,"Vaporizador Desechable Nexbar 10.000 Puffs - Watermelon Ice","Otros parafernalia",true,
89002,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Blue razz ice","Otros parafernalia",true,
89003,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Caramel tobacco","Otros parafernalia",true,
89005,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Forest berries","Otros parafernalia",true,
89006,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Grape Apple","Otros parafernalia",true,
89008,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Mint","Otros parafernalia",true,
89009,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Monster ice","Otros parafernalia",true,
89010,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Strawberry Mango","Otros parafernalia",true,
89012,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Watermelon Ice","Otros parafernalia",true,
