candidata,tipo,ofertas_fg,offerIds_ejemplo,tiendas_con_token,huerfanas_otras,curadas_otras,colision,veredicto,motivo
"vaporesso",LINEA-MODELO,12,88012;88013;88014,2,7,0,"no",ALTA,"Marca de vaporizadores real; 12 ofertas FG en Vaporizadores herbales; presente en tiendas 1(Fumetas)+24(FG); 7 huerfanas en Fumetas sin marca; 0 curadas"
"baked bunny",MARCA,44,87357;87358;87359,2,1,0,"no",ALTA,"Marca de moledores/contenedores; 44 ofertas FG en Moledores,Contenedores,Bandejas; presente en tiendas 4(GrowBarato)+24(FG); 1 huerfana en GB (papelillos); 0 curadas"
"tornasol",MARCA,5,87358;87430;87946,3,12,2,"no",ALTA,"Línea/marca de moledores; 5 ofertas FG en Moledores,Bongs,Otros; presente en tiendas 2(Fumetas)+4(GrowBarato)+24(FG); 12 huerfanas otras, 2 curadas"
"donut",LINEA-MODELO,6,87497;87498;87499,2,1,0,"no",NECESITA-FOTO,"Aparece como 'Nectar Collector Donut' en 2 tiendas; ¿es marca o forma del producto? Sin evidencia en Productos curados"
"balloon dog",MARCA,3,88165;88166;88168,2,1,0,"no",NECESITA-FOTO,"'Pipa de Silicona Balloon Dog' en 2 tiendas; ¿es marca o diseño escultórico? Sin evidencia en Productos curados"
"gorilla",LINEA-MODELO,6,88439;88441;88442,2,1,0,"no",NECESITA-FOTO,"'Bong Pyrex Gorilla Rolling Star' en 2 tiendas; ¿es marca o línea de modelo? Sin evidencia en Productos curados"
"phoenix",MARCA,76,87492;87493;87494,1,0,0,"no",DESCARTAR,"76 ofertas FG pero solo 1 tienda (24=FG); sin par en otra tienda para comparar precios"
"doteco",MARCA,29,88221;88355;88357,1,0,0,"no",DESCARTAR,"29 ofertas FG pero solo 1 tienda (24=FG); sin par en otra tienda"
"star",RUIDO,69,87492;87493;87494,5,5,5,"starter (varios)",DESCARTAR,"Substring de 'starter' en productos curados (Dynavap B2, Storz Bickel, RAW Starter, PAX Plus); no es marca"
"alien",RUIDO,29,87431;87432;87433,4,7,5,"alien-design (zippo)",DESCARTAR,"Colisiona con P10413 Zippo Alien Design (brandKey=zippo); es modelo de Zippo"
"edition",RUIDO,30,87359;87364;87365,3,2,2,"volcano-hybrid-onyx (storz-bickel)",DESCARTAR,"Genérico; aparece en P5745 Storz & Bickel Volcano Hybrid Onyx Edition; no es marca"
"alta",RUIDO,27,87551;87552;87553,4,1,6,"alta-filtracion (bonglab)",DESCARTAR,"Descriptor genérico 'Alta Filtración'; aparece en descripciones de BongLab y otros"
"mr",RUIDO,25,87426;87427;87428,3,0,4,"mr-pipe-cleaner",DESCARTAR,"Colisiona con marca existente Mr Pipe Cleaner (P9235,P9236,P10245); en FG es 'Mr Joint' = línea, no marca nueva"
"sphere",RUIDO,15,87551;87552;87553,2,1,2,"no",DESCARTAR,"Descriptor de percolator ('Perc Sphere'); tipo de filtración, no marca"
"dabs",RUIDO,8,87490;87491;87492,3,2,3,"no",DESCARTAR,"Tipo de producto ('para Dabs'); no es marca"
"cbd",RUIDO,7,87593;88372;88373,2,1,0,"no",DESCARTAR,"Descriptor de ingrediente; no es marca"
"nano",RUIDO,7,88012;88013;88014,6,2,17,"banano-con-clave (ozeta)",DESCARTAR,"Size descriptor ('Nano 3 Pod Kit'); en Productos aparece en 'banano' (Ozeta/Blazy Susan); no es marca"
