offerId,titulo_fg,precio_fg,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
87508,"Boquila Enfriamiento Herbal Vaporizador Yocan Vane 2",9990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,7.01,NO-VINCULAR,"Ratio precio 7.01x demasiado alto — productos probablemente distintos"
87513,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Rosa",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87514,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Blanco",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87515,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Rojo",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87516,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Naranjo",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87517,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Verde",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87518,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Celeste",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87519,"Bateria Hot Knife Dabber Electrico Yocan Dirk - Azul",24990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.32,VINCULAR,"dirk comparable a Hot Knife dabber eléctrico Dirk; ratio 1.32x; SUMA-TIENDA"
87529,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Rosa",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
87530,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Azul Claro",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
87531,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Blanco",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
87532,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Verde Claro",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
