offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;ejemplosDestino;lastSeenAt;url
15657;piranha;blazy-susan;"Bandeja Rolling Tray Acero INOX Blazy Susan 18x24cm Rose Gold | PIRANHA";24892;Bandejas y ceniceros;14;P10152:pre-roll-pink-king-size-50u(2t) P10183:purple-con-tips(2t) P10184:deluxe-rolling-kit-pink-1-1-4(2t);2026-07-27;https://piranha.cl/inicio/7368/bandeja-rolling-tray-acero-inox-blazy-susan-18x24cm-rose-gold.html
15843;piranha;blazy-susan;"Mochila Anti Olor Blazy Susan Logos | PIRANHA";74791;Contenedores y estuches;14;P10152:pre-roll-pink-king-size-50u(2t) P10183:purple-con-tips(2t) P10184:deluxe-rolling-kit-pink-1-1-4(2t);2026-07-27;https://piranha.cl/inicio/7444/mochila-anti-olor-blazy-susan-logos.html
15815;piranha;blazy-susan;"Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA";69591;Contenedores y estuches;14;P10152:pre-roll-pink-king-size-50u(2t) P10183:purple-con-tips(2t) P10184:deluxe-rolling-kit-pink-1-1-4(2t);2026-07-27;https://piranha.cl/inicio/7443/mochila-anti-olor-blazy-susan-clasica-pink.html
15812;piranha;blunt-wrap;"Blunt Hemp Wrap (4u) + Boquilla Pre-Enrolada (4u) | PIRANHA";2490;Filtros y boquillas;1;P8638:wrap-platinum-2u(2t);2026-07-27;https://piranha.cl/inicio/7263/blunt-hemp-wrap-incluye-boquillas-pre-enroladas.html
15977;piranha;blunt-wrap;"Blunt Hemp Wrap Rolling Stones Lemon Haze | PIRANHA";1990;Conos y blunts;1;P8638:wrap-platinum-2u(2t);2026-07-27;https://piranha.cl/inicio/8348/blunt-hemp-wrap-rolling-stones-lemon-haze-lion.html
502;piranha;blunt-wrap;"Kush Blunt Hemp Wrap Terpene Infused (2u) | PIRANHA";1590;Conos y blunts;1;P8638:wrap-platinum-2u(2t);2026-07-27;https://piranha.cl/inicio/7643/kush-blunt-hemp-wrap-terpene-infused-2u-sabor-a-eleccion.html
16131;piranha;bonglab;"Bong Kit Extractos Doble Circuit Bonglab | PIRANHA";49491;Bongs;51;P5527:km8-viper(3t) P5533:water-splash(3t) P10706:cleaner-1l(2t);2026-07-27;https://piranha.cl/inicio/7157/bong-kit-extractos-doble-circuit-bonglab.html
80837;piranha;bonglab;"Mecha Ovillo 1m Bonglab";990;Otros parafernalia;51;P5527:km8-viper(3t) P5533:water-splash(3t) P10706:cleaner-1l(2t);2026-07-27;https://piranha.cl/inicio/6011/mecha-ovillo-1m-bonglab.html
14263;piranha;bonglab;"Bong R2";21111;Bongs;51;P5527:km8-viper(3t) P5533:water-splash(3t) P10706:cleaner-1l(2t);2026-07-27;https://piranha.cl/inicio/6058/bong-r2-bonglab-color-a-eleccion.html
15752;piranha;bonglab;"Bong Classy Bonglab | PIRANHA";38242;Bongs;51;P5527:km8-viper(3t) P5533:water-splash(3t) P10706:cleaner-1l(2t);2026-07-27;https://piranha.cl/inicio/6051/bong-classy-bonglab-color-a-eleccion.html
16182;piranha;calvo;"Glass Beads";13041;Otros parafernalia;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-10;https://piranha.cl/inicio/6373/calvo-glass-beads-color-aleatorio.html
1316;piranha;calvo;"Batería Vaporizador Calvo 510 350MAH | PIRANHA";9891;Vaporizadores herbales;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/vaporizadores-wax-resinas/8367/bateria-vaporizador-calvo-510-350.html
15728;piranha;calvo;"Batería Vaporizador Calvo Hidden 510 650MAH | PIRANHA";23741;Vaporizadores herbales;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/vaporizadores-wax-resinas/8369/bateria-vaporizador-calvo-hidden-510-650mah-color-a-eleccion.html
39353;piranha;calvo;"Nectar Collector - Calvo | PIRANHA";14990;Accesorios de extraccion;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/inicio/8056/nectar-collector-calvo-color-aleatorio.html
80230;piranha;calvo;"Calvo Glass Marble Set | PIRANHA";11990;Accesorios de extraccion;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/inicio/6373/calvo-glass-marble-set-color-a-eleccion.html
15802;piranha;calvo;"Bucket Banger 14mm";13990;Accesorios de extraccion;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/inicio/6378/bucket-banger-14mm-calvo.html
15722;piranha;calvo;"Batería Vaporizador Calvo 510 LED 400MAH";14241;Vaporizadores herbales;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/vaporizadores-wax-resinas/8368/bateria-vaporizador-calvo-510-led-400mah-color-a-eleccion.html
918;piranha;calvo;"Bong Red Drop Micro Rig 16cm sin Quemador";33921;Repuestos para bongs y vaporizadores;23;P10404:flat-bucket-banger-45-10mm(2t) P6774:hammer-wag-wig(3t) P10216:four-horn(2t);2026-07-27;https://piranha.cl/inicio/6369/bong-calvo-drop-micro-rig-16cm-sin-quemador-color-a-eleccion.html
