senal,valor,tienda,productos,ofertasCuradas,huerfanasEnGrupo,titulos,precios,ratioPrecio,tocaCongelado
sku,67992374748205,piranha,P5532 bonglab/tiny-bell-extended (3t) | P5778 bonglab/tiny-bell (4t),of3498->P5532(pierdeTienda=SI) | of846->P5778(pierdeTienda=SI),no,of3498:Bong Tiny Bell || of846:Bong Tiny Bell,"of3498:14442;of846:16990",1.1764298573604763,si
sku,AYPRAWMQERA11U4BLK,astrogrowshop,P5799 raw/rolling-machine-ecoplastic-1-1-4 (4t) | P10144 raw/rolling-machine-ecoplastic-ajustable-1-1-4 (3t),"of2613->P5799(pierdeTienda=SI,SIN-STOCK) | of31688->P10144(pierdeTienda=SI,SIN-STOCK)",no,of2613:MAQUINA ENROLADORA -RAW || of31688:MAQUINA ENROLADORA -RAW - ENROLADORA NEGRO,"of2613:3290;of31688:3290",1,si
sku,BGBLX4AMBER,astrogrowshop,P5525 bonglab/dream-rig (4t) | P10288 bonglab/dream-rig-x4 (2t),"of2606->P5525(pierdeTienda=no) | of31630->P10288(pierdeTienda=no,SIN-STOCK)",no,of2606:Dream Rig-Bonglab || of31630:Dream Rig-Bonglab - AMBAR,"of2606:24990;of31630:24990",1,si
sku,BGCGFBB9014MM,astrogrowshop,P10404 calvo/flat-bucket-banger-45-10mm (2t) | P10105 calvo/banger-flat-bucket-macho-90-14mm (4t),"of32872->P10404(pierdeTienda=no,SIN-STOCK) | of12689->P10404(pierdeTienda=no,SIN-STOCK) | of32874->P10105(pierdeTienda=SI,SIN-STOCK)",of78984,of32872:Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 45° 14Mm || of12689:Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) || of32874:Flat Bucket Banger -Calvo (45° 10Mm/45° 14Mm/90° 10Mm/90° 14Mm) - 90° 14MM,"of32872:7990;of12689:7990;of32874:7990",1,si
sku,BGGRHOOKCO,astrogrowshop,P10722 stundenglass/gravity-hookah (2t) | P10659 cookies/stundenglass-gravity-hookah (3t),"of23150->P10722(pierdeTienda=no) | of31801->P10659(pierdeTienda=SI,SIN-STOCK)",no,of23150:Gravity Hookah -Stundenglass || of31801:Gravity Hookah -Stundenglass - COOKIES,"of23150:424990;of31801:499990",1.1764747405821314,no
sku,BLAB-DIF-14N,fumetas,P10260 bonglab/diffuser-14mm-14cm (4t) | P10359 bonglab/difusor-logo-14mm-morado (3t),"of12854->P10260(pierdeTienda=SI) | of34005->P10359(pierdeTienda=no,SIN-STOCK)",no,of12854:Difusor Bonglab 18mm-14mm - 14cm || of34005:Difusor Bonglab 18mm-14mm - 14cm - Negro,"of12854:3790;of34005:3790",1,si
sku,BLAB-DREX4GR,fumetas,P10288 bonglab/dream-rig-x4 (2t) | P5525 bonglab/dream-rig (4t),of13171->P10288(pierdeTienda=no) | of34681->P5525(pierdeTienda=no),no,of13171:Bonglab Bong X4 Dream Rig 22cm || of34681:Bonglab Bong X4 Dream Rig 22cm - Verde,"of13171:25990;of34681:25990",1,si
sku,CLIPP-MDEGO,fumetas,P10721 clipper/metalico-demon-gradient (2t) | P10481 clipper/metalico-green-gradient (2t),of34112->P10721(pierdeTienda=no) | of19294->P10481(pierdeTienda=no),no,of34112:Encendedor Clipper Metálico Demon Gradient - Opaco || of19294:Encendedor Clipper Metálico Demon Gradient,"of34112:6990;of19294:6990",1,no
sku,GLXY-QUPL,fumetas,P10694 galaxy/quartz-63mm (2t) | P5503 galaxy/quartz (3t),of33612->P10694(pierdeTienda=no) | of1235->P5503(pierdeTienda=SI),no,of33612:Moledor Galaxy Quartz 63 mm - Plateado || of1235:Moledor Galaxy Quartz 63 mm,"of33612:47990;of1235:47990",1,no
sku,MLGANDGBLK,astrogrowshop,P5503 galaxy/quartz (3t) | P10694 galaxy/quartz-63mm (2t),of4711->P5503(pierdeTienda=SI) | of30957->P10694(pierdeTienda=no),no,of4711:Moledor Quartz Grinder- Galaxy || of30957:Moledor Quartz Grinder- Galaxy - Negro,"of4711:35990;of30957:35990",1,no
