offerId,tienda,titulo,precio,destinoPropuesto,destinoSlug,alternativas,url
16026,piranha,Mighty Juego de Boquillas,13900,10264,storz-bickel/mouthpiece-crafty-4u,P5755:charger-mighty-plus-usb-c-supercharger | P9245:mighty-plus,https://piranha.cl/inicio/317/mightymighty-juego-de-boquillas.html
16103,piranha,Crafty/Crafty+ Estuche Rígido| PIRANHA,17991,10287,storz-bickel/mighty,P5741:crafty-plus | P5756:cooling-unit-crafty,https://piranha.cl/inicio/7817/craftycrafty-estuche-rigido.html
16175,piranha,Crafty Kit de Repuestos,29742,10275,storz-bickel/piezas-desgaste-mighty,P5741:crafty-plus | P5756:cooling-unit-crafty,https://piranha.cl/inicio/326/crafty-kit-de-repuestos.html
513,piranha,Válvula Solid Valve Set,110492,10519,storz-bickel/easy-valve-starter-set,P10647:solid-valve-o-ring-set | P10398:solid-valve-boquilla,https://piranha.cl/inicio/305/volcano-solid-valve-set.html
11107,piranha,Volcano Hybrid Cámara de Hierbas| PIRANHA,94991,10263,storz-bickel/dosing-capsules-volcano-camara,P10361:volcano-hybrid-tube-kit | P5745:volcano-hybrid-onyx,https://piranha.cl/inicio/7825/volcano-hybrid-camara-de-hierbas.html
15815,piranha,Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA,69591,10448,blazy-susan/banano-smellproof-pink,P5705:pre-roll-pink-1-1-4-6u | P10068:pink-king-size-slim,https://piranha.cl/inicio/7443/mochila-anti-olor-blazy-susan-clasica-pink.html
15843,piranha,Mochila Anti Olor Blazy Susan Logos | PIRANHA,74791,10570,blazy-susan/bolso-cruzado-smellproof,P10590:mochila-smellproof-negra | P10591:mochila-smellproof-rosada,https://piranha.cl/inicio/7444/mochila-anti-olor-blazy-susan-logos.html
15848,piranha,Bolso Anti Olor Dime Bags The Don con Candado | PIRANHA,34993,10490,dime-bags/the-boss-25cm,P10762:the-don-con-clave | P10769:the-outfit-con-clave,https://piranha.cl/inicio/8354/bolso-anti-olor-dime-bags-the-don-con-candado-color-a-eleccion.html
14380,piranha,Cargador Inalámbrico Focus V Aeris | PIRANHA,75991,10467,focus-v/cargador-inalambrico-carta-2,P10435:aeris | P10460:bateria-intercambiable-aeris,https://piranha.cl/inicio/8721/cargador-inalambrico-focus-v-aeris.html
80305,piranha,Puffco New Peak Pro 3DXL LTD Plasma Edition Chamber | PIRANHA,179991,10639,puffco/chamber-3dxl-onyx,P10888:new-peak-pro-plasma-3dxl | P10454:peak-pro-3dxl-chamber,https://piranha.cl/inicio/8853/puffco-new-peak-pro-3dxl-ltd-plasma-edition-chamber.html
93698,piranha,Jockey RAW Camuflado con Spot Secreto | PIRANHA,14241,10589,raw/jockey-flat-snapback-black,P10053:classic-con-tips,https://piranha.cl/inicio/8928/jockey-raw-camuflado-con-spot-secreto.html
11209,piranha,Jockey RAW con Spot Secreto,12341,10589,raw/jockey-flat-snapback-black,P10053:classic-con-tips,https://piranha.cl/inicio/6478/jockey-raw-con-spot-secreto.html
93658,piranha,Jockey RAW Trucker Camuflado con Beige y Spot Secreto | PIRANHA,14241,10589,raw/jockey-flat-snapback-black,P10053:classic-con-tips,https://piranha.cl/inicio/8929/jockey-raw-trucker-camuflado-con-beige-y-spot-secreto.html
3530,piranha,Papelillo RAW Black Organic Hemp King Size | PIRANHA,1290,10272,raw/black-king-size-slim,P5465:black-organic-hemp | P5418:classic-king-size-slim,https://piranha.cl/inicio/7273/papelillos-raw-black-organic-hemp-king-size.html
93936,piranha,Cajita Metálica Porta Papelillos RAW Black 1 1/4 | PIRANHA,1990,10186,raw/black-connoisseur-1-1-4-tips,P5464:black | P5465:black-organic-hemp,https://piranha.cl/inicio/8933/cajita-metalica-porta-papelillos-raw-black-1-14.html
11480,growbarato,Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables,1800,10353,blazy-susan/roll-8m-pink,P5460:purple | P5707:pre-roll-purple-1-1-4-6u,https://www.growbaratochile.cl/blazy-susan/blazy-susan-rollo-8-metros-purple.html
71166,growbarato,Bonglab Pocket Twister 23cm – Bong Compacto Negro y Verde | GrowBaratoChile,28800,10466,bonglab/tough-beaker-23cm,P5528:pocket-bell | P10248:cleaner-bong-pipe-pipe-250ml,https://www.growbaratochile.cl/parafernalia/bong-pocket-twister-bonglab.html
16131,piranha,Bong Kit Extractos Doble Circuit Bonglab | PIRANHA,49491,10461,bonglab/cobra-rig-kit-extractos,P10457:mini-beaker-kit-extractos | P10248:cleaner-bong-pipe-pipe-250ml,https://piranha.cl/inicio/7157/bong-kit-extractos-doble-circuit-bonglab.html
15863,piranha,Encendedor Zippo Leaf Design Engraved,34990,10308,zippo/cannabis-design-3,P10332:cannabis-design-iridiscente | P10364:flame-design,https://piranha.cl/inicio/6266/encendedor-zippo-leaf-design-engraved.html
16137,piranha,Blunt Wrap Lion Rolling Circus,1990,10733,lion-rolling-circus/terpenes-gelato,P10542:hemp-wrap-gorila-gl | P10544:hemp-wrap-tangie,https://piranha.cl/inicio/1487/friendly-url-autogeneration-failed.html
11380,growbarato,Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural,1700,5421,blazy-susan/unbleached-king-size-slim,P10282:unbleached-king-size-slim-con-tips | P10066:purple-king-size-slim,https://www.growbaratochile.cl/blazy-susan/blazy-susan-deluxe-kit-king-size-unbleached.html
11070,piranha,Cajita Metálica RAW Rectangular | PIRANHA,2490,10513,raw/cajita-cigarrera-tapa-deslizante,P10389:mix-metalica | P10853:cajita-pre-enrolados-1-1-4,https://piranha.cl/inicio/7298/cajita-metalica-raw-rectangular.html
