offerId,tienda,titulo,precio,lastSeenAt,senal,valor,productId,modelSlug,tiendasProducto,tiendaYaPresente,congelado,ofertaCuradaRef,ratioPrecio,url
88203,friendlygrow,Vaporizador Airis Mystica Ace Para Cartridges - Peacock Green,14990,2026-07-24,sku,181410524526,10720,airistech/bateria-mystica-ace,3,si,no,of88201:Vaporizador Airis Mystica Ace Para Cartridges - Blue Gradient,1.00,https://www.friendlygrow.cl/vaporizador-airis-mystica-ace?variant=Peacock%20Green
87909,friendlygrow,Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Gradiente,24990,2026-07-24,sku,181786269643,10882,airistech/dabble,2,si,no,of87907:Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Blanco,1.00,https://www.friendlygrow.cl/vaporizador-extracciones-en-bongs-airis-dabble-airistech?variant=Gradiente
87911,friendlygrow,Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Aleatorio,24990,2026-07-24,sku,181786269643,10882,airistech/dabble,2,si,no,of87907:Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Blanco,1.00,https://www.friendlygrow.cl/vaporizador-extracciones-en-bongs-airis-dabble-airistech?variant=Aleatorio
12919,fumetas,Boquillas Herbva 5G (Flat/Glass),4990,2026-06-13,sku,AIR-BOQ5GF,10885,airistech/boquilla-herbva-5g,2,si,no,of35843:Boquillas Herbva 5G (Flat/Glass) - Flat,1.00,https://fumetas.cl/boquilla-herbva-5g
78786,astrogrowshop,Neon Tray Bandeja Enrolado Led -Bonglab - BLUE,23990,2026-07-27,sku,AYPBLBGTBLUE,5732,bonglab/neon-led,3,si,no,of78:Neon Tray Bandeja Enrolado Led -Bonglab,1.00,https://astrogrowshop.cl/neon-tray-bandeja-enrolado-led-bonglab?variant=BLUE
78044,astrogrowshop,Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - WHITE,3490,2026-07-27,sku,AYPBLCOCTB4ML,5760,bonglab/extract-container-extracts-4ml,3,si,no,of12181:Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab,1.00,https://astrogrowshop.cl/contenedor-extractos-clear-tapa-4ml-bonglab?variant=WHITE
32488,astrogrowshop,Cenicero De Silicona -Blazy Susan - Rosa,12990,2026-07-10,sku,AYPBSCEDSPNK,10371,blazy-susan/cenicero-silicona,2,si,no,of78542:Cenicero De Silicona -Blazy Susan - PINK,1.00,https://astrogrowshop.cl/cenicero-de-silicona-blazy-susan?variant=Rosa
78121,astrogrowshop,Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan - PURPLE,3990,2026-07-27,sku,AYPBSCOPU1146U,5705,blazy-susan/pre-roll-pink-1-1-4-6u,3,si,no,of768:Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan,1.00,https://astrogrowshop.cl/conos-pre-roll-1-14-pack-6u-blazy-susan?variant=PURPLE
12352,astrogrowshop,Conos Pre Roll Shortys Pack 12U-Blazy Susan,4990,2026-06-13,sku,AYPBSCOSHPU12U,5712,blazy-susan/pre-roll-shorty-53mm-12u,3,si,no,of78339:Conos Pre Roll Shortys Pack 12U-Blazy Susan - PURPLE,0.83,https://astrogrowshop.cl/conos-pre-roll-shortys-pack-12u-blazy-susan
78776,astrogrowshop,FILTRO CARBON ACTIVADO 50U-CALVO - BLACK,9490,2026-07-27,sku,AYPCGFCACBLK50U,10301,calvo/carbon-activo-black-6mm-50u,2,si,no,of12559:FILTRO CARBON ACTIVADO 50U-CALVO,1.00,https://astrogrowshop.cl/filtro-carbon-activado-50u-calvo?variant=BLACK
78067,astrogrowshop,Soplete Mini Rubber 2.0 -Calvo Glass - BLUE,2990,2026-07-27,sku,AYPCGMNRBLUE,10310,special-blue/mini-rubber-2-0,3,si,no,of765:Soplete Mini Rubber 2.0 -Calvo Glass,1.00,https://astrogrowshop.cl/soplete-mini-rubber-20-calvo-glass?variant=BLUE
31458,astrogrowshop,Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Grape,2490,2026-07-27,sku,AYPGRLHWX4GRP1UNID,10381,g-rollz/blunt-hemp-wrap-x4,3,si,no,of12413:Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz,1.00,https://astrogrowshop.cl/blunt-hemp-wrap-x4-grape-g-rollz?variant=Grape
32772,astrogrowshop,Filtro Personal Pro II -Sploofy - Rojo,34990,2026-07-10,sku,AYPSPYFPP2RED,10528,sploofy/pro,4,si,si,of17913:Pro Filtro De Humo Personal Red Sploofy,1.00,https://astrogrowshop.cl/filtro-personal-pro-ii-sploofy?variant=Rojo
78886,astrogrowshop,Filtro Personal Pro II -Sploofy - RED,29990,2026-07-27,sku,AYPSPYFPP2RED,10528,sploofy/pro,4,si,si,of17913:Pro Filtro De Humo Personal Red Sploofy,0.86,https://astrogrowshop.cl/filtro-personal-pro-ii-sploofy?variant=RED
31309,astrogrowshop,Encendedor Torch Zt-70 - Zengaz - Azul,9990,2026-07-10,sku,AYPZGZZT70TOAZ,10333,zengaz/zt-70,2,si,no,of77158:Encendedor Torch Zt-70 - Zengaz - BLUE,1.00,https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=Azul
31310,astrogrowshop,Encendedor Torch Zt-70 - Zengaz - ROSA/BLANCO,9990,2026-07-10,sku,AYPZGZZT70TORB,10333,zengaz/zt-70,2,si,no,of77155:Encendedor Torch Zt-70 - Zengaz - PINK-WHITE,1.00,https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=ROSA%2FBLANCO
31311,astrogrowshop,Encendedor Torch Zt-70 - Zengaz - ROSA/MULTICOLOR,9990,2026-07-10,sku,AYPZGZZT70TORM,10333,zengaz/zt-70,2,si,no,of77156:Encendedor Torch Zt-70 - Zengaz - PINK-MULTICOLOR,1.00,https://astrogrowshop.cl/encendedor-torch-zt-70-zengaz?variant=ROSA%2FMULTICOLOR
32106,astrogrowshop,Atrapa Ceniza Panal Triple 14Mm-Bonglab - Transparente,24990,2026-07-10,sku,BGBLA14BCLEAR,10309,bonglab/atrapa-cenizas-triple-honeycomb-14mm,5,si,si,of78019:Atrapa Ceniza Panal Triple 14Mm-Bonglab - CLEAR,1.00,https://astrogrowshop.cl/atrapa-ceniza-panal-triple-14mm-bonglab?variant=Transparente
32105,astrogrowshop,Atrapa Ceniza Panal Triple 14Mm-Bonglab - Verde,22990,2026-07-10,sku,BGBLA14BGREEN,10309,bonglab/atrapa-cenizas-triple-honeycomb-14mm,5,si,si,of78018:Atrapa Ceniza Panal Triple 14Mm-Bonglab - GREEN,1.00,https://astrogrowshop.cl/atrapa-ceniza-panal-triple-14mm-bonglab?variant=Verde
78020,astrogrowshop,Atrapa Ceniza Panal Triple 18Mm-Bonglab - BLUE,22990,2026-07-27,sku,BGBLA19BBLUE,10316,bonglab/atrapa-cenizas-triple-honeycomb-18mm,3,si,no,of12170:Atrapa Ceniza Panal Triple 18Mm-Bonglab,1.00,https://astrogrowshop.cl/atrapa-ceniza-panal-triple-18mm-bonglab?variant=BLUE
