offerId,tienda,titulo,precio,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
of15657,piranha,"""Bandeja Rolling Tray Acero INOX Blazy Susan 18x24cm Rose Gold | PIRANHA""",24892,10445,blazy-susan/rolling-tray-acero-inoxidable,2,no,SUMA-TIENDA,1.29,VINCULAR,"similitud 0.462, SUMA-TIENDA a P10445 (2t)"
of15843,piranha,"""Mochila Anti Olor Blazy Susan Logos | PIRANHA""",74791,10570,blazy-susan/bolso-cruzado-smellproof,2,no,,1.26,VINCULAR,"similitud 0.500, ya tiene piranha"
of15815,piranha,"""Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA""",69591,10448,blazy-susan/banano-smellproof-pink,3,no,,1.74,VINCULAR,"similitud 0.545, ya tiene piranha"
of15812,piranha,"Blunt Hemp Wrap (4u) + Boquilla Pre-Enrolada (4u) | PIRANHA",2490,10381,g-rollz/blunt-hemp-wrap-x4,3,no,,1.00,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA blunt-wrap->g-rollz"
of15977,piranha,"Blunt Hemp Wrap Rolling Stones Lemon Haze | PIRANHA",1990,10568,lion-rolling-circus/hemp-wrap-berry-gelato,2,no,,1.00,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA blunt-wrap->lion-rolling-circus + SABOR lemon/haze vs destino berry/gelato"
of502,piranha,"Kush Blunt Hemp Wrap Terpene Infused (2u) | PIRANHA",1590,10544,lion-rolling-circus/hemp-wrap-tangie,3,no,,1.07,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA blunt-wrap->lion-rolling-circus"
of16131,piranha,"""Bong Kit Extractos Doble Circuit Bonglab | PIRANHA""",49491,10461,bonglab/cobra-rig-kit-extractos,2,no,,1.10,VINCULAR,"similitud 0.556, ya tiene piranha"
of80837,piranha,"""Mecha Ovillo 1m Bonglab""",990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of14263,piranha,"""Bong R2""",21111,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15752,piranha,"""Bong Classy Bonglab | PIRANHA""",38242,10219,bonglab/km1-prisma,3,"",,2.13,NECESITA-FOTO,"ratio 2.13 + similitud baja 0.400"
of16182,piranha,"""Glass Beads""",13041,,,,,,"",NO-VINCULAR,"sin candidatos curados"
