senal,valor,tienda,productoA,productoB,offerIdA,offerIdB,mismaFichaEnTienda,veredicto,destinoPropuesto,efectoCobertura,motivo
sku,BGBLX4AMBER,astrogrowshop,P5525 bonglab/dream-rig (4t),P10288 bonglab/dream-rig-x4 (2t),of2606,of31630,si,FUSIONAR,P5525 (4t slug "dream-rig"),P5525:4t→4t P10288:2t→0t; neta 0,"Ambas en misma ficha dream-rig-bonglab; of31630 variant=AMBAR; precio idéntico 24990; SKU idéntico BGBLX4AMBER; 'x4' es percolación no modelo"
sku,BLAB-DREX4GR,fumetas,P10288 bonglab/dream-rig-x4 (2t),P5525 bonglab/dream-rig (4t),of13171,of34681,si,FUSIONAR,P5525 (4t slug "dream-rig"),P10288:2t→0t P5525:4t→4t; neta 0,"Ambas en misma ficha bonglab-bong-x4-dream-rig-22cm; of34681 variant=Verde; precio idéntico 25990; SKU idéntico BLAB-DREX4GR; gemelo del BGBLX4AMBER en Astro"
sku,GLXY-QUPL,fumetas,P10694 galaxy/quartz-63mm (2t),P5503 galaxy/quartz (3t),of33612,of1235,si,FUSIONAR,P5503 (3t slug genérico "quartz"),P10694:2t→0t P5503:3t→3t; neta 0,"Ambas en misma ficha moledor-galaxy-quartz-63-mm; of33612 variant=Plateado; precio idéntico 47990; SKU idéntico GLXY-QUPL; '63mm' es talla"
sku,MLGANDGBLK,astrogrowshop,P5503 galaxy/quartz (3t),P10694 galaxy/quartz-63mm (2t),of4711,of30957,si,FUSIONAR,P5503 (3t slug genérico),P5503:3t→3t P10694:2t→0t; neta 0,"Ambas en misma ficha moledor-quartz-grinder-galaxy; of30957 variant=Negro; precio idéntico 35990; SKU idéntico MLGANDGBLK; of30965 (Morado) también → P5503"
sku,OZTA-EGB23,fumetas,P10698 ozeta/case-grande-2023 (2t),P5761 ozeta/case-antiolor-large (5t),of34849,of13243,si,FUSIONAR,P5761 (5t slug "case-antiolor-large"),P10698:2t→0t P5761:5t→5t; neta 0,"Ambas en misma ficha ozeta-estuche-grande-anti-olor-2023; of34849 variant=Negro; precio idéntico 33990; SKU idéntico OZTA-EGB23; '2023' es edición"
sku,OZTA-EPB23,fumetas,P10699 ozeta/case-pequeno-2023 (2t),P5765 ozeta/case-antiolor-small (5t),of34873,of13247,si,FUSIONAR,P5765 (5t slug "case-antiolor-small"),P10699:2t→0t P5765:5t→5t; neta 0,"Ambas en misma ficha ozeta-estuche-pequeno-2023-anti-olor; of34873 variant=Negro; precio idéntico 25990; SKU idéntico OZTA-EPB23"
sku,TXOZESGPU,astrogrowshop,P5761 ozeta/case-antiolor-large (5t),P10698 ozeta/case-grande-2023 (2t),of17964,of77542,si,FUSIONAR,P5761 (5t slug limpio),P5761:5t→5t P10698:2t→0t; neta 0,"Ambas en misma ficha estuche-grande-ozeta; of77542 variant=PURPLE; precio idéntico 30990; SKU idéntico TXOZESGPU; of31636 (huérfana Morado) → P5761"
sku,TXOZESPPU,astrogrowshop,P10699 ozeta/case-pequeno-2023 (2t),P5765 ozeta/case-antiolor-small (5t),of77550,of17966,si,FUSIONAR,P5765 (5t slug limpio),P10699:2t→0t P5765:5t→5t; neta 0,"Ambas en misma ficha estuche-pequeno-ozeta; of77550 variant=PURPLE; precio 28990 vs 25990 (1.12x); SKU idéntico TXOZESPPU; of31644 (huérfana Morado) → P5765"
sku,67992374748205,piranha,P5532 bonglab/tiny-bell-extended (3t),P5778 bonglab/tiny-bell (4t),of3498,of846,no,DEJAR,P5532 y P5778 separados,P5532:3t→3t P5778:4t→4t; neta 0,"Fichas distintas piranha.cl/inicio/6082 vs /6069; Piranha reusó el barcode entre KM2 Xtended y KM4 — modelos distintos con precio distinto 14442 vs 16990 (1.18x)"
sku,BGGRHOOKCO,astrogrowshop,P10722 stundenglass/gravity-hookah (2t),P10659 cookies/stundenglass-gravity-hookah (3t),of23150,of31801,no,DEJAR,P10722 y P10659 separados,P10722:2t→2t P10659:3t→3t; neta 0,"Fichas distintas astrogrowshop.cl/gravity-hookah-stundenglass vs …?variant=COOKIES; edición Cookies es co-branding con precio premium 424990 vs 499990 (1.18x); producto legítimamente distinto"
ean,7798121253445,fumetas,P10733 lion-rolling-circus/terpenes-gelato (2t),P10544 lion-rolling-circus/hemp-wrap-tangie (3t),of37567,of37568,no,DEJAR,P10733 y P10544 separados,P10733:2t→2t P10544:3t→3t; neta 0,"Fichas distintas; EAN compartido es trampa LRC usa 1 EAN por línea; SKU distinto LRC-BLGELATO vs LRC-BLTANGIE; Gelato y Tangie son sabores distintos"
sku,PUFF-NPPROON,fumetas,P10560 puffco/new-peak-pro-onyx-3dxl (3t),P10653 puffco/new-peak-pro (3t),of2086,of34355,no,MOVER-OFERTA,P10560 (bundle con cámara 3DXL $539.990),P10560:3t→3t P10653:3t→2t; pierde Fumetas,"Fichas distintas; P10560 es bundle '+ Chamber 3D XL' ($539.990), P10653 es Pro base ($467k); mismo SKU+EAN pero productos legítimamente distintos; mover of34355 a P10560 no suma tienda — costo: P10653 pierde Fumetas"
sku,BGCGFBB9014MM,astrogrowshop,P10404 calvo/flat-bucket-banger-45-10mm (2t),P10105 calvo/banger-flat-bucket-macho-90-14mm (4t),of32872,of32874,si,MOVER-OFERTA,P10105 (ambas ofertas en misma ficha, variantes de ángulo),P10404:2t→1t P10105:4t→4t; neta 0,"Misma ficha flat-bucket-banger-calvo; of32872 variant=45° 14Mm, of32874 variant=90° 14MM; ambas van a P10105 que ya tiene Astro; SKU idéntico BGCGFBB9014MM; of78984 (huérfana 45° 14MM sin productId) también → P10105"
sku,BLAB-DIF-14N,fumetas,P10260 bonglab/diffuser-14mm-14cm (4t),P10359 bonglab/difusor-logo-14mm-morado (3t),of12854,of34005,si,MOVER-OFERTA,P10260 (ambas en misma ficha, variantes de color),P10260:4t→4t P10359:3t→2t; pierde Fumetas,"Misma ficha difusor-bonglab-18mm-14mm-14cm; of34005 variant=Negro; ambas van a P10260 que ya tiene Fumetas; SKU idéntico BLAB-DIF-14N"
sku,CLIPP-MDEGO,fumetas,P10721 clipper/metalico-demon-gradient (2t),P10481 clipper/metalico-green-gradient (2t),of34112,of19294,si,MOVER-OFERTA,P10721 (ambas en misma ficha, variantes de color),P10721:2t→2t P10481:2t→1t; pierde Fumetas,"Misma ficha encendedor-clipper-metalico-demon-gradient; 'green-gradient' es variante color de la línea Demon; precio idéntico 6990; SKU+EAN idénticos; of19294 → P10721"
