offerId,tienda,titulo,productId,modelSlug,congelado,lastSeenAt,estadoVida,veredicto,motivo
of88203,friendlygrow,"Vaporizador Airis Mystica Ace Para Cartridges - Peacock Green",10720,airistech/bateria-mystica-ace,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of87909,friendlygrow,"Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Gradiente",10882,airistech/dabble,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of87911,friendlygrow,"Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Aleatorio",10882,airistech/dabble,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of12919,fumetas,"Boquillas Herbva 5G (Flat/Glass)",10885,airistech/boquilla-herbva-5g,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of78786,astrogrowshop,"Neon Tray Bandeja Enrolado Led -Bonglab - BLUE",5732,bonglab/neon-led,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of78044,astrogrowshop,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - WHITE",5760,bonglab/extract-container-extracts-4ml,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of32488,astrogrowshop,"Cenicero De Silicona -Blazy Susan - Rosa",10371,blazy-susan/cenicero-silicona,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of78121,astrogrowshop,"Conos Pre Roll 1 1/4 Pack 6U-Blazy Susan - PURPLE",5707,blazy-susan/pre-roll-purple-1-1-4-6u,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante PURPLE — SKU AYPBSCOPU1146U confirma destino; referencia of768 estaba mal puesta en P5705 (pink)"
of12352,astrogrowshop,"Conos Pre Roll Shortys Pack 12U-Blazy Susan",5712,blazy-susan/pre-roll-shorty-53mm-12u,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de astrogrowshop"
of78776,astrogrowshop,"FILTRO CARBON ACTIVADO 50U-CALVO - BLACK",10301,calvo/carbon-activo-black-6mm-50u,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of78067,astrogrowshop,"Soplete Mini Rubber 2.0 -Calvo Glass - BLUE",10310,special-blue/mini-rubber-2-0,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31458,astrogrowshop,"Blunt Hemp Wrap X4 Sabor a Elección- G-Rollz - Grape",10381,g-rollz/blunt-hemp-wrap-x4,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
