offerId;tienda;brandKey;titulo;precio;categoria;productosSinEstaTienda;candidatos;lastSeenAt;url
18568;fumetas;airistech;Boquillas Vaporizador Nokiva;5990;Repuestos para bongs y vaporizadores;2;(ninguno sobre el umbral);2026-06-13;https://fumetas.cl/boquilla-herbva-nokiva
32302;astrogrowshop;airistech;Vaporizador Vertex 2.0 -Airistech - Negro;9990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-vertex-20-airistech?variant=Negro
32303;astrogrowshop;airistech;Vaporizador Vertex 2.0 -Airistech - Azul;7990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-vertex-20-airistech?variant=Azul
32305;astrogrowshop;airistech;Vaporizador Vertex 2.0 -Airistech - Rojo;7990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-vertex-20-airistech?variant=Rojo
32306;astrogrowshop;airistech;Vaporizador Vertex 2.0 -Airistech - Plata;9990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-vertex-20-airistech?variant=Plata
32746;astrogrowshop;airistech;Wax/Oil Bullet Vaporizador Herbva X -Airistech;15990;Accesorios de extraccion;1;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/waxoil-bullet-vaporizador-herbva-x-airistech
32754;astrogrowshop;airistech;Cápsula Dosificadora Herbva X -Airistech;12990;Repuestos para bongs y vaporizadores;1;(ninguno sobre el umbral);2026-07-27;https://astrogrowshop.cl/capsula-dosificadora-herbva-x-airistech
33078;astrogrowshop;airistech;Vaporizador Quaser-Airistech - Azul;16990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-quaser-airistech?variant=Azul
33081;astrogrowshop;airistech;Vaporizador Quaser-Airistech - Rojo;16990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-quaser-airistech?variant=Rojo
33082;astrogrowshop;airistech;Vaporizador Quaser-Airistech - Blanco;16990;Vaporizadores herbales;1;(ninguno sobre el umbral);2026-07-24;https://astrogrowshop.cl/vaporizador-quaser-airistech?variant=Blanco
