"offerId","productId","origen"
"513","10519","r54-modelo-dudoso"
"3530","10272","r54-en-espera"
"11070","10513","r54-modelo-dudoso"
"11107","10263","r54-modelo-dudoso"
"11209","10589","r54-en-espera"
"11221","5714","r54-revisar-talla"
"11380","5421","r54-en-espera"
"11480","10353","r54-modelo-dudoso"
"14380","10467","r54-modelo-dudoso"
"15815","10448","r54-modelo-dudoso"
"15843","10570","r54-modelo-dudoso"
"15848","10490","r54-modelo-dudoso"
"15863","10308","r54-en-espera"
"16026","10264","r54-modelo-dudoso"
"16040","10443","r54-modelo-dudoso"
"16103","10287","r54-modelo-dudoso"
"16131","10461","r54-modelo-dudoso"
"16137","10733","r54-en-espera"
"16175","10275","r54-modelo-dudoso"
"16211","10443","r54-modelo-dudoso"
"71166","10466","r54-modelo-dudoso"
"80305","10639","r54-en-espera"
"87651","10214","r53-necesita-foto"
"87652","10214","r53-necesita-foto"
"87653","10214","r53-necesita-foto"
"87657","10312","r53-necesita-foto"
"87658","10312","r53-necesita-foto"
"87659","10312","r53-necesita-foto"
"87660","10312","r53-necesita-foto"
"87948","10214","r53-necesita-foto"
"88413","10493","r53-necesita-foto"
"88911","10548","r53-necesita-foto"
"93658","10589","r54-modelo-dudoso"
"93698","10589","r54-modelo-dudoso"
"93936","10186","r54-modelo-dudoso"
