offerId,tienda,titulo,precio,productId,modelSlug,tiendasDestino,ratioPrecio,senal,queVendeEstaTiendaEnElDestino,identidadOferta
513,piranha,Válvula Solid Valve Set,110492,P10519,storz-bickel/easy-valve-starter-set,2t,0.76,OTRA-FICHA-MISMA-TIENDA,of497 sku=4260248820174 https://piranha.cl/inicio/304/volcano-easy-valve-starter-set.html,sku=4260248820167 ean=4260248820167 variante=- base=https://piranha.cl/inicio/305/volcano-solid-valve-set.html
3530,piranha,Papelillo RAW Black Organic Hemp King Size | PIRANHA,1290,P10272,raw/black-king-size-slim,3t,1.00,OTRA-FICHA-MISMA-TIENDA,of15766 sku=71426529242205 https://piranha.cl/inicio/7266/papelillos-raw-classic-black-king-size.html,sku=71427229178663 ean=- variante=- base=https://piranha.cl/inicio/7273/papelillos-raw-black-organic-hemp-king-size.html
11070,piranha,Cajita Metálica RAW Rectangular | PIRANHA,2490,P10513,raw/cajita-cigarrera-tapa-deslizante,2t,0.62,OTRA-FICHA-MISMA-TIENDA,of15814 sku=71451262256510 https://piranha.cl/inicio/7300/cajita-metalica-raw-tipo-cigarrera-tapa-deslizante.html,sku=71451247093654 ean=- variante=- base=https://piranha.cl/inicio/7298/cajita-metalica-raw-rectangular.html
11107,piranha,Volcano Hybrid Cámara de Hierbas| PIRANHA,94991,P10263,storz-bickel/dosing-capsules-volcano-camara,3t,0.79,OTRA-FICHA-MISMA-TIENDA,of11072 sku=73075113626851 https://piranha.cl/inicio/7827/volcano-hybrid-camara-con-reductor-para-capsulas.html,sku=73073940134494 ean=- variante=- base=https://piranha.cl/inicio/7825/volcano-hybrid-camara-de-hierbas.html
11209,piranha,Jockey RAW con Spot Secreto,12341,P10589,raw/jockey-flat-snapback-black,2t,0.95,OTRA-FICHA-MISMA-TIENDA,of15767 sku=71451463943079 https://piranha.cl/inicio/7310/jockey-raw-con-spot-secreto-flat-snap-back.html,sku=68858710661937 ean=- variante=- base=https://piranha.cl/inicio/6478/jockey-raw-con-spot-secreto.html
11221,piranha,Conos PreEnrolados OCB Ultra Fino 109mm (3u)| PIRANHA,1790,P5714,ocb/pre-roll-virgin-king-size-slim-3u,3t,0.90,OTRA-FICHA-MISMA-TIENDA,of1052 sku=75115212653206 https://piranha.cl/inicio/8384/conos-preenrolados-ocb-virgin-ultra-fino-unbleached-109mm.html,sku=75115183774039 ean=- variante=- base=https://piranha.cl/inicio/8383/conos-preenrolados-ocb-ultra-fino-109mm.html
11380,growbarato,Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural,1700,P5421,blazy-susan/unbleached-king-size-slim,2t,1.32,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.growbaratochile.cl/blazy-susan/blazy-susan-deluxe-kit-king-size-unbleached.html
11480,growbarato,Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables,1800,P10353,blazy-susan/roll-8m-pink,3t,0.72,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=- ean=- variante=- base=https://www.growbaratochile.cl/blazy-susan/blazy-susan-rollo-8-metros-purple.html
14380,piranha,Cargador Inalámbrico Focus V Aeris | PIRANHA,75991,P10467,focus-v/cargador-inalambrico-carta-2,2t,1.09,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=77050964202544 ean=- variante=- base=https://piranha.cl/inicio/8721/cargador-inalambrico-focus-v-aeris.html
15815,piranha,Mochila Anti Olor Blazy Susan Clásica Pink | PIRANHA,69591,P10448,blazy-susan/banano-smellproof-pink,3t,1.74,OTRA-FICHA-MISMA-TIENDA,of15967 sku=71736761733334 https://piranha.cl/inicio/7442/banano-anti-olor-fanny-pack-blazy-susan-pink.html,sku=71736767777402 ean=- variante=- base=https://piranha.cl/inicio/7443/mochila-anti-olor-blazy-susan-clasica-pink.html
15843,piranha,Mochila Anti Olor Blazy Susan Logos | PIRANHA,74791,P10570,blazy-susan/bolso-cruzado-smellproof,2t,1.26,OTRA-FICHA-MISMA-TIENDA,of1291 sku=71736785062769 https://piranha.cl/inicio/7445/bolso-anti-olor-cruzado-blazy-susan-black-pink.html,sku=71736769310111 ean=- variante=- base=https://piranha.cl/inicio/7444/mochila-anti-olor-blazy-susan-logos.html
15848,piranha,Bolso Anti Olor Dime Bags The Don con Candado | PIRANHA,34993,P10490,dime-bags/the-boss-25cm,2t,0.97,OTRA-FICHA-MISMA-TIENDA,of11261 sku=74993203874906 https://piranha.cl/inicio/8358/bolso-anti-olor-dime-bags-the-boss-con-candado-25cm.html,sku=74992127291745 ean=- variante=- base=https://piranha.cl/inicio/8354/bolso-anti-olor-dime-bags-the-don-con-candado-color-a-eleccion.html
15863,piranha,Encendedor Zippo Leaf Design Engraved,34990,P10308,zippo/cannabis-design-3,2t,0.78,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=68753489436716 ean=- variante=- base=https://piranha.cl/inicio/6266/encendedor-zippo-leaf-design-engraved.html
16026,piranha,Mighty Juego de Boquillas,13900,P10264,storz-bickel/mouthpiece-crafty-4u,3t,0.99,OTRA-FICHA-MISMA-TIENDA,of16028 sku=4260248821133 https://piranha.cl/inicio/323/crafty-juego-de-boquillas.html,sku=4260248821096 ean=4260248821096 variante=- base=https://piranha.cl/inicio/317/mightymighty-juego-de-boquillas.html
