nivel,sim,dist,priceRatio,productId,productName,category,offerId,offerTitle,offerPrice,offerUrl,offerImage
3,0.963,237,1.17,10487,"Bonglab Bong Saucer Rig 13cm",Bongs,87609,"Bong Pyrex Mystic Spiral 48cm 1,6kg",34990,https://www.friendlygrow.cl/bong-pyrex-mystic-spiral-48cm-16kg,https://cdnx.jumpseller.com/friendly-grow/image/71807926/transparent-Photoroom_20_282_29.jpg?1768281697
4,0.9594,200,1.49,5522,"Bong Mad Professor de Bonglab - GB The Green Brand",Bongs,87609,"Bong Pyrex Mystic Spiral 48cm 1,6kg",34990,https://www.friendlygrow.cl/bong-pyrex-mystic-spiral-48cm-16kg,https://cdnx.jumpseller.com/friendly-grow/image/71807926/transparent-Photoroom_20_282_29.jpg?1768281697
3,0.9562,210,1.07,10487,"Bonglab Bong Saucer Rig 13cm",Bongs,88052,"Bong de Pyrex Phoenix Triple Cámara 38cms",29990,https://www.friendlygrow.cl/bong-de-vidrio-phoenix-triple-camara,https://cdnx.jumpseller.com/friendly-grow/image/74770944/1.jpg?1773694890
4,0.9542,204,1.49,5520,"Bongbastic K276 Bonglab Doble Percolador | Bong Grande Boros",Bongs,87609,"Bong Pyrex Mystic Spiral 48cm 1,6kg",34990,https://www.friendlygrow.cl/bong-pyrex-mystic-spiral-48cm-16kg,https://cdnx.jumpseller.com/friendly-grow/image/71807926/transparent-Photoroom_20_282_29.jpg?1768281697
4,0.9502,209,1.6,5530,"The Sheikh 42Cm -Bonglab",Bongs,87609,"Bong Pyrex Mystic Spiral 48cm 1,6kg",34990,https://www.friendlygrow.cl/bong-pyrex-mystic-spiral-48cm-16kg,https://cdnx.jumpseller.com/friendly-grow/image/71807926/transparent-Photoroom_20_282_29.jpg?1768281697
3,0.906,139,1.42,10680,"Airistech Vaporizador Herbva Nokiva",Vaporizadores herbales,87589,"Vaporizador Para Hierbas Airis Nokiva 5g - Airistech. - Rojo",49320,https://www.friendlygrow.cl/vaporizador-para-hierbas-airis-nokiva-5g-airistech?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/69159800/Nokiva_20_20_285_29.jpg?1761747756
3,0.8817,93,1.42,10680,"Airistech Vaporizador Herbva Nokiva",Vaporizadores herbales,87587,"Vaporizador Para Hierbas Airis Nokiva 5g - Airistech. - Blan",49320,https://www.friendlygrow.cl/vaporizador-para-hierbas-airis-nokiva-5g-airistech?variant=Blanco,https://cdnx.jumpseller.com/friendly-grow/image/69159794/Nokiva_20_20_286_29.jpg?1761747756
4,0.8622,128,1.16,10321,"Vaporizador Focus V Carta Sport | PIRANHA",Vaporizadores herbales,88837,"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189
4,0.8482,126,1.16,10321,"Vaporizador Focus V Carta Sport | PIRANHA",Vaporizadores herbales,88838,"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado,https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189
3,0.8405,116,1.4,10648,"Puffco New Peak Onyx (2024)",Accesorios de extraccion,88835,"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189
3,0.8292,124,1.4,10648,"Puffco New Peak Onyx (2024)",Accesorios de extraccion,88837,"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189
3,0.8181,137,1.25,10435,"Focus V Vaporizador Aeris",Vaporizadores herbales,88837,"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189
3,0.8169,114,1.4,10648,"Puffco New Peak Onyx (2024)",Accesorios de extraccion,88833,"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Negro,https://cdnx.jumpseller.com/friendly-grow/image/73165136/YXK-191C1_E9_BB_91.png?1774537189
3,0.7799,86,1.08,10377,"Storz & Bickel Plenty",Vaporizadores herbales,88835,"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189
4,0.7783,80,1.56,10406,"DynaVap The UniDyn",Vaporizadores herbales,88838,"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado,https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189
3,0.7761,99,1.25,10435,"Focus V Vaporizador Aeris",Vaporizadores herbales,88835,"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo,https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189
3,0.7749,99,1.25,10435,"Focus V Vaporizador Aeris",Vaporizadores herbales,88833,"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Negro,https://cdnx.jumpseller.com/friendly-grow/image/73165136/YXK-191C1_E9_BB_91.png?1774537189
4,0.7741,78,1.56,10406,"DynaVap The UniDyn",Vaporizadores herbales,88837,"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul,https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189
2,0.7702,137,1.15,5801,"Kit limpiador de bongs Fórmula Secreta 420 250mL",Limpieza,87637,"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - D",6290,https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%206,https://cdnx.jumpseller.com/friendly-grow/image/75851219/YD312-C_20_2818_29.jpg?1776370701
2,0.7676,138,1.59,10559,"Puffco Proxy Wizard",Accesorios de extraccion,88838,"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado",249990,https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado,https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189
