offerId,title,category,brandKey,price,motivo,confianza
88686,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Grape","Otros parafernalia",,7990,desechable-sabores,alta
88687,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Mango","Otros parafernalia",,7990,desechable-sabores,alta
88691,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Strawberry","Otros parafernalia",,7990,desechable-sabores,alta
88698,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Cotton Candy","Otros parafernalia",,7990,desechable-sabores,alta
88969,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Orange Mango Watermelon","Otros parafernalia",,11990,desechable-sabores,alta
88711,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Clear","Otros parafernalia",,15990,desechable-sabores,alta
88770,"Vaporizador Desechable Nexbar 25.000 Puffs - Watermelon Ice","Otros parafernalia",,19990,desechable-sabores,alta
88971,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Sour Black Currant","Otros parafernalia",,11990,desechable-sabores,alta
88989,"Vaporizador Desechable Nexbar 10.000 Puffs - Blueberry Ice","Otros parafernalia",,14990,desechable-sabores,alta
88992,"Vaporizador Desechable Nexbar 10.000 Puffs - Grape Ice","Otros parafernalia",,14990,desechable-sabores,alta
88998,"Vaporizador Desechable Nexbar 10.000 Puffs - Watermelon Ice","Otros parafernalia",,14990,desechable-sabores,alta
89006,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Grape Apple","Otros parafernalia",,14990,pod-kit-eliquido,alta
89008,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Mint","Otros parafernalia",,14990,pod-kit-eliquido,alta
89010,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Strawberry Mango","Otros parafernalia",,14990,pod-kit-eliquido,alta
89012,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Watermelon Ice","Otros parafernalia",,14990,pod-kit-eliquido,alta
88949,"Vaporizador Desechable Vpro 24.000 Puffs - Berries Mix","Otros parafernalia",,12990,desechable-sabores,alta
88870,"Vaporizador Desechable Fluumbar 8.000 Puffs - Frambuesa Arandano Ice","Otros parafernalia",,9990,desechable-sabores,alta
88768,"Vaporizador Desechable Nexbar 25.000 Puffs - Strawberry Kiwi","Otros parafernalia",,19990,desechable-sabores,alta
88713,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Alphonso Mango","Otros parafernalia",,15990,desechable-sabores,alta
88745,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mora ice / Sandia Ice","Otros parafernalia",,17933,desechable-sabores,alta
88675,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Frutilla Ice","Otros parafernalia",,14990,desechable-sabores,alta
87959,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Mango Peach Ice","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88965,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - JasminePeach","Otros parafernalia",,11990,desechable-sabores,alta
