offerIds,tiendas,pieza,modeloVaporizador,productoActual,precios,ratio,propuesta
"of19829,of17768","Fumetas,Astro Growshop",boquilla-simple,Fenix Neo,P10506 (parcial),$10990/$10990,1.00,"SEPARAR-P10506: of19829 y of17768 son boquillas simples ($10990). of19201 ($25990) es unidad de enfriamiento. Producto actual mezcla ambos tipos."
"of19201","Fumetas",unidad-enfriamiento,Fenix Neo,P10506 (parcial),$25990,-,"SEPARAR-P10506: of19201 'Unidad de Enfriamiento Fenix Neo' $25990 debe separarse de las boquillas simples. Crear PRODUCTO-NUEVO para unidad de enfriamiento Fenix Neo. Ratio interno 2.36 confirma que son piezas distintas."
"of88236,of13540","Friendly Grow,Fumetas",unidad-enfriamiento,Fenix Pro,ORPHAN/PRODUCTO-NUEVO,$19990/$14990,1.33,"PRODUCTO-NUEVO: of88236 (FG) 'Boquilla de Enfriamiento Fenix Pro' $19990 y of13540 (Fumetas) 'Cámara de Enfriamiento Fenix Pro 7th Gen' $14990 son la misma pieza. P10507 existe pero es boquilla-simple ($4490-$4990), ratio 4.01 confirma que NO es la misma pieza. Crear producto 'Unidad de Enfriamiento Fenix Pro'."
"of88232","Friendly Grow",unidad-enfriamiento,Fenix Neo,ORPHAN,$24990,-,"NECESITA-VERIFICACIÓN: of88232 (FG) 'Boquilla de Enfriamiento Fenix Neo' $24990. Podría vincularse con of19201 (Fumetas) 'Unidad de Enfriamiento Fenix Neo' $25990 (ratio 1.04) si se separa P10506. Verificar si 'Boquilla de Enfriamiento' y 'Unidad de Enfriamiento' son la misma pieza."
"of88230","Friendly Grow",unidad-enfriamiento,Fenix Mini+,ORPHAN,$19990,-,"NECESITA-VERIFICACIÓN: of88230 (FG) 'Boquilla de Enfriamiento Fenix Mini+' $19990. Fumetas tiene of20070 'Unidad de enfriamiento Fenix Mini' $10990 (ORPHAN). Ratio 1.82 es alto pero podría ser la misma pieza (Mini vs Mini+). Verificar foto."
"of87508","Friendly Grow",unidad-enfriamiento,Yocan Vane 2,ORPHAN,$9990,-,"PRODUCTO-NUEVO: of87508 (FG) 'Boquilla Enfriamiento Herbal Vaporizador Yocan Vane 2' $9990. No hay producto equivalente en el catálogo. Yocan Vane existe como vaporizador; esta es su unidad de enfriamiento."
"of87560","Friendly Grow",unidad-enfriamiento,Herbva 5G,ORPHAN,$11990,-,"NECESITA-VERIFICACIÓN: of87560 (FG) 'Boquilla de Enfriamiento Airis Herbva 5g' $11990. P10885 tiene boquillas Herbva 5G ($3990-$5990) pero son boquillas simples, no unidades de enfriamiento. Ratio 2.0-3.0 confirma que son piezas distintas. Verificar si existe unidad de enfriamiento como producto separado."
"of87784","Friendly Grow",unidad-enfriamiento,Nokiva,ORPHAN,$24990,-,"PRODUCTO-NUEVO: of87784 (FG) 'Boquilla de Enfriamiento Airis Nokiva' $24990. Fumetas tiene of18568 'Boquillas Vaporizador Nokiva' $5990 y of37321 'Boquillas Vaporizador Nokiva - Glass' $5990 — son boquillas simples, ratio 4.2 confirma pieza diferente. Crear producto 'Unidad de Enfriamiento Nokiva'."
"of12905,of16102,of12391,of19821,of15918,of2560,of468,of19201","Fumetas,Piranha,Astro Growshop",unidad-enfriamiento,Storz-Bickel (Mighty/Crafty/Venty),P10262/P10303/P5756,$23741-$32990,1.00-1.39,"EXISTENTE: Unidades de enfriamiento Storz-Bickel ya están curadas. P10262 (Venty 3t), P10303 (Mighty 3t), P5756 (Crafty 3t). No requieren acción."
"of17769,of19830","Astro Growshop,Fumetas",boquilla-simple,Fenix Pro,P10507,$4490/$4990,1.11,"EXISTENTE: P10507 weecke/boquilla-fenix-pro ya tiene ambas ofertas. Boquillas simples de Fenix Pro. No requieren acción."
"of87640,of12336","Friendly Grow,Astro Growshop",boquilla-simple,Fenix 2.0,P10883,$24990/$33990,1.36,"EXISTENTE: P10883 weecke/boquilla-fenix-2-0 ya tiene ambas ofertas. Nota: of87640 se llama 'Boquilla de Enfriamiento' pero P10883 es boquilla-simple. Verificar si debería ser unidad de enfriamiento."
"of12607,of12679,of1582,of13633,of13632,of19434,of19543,of12987,of72243,of17770,of17841,of17977,of12338,of12337,of17766,of17767,of18052","Fumetas,Astro Growshop",otra,Fenix (accesorios),VARIOS,-,-,"EXISTENTE: Accesorios Fenix (cápsulas, rejillas, herramientas, kits) ya están en el catálogo o son orphans legítimos. No requieren acción para esta tarea."
