offerId;tienda;brandKey;productIdDestino;slugDestino;tiendasDestino;congelado;senalIdentidad;ratioPrecio;sumaTienda;veredicto;motivo
1204;fumetas;blazy-susan;P10350;tea-cones-king-size;;no;titulo;1.27;no;NO-VINCULAR;Blunt wrap ≠ tea cones (tipo de artículo distinto)
17736;astrogrowshop;bonglab;P10407;glycerin-black-ice;;no;titulo;0.34;no;NO-VINCULAR;Pack Bong Classic Ice ≠ Glycerin Black Ice (productos distintos)
19862;fumetas;bonglab;P10108;prisma;;no;titulo;1.28;no;NO-VINCULAR;Polera ≠ bong (tipo de artículo distinto)
20035;fumetas;bonglab;P10108;prisma;;no;titulo;0.29;no;NO-VINCULAR;Pin ≠ bong (tipo de artículo distinto)
33136;astrogrowshop;bonglab;P5521;glycerin-thicc;;no;titulo;1.14;si;VINCULAR;Mismo producto: Bonglab Glycerin Thicc Mint
33138;astrogrowshop;bonglab;P5526;glycerin-yeti;;no;titulo;1.05;si;VINCULAR;Mismo producto: Bonglab Glycerin The Yeti
36717;fumetas;bonglab;P10108;prisma;;no;titulo;1.28;no;NO-VINCULAR;Polera ≠ bong (tipo de artículo distinto)
37077;fumetas;bonglab;P10108;prisma;;no;titulo;0.29;no;NO-VINCULAR;Pin ≠ bong (tipo de artículo distinto)
13092;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;3.34;no;NO-VINCULAR;Atrapa cenizas ≠ difusor (tipo de artículo distinto)
13093;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;3.34;no;NO-VINCULAR;Atrapa cenizas ≠ difusor (tipo de artículo distinto)
13193;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.01;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
13194;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.67;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
13195;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;7.34;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
13213;fumetas;calvo;P10194;space-opera;;no;titulo;0.79;si;VINCULAR;Mismo producto: Calvo Space Horn Rig
18059;astrogrowshop;calvo;P10224;big-eye-24cm;;no;titulo;1.26;si;VINCULAR;Mismo producto: Calvo Big Eye Recycler 24cm
20149;fumetas;calvo;P10525;nectar-wax-pen;;no;titulo;0.18;si;VINCULAR;Mismo producto: Calvo Nectar Wax Pen repuesto
34444;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;0.47;no;NO-VINCULAR;Quemador Pyrex ≠ difusor (tipo de artículo distinto)
34445;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;0.47;no;NO-VINCULAR;Quemador Pyrex ≠ difusor (tipo de artículo distinto)
34447;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;0.47;no;NO-VINCULAR;Quemador Pyrex ≠ difusor (tipo de artículo distinto)
34448;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;0.47;no;NO-VINCULAR;Quemador Pyrex ≠ difusor (tipo de artículo distinto)
34725;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.01;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34726;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.01;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34728;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.01;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34733;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.67;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34734;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.67;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34735;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;6.67;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34737;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;7.34;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
34738;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;7.34;no;NO-VINCULAR;Bong Beaker Premium ≠ difusor (tipo de artículo distinto)
35021;fumetas;calvo;P10375;difusor-premium-14mm;;si;titulo;1.20;no;NO-VINCULAR;Quemador cuerno ≠ difusor (tipo de artículo distinto)
22981;astrogrowshop;dime-bags;P10488;the-collector-22cm;;si;titulo;1.08;si;VINCULAR;Mismo producto: Dime Bags The Collector 22cm [CONGELADO — solo sumar]
22982;astrogrowshop;dime-bags;P10489;the-collector-30cm;;no;titulo;1.10;si;VINCULAR;Mismo producto: Dime Bags The Collector 30cm
23561;astrogrowshop;dime-bags;P10491;the-boss-20cm;;no;titulo;1.29;si;VINCULAR;Mismo producto: Dime Bags The Boss 20cm (primera de Astro)
23565;astrogrowshop;dime-bags;P10536;the-soldier-22cm;;no;titulo;1.15;si;VINCULAR;Mismo producto: Dime Bags The Soldier 22cm
32289;astrogrowshop;dime-bags;P10491;the-boss-20cm;;no;titulo;1.21;no (misma ficha);VINCULAR;Mismo producto: Dime Bags The Boss 20cm (misma ficha, variante color)
