offerIds;tiendas;nTiendasDistintas;marca;nombrePropuesto;brandKey;modelSlugPropuesto;categoria;algunaConStock;ratioPrecio;evidencia;confianza
18024|36571|36572;astrogrowshop|fumetas;2;sploofy;Filtro Personal Pro II -Sploofy;sploofy;filtro-personal-pro-ii-sploofy;Filtros y boquillas;si;1.17;titulo + mismo brandKey + precio comparable;alta
12621|70529;astrogrowshop|kushbreak;2;bonglab;Papel Para Rosin Tradicional-;bonglab;papel-para-rosin-tradicional-;Accesorios de extraccion;si;1.00;titulo + mismo brandKey + precio comparable;alta
33997|31409;fumetas|astrogrowshop;2;bonglab;Quemador Perlas - Macho 18mm - Turquesa;bonglab;quemador-perlas-macho-18mm-turquesa;Repuestos para bongs y vaporizadores;si;1.22;titulo + mismo brandKey + precio comparable;alta
34959|31726;fumetas|astrogrowshop;2;bonglab;The Sheikh 42cm - Azul;bonglab;the-sheikh-42cm-azul;Bongs;si;1.36;titulo + mismo brandKey + precio comparable;alta
19283|70870;fumetas|growbaratochile;2;calvo;Calvo Terp Balls Luminosas 4mm;calvo;calvo-terp-balls-luminosas-4mm;Accesorios de extraccion;si;1.11;titulo + mismo brandKey + precio comparable;alta
35561|78694;fumetas|astrogrowshop;2;dynavap;Vaporizador DynaVap Kit G3;dynavap;vaporizador-dynavap-kit-g3;Vaporizadores herbales;si;1.00;titulo + mismo brandKey + precio comparable;alta
33554|31203;fumetas|astrogrowshop;2;galaxy;Moledor Galaxy Aluminio 63mm - Oro rosa;galaxy;moledor-galaxy-aluminio-63mm-oro-rosa;Moledores;si;1.05;titulo + mismo brandKey + precio comparable;alta
19750|11244;fumetas|piranha;2;ocb;Enroladora Automática OCB Metálica;ocb;enroladora-autom-tica-ocb-met-lica;Otros parafernalia;si;2.00;titulo + mismo brandKey + precio comparable;NECESITA-FOTO
20108|69946;fumetas|kushbreak;2;ocb;OCB Virgin Rolled Tips – Boquillas Preenrroladas;ocb;ocb-virgin-rolled-tips-boquillas-preenrroladas;Filtros y boquillas;si;1.10;titulo + mismo brandKey + precio comparable;alta
18194|16170;astrogrowshop|piranha;2;puffco;ACCESORIO CORE PARA NEW PROXY - PUFFCO;puffco;accesorio-core-para-new-proxy-puffco;Accesorios de extraccion;si;1.16;titulo + mismo brandKey + precio comparable;alta
19563|93353;fumetas|piranha;2;raw;Bolsa RAW Tote Bag;raw;bolsa-raw-tote-bag;Otros parafernalia;si;1.00;titulo + mismo brandKey + precio comparable;alta
19769|93721;fumetas|piranha;2;raw;Llavero Raw Bandeja Miniatura;raw;llavero-raw-bandeja-miniatura;Bandejas y ceniceros;si;1.00;titulo + mismo brandKey + precio comparable;alta
37085|15965;fumetas|piranha;2;raw;Polera Raw - Beige M;raw;polera-raw-beige-m;Otros parafernalia;si;1.60;titulo + mismo brandKey + precio comparable;media
31785|79859;astrogrowshop|piranha;2;soulblime;BLUNT HEMP WRAPS SABORES - SOULBLIME - CHOCOMINT;soulblime;blunt-hemp-wraps-sabores-soulblime-chocomint;Conos y blunts;si;1.00;titulo + mismo brandKey + precio comparable;alta
