offerIds;tiendas;nTiendasDistintas;marca;nombrePropuesto;brandKey;modelSlugPropuesto;categoria;algunaConStock;ratioPrecio;evidencia;confianza
69300|20119|20182|20241|37254|37253|37256|37255|37643|20120|20183|37451|37641|37453|37640|37652|37452|37642|37450|20242|37270|37261|37268|37269|37267|37271|37258|37260;Kushbreak|Fumetas;2;pulsar;510 DL 2.0 PRO - Batería Cartridge;pulsar;510-dl-2-0-pro-bater-a-cartridge;Otros parafernalia;si;2.67;brandKey=pulsar + título similar;NECESITA-FOTO
490|2743|2726|2730|2755|2698|12133|12123|12139|2737;Piranha|Astro Growshop;2;top-smoke;Pipa Pyrex Top Smoke | PIRANHA;top-smoke;pipa-pyrex-top-smoke-piranha;Pipas;si;2.00;brandKey=top-smoke + título similar;NECESITA-FOTO
69346|36925|36930|36924|36927|36926|36928|36929;Kushbreak|Fumetas;2;yocan;ZIVA - Batería para Cartridges;yocan;ziva-bater-a-para-cartridges;Accesorios de extraccion;si;1.10;brandKey=yocan + título similar;alta
33675|31159|31168|31153|31162|31148|31170;Fumetas|Astro Growshop;2;galaxy;Moledor Galaxy Aluminio 73 mm - Morado;galaxy;moledor-galaxy-aluminio-73-mm-morado;Moledores;si;1.78;brandKey=galaxy + título similar;media
69052|13315|35039|35040|35041|35042;Kushbreak|Fumetas;2;davinci;Vaporizador Davinci IQ2;davinci;vaporizador-davinci-iq2;Vaporizadores herbales;si;1.00;brandKey=davinci + título similar;alta
36979|33318|33320|33319|79400|33321;Fumetas|Astro Growshop;2;calvo;Glass Terp Slurper Marble Set - 9;calvo;glass-terp-slurper-marble-set-9;Accesorios de extraccion;si;1.67;brandKey=calvo + título similar;media
69011|19561|36214|36216|36215;Kushbreak|Fumetas;2;blazer;Big Buddy Soplete;blazer;big-buddy-soplete;Encendedores y sopletes;si;1.00;brandKey=blazer + título similar;alta
70885|32098|38731|38730|38729;GrowBarato Chile|Astro Growshop|Piranha;3;airis;Neo P8000 - Strawberry Banana;airis;neo-p8000-strawberry-banana;Vaporizadores electronicos;si;2.17;brandKey=airis + título similar;NECESITA-FOTO
31726|34962|34961|34963;Astro Growshop|Fumetas;2;bonglab;The Sheikh 42Cm -Bonglab - Morado;bonglab;the-sheikh-42cm-bonglab-morado;Bongs;si;1.36;brandKey=bonglab + título similar;media
33979|31332|31328|31409;Fumetas|Astro Growshop;2;bonglab;Quemador Honeycomb Macho 18mm - Azul;bonglab;quemador-honeycomb-macho-18mm-azul;Repuestos para bongs y vaporizadores;si;1.17;brandKey=bonglab + título similar;alta
33974|31403|31393|31408;Fumetas|Astro Growshop;2;bonglab;Quemador HoneyComb Macho 14mm - Morado;bonglab;quemador-honeycomb-macho-14mm-morado;Repuestos para bongs y vaporizadores;si;1.75;brandKey=bonglab + título similar;media
32079|70904|38823;Astro Growshop|GrowBarato Chile|Piranha;3;airis;Vaporizador Airis Neo P8000 Kiwi Passion Fruit Guava 5%-Airistech;airis;vaporizador-airis-neo-p8000-kiwi-passion-fruit-guava-5-airis;Vaporizadores electronicos;si;1.92;brandKey=airis + título similar;NECESITA-FOTO
38820|70924|70951;Piranha|GrowBarato Chile;2;airis;Vaper Airis Neo P8000 - Sakura Grape Ice | PIRANHA;airis;vaper-airis-neo-p8000-sakura-grape-ice-piranha;Vaporizadores electronicos;si;1.13;brandKey=airis + título similar;alta
32078|70949|38888;Astro Growshop|GrowBarato Chile|Piranha;3;airis;Vaporizador Airis Neo P8000 Black Ice 5%-Airistech;airis;vaporizador-airis-neo-p8000-black-ice-5-airistech;Vaporizadores electronicos;si;2.17;brandKey=airis + título similar;NECESITA-FOTO
19798|69008|69142;Fumetas|Kushbreak;2;pulsar;Vaporizador Apx Pro;pulsar;vaporizador-apx-pro;Vaporizadores herbales;si;1.47;brandKey=pulsar + título similar;media
69242|8126|8112;Kushbreak|Fumetas;2;pulsar;Chillum Hitter;pulsar;chillum-hitter;Pipas;si;2.00;brandKey=pulsar + título similar;NECESITA-FOTO
15965|37087|37086;Piranha|Fumetas;2;raw;Polera RAW Beige (S/M/L/XL) | PIRANHA;raw;polera-raw-beige-s-m-l-xl-piranha;Otros parafernalia;si;1.60;brandKey=raw + título similar;media
71013|19512|34293;GrowBarato Chile|Fumetas;2;ozeta;Bolso Cilíndrico Anti-Olor de Ozeta grande;ozeta;bolso-cil-ndrico-anti-olor-de-ozeta-grande;Contenedores y estuches;si;1.19;brandKey=ozeta + título similar;alta
1205|69015;Fumetas|Kushbreak;2;futurola;x Mike Tyson Papelillos 1 1/4 + Tips;futurola;x-mike-tyson-papelillos-1-1-4-tips;Papelillos;si;1.55;brandKey=futurola + título similar;media
32525|37483;Astro Growshop|Fumetas;2;bonglab;Bong Bonglab Little Buchner KS10 - Negro;bonglab;bong-bonglab-little-buchner-ks10-negro;Bongs;si;1.09;brandKey=bonglab + título similar;alta
33856|32075;Fumetas|Astro Growshop;2;bonglab;Quemador con rejilla - Macho 14mm - Verde;bonglab;quemador-con-rejilla-macho-14mm-verde;Repuestos para bongs y vaporizadores;si;1.20;brandKey=bonglab + título similar;alta
31274|2001;Astro Growshop|Fumetas;2;bonglab;Banger Cuarzo Simple 45 Grados -Bonglab - 10MM;bonglab;banger-cuarzo-simple-45-grados-bonglab-10mm;Accesorios de extraccion;si;1.13;brandKey=bonglab + título similar;alta
33935|71166;Fumetas|GrowBarato Chile;2;bonglab;Bong Pocket Twister 23cm - Negro;bonglab;bong-pocket-twister-23cm-negro;Bongs;si;1.04;brandKey=bonglab + título similar;alta
34504|33323;Fumetas|Astro Growshop;2;bonglab;Bong W06 Fat Candy 25cm - Azul;bonglab;bong-w06-fat-candy-25cm-azul;Bongs;si;1.06;brandKey=bonglab + título similar;alta
69333|18157;Kushbreak|Astro Growshop;2;puffco;Peak;puffco;peak;Accesorios de extraccion;si;1.00;brandKey=puffco + título similar;alta
80305|77687;Piranha|Astro Growshop;2;puffco;New Peak Pro 3DXL LTD Plasma Edition Chamber | PIRANHA;puffco;new-peak-pro-3dxl-ltd-plasma-edition-chamber-piranha;Accesorios de extraccion;si;1.00;brandKey=puffco + título similar;alta
16172|79564;Piranha|Astro Growshop;2;puffco;Accesorio Puffco New Hot Knife | PIRANHA;puffco;accesorio-puffco-new-hot-knife-piranha;Accesorios de extraccion;si;1.07;brandKey=puffco + título similar;alta
16231|31772;Piranha|Astro Growshop;2;puffco;Accesorio Proxy Droplet - Puffco;puffco;accesorio-proxy-droplet-puffco;Accesorios de extraccion;si;2.94;brandKey=puffco + título similar;NECESITA-FOTO
19952|69026;Fumetas|Kushbreak;2;ryot;420 Kit Todo en 1;ryot;420-kit-todo-en-1;Otros parafernalia;si;1.00;brandKey=ryot + título similar;alta
8159|69010;Fumetas|Kushbreak;2;ryot;Hitter de Aluminio Anodizado 6mm;ryot;hitter-de-aluminio-anodizado-6mm;Pipas;si;1.00;brandKey=ryot + título similar;alta
34345|31799;Fumetas|Astro Growshop;2;ryot;Estuche Roller Wallet - Kamo;ryot;estuche-roller-wallet-kamo;Contenedores y estuches;si;1.02;brandKey=ryot + título similar;alta
13636|71041;Fumetas|GrowBarato Chile;2;cookies;Original Mint Socks White and Black - Calcetines Largos;cookies;original-mint-socks-white-and-black-calcetines-largos;Otros parafernalia;si;1.32;brandKey=cookies + título similar;media
38822|70922;Piranha|GrowBarato Chile;2;airis;Vaper Airis Neo P8000 - Mango Peach Ice| PIRANHA;airis;vaper-airis-neo-p8000-mango-peach-ice-piranha;Vaporizadores electronicos;si;1.13;brandKey=airis + título similar;alta
77848|80584;Astro Growshop|Piranha;2;focus-v;Boquilla SWIVEL para Carta 2, Carta Sport y AERIS - Focus V;focus-v;boquilla-swivel-para-carta-2-carta-sport-y-aeris-focus-v;Repuestos para bongs y vaporizadores;si;1.03;brandKey=focus-v + título similar;alta
4659|68961;Fumetas|Kushbreak;2;pulsar;King Kut Moledor Eléctrico 40mm;pulsar;king-kut-moledor-el-ctrico-40mm;Moledores;si;1.00;brandKey=pulsar + título similar;alta
4635|69327;Fumetas|Kushbreak;2;pulsar;Moledor Pulsar Contenedor Wax/Hierba 61mm;pulsar;moledor-pulsar-contenedor-wax-hierba-61mm;Moledores;si;1.03;brandKey=pulsar + título similar;alta
20300|69337;Fumetas|Kushbreak;2;pulsar;Adaptador de Silicona Para Cartridges;pulsar;adaptador-de-silicona-para-cartridges;Repuestos para bongs y vaporizadores;si;1.00;brandKey=pulsar + título similar;alta
19947|69146;Fumetas|Kushbreak;2;pulsar;Vaporizador Proshift;pulsar;vaporizador-proshift;Vaporizadores herbales;si;1.03;brandKey=pulsar + título similar;alta
87653|31425;Friendly Grow|Astro Growshop;2;yocan;Vaporizador Para Hierbas Yocan Hit - Azul;yocan;vaporizador-para-hierbas-yocan-hit-azul;Accesorios de extraccion;si;2.13;brandKey=yocan + título similar;NECESITA-FOTO
32772|36571;Astro Growshop|Fumetas;2;sploofy;Filtro Personal Pro II -Sploofy - Rojo;sploofy;filtro-personal-pro-ii-sploofy-rojo;Filtros y boquillas;si;1.17;brandKey=sploofy + título similar;alta
2150|78984;Fumetas|Astro Growshop;2;calvo;Banger Calvo Flat Bucket 90° - Macho 10mm;calvo;banger-calvo-flat-bucket-90-macho-10mm;Accesorios de extraccion;si;1.13;brandKey=calvo + título similar;alta
13627|17974;Fumetas|Astro Growshop;2;calvo;Glass Inline Tree Perc 34cm;calvo;glass-inline-tree-perc-34cm;Otros parafernalia;si;2.05;brandKey=calvo + título similar;NECESITA-FOTO
2999|32719;Fumetas|Astro Growshop;2;calvo;Glass Bong Beaker Dragon Ball Z 40cm;calvo;glass-bong-beaker-dragon-ball-z-40cm;Bongs;si;1.89;brandKey=calvo + título similar;NECESITA-FOTO
70870|35691;GrowBarato Chile|Fumetas;2;calvo;Terp Balls Luminosas 4mm | Perlas para Banger y Dabs;calvo;terp-balls-luminosas-4mm-perlas-para-banger-y-dabs;Accesorios de extraccion;si;1.11;brandKey=calvo + título similar;alta
33700|31203;Fumetas|Astro Growshop;2;galaxy;Moledor Galaxy Pro Model 63mm - Oro rosa;galaxy;moledor-galaxy-pro-model-63mm-oro-rosa;Moledores;si;1.59;brandKey=galaxy + título similar;media
25993|24006;Fumetas|Astro Growshop;2;g-pen;G Pen Silicone Mouthpiece Roam Black;g-pen;g-pen-silicone-mouthpiece-roam-black;Otros parafernalia;si;1.09;brandKey=g-pen + título similar;alta
13136|69003;Fumetas|Kushbreak;2;shine;®​ 24K Cono de Oro King Size;shine;24k-cono-de-oro-king-size;Conos y blunts;si;1.33;brandKey=shine + título similar;media
12899|69136;Fumetas|Kushbreak;2;ocb;Boquillas filtro de carbón activado 50 uds.;ocb;boquillas-filtro-de-carb-n-activado-50-uds;Filtros y boquillas;si;1.17;brandKey=ocb + título similar;alta
11594|69098;GrowBarato Chile|Kushbreak;2;lion-rolling-circus;Lion Rolling Circus Transparent Block 420 - Growbarato;lion-rolling-circus;lion-rolling-circus-transparent-block-420-growbarato;Otros parafernalia;si;1.29;brandKey=lion-rolling-circus + título similar;alta
5623|29039;Piranha|Astro Growshop;2;the-bulldog;Moledor Plástico Bulldog 6cm 2 Partes;the-bulldog;moledor-pl-stico-bulldog-6cm-2-partes;Moledores;si;2.00;brandKey=the-bulldog + título similar;NECESITA-FOTO
25412|33408;Fumetas|Astro Growshop;2;stundenglass;Stündenglass V2 Wall Mount;stundenglass;st-ndenglass-v2-wall-mount;Otros parafernalia;si;1.27;brandKey=stundenglass + título similar;alta
