dist;sim;promiscuidad;fgOfferId;fgTitle;fgPrice;fgCategoria;fgBrandKey;fgSku;fgEan;otherStore;otherOfferId;otherTitle;otherPrice;otherCategoria;otherBrandKey;otherSku;otherEan;priceRatio;mismaCategoria;skuCompartido;eanCompartido;textScore;inStock;fgUrl;otherUrl;fgImage;otherImage
56;0.7956;7;88837;"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;18202;"NEW HOT KNIFE-PUFFCO";89990;"Accesorios de extraccion";"pulsar";"VPPFNHOTKNONX";"";2.78;1;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul";"https://astrogrowshop.cl/new-hot-knife-puffco";"https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/74796799/VPPFNHOTKNONX_202.webp?1773773905"
58;0.8014;7;88838;"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;18202;"NEW HOT KNIFE-PUFFCO";89990;"Accesorios de extraccion";"pulsar";"VPPFNHOTKNONX";"";2.78;1;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado";"https://astrogrowshop.cl/new-hot-knife-puffco";"https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/74796799/VPPFNHOTKNONX_202.webp?1773773905"
63;0.7769;3;88837;"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;18091;"SABER DAB TOOL-FOCUS V";69990;"Vaporizadores herbales";"focus-v";"VPFVSBRFRT";"";3.57;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul";"https://astrogrowshop.cl/saber-dab-tool-focus-v";"https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/72746442/VPFVSBRTEAL.webp?1770297532"
65;0.7713;3;88838;"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;18091;"SABER DAB TOOL-FOCUS V";69990;"Vaporizadores herbales";"focus-v";"VPFVSBRFRT";"";3.57;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado";"https://astrogrowshop.cl/saber-dab-tool-focus-v";"https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/72746442/VPFVSBRTEAL.webp?1770297532"
77;0.5905;10;87980;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Plateado";59990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";6.01;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Plateado";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293133/airis_20350mAh_20V2.0_20Battery_20_282_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
77;0.577;10;87978;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Rojo";5990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";1.67;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Rojo";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293127/airis_20350mAh_20V2.0_20Battery_20_284_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
78;0.5804;9;88833;"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;19519;"Papelillos Gizeh Queen Size + Tips";1490;"Papelillos";"gizeh";"GIZ-QUEENTP";"42353256";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Negro";"https://fumetas.cl/papelillos-gizeh-queen-size-tips";"https://cdnx.jumpseller.com/friendly-grow/image/73165136/YXK-191C1_E9_BB_91.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/63974552/gizeh-black-queen-size-papers-tips-1-fumetas-store.webp?1748654658"
81;0.5585;10;87977;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Azul";59990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";6.01;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Azul";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293126/airis_20350mAh_20V2.0_20Battery_20_285_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
82;0.6288;9;88835;"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;19519;"Papelillos Gizeh Queen Size + Tips";1490;"Papelillos";"gizeh";"GIZ-QUEENTP";"42353256";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo";"https://fumetas.cl/papelillos-gizeh-queen-size-tips";"https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/63974552/gizeh-black-queen-size-papers-tips-1-fumetas-store.webp?1748654658"
86;0.6634;9;88837;"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;19519;"Papelillos Gizeh Queen Size + Tips";1490;"Papelillos";"gizeh";"GIZ-QUEENTP";"42353256";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul";"https://fumetas.cl/papelillos-gizeh-queen-size-tips";"https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/63974552/gizeh-black-queen-size-papers-tips-1-fumetas-store.webp?1748654658"
