offerIds;tiendas;nTiendasDistintas;marca;nombrePropuesto;brandKey;modelSlugPropuesto;categoria;algunaConStock;ratioPrecio;evidencia;confianza;veredicto
3142|87646;growbarato|friendlygrow;2;genérico;Nectar Collector Silicona;;nectar-collector-silicona;Accesorios de extraccion;si;2.10;diseños distintos (bong con quemador vs rayado);baja;RUIDO
3142|87509;growbarato|friendlygrow;2;genérico;Nectar Collector Silicona;;nectar-collector-silicona;Accesorios de extraccion;si;2.12;diseños distintos (bong con quemador vs rocket);baja;RUIDO
87501|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (donut vs genérico), ratio alto;baja;RUIDO
87500|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (donut verde vs genérico);baja;RUIDO
87511|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (hot dog vs genérico);baja;RUIDO
87498|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (donut azul vs genérico);baja;RUIDO
87499|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (donut morado vs genérico);baja;RUIDO
87646|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.00;diseños distintos (rayado vs genérico);baja;RUIDO
87497|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (donut café vs genérico);baja;RUIDO
88464|72449;friendlygrow|fumetas;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.50;diseños distintos (plant cartoon vs genérico);baja;RUIDO
72449|87509;fumetas|friendlygrow;2;genérico;Nectar Collector;;nectar-collector;Accesorios de extraccion;si;2.02;diseños distintos (genérico vs rocket);baja;RUIDO
88281|33157;friendlygrow|astrogrowshop;2;genérico;Pipa Silicona;;pipa-silicona;Pipas;si;1.96;diseños distintos (monster vs guitarra);baja;RUIDO
88478|33157;friendlygrow|astrogrowshop;2;genérico;Pipa Silicona;;pipa-silicona;Pipas;si;2.51;diseños distintos (keny vs guitarra), ratio alto;baja;RUIDO
33156|88458;astrogrowshop|friendlygrow;2;genérico;Pipa Silicona;;pipa-silicona;Pipas;si;2.01;diseños distintos (guitarra vs clásica);baja;RUIDO
87849|35171;friendlygrow|fumetas;2;genérico;Silicona Bowl Pyrex;;silicona-bowl-pyrex;Repuestos para bongs y vaporizadores;si;1.54;tipos distintos: pipa con bowl vs quemador;baja;RUIDO
69073|87641;kushbreak|friendlygrow;2;genérico;Contenedor silicona;;contenedor-silicona;Contenedores y estuches;si;2.50;tamaños distintos (genérico vs110ml);baja;RUIDO
13572|87610;fumetas|friendlygrow;2;genérico;Contenedor silicona5ml;;contenedor-silicona5ml;Contenedores y estuches;si;1.67;genérico vs diseño cerdito — posible mismo producto base;media;NECESITA-FOTO
13572|87611;fumetas|friendlygrow;2;genérico;Contenedor silicona5ml;;contenedor-silicona5ml;Contenedores y estuches;si;1.67;genérico vs diseño mushroom — posible mismo producto base;media;NECESITA-FOTO
13572|88528;fumetas|friendlygrow;2;genérico;Contenedor5ml;;contenedor5ml;Contenedores y estuches;si;2.43;materiales distintos: silicona vs pyrex con tapa silicona;baja;RUIDO
