token;frecuenciaTotal;offerIdsFG;offerIdsOtras;tiendas;nTiendasDistintas;marcaPropuesta;ratioPrecio;evidencia;confianza;veredicto;motivo
fresa;2;88842;71265;friendlygrow|growbarato;2;;10.10;token "fresa" freq=2 en 2 tiendas;baja;RUIDO;productos distintos: fresa (moledor) vs fresa (sabor vape)
colecci;2;87649;753;friendlygrow|astrogrowshop;2;;1.12;token "colecci" freq=2 en 2 tiendas;baja;RUIDO;Baked Bunny smoking set vs Clipper lighter pack — productos distintos
bolsillo;2;87570;3173;friendlygrow|growbarato;2;;20.00;token "bolsillo" freq=2 en 2 tiendas;baja;RUIDO;token genérico "bolsillo" en productos distintos
alimenticio;2;87845;11541;friendlygrow|growbarato;2;;7.88;token "alimenticio" freq=2 en 2 tiendas;baja;RUIDO;token genérico "alimenticio" en productos distintos
hongo;2;87433;3146;friendlygrow|growbarato;2;;1.67;token "hongo" freq=2 en 2 tiendas;baja;RUIDO;moledor diseño hongo vs pipa hongo silicona — productos distintos
backwoods;2;88510;69230;friendlygrow|kushbreak;2;;5.00;token "backwoods" freq=2 en 2 tiendas;baja;RUIDO;token de marca/sabor en productos distintos
chamber;2;88034;80305;friendlygrow|piranha;2;;6.43;token "chamber" freq=2 en 2 tiendas;baja;RUIDO;token genérico "chamber" en productos distintos
funda;2;87819;25745;friendlygrow|fumetas;2;;5.68;token "funda" freq=2 en 2 tiendas;baja;RUIDO;token genérico "funda" en productos distintos
surtido;2;88645;12248;friendlygrow|astrogrowshop;2;;31.99;token "surtido" freq=2 en 2 tiendas;baja;RUIDO;token genérico "surtido" en productos distintos
borosilicato;3;87558;69116|71148;friendlygrow|kushbreak|growbarato;3;;5.54;token "borosilicato" freq=3 en 3 tiendas;baja;RUIDO;token de material en productos distintos
pineapple;3;88346;32456|80705;friendlygrow|astrogrowshop|piranha;3;;3.72;token "pineapple" freq=3 en 3 tiendas;baja;RUIDO;pipa pineapple vs vape pineapple vs terpenes — productos distintos
express;3;88346;71176|80705;friendlygrow|growbarato|piranha;3;;8.26;token "express" freq=3 en 3 tiendas;baja;RUIDO;pipa pineapple express vs terpenes pineapple express — productos distintos
herbva;3;87560;32754|32746;friendlygrow|astrogrowshop;2;;1.33;token "herbva" freq=3 en 2 tiendas;alta;NECESITA-FOTO;Airistech Herbva: FG tiene boquilla de enfriamiento ($11990), Astro tiene wax bullet y cápsula dosificadora. ¿Son accesorios compatibles del mismo modelo?
baby;3;87845;472|3143;friendlygrow|fumetas|growbarato;3;;9.02;token "baby" freq=3 en 3 tiendas;baja;RUIDO;token genérico "baby" en productos distintos
grado;3;87845;789|11541;friendlygrow|astrogrowshop|growbarato;3;;11.26;token "grado" freq=3 en 3 tiendas;baja;RUIDO;token genérico "grado" en productos distintos
bronce;3;87371;37542|37543;friendlygrow|fumetas;2;;2.32;token "bronce" freq=3 en 2 tiendas;baja;RUIDO;moledor bronce vs dabber bronce — productos distintos
days;3;87645|87559;93;friendlygrow|fumetas;2;;25.24;token "days" freq=3 en 2 tiendas;baja;RUIDO;token genérico "days" en productos distintos
vanilla;3;88637|88814;72096;friendlygrow|fumetas;2;;32.31;token "vanilla" freq=3 en 2 tiendas;baja;RUIDO;token de sabor en productos distintos
cobre;3;87484|87479;35712;friendlygrow|fumetas;2;;1.14;token "cobre" freq=3 en 2 tiendas;baja;RUIDO;moledor cobre vs encendedor cobre — productos distintos
nokiva;3;87784;18568|37321;friendlygrow|fumetas;2;;4.17;token "nokiva" freq=3 en 2 tiendas;alta;NECESITA-FOTO;Airistech Nokiva: FG tiene boquilla de enfriamiento ($24990), Fumetas tiene boquillas ($5990). ¿Es el mismo accesorio o uno premium?
edici;3;87946;2136|1247;friendlygrow|fumetas;2;;30.32;token "edici" freq=3 en 2 tiendas;baja;RUIDO;token genérico "edición" en productos distintos
incluido;3;88526;3138|71254;friendlygrow|growbarato;2;;3.70;token "incluido" freq=3 en 2 tiendas;baja;RUIDO;token genérico "incluido" en productos distintos
pie;3;88564;80554|80601;friendlygrow|piranha;2;;34.54;token "pie" freq=3 en 2 tiendas;baja;RUIDO;token genérico "pie" en productos distintos
multi;4;87753|87751|87755;69267;friendlygrow|kushbreak;2;;1.00;token "multi" freq=4 en 2 tiendas;baja;RUIDO;bong multi perc vs multi utility tool — productos distintos
bangers;4;87546|87545;11600|70806;friendlygrow|growbarato;2;;1.46;token "bangers" freq=4 en 2 tiendas;baja;RUIDO;adaptador para bangers vs banger Calvo vs limpieza bangers — productos distintos
dabbers;4;87968;37658|37660|20243;friendlygrow|fumetas;2;;3.58;token "dabbers" freq=4 en 2 tiendas;baja;RUIDO;token genérico "dabbers" en productos distintos
berry;4;88850|88927;13400|80555;friendlygrow|fumetas|piranha;3;;17.18;token "berry" freq=4 en 3 tiendas;baja;RUIDO;token de sabor en productos distintos
culos;4;88062|88060|88059;71148;friendlygrow|growbarato;2;;4.02;token "culos" freq=4 en 2 tiendas;baja;RUIDO;token genérico en productos distintos
bee;4;87559;34724|34719|18108;friendlygrow|fumetas|astrogrowshop;3;;2.84;token "bee" freq=4 en 3 tiendas;baja;RUIDO;Killer Bee (genérico) vs Calvo Bee Rig — marcas distintas
resistencia;4;88034;11186|15682|11600;friendlygrow|piranha|growbarato;3;;9.11;token "resistencia" freq=4 en 3 tiendas;baja;RUIDO;token genérico "resistencia" en productos distintos
leaf;4;87596;1204|15863|71009;friendlygrow|fumetas|piranha|growbarato;4;;10.03;token "leaf" freq=4 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
atrapacenizas;4;88629|88631|88633;11583;friendlygrow|growbarato;2;;1.32;token "atrapacenizas" freq=4 en 2 tiendas;media;PRODUCTO-NUEVO-CANDIDATO;no revisado
zero;4;88643|88821;34238|80533;friendlygrow|fumetas|piranha;3;;32.31;token "zero" freq=4 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
cactus;4;87502;34835|34842|12560;friendlygrow|fumetas|astrogrowshop;3;;5.51;token "cactus" freq=4 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
labs;5;87432|87431|87433|87434;1573;friendlygrow|fumetas;2;;1.07;token "labs" freq=5 en 2 tiendas;media;PRODUCTO-NUEVO-CANDIDATO;no revisado
balloon;5;88166|88165|88168;15942|19537;friendlygrow|piranha|fumetas;3;;7.51;token "balloon" freq=5 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
dog;5;88166|88165|87511|88168;15942;friendlygrow|piranha;2;;5.63;token "dog" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
frutilla;5;88920|87451;8130|8136|36225;friendlygrow|fumetas;2;;19.99;token "frutilla" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
triple;5;88133|88054|88132|88052;71171;friendlygrow|growbarato;2;;5.72;token "triple" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
fondo;5;87490|87491;11433|13702|19395;friendlygrow|growbarato|fumetas;3;;2.25;token "fondo" freq=5 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
zombie;5;88354|87904|87905|87902;7;friendlygrow|fumetas;2;;9.08;token "zombie" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
compact;5;87590;19454|36030|36032|74189;friendlygrow|fumetas;2;;1.26;token "compact" freq=5 en 2 tiendas;media;PRODUCTO-NUEVO-CANDIDATO;no revisado
vainilla;5;88655|88555|87453;35151|36230;friendlygrow|fumetas;2;;10.09;token "vainilla" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
honeycomb;5;87647|87687|87685;34099|34100;friendlygrow|fumetas;2;;3.81;token "honeycomb" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
mara;5;87782|88052;15860|15591|11107;friendlygrow|piranha;2;;8.64;token "mara" freq=5 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
eco;5;88057;11211|11531|69076|77826;friendlygrow|piranha|growbarato|kushbreak|astrogrowshop;5;;12.11;token "eco" freq=5 en 5 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
skull;5;88146;19454|36030|36032|74189;friendlygrow|fumetas;2;;1.19;token "skull" freq=5 en 2 tiendas;media;PRODUCTO-NUEVO-CANDIDATO;no revisado
plata;6;87372|87355;33166|31042|32306|31050;friendlygrow|astrogrowshop;2;;1.99;token "plata" freq=6 en 2 tiendas;baja;PRODUCTO-NUEVO-CANDIDATO;no revisado
big;6;88194|88191|88309;34379|69011|18059;friendlygrow|fumetas|kushbreak|astrogrowshop;4;;11.85;token "big" freq=6 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
aleatorio;6;87981|87626|88385;15844|16117|16165;friendlygrow|piranha;2;;65.66;token "aleatorio" freq=6 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
colors;6;87460|87457|87458|87459;770|70918;friendlygrow|astrogrowshop|growbarato;3;;2.19;token "colors" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
glow;6;87559;1209|37460|31464|31467|90552;friendlygrow|fumetas|astrogrowshop;3;;11.26;token "glow" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
rejillas;6;88601|88597|88599|88603;69183|71174;friendlygrow|kushbreak|growbarato;3;;3.99;token "rejillas" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
honey;6;88720|87600|88564|88568;35271|37181;friendlygrow|fumetas;2;;7.36;token "honey" freq=6 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
lida;6;88500|88502|88504|88506|88507;70967;friendlygrow|growbarato;2;;1.11;token "lida" freq=6 en 2 tiendas;baja;PRODUCTO-NUEVO-CANDIDATO;no revisado
usb;6;87527|87928;80734|27471|80728|20040;friendlygrow|piranha|fumetas;3;;92.72;token "usb" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
coil;6;88034|88037|88839;11186|20199|37284;friendlygrow|piranha|fumetas;3;;4.92;token "coil" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
rainbow;6;87605;1342|13517|19579|19463|1218;friendlygrow|piranha|fumetas;3;;84.42;token "rainbow" freq=6 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
tin;7;88089|88087|88091|88093|88095|88085;16101;friendlygrow|piranha;2;;1.25;token "tin" freq=7 en 2 tiendas;baja;PRODUCTO-NUEVO-CANDIDATO;no revisado
gorilla;7;88446|88445|88442|88443|88439|88441;80686;friendlygrow|piranha;2;;2.13;token "gorilla" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
donut;7;87501|87500|87498|87499|87497|87471;3196;friendlygrow|growbarato;2;;3.82;token "donut" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
pesa;7;87570;77728|12377|70940|71117|70180|70258;friendlygrow|astrogrowshop|growbarato|kushbreak;4;;30.07;token "pesa" freq=7 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
tama;7;87664|87666|87663|87665;3173|11506|11595;friendlygrow|growbarato;2;;12.24;token "tama" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
reggae;7;88727|88728|88730|88731|88733|88732;20292;friendlygrow|fumetas;2;;14.52;token "reggae" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
sica;7;88460|88461|88462|88459|88457|88458;15815;friendlygrow|piranha;2;;17.44;token "sica" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
pocket;7;88140;68982|34420|34418|34421|71166|71213;friendlygrow|kushbreak|fumetas|growbarato;4;;14.81;token "pocket" freq=7 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
aku;7;87769;488|504|520|1315|11131|11159;friendlygrow|piranha;2;;3.08;token "aku" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
conejo;7;87478|87477|87476|87474|87475|87479;20255;friendlygrow|fumetas;2;;4.53;token "conejo" freq=7 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
ctrico;7;87657|87658|87659|87660|87661;4659|68961;friendlygrow|fumetas|kushbreak;3;;1.20;token "ctrico" freq=7 en 3 tiendas;baja;PRODUCTO-NUEVO-CANDIDATO;no revisado
10cms;7;87567;55738|55739|55740|55741|55742|55737;friendlygrow|astrogrowshop;2;;1.28;token "10cms" freq=7 en 2 tiendas;baja;PRODUCTO-NUEVO-CANDIDATO;no revisado
splash;8;87558|87438|87435|87436|87437;37265|37647|37455;friendlygrow|fumetas;2;;4.00;token "splash" freq=8 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
enfriamiento;8;87508|87560|87948|87561|87784;49936|49935|49934;friendlygrow|fumetas;2;;4.84;token "enfriamiento" freq=8 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
thin;8;87664|87666|87663|87665|88266|88456;193|12622;friendlygrow|fumetas|astrogrowshop;3;;4.67;token "thin" freq=8 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
ultra;8;87664|88266|88456;11221|12622|815|13508|35821;friendlygrow|piranha|astrogrowshop|fumetas;4;;7.12;token "ultra" freq=8 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
precisi;8;88586|88584|88583|88588|88590|88592;71118|70940;friendlygrow|growbarato;2;;2.26;token "precisi" freq=8 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
cobra;8;88586|88584|88583|88588|88590|88592;11521|69201;friendlygrow|growbarato|kushbreak;3;;17.54;token "cobra" freq=8 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
beige;8;88469;15965|93658|36524|35739|37088|37174|37085;friendlygrow|piranha|fumetas;3;;4.07;token "beige" freq=8 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
sandia;8;88822|88559|88577|88648|88845|88923|88644;36228;friendlygrow|fumetas;2;;32.31;token "sandia" freq=8 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
little;8;87882|87884|87880;17737|37486|37076|37484|37485;friendlygrow|astrogrowshop|fumetas;3;;6.81;token "little" freq=8 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
cbd;8;88372|88373|88375|88377|88379|88380|87593;71225;friendlygrow|growbarato;2;;7.20;token "cbd" freq=8 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
catcher;9;87706|87486|87702|87704|87489|87700|87487;13189|11583;friendlygrow|fumetas|growbarato;3;;2.08;token "catcher" freq=9 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
dabs;9;87492|87490|87493|87672|87671|87491|87670|87669;70870;friendlygrow|growbarato;2;;2.64;token "dabs" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
herbal;9;87508|87560|87948|87561|87784;36968|36967|36966|19987;friendlygrow|fumetas;2;;5.01;token "herbal" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
ash;9;87486|87489|87487;11583|31464|31467|90552|34255|34257;friendlygrow|growbarato|astrogrowshop|fumetas;4;;5.32;token "ash" freq=9 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
menta;9;87452;33660|36232|37256|37274|37655|37642|35773|33560;friendlygrow|fumetas;2;;33.99;token "menta" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
lightly;9;88268|87665|88453;192|204|448|648|3765|202;friendlygrow|fumetas;2;;7.53;token "lightly" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
antiadherente;9;87600|87610|87611;3174|3167|71070|71100|71099|11399;friendlygrow|growbarato;2;;14.52;token "antiadherente" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
hit;9;87651|87652|87653|87683|87948|87561|87681|87682;2327;friendlygrow|growbarato;2;;5.17;token "hit" freq=9 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
pantalla;9;87917;37470|37472|37471|37474|37473|20185|69034|80728;friendlygrow|fumetas|kushbreak|piranha;4;;3.11;token "pantalla" freq=9 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
mango;9;88553|88657;80614|80613|72095|35262|37179|37207|37030;friendlygrow|piranha|fumetas;3;;72.97;token "mango" freq=9 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
smoking;10;87649|87643|87644;11559|71163|12306|23766|12454|32146|69020;friendlygrow|growbarato|astrogrowshop|kushbreak;4;;30.66;token "smoking" freq=10 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
quartz;10;87492|87490|87493|87672|87671|87491|87670|87669;1548|26064;friendlygrow|fumetas;2;;2.92;token "quartz" freq=10 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
accesorio;10;87564|87563|87565|87562;16172|16170|16231|93906|2308|18194;friendlygrow|piranha|growbarato|astrogrowshop;4;;47.60;token "accesorio" freq=10 en 4 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
magn;10;88062|88060|87824|87827|88059|87823|87826;1531|19434|19543;friendlygrow|fumetas;2;;8.22;token "magn" freq=10 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
organico;10;87664|87666|87663|87665|88572|88573|88575|88577|88580;77826;friendlygrow|astrogrowshop;2;;2.02;token "organico" freq=10 en 2 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
blueberry;10;88640|88560|88818;13494|13395|13399|35255|37178|37205|16019;friendlygrow|fumetas|piranha;3;;32.31;token "blueberry" freq=10 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
full;10;87643|87644;98|34483|13565|34481|34482|34485|13566|1368;friendlygrow|fumetas|growbarato;3;;6.75;token "full" freq=10 en 3 tiendas;NECESITA-FOTO;PRODUCTO-NUEVO-CANDIDATO;no revisado
