sim;fgOfferId;fgPrecio;fgTitulo;fgCategoria;parOfferId;parTienda;parPrecio;parTitulo;parCategoria;ratio;categoria
0.40;88281;3900;"Pipa de Silicona Monster - Rojo";Pipas;33212;astrogrowshop;1290;"Kap Silicona -Pmg - Rojo";Otros parafernalia;3.02;DISTINTA
0.40;88283;3900;"Pipa de Silicona Monster - Amarillo";Pipas;33209;astrogrowshop;1290;"Kap Silicona -Pmg - Amarillo";Otros parafernalia;3.02;DISTINTA
0.44;87546;7900;"Adaptador de Pyrex en U para Dos Bangers – Doble Quemador 14mm/18mm - 18mm";Accesorios de extraccion;15589;piranha;6990;"Adaptador 14mm para Bong (Doble Quemador 14mm) | PIRANHA";Repuestos para bongs y vaporizadores;1.13;DISTINTA
0.40;88466;5900;"Pipa SIlicona Fantasmita - Naranjo";Pipas;33211;astrogrowshop;1290;"Kap Silicona -Pmg - Naranjo";Otros parafernalia;4.57;DISTINTA
0.50;88470;4990;"Pipa Silicona Kartman";Pipas;69073;kushbreak;3990;"Contenedor silicona";Contenedores y estuches;1.25;DISTINTA
0.40;88489;5990;"Pipa SIlicona Ornitorrinco - Amarillo";Pipas;33209;astrogrowshop;1290;"Kap Silicona -Pmg - Amarillo";Otros parafernalia;4.64;DISTINTA
0.40;87500;7990;"Nectar Collector Donut 🍩 - Verde";Accesorios de extraccion;36722;fumetas;29990;"Calvo Vaporizador Nectar - Verde";Vaporizadores herbales;3.75;DISTINTA
0.40;88473;4990;"Pipa Silicona Keny - Naranjo";Pipas;33211;astrogrowshop;1290;"Kap Silicona -Pmg - Naranjo";Otros parafernalia;3.87;DISTINTA
0.40;88487;5990;"Pipa SIlicona Ornitorrinco - Rojo";Pipas;33212;astrogrowshop;1290;"Kap Silicona -Pmg - Rojo";Otros parafernalia;4.64;DISTINTA
0.44;88362;14990;"Vaporizador Bateria Alien Doteco Et500 Para Cartridges 510 - Verde";Otros parafernalia;37452;fumetas;31990;"Pulsar Batería Cartridges 510 DL 5.0 - Verde";Otros parafernalia;2.13;misma
0.50;87646;9990;"Nectar Collector de Silicona Rayado";Accesorios de extraccion;3142;growbarato;21000;"Nectar Collector Bong de Silicona con quemador de vidrio";Accesorios de extraccion;2.10;misma
