grupoId;productIds;anclaPropuesta;motivoAncla;brandKeys;modelSlugs;nombres;tiendasPorProducto;tiendasUnidas;nTiendasAntes;nTiendasDespues;sumaTienda;algunoCongelado;ratioPrecio;evidencia;confianza;veredicto
1;P5707|P10233;P5707;3 tiendas vs 2;blazy-susan;pre-roll-purple-1-1-4-6u|pre-roll-purple-1-1-4-50u;Conos Pre-Enrolados Purple 1/4 6u|Blazy Susan Purple 1/450u;3t|2t;piranha,fumetas,kushbreak;3;3;no;no;1.00;Mismo modelKey cone-conos-pre-enrolados-1-1-4: 6u vs50u es cantidad no modelo;alta;FUSIONAR
2;P5758|P10275|P10303|P10602|P10424|P10280;P5758;más ofertas (3);storz-bickel;screen-set-small|piezas-desgaste-mighty|cooling-unit-mighty|charger-mighty-car-charger|charger-mighty|anillos-sellado-mighty;Juego De Mallas|Piezas Desgaste|Unidad Enfriamiento|Cargador Auto12V|Cargador|Anillos Sellado;3t|3t|3t|2t|2t|3t;?,?,?,?;3;3;no;no;N/A;modelKey genérico repuestos-mighty:6 productos distintos (mallas/anillos/enfriador/cargadores) NO fusionar;alta;NO-FUSIONAR
3;P5761|P10552;P5761;5 tiendas vs1;ozeta;case-antiolor-large|estuche-flat-grande;Estuche Anti Olor Grande|OZeta Estuche Flat Grande;5t|1t;astrogrowshop,fumetas,piranha,kushbreak,friendlygrow;5;5;no;si;1.00;Mismo modelKey container-estuche-grande: Estuche Grande vs Estuche Flat Grande probablemente mismo producto;alta;NECESITA-OK-USUARIO
4;P5763|P5780|P10743;P5763;4 tiendas (máx);ozeta;bag-chestbag-circular|bag-chestbag-4x4-4x4|chestbag-4x4-clave;Chestbag Circular|Chestbag4x4|Chestbag4x4 Clave;4t|3t|1t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;1.00;Mismo modelKey container-chestbag: probablemente mismo producto con nombres ligeramente distintos;media;NECESITA-OK-USUARIO
5;P5764|P10553;P5764;3 tiendas vs2;ozeta;case-antiolor-medium|estuche-flat-mediano;Estuche Anti Olor Mediano|OZeta Estuche Flat Mediano;3t|2t;astrogrowshop,fumetas,piranha;3;3;no;no;1.00;Mismo modelKey container-estuche-mediano;alta;FUSIONAR
6;P5765|P7885|P10198|P10199|P10572|P10573|P10696|P10571|P10574|P10697;P5765;5 tiendas (máx);ozeta;container-estuche;case-antiolor-small|case-ywiwis|case-ywiwis-carboncin|case-ywiwis-perrito|estuche-felpudo-papas-fritas|estuche-felpudo-empanada|case-ywiwis-ina|estuche-felpudo-pizza|estuche-felpudo-completo|case-ywiwis-lola;Estuche Pequeño|Ywiwis Gollo|Ywiwis Carboncin|Ywiwis Perrito|Felpudo Papas Fritas|Felpudo Empanada|Ywiwis Ina|Felpudo Pizza|Felpudo Completo|Ywiwis Lola;5t|5t|4t|4t|3t|3t|3t|3t|2t|3t;?,?,?,?,?,?,?,?,?;5;5;no;si;N/A;modelKey genérico container-estuche: mezcla Ywiwis (diseños) + Felpudo (diseños) + estuche base —10 productos distintos NO fusionar;alta;NO-FUSIONAR
7;P6020|P10258;P6020;3 tiendas (máx);bonglab;bowl-14mm|bowl-pro-14mm;Quemador14Mm|Quemador Pro14Mm;3t|2t;astrogrowshop,fumetas,piranha;3;3;no;no;N/A;modelKey genérico banger-quemador-14mm: Bowl normal vs Bowl Pro son diseños distintos;alta;NO-FUSIONAR
8;P9245|P10287|P10422;P9245;4 tiendas (máx);storz-bickel;vaporizadores-mighty;mighty-plus|mighty|dispositivo-insuflacion;Mighty+|Anillos Sellado Mighty|Dispositivo Insuflación;4t|3t|3t;?,?,?;4;4;no;si;N/A;modelKey genérico vaporizadores-mighty: Mighty+ (vaporizador) vs Anillos (repuesto) vs Insuflación (accesorio) —3 productos distintos;alta;NO-FUSIONAR
9;P10152|P10719|P5706;P5706;3 tiendas (máx);blazy-susan;pre-roll-pink-king-size-50u|pre-roll-purple-king-size-50u|pre-roll-pink-king-size-3u;Pink KS50u|Purple KS50u|Pink KS3u;2t|2t|3t;piranha,fumetas,kushbreak;3;3;no;no;1.00;Mismo modelKey cone-conos-pre-enrolados-king-size: color/quantity variants del mismo cono KS;alta;FUSIONAR
10;P10235|P10526|P5779;P10526;4 tiendas (máx);ozeta;container-bolso;bag-bandolera-circular|bolso-felpudo-gatito|bag-crossbag-5x5;Bandolera Circular|Bolso Felpudo Gatito|Crossbag5x5;2t|4t|3t;?,?,?;4;4;no;si;N/A;modelKey genérico container-bolso: diseños distintos (bandolera circular / felpudo gatito / crossbag5x5);alta;NO-FUSIONAR
11;P10304|P10305|P10306;P10304;2 tiendas;clipper;lighter-encendedor-super-pocket;super-pocket-1|super-pocket-2|super-pocket-4;Encendedor Super Pocket1|2|4;2t|2t|2t;?,?,?;2;2;no;no;N/A;modelKey genérico lighter-encendedor-super-pocket: diseños numerados distintos (1/2/4) NO fusionar;alta;NO-FUSIONAR
12;P10308|P10332;P10308;3 ofertas vs2;zippo;cannabis-design-3|cannabis-design-iridiscente;Zippo Cannabis Design|Zippo Cannabis Design Iridiscente;2t|2t;piranha,astrogrowshop;2;2;no;no;1.00;Mismo modelKey lighter-encendedor-cannabis-design: mismo producto, variantes de color;alta;FUSIONAR
13;P10890|P10459|P10562|P10615|P10658|P10431|P10443|P10455|P10462|P10559|P10662;P10443;4 tiendas (máx);puffco;vaporizer-proxy;Proxy Joystick|Proxy Black+Joystick|Proxy Bub|Proxy Wizard Onyx|Proxy Travel Pack|Proxy Flower Bowl|Proxy|Proxy New3D Chamber|Proxy3D Chamber|Proxy Wizard|Proxy Storm;2t|2t|2t|2t|2t|2t|4t|2t|2t|2t|2t;?,?,?,?,?,?,?,?,?,?,;4;4;no;si;N/A;modelKey genérico vaporizer-proxy: el Proxy (P104434t) es el vaporizador; los demás son accesorios distintos —11 productos diferentes;alta;NO-FUSIONAR
14;P10361|P5745|P10099|P10385;P10099;4 tiendas (máx);storz-bickel;vaporizadores-volcano-hybrid;volcano-hybrid-tube-kit|volcano-hybrid-onyx|volcano-hybrid|volcano-hybrid-piezas-desgaste;Tube Kit|Onyx Edition|Volcano Hybrid|Piezas Desgaste;2t|2t|4t|2t;?,?,?,?;4;4;no;si;N/A;modelKey genérico vaporizadores-volcano-hybrid: Tube Kit (accesorio) + Onyx (edición/color) + Piezas Desgaste (repuesto) ≠ Hybrid (vaporizador);alta;NO-FUSIONAR
15;P10399|P10401;P10399;4 tiendas vs2;bonglab;difusor-magenta-14mm-12cm|difusor-negro-14mm-12cm;Difusor Magenta14mm12cm|Difusor Negro14mm12cm;4t|2t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;1.00;Mismo modelKey repuestos-difusor-12cm-14mm: color variant (magenta vs negro);alta;NECESITA-OK-USUARIO
16;P10417|P5719;P5719;3 ofertas vs2;gizeh;slim-filter-menthol-6mm|gummed-tip-slim-red-6mm-150u;Filtros Gizeh Slim Menthol|Gizeh Slim Rojo con pegamento;2t|2t;piranha,fumetas;2;2;no;no;N/A;modelKey genérico slim-6mm-slim: Menthol vs Rojo con pegamento son filtros diferentes;alta;NO-FUSIONAR
17;P10432|P10454|P10456|P10558|P10560|P10649|P10652|P10653|P10433|P10449|P10561|P10888;P10449;4 tiendas (máx);puffco;vaporizer-peak-pro;Power Dock|3DXL Chamber|3D Chamber|Link Onyx|New Peak Pro Onyx3DXL|Peak Pro|Joystick Cap|New Peak Pro|Peak Pro Glass|Ball Cap|New Peak Pro Pearl3DXL|New Peak Pro Plasma3DXL;2t|3t|2t|2t|3t|3t|3t|2t|3t|4t|4t|2t;?,?,?,?,?,?,?,?,?,?,?,;4;4;no;si;N/A;modelKey genérico vaporizer-peak-pro: mezcla vaporizador + cámaras + docks + glass + caps —12 productos distintos;alta;NO-FUSIONAR
18;P10450|P10648|P10677|P10678|P10735|P10712;P10450;13 ofertas (máx ofertas);puffco;vaporizer-peak;Peak Travel Pack|New Peak Onyx|New Peak Cloud|New Peak Sky|New Peak Bliss|Journey Bag;3t|3t|2t|2t|2t|2t;?,?,?,?;3;3;no;no;N/A;modelKey genérico vaporizer-peak: Travel Pack y Journey Bag son accesorios NO fusionar con vaporizadores;alta;NO-FUSIONAR
19;P10474|P10475|P10476|P10477;P10474;3 tiendas (máx);bonglab;banger-simple-14mm;screw-kit-banger|spinner-kit-banger|waist-kit-banger|round-kit-banger;Screw Kit|Spinner Kit|Waist Kit|Round Kit;3t|3t|3t|2t;?,?,?,?;3;3;no;no;N/A;modelKey genérico banger-simple-14mm:4 diseños de banger distintos (screw/spinner/waist/round);alta;NO-FUSIONAR
20;P10488|P10536;P10488;5 ofertas vs3;dime-bags;container-estuche-22cm;the-collector-22cm|the-soldier-22cm;The Collector22cm|The Soldier22cm;3t|3t;?,?,?;3;3;no;no;N/A;modelKey genérico container-estuche-22cm: Collector vs Soldier son diseños distintos;alta;NO-FUSIONAR
21;P10582|P10737|P5730;P10582;2 tiendas;zippo;lighter-encendedor-classic-high-polish;Classic HP Blue|Classic HP Green|Classic HP Teal;2t|2t|2t;?,?,?;2;2;no;no;1.00;Mismo modelKey lighter-encendedor-classic-high-polish: colores distintos, mismas tiendas;alta;NO-FUSIONAR
22;P10736|P10236;P10236;14 ofertas vs7;soulblime;container-contenedor;desmontable|sliding;Tapa Desmontable|Tapa Deslizable;3t|3t;?,?,?;3;3;no;no;N/A;modelKey genérico container-contenedor: Desmontable vs Deslizable son mecanismos distintos;alta;NO-FUSIONAR
23;P10851|P5714;P5714;4 tiendas vs2;ocb;cone-conos-pre-enrolados-king-size-slim;pre-roll-premium-king-size-slim-3u|pre-roll-virgin-king-size-slim-3u;OCB Premium KS Slim3u|OCB Virgin KS Slim3u;2t|4t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;1.00;Mismo modelKey cone-conos-pre-enrolados-king-size-slim: Premium vs Virgin;alta;NECESITA-OK-USUARIO
24;P5532|P5778;P5778;4 tiendas vs3 y14 ofertas vs6;bonglab;bong-tiny-bell;tiny-bell-extended|tiny-bell;Tiny Bell Extended|Tiny Bell;3t|4t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;1.00;Mismo modelKey bong-tiny-bell: Extended vs normal es talla del mismo bong;alta;NECESITA-OK-USUARIO
25;P10490|P10624;P10490;6 ofertas vs2;dime-bags;container-bolso-25cm;the-boss-25cm|bag-goodfella-25cm;The Boss25cm|The Goodfella25cm;3t|2t;?,?,?;3;3;no;no;N/A;modelKey genérico container-bolso-25cm: Boss vs Goodfella son diseños distintos;alta;NO-FUSIONAR
26;P10504|P10676|P10727;P10504;2 tiendas;hemper;vaporizer-peak;trippy-shroom-peak-glass|space-fleet-peak-glass|popcorn-peak-glass;Trippy Shroom|Space Fleet|Popcorn;2t|2t|2t;?,?,?;2;2;no;no;N/A;modelKey genérico vaporizer-peak: Hemper Peak Glass —3 diseños distintos (trippy/space/popcorn);alta;NO-FUSIONAR
27;P10863|P10207;P10207;4 tiendas vs2;puffco;vaporizer-plus;Plus Chamber|Vaporizador Plus;Plus Chamber|Vaporizador Plus;2t|4t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;N/A;modelKey genérico vaporizer-plus: Chamber (accesorio) ≠ Vaporizador Plus (dispositivo);alta;NO-FUSIONAR
28;P10642|P10679;P10679;4 tiendas vs3 y11 ofertas vs3;yocan;vaporizer-vane|vaporizer-vane-2;Yocan Vane|Yocan Vane2;3t|4t;?,?,?,?;4;4;no;si;N/A;sim=1 pero Vane vs Vane2 son modelos distintos (regla8: si nombra modelo distinto es NO-VINCULAR);alta;NO-FUSIONAR
29;P5489|P10202;P5489;39 ofertas vs38;top-smoke;pocket-travel|pocket;Pipa Pocket Travel|Pipa Pocket;3t|3t;?,?,?;3;3;no;no;N/A;sim=0.833 pero Pocket Travel vs Pocket: modelos distintos con/sin tapa travel;alta;NO-FUSIONAR
30;P10453|P10531;P10453;4 tiendas vs3 y12 ofertas vs11;calvo;bateria-cartridge-510|bateria-led-cartridge-510;Batería Cartridge510|Batería LED Cartridge510;4t|3t;?,?,?,?;4;4;no;si;N/A;sim=0.833 pero con LED vs sin LED: productos distintos;alta;NO-FUSIONAR
31;P10281|P11019;P10281;3 tiendas vs2;storz-bickel;capsule-caddy|capsule-caddy-concentrados;Capsule Caddy|Capsule Caddy Concentrados;3t|2t;?,?,?;3;3;no;no;N/A;sim=0.833 pero Normal vs Concentrados: variantes distintas (r59 dividió P10281 a propósito);alta;NO-FUSIONAR
32;P10257|P10297;P10257;19 ofertas vs10;bonglab;bowl-perlas-18mm|bowl-macho-18mm;Quemador Perlas18mm|Quemador Macho18mm;3t|2t;?,?,?;3;3;no;no;N/A;sim=0.8 pero modelKey distinto: Perlas vs Macho son diseños de quemador distintos;alta;NO-FUSIONAR
33;P5530|P11010;P5530;4 tiendas vs2 y11 ofertas vs2;bonglab;sheikh|the-sheikh-42cm-azul;The Sheikh42cm|The Sheikh42cm Azul;4t|2t;astrogrowshop,fumetas,piranha,kushbreak;4;4;no;si;1.00;Mismo bong Sheikh42cm: Azul es color → fusionar;alta;NECESITA-OK-USUARIO
34;P10314|P10313;P10314;5 ofertas vs2;calvo;banger-big-slurper-full-weld-14mm|banger-thin-slurper-full-weld-14mm;Big Slurper Full Weld14mm|Thin Slurper Full Weld14mm;3t|2t;?,?,?;3;3;no;no;N/A;sim=0.8 pero Big Slurper vs Thin Slurper: diseños distintos;alta;NO-FUSIONAR
35;P10886|P10885;P10885;3 ofertas vs2;airistech;boquilla-herbva-5g-glass|boquilla-herbva-5g;Boquilla Herbva5G Glass|Boquilla Herbva5G;2t|2t;kushbreak,fumetas;2;2;no;no;1.00;Mismo producto boquilla Herbva5G: glass vs standard;alta;FUSIONAR
36;P10544|P10543;P10544;4 tiendas vs2;lion-rolling-circus;hemp-wrap-tangie|hemp-wrap-kkksh;Hemp Wrap Tangie|Hemp Wrap KKKSH;4t|2t;?,?,?,?;4;4;no;si;N/A;sim=0.778 pero Tangie vs KKKSH: sabores/ediciones distintos (regla9: edición no fusiona);alta;NO-FUSIONAR
37;P10995|P10994;P10995;2 tiendas;shine;6p-king-size-24k|wu-tang-3p-24k;Shine6p KS24K|Shine Wu-Tang3p KS24K;2t|2t;?,?,?;2;2;no;no;N/A;sim=0.778 pero Regular vs Wu-Tang: ediciones distintas (regla9);alta;NO-FUSIONAR
38;P8651|P10891;P8651;4 tiendas vs3;davinci;miqro-c|miqro;DaVinci MIQRO-C|DaVinci Miqro;4t|3t;?,?,?,?;4;4;no;si;N/A;sim=0.75 pero MIQRO-C vs MIQRO: modelos distintos (regla8);alta;NO-FUSIONAR
39;P10717|P10718;P10718;4 tiendas vs3 y14 ofertas vs11;bonglab;atrapa-cenizas-slits-14mm|atrapa-cenizas-slits-18mm;Atrapa Cenizas Slits14mm|Atrapa Cenizas Slits18mm;3t|4t;?,?,?,?;4;4;no;si;N/A;sim=0.75 pero14mm vs18mm: tamaños distintos (regla9);alta;NO-FUSIONAR
40;P5418|P10272;P5418;4 tiendas vs3;raw;classic-king-size-slim|black-king-size-slim;RAW Classic KS Slim|RAW Black KS Slim;4t|3t;?,?,?,?;4;4;no;si;N/A;sim=0.75 pero Classic vs Black: líneas distintas;alta;NO-FUSIONAR
41;P10068|P5421;P10068;3 tiendas vs2;blazy-susan;pink-king-size-slim|unbleached-king-size-slim;Pink KS Slim|Unbleached KS Slim;3t|2t;?,?,?;3;3;no;no;N/A;sim=0.75 pero Pink vs Unbleached: productos distintos (regla9: color ≠ si es producto diferente);alta;NO-FUSIONAR
42;P10181|P10184;P10181;4 tiendas vs2;blazy-susan;pink-king-size-slim-con-tips|deluxe-rolling-kit-pink-1-1-4;Deluxe Kit Pink KS|Deluxe Kit Pink11/4;4t|2t;?,?,?,?;4;4;no;si;N/A;sim=0.75 pero King Size vs1 1/4: tamaños distintos (regla9);alta;NO-FUSIONAR
43;P10183|P10182;P10182;4 tiendas vs2;blazy-susan;purple-con-tips|purple-king-size-slim-con-tips;Deluxe Kit Purple11/4|Deluxe Kit Purple KS;2t|4t;?,?,?,?;4;4;no;si;N/A;sim=0.75 pero1 1/4 vs King Size: tamaños distintos (regla9);alta;NO-FUSIONAR
44;P5816|P6571;P5816;5 tiendas vs2;ocb;virgin|virgin-con-tips;OCB Virgin11/4|OCB Virgin11/4+Tips;5t|2t;astrogrowshop,fumetas,piranha,kushbreak,friendlygrow;5;5;no;si;1.00;Mismo producto OCB Virgin1 1/4: con vs sin tips;alta;NECESITA-OK-USUARIO
