offerId;tienda;titulo;brandKeyOferta;productId;brandKeyProducto;modelSlug;lado;tipo;canonicoPropuesto;urlQueCambiaria;pierdeTienda;veredicto;evidencia
2678;Astro Growshop;Jar Ocean Tie Dye4Oz-Bonglab Re: Stash;bonglab;10292;re-stash;jar-4oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab (marca casa). Producto es Re: Stash (fabricante real)
12185;Astro Growshop;Jar Morado8Oz-Bonglab Re: Stash;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
13460;Fumetas;BongLab Contenedor Re:Stash16oz;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash
13459;Fumetas;BongLab Contenedor Re:Stash12oz;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash
13462;Fumetas;BongLab Contenedor Re:Stash8oz;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash
13461;Fumetas;BongLab Contenedor Re:Stash4oz;bonglab;10292;re-stash;jar-4oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash
35286;Fumetas;BongLab Contenedor Re:Stash12oz - Negro;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35289;Fumetas;BongLab Contenedor Re:Stash12oz - Rasta;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35288;Fumetas;BongLab Contenedor Re:Stash12oz - Amarillo;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35290;Fumetas;BongLab Contenedor Re:Stash16oz - Negro;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35291;Fumetas;BongLab Contenedor Re:Stash16oz - Verde;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35292;Fumetas;BongLab Contenedor Re:Stash16oz - Naranjo;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
