offerIds;tiendas;nTiendasDistintas;marca;nombrePropuesto;brandKey;modelSlugPropuesto;categoria;algunaConStock;ratioPrecio;evidencia;confianza;origenFilaR59;motivoParticion
69300|20119|37254|37253|37256|37255|37270|37261|37268|37269|37267|37271|37258|37260;Kushbreak|Fumetas;2;pulsar;510 DL 2.0 PRO - Bateria Cartridge;pulsar;510-dl-2-0-pro;Otros parafernalia;si;1.00;brandKey=pulsar + modelo 510 DL 2.0 Pro especifico (12 ofertas, colores);media;1-a;Cluster original de 28 ofertas mezcla 6 modelos distintos (DL, DL 2.0 Pro, DL 3.0 Twist, DL 5.0, DL Centro, Payout). Subgrupo-a = modelo 2.0 Pro.
20182|20241|20120|20183|37451|37641|37453|37640|37652|37452|37642|37450|20242|37643;Fumetas;1;pulsar;DESCARTAR;pulsar;;;;;5 modelos distintos (DL, DL 3.0 Twist, DL 5.0, DL Centro, Payout), todos solo en Fumetas;DESCARTAR;1-b;Resto del cluster: 14 ofertas de 5 modelos que solo existen en Fumetas (1 tienda). No alcanzan 2 tiendas.
490|2743|2726|2730|2755|2698|12133|12123|12139|2737;Piranha|Astro Growshop;2;top-smoke;DESCARTAR;top-smoke;;;;;10 disenos distintos (Nova 7, Inferno 5, Krypton 6, Phantom 4, Cyclone 9, Venom 2, Toxic 8, Vortex 3, Nitro 1, Pyrex Premium). Cada diseno es un producto distinto.;DESCARTAR;2;Cluster de 10 ofertas con 10 disenos distintos de pipa Pyrex. No se pueden agrupar: cada diseno (Nova 7, Inferno 5, etc.) es un SKU distinto. Piranha vende 'Pyrex Premium' generico, Astro vende disenos especificos — ningun par comparte modelo.
69346|36925|36930|36924|36927|36926|36928|36929;Kushbreak|Fumetas;2;yocan;ZIVA - Batería para Cartridges;yocan;ziva-bateria-para-cartridges;Accesorios de extraccion;si;1.10;brandKey=yocan + título similar;alta;3;
33700|31203;Fumetas|Astro Growshop;2;galaxy;Moledor Galaxy Aluminio 63mm;galaxy;moledor-aluminio-63mm;Moledores;no;1.59;brandKey=galaxy + 63mm especifico. Fumetas $34990 'Pro Model 63mm', Astro $21990 '63MM';media;4-a;Cluster original de 7 ofertas mezcla 4 tamanos (38/55/63/73mm). Subgrupo-a = 63mm (2 tiendas).
33675|31159|31162|31153|31148|31170;Fumetas|Astro Growshop;2;galaxy;DESCARTAR;galaxy;;;;;3 tamanos restantes (38/55/73mm). 73mm solo en Fumetas, 38mm y 55mm solo en Astro.;DESCARTAR;4-b;Tamanos 38mm, 55mm y 73mm: cada uno solo en 1 tienda. No cumplen el minimo de 2 tiendas distintas.
69052|13315|35039|35040|35041|35042;Kushbreak|Fumetas;2;davinci;Vaporizador Davinci IQ2;davinci;vaporizador-iq2;Vaporizadores herbales;si;1.00;brandKey=davinci + título similar;alta;5;
36979|33318|33320|33319|79400|33321;Fumetas|Astro Growshop;2;calvo;Glass Terp Slurper Marble Set - 9;calvo;glass-terp-slurper-marble-set-9;Accesorios de extraccion;si;1.67;brandKey=calvo + título similar;media;6;
69011|19561|36214|36216|36215;Kushbreak|Fumetas;2;blazer;Big Buddy Soplete;blazer;big-buddy-soplete;Encendedores y sopletes;si;1.00;brandKey=blazer + título similar;alta;7;
70885|32098|38731|38730|38729;GrowBarato Chile|Astro Growshop|Piranha;3;airis;FUERA-DE-ALCANCE;airis;;Vaporizadores electronicos;si;2.17;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c);DESCARTAR;8;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c)
31726|34962|34961|34963;Astro Growshop|Fumetas;2;bonglab;YA-VINCULADA;bonglab;;Bongs;si;1.36;Al menos una oferta ya vinculada a producto existente (r59/r61);YA-VINCULADA;9;Ofertas ya procesadas en rondas anteriores
33979|31332|31328|31409;Fumetas|Astro Growshop;2;bonglab;YA-VINCULADA;bonglab;;Repuestos para bongs y vaporizadores;si;1.17;Al menos una oferta ya vinculada a producto existente (r59/r61);YA-VINCULADA;10;Ofertas ya procesadas en rondas anteriores
33974|31403|31393|31408;Fumetas|Astro Growshop;2;bonglab;Quemador HoneyComb Macho 14mm - Morado;bonglab;quemador-honeycomb-macho-14mm-morado;Repuestos para bongs y vaporizadores;si;1.75;brandKey=bonglab + título similar;media;11;
32079|70904|38823;Astro Growshop|GrowBarato Chile|Piranha;3;airis;FUERA-DE-ALCANCE;airis;;Vaporizadores electronicos;si;1.92;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c);DESCARTAR;12;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c)
38820|70924|70951;Piranha|GrowBarato Chile;2;airis;FUERA-DE-ALCANCE;airis;;Vaporizadores electronicos;si;1.13;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c);DESCARTAR;13;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c)
32078|70949|38888;Astro Growshop|GrowBarato Chile|Piranha;3;airis;FUERA-DE-ALCANCE;airis;;Vaporizadores electronicos;si;2.17;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c);DESCARTAR;14;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c)
19798|69008;Fumetas|Kushbreak;2;pulsar;Vaporizador Apx Pro;pulsar;apx-pro;Vaporizadores herbales;si;1.05;brandKey=pulsar + modelo APX Pro. of19798 $109990 (Fumetas), of69008 $104990 (Kushbreak).;alta;15-a;Fila original mezcla APX Pro y APX III. Subgrupo-a = APX Pro.
69142;Kushbreak;1;pulsar;DESCARTAR;pulsar;;;;;of69142 es APX III ($74990), modelo distinto al APX Pro. Solo Kushbreak.;DESCARTAR;15-b;of69142 es APX III (modelo distinto). Solo 1 tienda.
69242|8126;Kushbreak|Fumetas;2;pulsar;Chillum Hitter;pulsar;chillum-hitter;Pipas;si;1.25;brandKey=pulsar + Chillum. of69242 $3990 (Kushbreak), of8126 $4990 (Fumetas).;alta;16-a;Fila original mezcla Chillum y Core Hitter. Subgrupo-a = Chillum.
8112;Fumetas;1;pulsar;DESCARTAR;pulsar;;;;;of8112 es 'Core Hitter Chillum 9 cm' ($7990), modelo distinto. Solo Fumetas.;DESCARTAR;16-b;of8112 es Core Hitter (modelo distinto al Chillum). Solo 1 tienda.
15965|37087|37086;Piranha|Fumetas;2;raw;FUERA-DE-ALCANCE;raw;;Otros parafernalia;si;1.60;Fuera de alcance: polera es prenda de ropa (decision usuario 29 jul 2026);DESCARTAR;17;Fuera de alcance: polera es prenda de ropa (decision usuario 29 jul 2026)
71013|19512|34293;GrowBarato Chile|Fumetas;2;ozeta;Bolso Cilíndrico Anti-Olor de Ozeta grande;ozeta;bolso-cilindrico-anti-olor-de-grande;Contenedores y estuches;si;1.19;brandKey=ozeta + título similar;alta;18;
1205|69015;Fumetas|Kushbreak;2;futurola;x Mike Tyson Papelillos 1 1/4 + Tips;futurola;x-mike-tyson-papelillos-1-1-4-tips;Papelillos;si;1.55;brandKey=futurola + título similar;media;19;
32525|37483;Astro Growshop|Fumetas;2;bonglab;Bong Bonglab Little Buchner KS10 - Negro;bonglab;bong-little-buchner-ks10-negro;Bongs;si;1.09;brandKey=bonglab + título similar;alta;20;
33856|32075;Fumetas|Astro Growshop;2;bonglab;Quemador con rejilla - Macho 14mm - Verde;bonglab;quemador-con-rejilla-macho-14mm-verde;Repuestos para bongs y vaporizadores;si;1.20;brandKey=bonglab + título similar;alta;21;
31274|2001;Astro Growshop|Fumetas;2;bonglab;Banger Cuarzo Simple 45 Grados -Bonglab - 10MM;bonglab;banger-cuarzo-simple-45-grados-10mm;Accesorios de extraccion;si;1.13;brandKey=bonglab + título similar;alta;22;
33935|71166;Fumetas|GrowBarato Chile;2;bonglab;Bong Pocket Twister 23cm - Negro;bonglab;bong-pocket-twister-23cm-negro;Bongs;si;1.04;brandKey=bonglab + título similar;alta;23;
34504|33323;Fumetas|Astro Growshop;2;bonglab;Bong W06 Fat Candy 25cm - Azul;bonglab;bong-w06-fat-candy-25cm-azul;Bongs;si;1.06;brandKey=bonglab + título similar;alta;24;
69333|18157;Kushbreak|Astro Growshop;2;puffco;Peak;puffco;peak;Accesorios de extraccion;si;1.00;brandKey=puffco + título similar;alta;25;
80305|77687;Piranha|Astro Growshop;2;puffco;New Peak Pro 3DXL LTD Plasma Edition Chamber | PIRANHA;puffco;new-peak-pro-3dxl-ltd-plasma-edition-chamber;Accesorios de extraccion;si;1.00;brandKey=puffco + título similar;alta;26;
16172|79564;Piranha|Astro Growshop;2;puffco;Accesorio Puffco New Hot Knife | PIRANHA;puffco;accesorio-new-hot-knife;Accesorios de extraccion;si;1.07;brandKey=puffco + título similar;alta;27;
16231|31772;Piranha|Astro Growshop;2;puffco;Accesorio Proxy Droplet - Puffco;puffco;accesorio-proxy-droplet;Accesorios de extraccion;si;2.94;brandKey=puffco + título similar;NECESITA-FOTO;28;
19952|69026;Fumetas|Kushbreak;2;ryot;420 Kit Todo en 1;ryot;420-kit-todo-en-1;Otros parafernalia;si;1.00;brandKey=ryot + título similar;alta;29;
8159|69010;Fumetas|Kushbreak;2;ryot;Hitter de Aluminio Anodizado 6mm;ryot;hitter-de-aluminio-anodizado-6mm;Pipas;si;1.00;brandKey=ryot + título similar;alta;30;
34345|31799;Fumetas|Astro Growshop;2;ryot;Estuche Roller Wallet - Kamo;ryot;estuche-roller-wallet-kamo;Contenedores y estuches;si;1.02;brandKey=ryot + título similar;alta;31;
13636|71041;Fumetas|GrowBarato Chile;2;cookies;FUERA-DE-ALCANCE;cookies;;Otros parafernalia;si;1.32;Fuera de alcance: calcetines son prendas de ropa (decision usuario 29 jul 2026);DESCARTAR;32;Fuera de alcance: calcetines son prendas de ropa (decision usuario 29 jul 2026)
38822|70922;Piranha|GrowBarato Chile;2;airis;FUERA-DE-ALCANCE;airis;;Vaporizadores electronicos;si;1.13;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c);DESCARTAR;33;Fuera de alcance: Airis Neo P8000 es vape desechable de esencia (commit c73d75c)
77848|80584;Astro Growshop|Piranha;2;focus-v;Boquilla SWIVEL para Carta 2, Carta Sport y AERIS - Focus V;focus-v;boquilla-swivel-para-carta-2-carta-sport-y-aeris;Repuestos para bongs y vaporizadores;si;1.03;brandKey=focus-v + título similar;alta;34;
4659|68961;Fumetas|Kushbreak;2;pulsar;King Kut Moledor Eléctrico 40mm;pulsar;king-kut-moledor-electrico-40mm;Moledores;si;1.00;brandKey=pulsar + título similar;alta;35;
4635|69327;Fumetas|Kushbreak;2;pulsar;Moledor Pulsar Contenedor Wax/Hierba 61mm;pulsar;moledor-contenedor-wax-hierba-61mm;Moledores;si;1.03;brandKey=pulsar + título similar;alta;36;
20300|69337;Fumetas|Kushbreak;2;pulsar;Adaptador de Silicona Para Cartridges;pulsar;adaptador-de-silicona-para-cartridges;Repuestos para bongs y vaporizadores;si;1.00;brandKey=pulsar + título similar;alta;37;
19947|69146;Fumetas|Kushbreak;2;pulsar;Vaporizador Proshift;pulsar;vaporizador-proshift;Vaporizadores herbales;si;1.03;brandKey=pulsar + título similar;alta;38;
87653;Friendly Grow;1;yocan;DESCARTAR;yocan;;;;;of87653 es 'Yocan Hit' (FG $30990), of31425 es 'YOCAN HIT 2' (Astro $65990). Modelos distintos.;DESCARTAR;39;Yocan Hit (FG) y Yocan Hit 2 (Astro) son modelos distintos. Regla 8: titulo nombra modelo diferente. Cada uno solo en 1 tienda.
32772|36571;Astro Growshop|Fumetas;2;sploofy;YA-VINCULADA;sploofy;;Filtros y boquillas;si;1.17;Al menos una oferta ya vinculada a producto existente (r59/r61);YA-VINCULADA;40;Ofertas ya procesadas en rondas anteriores
2150|78984;Fumetas|Astro Growshop;2;calvo;Banger Calvo Flat Bucket 90° - Macho 10mm;calvo;banger-flat-bucket-90-macho-10mm;Accesorios de extraccion;si;1.13;brandKey=calvo + título similar;alta;41;
13627|17974;Fumetas|Astro Growshop;2;calvo;Glass Inline Tree Perc 34cm;calvo;glass-inline-tree-perc-34cm;Otros parafernalia;si;2.05;brandKey=calvo + título similar;NECESITA-FOTO;42;
2999|32719;Fumetas|Astro Growshop;2;calvo;Glass Bong Beaker Dragon Ball Z 40cm;calvo;glass-bong-beaker-dragon-ball-z-40cm;Bongs;si;1.89;brandKey=calvo + título similar;NECESITA-FOTO;43;
70870|35691;GrowBarato Chile|Fumetas;2;calvo;YA-VINCULADA;calvo;;Accesorios de extraccion;si;1.11;Al menos una oferta ya vinculada a producto existente (r59/r61);YA-VINCULADA;44;Ofertas ya procesadas en rondas anteriores
33700|31203;Fumetas|Astro Growshop;2;galaxy;YA-VINCULADA;galaxy;;Moledores;si;1.59;Al menos una oferta ya vinculada a producto existente (r59/r61);YA-VINCULADA;45;Ofertas ya procesadas en rondas anteriores
25993|24006;Fumetas|Astro Growshop;2;g-pen;G Pen Silicone Mouthpiece Roam Black;g-pen;silicone-mouthpiece-roam-black;Otros parafernalia;si;1.09;brandKey=g-pen + título similar;alta;46;
13136|69003;Fumetas|Kushbreak;2;shine;®​ 24K Cono de Oro King Size;shine;24k-cono-de-oro-king-size;Conos y blunts;si;1.33;brandKey=shine + título similar;media;47;
12899|69136;Fumetas|Kushbreak;2;ocb;Boquillas filtro de carbón activado 50 uds.;ocb;boquillas-filtro-de-carbon-activado-50-uds;Filtros y boquillas;si;1.17;brandKey=ocb + título similar;alta;48;
11594|69098;GrowBarato Chile|Kushbreak;2;lion-rolling-circus;Lion Rolling Circus Transparent Block 420 - Growbarato;lion-rolling-circus;transparent-block-420;Otros parafernalia;si;1.29;brandKey=lion-rolling-circus + título similar;alta;49;
5623;Piranha;1;the-bulldog;DESCARTAR;the-bulldog;;;;;of5623 es '2 Partes' (Piranha $4990), of29039 es '3 Partes' (Astro $2490). Productos distintos.;DESCARTAR;50;Moledor 2 partes (Piranha) vs 3 partes (Astro) son productos distintos. Cada uno solo en 1 tienda.
25412|33408;Fumetas|Astro Growshop;2;stundenglass;Stündenglass V2 Wall Mount;stundenglass;stundenglass-v2-wall-mount;Otros parafernalia;si;1.27;brandKey=stundenglass + título similar;alta;51;
788|2291;Astro Growshop|GrowBarato Chile;2;vibes;Papelillos Organic Hemp 114 Unidad-Vibes;vibes;papelillos-organic-hemp-114-unidad;Papelillos;si;1.53;brandKey=vibes + título similar;media;52;
559|69044;GrowBarato Chile|Kushbreak;2;actitube;Boquillas de filtro de carbón activo Konik 6mm ActiTube;actitube;boquillas-de-filtro-de-carbon-activo-konik-6mm;Filtros y boquillas;si;2.89;brandKey=actitube + título similar;NECESITA-FOTO;53;
34026|11078;Fumetas|Piranha;2;hemper;Quick Hitter Multiuso x2 - Banana;hemper;quick-hitter-multiuso-x2-banana;Pipas;si;1.98;brandKey=hemper + título similar;NECESITA-FOTO;54;
77841|35257;Astro Growshop|Fumetas;2;blunt-wrap;Platinium X2 Chocolate 1U- Blunt Wrap;blunt-wrap;platinium-x2-chocolate-1u;Conos y blunts;si;1.00;brandKey=blunt-wrap + título similar;alta;55;
79898|78373;Piranha|Astro Growshop;2;integra-boost;Integra Boost Humedad 55% | PIRANHA;integra-boost;humedad-55;Otros parafernalia;si;1.20;brandKey=integra-boost + título similar;alta;56;
11531|69076|69168;GrowBarato Chile|Kushbreak;2;(genérico);Super Dab Cleaner Eco | Limpiador de bongs;;super-dab-cleaner-eco-limpiador-de-bongs;Limpieza;si;1.33;título similar (sin marca);baja;57;
72173|80799;Fumetas|Piranha;2;(genérico);Cali Terpenes Critical 1ml;;cali-terpenes-critical-1ml;Otros parafernalia;si;1.64;titulo similar + Critical. of72173 $22990 (Fumetas), of80799 $13993 (Piranha).;baja;58-a;Fila original mezcla Critical y Amnesia (terpenos distintos). Subgrupo-a = Critical.
80797;Piranha;1;(genérico);DESCARTAR;;;;;;of80797 es 'Amnesia' (terpeno distinto a Critical). Solo Piranha.;DESCARTAR;58-b;of80797 es Cali Terpenes Amnesia (variedad distinta a Critical). Solo 1 tienda.
77241|70274;Astro Growshop|Kushbreak;2;(genérico);Lupa Con Luz Led 30X Y 60X;;lupa-con-luz-led-30x-y-60x;Otros parafernalia;si;1.89;título similar (sin marca);baja;59;
69252|19880;Kushbreak|Fumetas;2;(genérico);BONG GLICERINA - DABTIZED BEER MUG;;bong-glicerina-dabtized-beer-mug;Accesorios de extraccion;si;1.00;título similar (sin marca);baja;60;
78161|75081;Astro Growshop|Fumetas;2;(genérico);Malla De Secado Prodry Basic 8 Niveles-Garden Highpro;;malla-de-secado-prodry-basic-8-niveles-garden-highpro;Otros parafernalia;si;1.50;título similar (sin marca);baja;61;
69017|20225;Kushbreak|Fumetas;2;(genérico);JarBong Device;;jarbong-device;Contenedores y estuches;si;1.00;título similar (sin marca);baja;62;
69095|19362;Kushbreak|Fumetas;2;(genérico);Banger 14mm;;banger-14mm;Accesorios de extraccion;si;1.46;título similar (sin marca);baja;63;
69245|12581;Kushbreak|Astro Growshop;2;(genérico);Rude banger;;rude-banger;Accesorios de extraccion;si;1.75;título similar (sin marca);baja;64;
69289|18071;Kushbreak|Astro Growshop;2;(genérico);Dabber Acero doble punta;;dabber-acero-doble-punta;Accesorios de extraccion;si;2.00;título similar (sin marca);baja;65;
