productId,productName,category,stores,storeSlug,offerCount,priceSpread,verdict,reason,offers
5737,Vaporizador Dynavap M 7 - Regular,Vaporizadores herbales,4,astrogrowshop,3,1.81,REVISAR,"difieren en: vaporizador, the, new, m7-dynavap, dynavap, regular, pack, starter | precio x1.81",O2553 $88990 Vaporizador The New M7-Dynavap || O12284 $89990 Vaporizador Dynavap M 7 - Regular || O12568 $160990 Pack Starter The M7-Dynavap
10197,Estuche De Tela Blando Ozeta hermético antiolor,Contenedores y estuches,5,growbarato,2,1.63,REVISAR,"difieren en: estuche, de, tela, blando, hermetico, kit, fumeta, case | precio x1.63",O11446 $24200 Estuche De Tela Blando Ozeta hermético antiolor || O3225 $39500 Kit Fumeta OZeta Case XL antiolor
5529,R3 Mini-Bonglab,Bongs,4,growbarato,2,1.43,REVISAR,"difieren en: cristal, para, marihuana, 8-, 17cm, r3, bonglab, pyrex | precio x1.43",O3153 $14400 Bong Cristal Mini para marihuana 8-17 cm || O2226 $20600 Bong R3 Mini Bonglab Pyrex 12 cm | Mini Bong Recycler Chile
5746,Quemador Honeycomb Macho 14Mm,Repuestos para bongs y vaporizadores,4,astrogrowshop,2,1.4,REVISAR,difieren en: -bonglab | precio x1.40,O2580 $4990 Quemador Honeycomb Macho 14Mm || O2546 $6990 Quemador Honeycomb Macho 14Mm -Bonglab
5747,Quemador Honeycomb Macho 18Mm,Repuestos para bongs y vaporizadores,5,astrogrowshop,2,1.4,REVISAR,difieren en: -bonglab | precio x1.40,O2581 $4990 Quemador Honeycomb Macho 18Mm || O2547 $6990 Quemador Honeycomb Macho 18Mm-Bonglab
5478,Papelillos Gizeh Pink 1 1/4 Extra Fine,Papelillos,4,fumetas,8,1.34,REVISAR,"difieren en: super, fine, brown, sin, blanquear, pure, canamo, organico",O2138 $590 Papelillos Gizeh Super Fine 1 1/4 || O624 $590 Papelillos Gizeh Brown 1 1/4 sin blanquear || O1229 $590 Papelillos Gizeh Pure Cañamo Orgánico 1 1/4 || O1251 $590 Papelillos Gizeh Black 1 1/4 Extra Fine || O1273 $590 Papelillos Gizeh Unbleached Extra Fine 1 1/4 || O2136 $590 Papelillos Gizeh Edición 420 1 1/4 || O2137 $590 Papelillos Gizeh Rojo Fine 1 1/4 || O210 $790 Papelillos Gizeh Pink 1 1/4 Extra Fine
5965,RAW Porta Papeles de 1.1/4 caja metálica,Contenedores y estuches,4,fumetas,2,1.25,REVISAR,difieren en: -1/4,O3739 $1590 Porta Papelillo RAW 1 1/4 || O2141 $1990 Porta Papelillo RAW Black 1 1/4
5765,Estuche Anti Olor OZeta Pequeño (Color a elección),Contenedores y estuches,5,fumetas,3,1.21,REVISAR,"difieren en: 2022, 2023",O1281 $23990 Ozeta Estuche pequeño 2022 - Anti-olor || O13247 $25990 Ozeta Estuche pequeño 2023 - Anti-olor || O18552 $28990 Ozeta Estuche pequeño - Anti-olor
5746,Quemador Honeycomb Macho 14Mm,Repuestos para bongs y vaporizadores,4,fumetas,2,1.2,REVISAR,"difieren en: generico, bonglab",O462 $4990 Quemador Generico Honeycomb Macho 14mm || O2020 $5990 BongLab Quemador HoneyComb Macho 14mm
5737,Vaporizador Dynavap M 7 - Regular,Vaporizadores herbales,4,fumetas,2,1.18,REVISAR,"difieren en: mecanico, starter, kit",O2035 $89990 Vaporizador Mecánico Dynavap M7 || O19430 $105990 Vaporizador DynaVap M7 Starter Kit
10528,Sploofy Pro Filtro de Aire Personal,Filtros y boquillas,4,astrogrowshop,3,1.17,REVISAR,"difieren en: de, aqua, -sploofy, sploofy, ii",O17912 $29990 Pro Filtro De Humo Personal Aqua -Sploofy || O17913 $34990 Pro Filtro De Humo Personal Red Sploofy || O18024 $34990 Filtro Personal Pro II -Sploofy
5761,Estuche Anti Olor OZeta Grande (Color a elección),Contenedores y estuches,5,fumetas,3,1.16,REVISAR,"difieren en: 2022, 2023",O1259 $31990 Ozeta Estuche grande 2022 - Anti-olor || O13243 $33990 Ozeta Estuche grande 2023 - Anti-olor || O18550 $36990 Ozeta Estuche grande - Anti-olor
5499,Grinder Galaxy Aluminio 63mm,Moledores,4,fumetas,2,1.14,REVISAR,difieren en: lightning,O4625 $20990 Moledor Galaxy Aluminio 63mm || O1552 $23990 Moledor Galaxy Lightning Aluminio 63mm
5535,Bong Color Cube Bonglab Azul y Verde | Bong Compacto,Bongs,4,growbarato,2,1.13,REVISAR,difieren en: pyrex,O11356 $22400 Bong Color Cube Bonglab Azul y Verde | Bong Compacto || O3209 $25200 Bong Pyrex Cube Bonglab Azul y Verde | Bong Compacto
5518,Bong The Trash,Bongs,4,astrogrowshop,2,1.11,REVISAR,difieren en: azulado,O31570 $53990 The Trash Big Logo-Bonglab - Negro Humo || O31571 $59990 The Trash Big Logo-Bonglab - Verde azulado
10561,Puffco New Peak Pro Pearl + 3DXL Limited,Accesorios de extraccion,4,astrogrowshop,3,1.09,REVISAR,"difieren en: -puffco, 3dxl-puffco",O31829 $549990 New Peak Pro (Color a elección)-Puffco - Pearl || O17190 $597990 New Peak Pro Pearl + 3Dxl-Puffco || O31794 $597990 New Peak Pro Pearl + 3Dxl-Puffco - Pearl
5499,Grinder Galaxy Aluminio 63mm,Moledores,4,astrogrowshop,3,1.09,REVISAR,"difieren en: moledor, rose, gold-galaxy, -galaxy, lightning, grinder",O69 $21990 Moledor 63Mm Rose Gold-Galaxy || O27 $21990 Moledor 63MM -Galaxy || O73 $23990 Lightning Grinder 63Mm-Galaxy
5499,Grinder Galaxy Aluminio 63mm,Moledores,4,piranha,2,1.06,REVISAR,"difieren en: galaxy, lightning",O852 $17991 Grinder Galaxy Aluminio 63mm || O5140 $18991 Lightning Grinder Aluminio 63mm
5339,Bong Bubbler Kush,Bongs,4,astrogrowshop,2,1,REVISAR,"difieren en: kush-bonglab, kush, caja, rota",O190 $79990 Bubbler Kush-Bonglab || O18110 $79990 BUBBLER KUSH GREEN - CAJA ROTA
5525,Dream Rig-Bonglab,Bongs,4,astrogrowshop,3,1,REVISAR,"difieren en: rig-bonglab, rig, caja, rota",O2606 $25990 Dream Rig-Bonglab || O18114 $25990 DREAM RIG AMBAR - CAJA ROTA || O18115 $25990 DREAM RIG GREEN - CAJA ROTA
5502,Moledor Galaxy New Pro Model 6cm 4 Partes | PIRANHA,Moledores,4,astrogrowshop,2,1,REVISAR,"difieren en: grinder, v2.0-galaxy, grinder-galaxy",O1139 $34990 Moledor New Pro Model Grinder V2.0-Galaxy || O2596 $34990 Moledor New Pro Model Grinder-Galaxy
5768,BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile,Accesorios de extraccion,4,fumetas,2,1,REVISAR,"difieren en: 10mm, 14mm",O2001 $8990 Bonglab Banger Cuarzo 45° - Macho 10mm || O2003 $8990 BongLab Banger Cuarzo 45° - Macho 14mm
10412,Bonglab Atrapa Ceniza Tree Clear 45°,Repuestos para bongs y vaporizadores,4,fumetas,2,1,REVISAR,difieren en: 18mm,O13275 $29990 Bonglab Atrapa cenizas 6 brazos 45° || O34945 $29990 Bonglab Atrapa cenizas 6 brazos 45° - 18mm
9246,Vaporizador Volcano Classi,Vaporizadores herbales,5,growbarato,2,1,REVISAR,"difieren en: onyx, de, storz, bickel, digital",O1442 $396000 Vaporizador Volcano Classic Onyx de Storz y Bickel || O2261 $396000 Volcano Classic y Digital Vaporizador
7885,Estuche Ywiwis Gollo - OZeta | PIRANHA,Contenedores y estuches,4,astrogrowshop,2,1,REVISAR,difieren en: gollo,O740 $27990 Bolso Ywiwis Antiolor-Ozeta || O32848 $27990 Bolso Ywiwis Antiolor-Ozeta - GOLLO
