sim,dist,missingStore,productId,productName,category,seedOfferId,seedTitle,seedPrice,offerId,offerTitle,offerPrice,priceRatio,inStock,textScore,seenInTextSweep,offerUrl,offerImage
0.9556,202,kushbreak,5518,"Bong The Trash","Bongs",33854,"Bonglab Bong The Trash Big Logo 45cm - Negro",59990,69201,"Bong Cobra",69990,1.17,1,0,0,https://www.kushbreak.cl/bong-vidrio-cobra-natural-glass,https://cdnx.jumpseller.com/kushbreak-growshop/image/2552663/cobra.jpg?1679515176
0.9525,204,kushbreak,5525,"Dream Rig-Bonglab","Bongs",34683,"Bonglab Bong X4 Dream Rig 22cm - Azul",25990,69216,"Pebble bong",24990,1.04,1,0,0,https://www.kushbreak.cl/pebble-bong-natural-glass-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/17259709/Pebble_bong_vidrio_pyrex_natural_glass_atrapa_hielo_cannabis_chile_black.png?1679515262
0.9491,207,kushbreak,5525,"Dream Rig-Bonglab","Bongs",842,"Bong Dream Rig",24831,69202,"Jellyfish Bong",59990,2.42,0,0,0,https://www.kushbreak.cl/bong-vidrio-jellyfish-natural-glass,https://cdnx.jumpseller.com/kushbreak-growshop/image/3997294/Jellyfish_bong_NaturalGlass_1.jpg?1679515244
0.9477,215,kushbreak,5525,"Dream Rig-Bonglab","Bongs",842,"Bong Dream Rig",24831,69127,"Bong Green Turtle",59990,2.42,1,0,0,https://www.kushbreak.cl/bong-green-turtle-vidrio-natural-glass-pyrex,https://cdnx.jumpseller.com/kushbreak-growshop/image/3702655/greenturtle.jpg?1688579020
0.9462,235,kushbreak,10167,"Bong Mercurial","Bongs",13280,"BongLab Bong KH1 Mercurial 24cm",47990,69202,"Jellyfish Bong",59990,1.25,0,0,0,https://www.kushbreak.cl/bong-vidrio-jellyfish-natural-glass,https://cdnx.jumpseller.com/kushbreak-growshop/image/3997294/Jellyfish_bong_NaturalGlass_1.jpg?1679515244
0.9453,164,kushbreak,5522,"Bong Mad Professor de Bonglab - GB The Green Brand","Bongs",68,"Mad Professor - Bonglab",64990,69194,"Aloe bong",39990,1.63,1,0,0,https://www.kushbreak.cl/aloe-bong-natural-glass-vidrio?similar_product=true,https://cdnx.jumpseller.com/kushbreak-growshop/image/17262058/Bong_Aloe_vidrio_pyrex_natural_glass_atrapa_hielo_cannabis_chile_green.png?1679515262
0.9453,164,kushbreak,5522,"Bong Mad Professor de Bonglab - GB The Green Brand","Bongs",68,"Mad Professor - Bonglab",64990,69875,"Aloe bong",39990,1.63,1,0,0,https://www.kushbreak.cl/aloe-bong-natural-glass-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/17262058/Bong_Aloe_vidrio_pyrex_natural_glass_atrapa_hielo_cannabis_chile_green.png?1679515262
0.9446,214,kushbreak,5528,"Pocket Bell -Bonglab","Bongs",1244,"BongLab Bong X5 Pocket Bell 17cm",25990,69127,"Bong Green Turtle",59990,2.31,1,0,0,https://www.kushbreak.cl/bong-green-turtle-vidrio-natural-glass-pyrex,https://cdnx.jumpseller.com/kushbreak-growshop/image/3702655/greenturtle.jpg?1688579020
0.9383,208,kushbreak,5519,"Bong Big Blow","Bongs",1233,"Bonglab Bong Pyrex K41 Big Blow 46cm",66990,69201,"Bong Cobra",69990,1.04,1,0,0,https://www.kushbreak.cl/bong-vidrio-cobra-natural-glass,https://cdnx.jumpseller.com/kushbreak-growshop/image/2552663/cobra.jpg?1679515176
0.9378,190,kushbreak,5522,"Bong Mad Professor de Bonglab - GB The Green Brand","Bongs",68,"Mad Professor - Bonglab",64990,69211,"Kryptonian bong",99990,1.54,1,0,0,https://www.kushbreak.cl/kryptonian-bong-natural-glass-vidrio,https://cdnx.jumpseller.com/kushbreak-growshop/image/17255491/Bong_Kryptonian_vidrio_pyrex_natural_glass_atrapa_hielo_cannabis_chile_2.png?1679515261
