score,wouldBe,missingStore,category,productId,productName,seedTitle,seedPrice,offerId,offerTitle,offerPrice,offerUrl
1.08,3,astrogrowshop,Otros parafernalia,5798,"Máquina Enroladora RAW Automática 1 1/4","Maquina Enroladora RAW Automática 1 1/4",10990,31690,"MAQUINA ENROLADORA -RAW - ENROLADORA AUTOMATICA 1 1/4",11990,https://astrogrowshop.cl/maquina-enroladora-raw?variant=ENROLADORA%20AUTOMATICA%201%201%2F4
0.99,4,astrogrowshop,Otros parafernalia,10145,"Raw Enrolador King Size - GB The Green Brand","Máquina enroladora RAW King Size Slim ecoplastic",3790,31689,"MAQUINA ENROLADORA -RAW - ENROLADORA KING SIZE ECOPLASTIC",3690,https://astrogrowshop.cl/maquina-enroladora-raw?variant=ENROLADORA%20KING%20SIZE%20ECOPLASTIC
0.99,2,fumetas,Papelillos,10646,"Papelillos Lion Rolling Circus Sabores 1 1/4","Papelillo Bloody Strawberry 1 1/4 Lion Rolling Circus | PIRA",1226,35153,"LRC Papelillos Flavour 1 1/4 - Sabores - Bloody Strawberry",1390,https://fumetas.cl/lion-rolling-circus-papelillos-1-14-flavour-sabores?variant=Bloody%20Strawberry
0.91,3,fumetas,Repuestos para bongs y vaporizadores,10412,"Bonglab Atrapa Ceniza Tree Clear 45°","Atrapa Ceniza Tree 14/18 Mm Clear 45º Bonglab",28800,34945,"Bonglab Atrapa cenizas 6 brazos 45° - 18mm",29990,https://fumetas.cl/bonglab-atrapacenizas-6-brazos-45?variant=18mm
0.89,4,growbarato,Papelillos,10452,"Papelillos Lion Rolling Circus Alfalfa King Size","Papelillo Alfalfa King Size Lion Rolling Circus | PIRANHA",1390,11588,"Unbleach King Size de Lion Rolling Circus",1300,https://www.growbaratochile.cl/papelillos/rolling-circus-unbleach-big-smoke.html
0.89,2,fumetas,Papelillos,10646,"Papelillos Lion Rolling Circus Sabores 1 1/4","Papelillo Bloody Strawberry 1 1/4 Lion Rolling Circus | PIRA",1226,13415,"LRC Papelillos Flavour 1 1/4 - Sabores",1390,https://fumetas.cl/lion-rolling-circus-papelillos-1-14-flavour-sabores
0.89,2,fumetas,Papelillos,10646,"Papelillos Lion Rolling Circus Sabores 1 1/4","Papelillo Bloody Strawberry 1 1/4 Lion Rolling Circus | PIRA",1226,13508,"LRC Papelillos Silver Ultra Fino 1 1/4",890,https://fumetas.cl/lion-rolling-circus-papelillos-silver-1-14
0.88,3,fumetas,Accesorios de extraccion,10653,"Puffco New Peak Pro","New Peak Pro Onyx-Puffco",467490,34355,"Puffco Vaporizador New Peak Pro + Chamber 3D XL - Onyx",539990,https://fumetas.cl/puffco-vaporizador-new-peak-pro?variant=Onyx
0.86,3,growbarato,Papelillos,10370,"C-Thru Papelillo Celulosa Transparente 1 1/4","Papelillo 4:20 Celulosa Transparente 1 1/4 Lion Rolling Circ",4990,11580,"Papelillo Lion Rolling Circus Transparent Super Size 13x5 | ",2700,https://www.growbaratochile.cl/parafernalia/transparent-super-size-lion-rolling-circus.html
0.83,3,piranha,Vaporizadores herbales,10302,"Storz &amp; Bickel Vaporizador Volcano Classic Gold 24K","Storz &amp; Bickel Vaporizador Volcano Classic Gold 24K",499990,11119,"Vaporizador Volcano Classic Evergreen Edition | PIRANHA",348292,https://piranha.cl/inicio/8659/vaporizador-volcano-classic-evergreen.html
0.81,4,fumetas,Bongs,5525,"Dream Rig-Bonglab","Dream Rig Bonglab Pyrex | Bong Recycler Compacto Chile",23400,34681,"Bonglab Bong X4 Dream Rig 22cm - Verde",25990,https://fumetas.cl/bonglab-bong-x4-dream-rig-22cm?variant=Verde
0.81,4,fumetas,Bongs,5525,"Dream Rig-Bonglab","Dream Rig Bonglab Pyrex | Bong Recycler Compacto Chile",23400,34682,"Bonglab Bong X4 Dream Rig 22cm - Rosado",25990,https://fumetas.cl/bonglab-bong-x4-dream-rig-22cm?variant=Rosado
0.81,4,fumetas,Bongs,5525,"Dream Rig-Bonglab","Dream Rig Bonglab Pyrex | Bong Recycler Compacto Chile",23400,34683,"Bonglab Bong X4 Dream Rig 22cm - Azul",25990,https://fumetas.cl/bonglab-bong-x4-dream-rig-22cm?variant=Azul
0.79,3,fumetas,Accesorios de extraccion,10561,"Puffco New Peak Pro Pearl + 3DXL Limited","Vaporizador Puffco New Peak Pro Pearl 3DXL Limited | PIRANHA",497692,34356,"Puffco Vaporizador New Peak Pro + Chamber 3D XL - Pearl",539990,https://fumetas.cl/puffco-vaporizador-new-peak-pro?variant=Pearl
0.79,3,fumetas,Conos y blunts,10567,"Blunt Hemp Wrap Lion Rolling Circus Rolling Stones Electric ","Blunt Hemp Wrap Terpenes Rolling Stones Electric Grape- Lion",1390,37209,"LRC Blunt Hemp Wrap x2 - Sabores - Grape",1161,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos?variant=Grape
0.79,3,fumetas,Conos y blunts,10654,"Lion Rolling Circus Hemp Wraps Terpenes Strawberry Shortcake","Blunt Wrap Terpenes Strawberry Shortcake - Lion Rolling Circ",1386,37204,"LRC Blunt Hemp Wrap x2 - Sabores - Strawberry",1161,https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos?variant=Strawberry
